	shannon_entropy
GnotobioticExp-FP-188-S51	2.5162064538043034
GnotoExpt-FP569-S85	3.8102665849446185
GnotoExpt-FP617-S313	3.2743508491960336
GnotoExpt-DTT485-S633	1.093226229960009
GnotoExpt-DTT484-S632	1.0310285077635517
806rcbc422-S327	2.381325448506557
806rcbc365-S500	3.354751964503145
806rcbc392-S297	3.530111164121845
GnotoExpt-DTT555-S167	3.3128610199956507
806rcbc423-S424	1.1379794239264558
GnotobioticExp-DTT-195-S205	3.9807177280299073
GnotoExpt-DTT552-S163	3.9793569819161205
GnotoExpt-DTT543-S154	1.381952407167886
GnotoExpt-DTT550-S161	3.9392510036626387
GnotoExpt-DTT537-S148	1.4109849544353048
806rcbc477-S382	3.0193076097607023
GnotoExpt-DTT472-S620	0.9270851690313779
GnotoExpt-DTT452-S600	1.0159464772858464
GnotoExpt-DTT535-S146	1.4476024075283869
GnotobioticExp-FP-199-S63	3.5620399063603063
GnotoExpt-DTT480-S628	1.1862476636816626
GnotoExpt-DTT556-S168	3.5823739605303775
806rcbc533-S438	3.648320718000029
GnotoExpt-DTT611-S346	0.14888450063384281
GnotobioticExp-FP-193-S57	3.5811630574956426
806rcbc498-S403	4.267263945341887
GnotoExpt-DTT541-S152	1.31669659176178
GnotoExpt-FP562-S78	2.65791335398585
806rcbc481-S386	2.523819201068253
GnotoExpt-FP552-S67	3.8193811939740545
GnotoExpt-FP610-S306	4.166732620075598
GnotoExpt-DTT538-S149	2.9219664581392477
806rcbc381-S515	3.0523033957514287
GnotoExpt-DTT557-S169	4.459752013166354
806rcbc421-S326	2.6949778753526354
806rcbc564-S469	2.871648743098732
GnotoExpt-FP452-S673	3.3090790370113368
806rcbc179-S276	0.8038945753068978
GnotobioticExp-DTT-189-S199	2.9295940274338634
GnotoExpt-FP461-S682	2.4340177728809294
GnotoExpt-DTT570-S182	4.950183417449068
GnotoExpt-DTT389-S535	3.048773960366127
GnotobioticExp-FP-209-S73	4.379162966794357
GnotoExpt-DTT539-S150	2.818627778800063
GnotoExpt-FP457-S678	3.2890607118981285
806rcbc425-S330	1.8612639197143825
GnotoExpt-FP456-S677	4.652775327505543
GnotoExpt-DTT564-S176	7.057840219147451
GnotoExpt-DTT565-S177	3.421726823689027
GnotoExpt-DTT607-S342	0.06535488575683393
806rcbc175-S272	3.683764673581273
GnotobioticExp-FP-197-S61	3.8612340850652953
GnotoExpt-DTT534-S145	6.085803957240182
806rcbc450-S451	3.591450845168399
GnotoExpt-DTT464-S612	1.1436326922547693
GnotobioticExp-DTT-191-S201	3.3148656654961135
GnotoExpt-FP554-S69	3.412975535528367
GnotoExpt-FP472-S693	1.010902163382348
806rcbc447-S448	3.4699913462471814
806rcbc562-S467	3.0866855743866197
806rcbc394-S299	3.346520141606655
806rcbc433-S338	2.876729757337046
GnotoExpt-FP475-S696	3.1645786421000475
806rcbc492-S397	4.30693132360354
GnotobioticExp-FP-207-S71	3.823019789144124
GnotoExpt-DTT603-S338	1.9640175634955956
GnotoExpt-DTT456-S604	0.9105918454046521
806rcbc176-S273	3.5836962886173076
GnotobioticExp-DTT-193-S203	4.022173132478855
GnotoExpt-DTT605-S340	0.1307422065154156
806rcbc474-S379	1.6561909900825385
GnotoExpt-FP455-S676	4.281820963564096
806rcbc432-S337	3.991567547094335
GnotoExpt-FP539-S54	2.8395090469123483
GnotoExpt-FP558-S74	4.283370650221286
GnotoExpt-DTT476-S624	1.076231834954001
GnotoExpt-FP616-S312	3.336363585396105
806rcbc495-S400	3.6371649802865127
806rcbc393-S298	3.844144964995959
GnotoExpt-FP453-S674	3.3555367019784232
GnotoExpt-DTT596-S331	1.8015749441897948
GnotoExpt-FP614-S310	3.429642859869574
GnotobioticExp-DTT-197-S207	4.351065020552106
806rcbc530-S435	4.521846144763006
GnotobioticExp-FP-175-S37	2.4416237411872737
806rcbc523-S428	2.891577513027913
806rcbc558-S463	2.546540767915052
GnotoExpt-DTT451-S599	0.8269048629857938
GnotoExpt-FP564-S80	3.745139880719888
GnotoExpt-DTT609-S344	1.6599213746015669
GnotoExpt-FP536-S51	1.4462431031144394
GnotobioticExp-DTT-178-S188	2.9944017666440956
806rcbc454-S455	3.2296466441730836
GnotoExpt-DTT560-S172	3.367363654072094
806rcbc466-S371	2.8682614310942816
GnotoExpt-FP469-S690	2.881990942182176
GnotoExpt-DTT563-S175	7.299832397017293
GnotoExpt-FP555-S71	3.421333414515848
806rcbc401-S306	4.668186277840324
806rcbc403-S308	3.49153014895912
GnotobioticExp-DTT-180-S190	3.144171103319789
GnotoExpt-DTT608-S343	1.2818482645228282
GnotoExpt-DTT479-S627	1.0158479013350608
GnotoExpt-FP474-S695	1.4141155379830863
GnotobioticExp-FP-189-S52	2.6260620476492935
GnotoExpt-FP465-S686	3.144462744980486
806rcbc479-S384	2.3433090398327523
GnotoExpt-FP570-S86	3.627043190731874
GnotoExpt-DTT600-S335	0.0890170571042712
GnotoExpt-DTT615-S350	3.048647848419973
GnotoExpt-DTT551-S162	4.477258539524441
806rcbc553-S458	4.2816946367583375
GnotoExpt-FP595-S291	2.799379885437794
