SampleID	SequenceDepth	Type	Site	Site_General	MouseID	Genotype	Sex	Litter	Description	Sequencing_Run
Mouse9A.DTT98	152015	Mucosal	Proximal_Colon	Colon	Mouse9A	WT	M	DOB_4_17_2018	Mouse9A.DTT98	Two
Mouse5A.DTT29	117717	Mucosal	Jejunum	SI	Mouse5A	WT	F	DOB_10_24_2017	Mouse5A.DTT29	One
Mouse5A.FP28	142094	Luminal	Ileum	SI	Mouse5A	WT	F	DOB_10_24_2017	Mouse5A.FP28	One
Mouse6A.DTT35	66048	Mucosal	Jejunum	SI	Mouse6A	WT	F	DOB_10_24_2017	Mouse6A.DTT35	One
Mouse1B.DTT15	156056	Mucosal	Cecum	Colon	Mouse3A	WT	M	DOB_10_20_2017	Mouse3A.DTT15	One
Mouse1B.DTT18	47025	Mucosal	Duodenum	SI	Mouse3A	WT	M	DOB_10_20_2017	Mouse3A.DTT18	One
Mouse10A.DTT109	107070	Mucosal	Distal_Colon	Colon	Mouse10A	WT	F	DOB_4_17_2018	Mouse10A.DTT109	Two
Mouse9A.DTT100	95195	Mucosal	Ileum	SI	Mouse9A	WT	M	DOB_4_17_2018	Mouse9A.DTT100	Two
Mouse10A.FP110	60285	Luminal	Proximal_Colon	Colon	Mouse10A	WT	F	DOB_4_17_2018	Mouse10A.FP110	Two
Mouse9A.DTT101	63992	Mucosal	Jejunum	SI	Mouse9A	WT	M	DOB_4_17_2018	Mouse9A.DTT101	Two
Mouse3A.FP16	107460	Luminal	Ileum	SI	Mouse3A	WT	M	DOB_10_20_2017	Mouse3A.FP16	One
Mouse5A.FP26	106627	Luminal	Proximal_Colon	Colon	Mouse5A	WT	F	DOB_10_24_2017	Mouse5A.FP26	One
Mouse7A.FP40	122900	Luminal	Ileum	SI	Mouse7A	WT	F	DOB_10_24_2017	Mouse7A.FP40	One
Mouse1A.FP05	149052	Luminal	Jejunum	SI	Mouse1A	WT	F	DOB_10_11_2017	Mouse1A.FP05	One
Mouse6A.FP32	129196	Luminal	Proximal_Colon	Colon	Mouse6A	WT	F	DOB_10_24_2017	Mouse6A.FP32	One
Mouse10A.FP109	129410	Luminal	Distal_Colon	Colon	Mouse10A	WT	F	DOB_4_17_2018	Mouse10A.FP109	Two
Mouse3A.FP17	180349	Luminal	Jejunum	SI	Mouse3A	WT	M	DOB_10_20_2017	Mouse3A.FP17	One
Mouse10A.DTT110	87690	Mucosal	Proximal_Colon	Colon	Mouse10A	WT	F	DOB_4_17_2018	Mouse10A.DTT110	Two
Mouse9A.DTT99	109261	Mucosal	Cecum	Colon	Mouse9A	WT	M	DOB_4_17_2018	Mouse9A.DTT99	Two
Mouse9A.DTT97	139721	Mucosal	Distal_Colon	Colon	Mouse9A	WT	M	DOB_4_17_2018	Mouse9A.DTT97	Two
Mouse7A.FP38	100816	Luminal	Proximal_Colon	Colon	Mouse7A	WT	F	DOB_10_24_2017	Mouse7A.FP38	One
Mouse1A.FP02	127278	Luminal	Proximal_Colon	Colon	Mouse1A	WT	F	DOB_10_11_2017	Mouse1A.FP02	One
Mouse5A.DTT27	164667	Mucosal	Cecum	Colon	Mouse5A	WT	F	DOB_10_24_2017	Mouse5A.DTT27	One
Mouse10A.FP111	96748	Luminal	Cecum	Colon	Mouse10A	WT	F	DOB_4_17_2018	Mouse10A.FP111	Two
Mouse8A.DTT90	92960	Mucosal	Duodenum	SI	Mouse8A	WT	M	DOB_4_17_2018	Mouse8A.DTT90	Two
Mouse2A.FP11	151394	Luminal	Jejunum	SI	Mouse2A	WT	M	DOB_10_20_2017	Mouse2A.FP11	One
Mouse3A.FP18	181495	Luminal	Duodenum	SI	Mouse3A	WT	M	DOB_10_20_2017	Mouse3A.FP18	One
Mouse4A.DTT19	133028	Mucosal	Distal_Colon	Colon	Mouse4A	WT	F	DOB_10_20_2017	Mouse4A.DTT19	One
Mouse5A.DTT30	113587	Mucosal	Duodenum	SI	Mouse5A	WT	F	DOB_10_24_2017	Mouse5A.DTT30	One
Mouse5A.DTT28	111216	Mucosal	Ileum	SI	Mouse5A	WT	F	DOB_10_24_2017	Mouse5A.DTT28	One
Mouse9A.FP97	125335	Luminal	Distal_Colon	Colon	Mouse9A	WT	M	DOB_4_17_2018	Mouse9A.FP97	Two
Mouse9A.FP98	98367	Luminal	Proximal_Colon	Colon	Mouse9A	WT	M	DOB_4_17_2018	Mouse9A.FP98	Two
Mouse6A.FP31	93110	Luminal	Distal_Colon	Colon	Mouse6A	WT	F	DOB_10_24_2017	Mouse6A.FP31	One
Mouse10A.DTT111	89393	Mucosal	Cecum	Colon	Mouse10A	WT	F	DOB_4_17_2018	Mouse10A.DTT111	Two
Mouse4A.FP22	160069	Luminal	Ileum	SI	Mouse4A	WT	F	DOB_10_20_2017	Mouse4A.FP22	One
Mouse1A.FP03	123170	Luminal	Cecum	Colon	Mouse1A	WT	F	DOB_10_11_2017	Mouse1A.FP03	One
Mouse10A.DTT113	79193	Mucosal	Jejunum	SI	Mouse10A	WT	F	DOB_4_17_2018	Mouse10A.DTT113	Two
Mouse4A.FP23	177036	Luminal	Jejunum	SI	Mouse4A	WT	F	DOB_10_20_2017	Mouse4A.FP23	One
Mouse1A.FP01	114850	Luminal	Distal_Colon	Colon	Mouse1A	WT	F	DOB_10_11_2017	Mouse1A.FP01	One
Mouse6A.FP35	138854	Luminal	Jejunum	SI	Mouse6A	WT	F	DOB_10_24_2017	Mouse6A.FP35	One
Mouse7A.DTT38	103205	Mucosal	Proximal_Colon	Colon	Mouse7A	WT	F	DOB_10_24_2017	Mouse7A.DTT38	One
Mouse7A.DTT41	76186	Mucosal	Jejunum	SI	Mouse7A	WT	F	DOB_10_24_2017	Mouse7A.DTT41	One
Mouse4A.DTT22	148695	Mucosal	Ileum	SI	Mouse4A	WT	F	DOB_10_20_2017	Mouse4A.DTT22	One
Mouse8A.FP87	80960	Luminal	Cecum	Colon	Mouse8A	WT	M	DOB_4_17_2018	Mouse8A.FP87	Two
Mouse2A.FP07	123995	Luminal	Distal_Colon	Colon	Mouse2A	WT	M	DOB_10_20_2017	Mouse2A.FP07	One
Mouse3A.FP13	116135	Luminal	Distal_Colon	Colon	Mouse3A	WT	M	DOB_10_20_2017	Mouse3A.FP13	One
Mouse9A.DTT102	56816	Mucosal	Duodenum	SI	Mouse9A	WT	M	DOB_4_17_2018	Mouse9A.DTT102	Two
Mouse10A.DTT112	74691	Mucosal	Ileum	SI	Mouse10A	WT	F	DOB_4_17_2018	Mouse10A.DTT112	Two
Mouse1A.FP06	118040	Luminal	Duodenum	SI	Mouse1A	WT	F	DOB_10_11_2017	Mouse1A.FP06	One
Mouse8A.FP85	67699	Luminal	Distal_Colon	Colon	Mouse8A	WT	M	DOB_4_17_2018	Mouse8A.FP85	Two
Mouse6A.DTT31	145241	Mucosal	Distal_Colon	Colon	Mouse6A	WT	F	DOB_10_24_2017	Mouse6A.DTT31	One
Mouse7A.DTT42	82522	Mucosal	Duodenum	SI	Mouse7A	WT	F	DOB_10_24_2017	Mouse7A.DTT42	One
Mouse1B.DTT16	70594	Mucosal	Ileum	SI	Mouse3A	WT	M	DOB_10_20_2017	Mouse3A.DTT16	One
Mouse1A.FP04	158401	Luminal	Ileum	SI	Mouse1A	WT	F	DOB_10_11_2017	Mouse1A.FP04	One
Mouse10A.DTT114	57066	Mucosal	Duodenum	SI	Mouse10A	WT	F	DOB_4_17_2018	Mouse10A.DTT114	Two
Mouse2A.FP12	123711	Luminal	Duodenum	SI	Mouse2A	WT	M	DOB_10_20_2017	Mouse2A.FP12	One
Mouse2A.FP10	113291	Luminal	Ileum	SI	Mouse2A	WT	M	DOB_10_20_2017	Mouse2A.FP10	One
Mouse7A.FP42	103688	Luminal	Duodenum	SI	Mouse7A	WT	F	DOB_10_24_2017	Mouse7A.FP42	One
Mouse7A.FP41	117466	Luminal	Jejunum	SI	Mouse7A	WT	F	DOB_10_24_2017	Mouse7A.FP41	One
Mouse10A.FP113	177966	Luminal	Jejunum	SI	Mouse10A	WT	F	DOB_4_17_2018	Mouse10A.FP113	Two
Mouse9A.FP102	145520	Luminal	Duodenum	SI	Mouse9A	WT	M	DOB_4_17_2018	Mouse9A.FP102	Two
Mouse1B.DTT14	130068	Mucosal	Proximal_Colon	Colon	Mouse3A	WT	M	DOB_10_20_2017	Mouse3A.DTT14	One
Mouse8A.DTT85	112364	Mucosal	Distal_Colon	Colon	Mouse8A	WT	M	DOB_4_17_2018	Mouse8A.DTT85	Two
