"","feature","metadata","value","coef","stderr","N","N.not.0","pval","qval","V1","Genus","Phylum"
"1","k__Bacteria.p__Bacteroidetes.c__Bacteroidia.o__Bacteroidales.f__Marinifilaceae.g__Odoribacter","Site_General","SI",-1.43897378850822,0.380867254479692,51,38,0.000513983147713342,0.00428808797520845,0.00439560204142839,"Odoribacter","Bacteroidetes"
"2","k__Bacteria.p__Bacteroidetes.c__Bacteroidia.o__Bacteroidales.f__Muribaculaceae.g__Muribaculum","Site_General","SI",-1.21504092794534,0.438502948387626,51,43,0.00850661287758869,0.0485907716420162,0.00195097540638943,"Muribaculum","Bacteroidetes"
"3","k__Bacteria.p__Bacteroidetes.c__Bacteroidia.o__Bacteroidales.f__Prevotellaceae.g__Alloprevotella","Site_General","SI",-3.16983234405107,0.523600921381262,51,48,3.77610302343475e-07,5.51311041421474e-05,0.0643555197897754,"Alloprevotella","Bacteroidetes"
"4","k__Bacteria.p__Bacteroidetes.c__Bacteroidia.o__Bacteroidales.f__Prevotellaceae.g__Paraprevotella","Site_General","SI",2.12933466623366,0.601002131145702,51,19,0.00102064748108705,0.00805483958047079,0.00985223849218729,"Paraprevotella","Bacteroidetes"
"5","k__Bacteria.p__Bacteroidetes.c__Bacteroidia.o__Bacteroidales.f__Rikenellaceae.g__Alistipes","Site_General","SI",-1.6422553282865,0.367233463312788,51,51,6.2295849436205e-05,0.000882103023371854,0.0236401712134928,"Alistipes","Bacteroidetes"
"6","k__Bacteria.p__Bacteroidetes.c__Bacteroidia.o__Bacteroidales.f__Rikenellaceae.g__Millionella","Site_General","SI",-1.15364034387537,0.34407874758286,51,13,0.00175563806423625,0.0134906924936049,0.000800426000931654,"Millionella","Bacteroidetes"
"7","k__Bacteria.p__Firmicutes.c__Bacilli.o__Lactobacillales.f__Lactobacillaceae.g__Lactobacillus","Site_General","SI",2.12734075309123,0.476475056440837,51,48,6.3570990167214e-05,0.000882103023371854,0.0660734129778146,"Lactobacillus","Firmicutes"
"8","k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__.g__","Site_General","SI",-1.53220049602761,0.307345609978627,51,12,1.2355297381181e-05,0.000257696202521775,0.000250309994923014,"","Firmicutes"
"9","k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Clostridiales_vadinBB60_group.g__","Site_General","SI",-2.49697443423783,0.444792137872188,51,41,1.63302111105142e-06,6.92302547531897e-05,0.00471444391465592,"","Firmicutes"
"10","k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Lachnospiraceae.g__","Site_General","SI",-1.06537745233217,0.206906550920936,51,51,7.21991272834374e-06,0.000162170347436644,0.0201168670499552,"","Firmicutes"
"11","k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Lachnospiraceae.g__Acetatifactor","Site_General","SI",-1.7710154186488,0.417659248570524,51,37,0.00012713254127606,0.00137491489083739,0.00307864877294341,"Acetatifactor","Firmicutes"
"12","k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Lachnospiraceae.g__Anaerostipes","Site_General","SI",0.958100447014331,0.32483591240884,51,7,0.00528008828507087,0.0335820557473082,7.41711513879064e-05,"Anaerostipes","Firmicutes"
"13","k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Lachnospiraceae.g__Blautia","Site_General","SI",2.99649132739942,0.485113230450598,51,15,2.57911299121878e-07,5.51311041421474e-05,0.0010714469574597,"Blautia","Firmicutes"
"14","k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Lachnospiraceae.g__Eisenbergiella","Site_General","SI",2.06367413832986,0.417296997237776,51,13,1.38856966714619e-05,0.000270308228537792,0.000365978097476825,"Eisenbergiella","Firmicutes"
"15","k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Lachnospiraceae.g__Lachnospiraceae_FCS020_group","Site_General","SI",-1.83446127022973,0.420199427290167,51,29,8.58805953716272e-05,0.00100308535394061,0.00101662616950426,"Lachnospiraceae_FCS020_group","Firmicutes"
"16","k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Lachnospiraceae.g__Lachnospiraceae_ND3007_group","Site_General","SI",0.918151276672978,0.286202896538348,51,7,0.0026185004595272,0.0191150533545485,5.95355709017989e-05,"Lachnospiraceae_ND3007_group","Firmicutes"
"17","k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Lachnospiraceae.g__Lachnospiraceae_NK4A136_group","Site_General","SI",-1.21768712885472,0.431188972552627,51,51,0.00733236820466977,0.0428210303152715,0.0827016865178438,"Lachnospiraceae_NK4A136_group","Firmicutes"
"18","k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Lachnospiraceae.g__Lachnospiraceae_UCG.004","Site_General","SI",-1.59084014379724,0.355114783259694,51,42,5.9734203263905e-05,0.000882103023371854,0.00126153057588567,"Lachnospiraceae_UCG.004","Firmicutes"
"19","k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Lachnospiraceae.g__Lachnospiraceae_UCG.006","Site_General","SI",-1.84098041822702,0.330492435058144,51,22,1.84997233160941e-06,6.92302547531897e-05,0.000377009059236294,"Lachnospiraceae_UCG.006","Firmicutes"
"20","k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Lachnospiraceae.g__Shuttleworthia","Site_General","SI",-1.0412939544194,0.330198969071226,51,12,0.00305231855355771,0.02173846384485,0.000594299006770757,"Shuttleworthia","Firmicutes"
"21","k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Peptococcaceae.g__","Site_General","SI",-1.4742503473765,0.358338861654986,51,26,0.000186977194973306,0.00188266692869673,0.000414982899655842,"","Firmicutes"
"22","k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Peptostreptococcaceae.g__Romboutsia","Site_General","SI",1.86380825827734,0.475339596437813,51,9,0.000335075769459185,0.00315619757038974,0.000663415546791078,"Romboutsia","Firmicutes"
"23","k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Ruminococcaceae.g__","Site_General","SI",-1.3727361806724,0.376523330796409,51,46,0.000752339317910021,0.00610230780082573,0.00272151199795237,"","Firmicutes"
"24","k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Ruminococcaceae.g__Angelakisella","Site_General","SI",-0.950309129769739,0.344253077504557,51,9,0.00865315111433165,0.0485907716420162,0.00014010674826937,"Angelakisella","Firmicutes"
"25","k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Ruminococcaceae.g__Butyricicoccus","Site_General","SI",-1.06078988173174,0.344789502907862,51,10,0.00374769054067671,0.024933376885534,0.000103710495726443,"Butyricicoccus","Firmicutes"
"26","k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Ruminococcaceae.g__Faecalibacterium","Site_General","SI",2.95475363378659,0.521418005003018,51,14,1.36657948702369e-06,6.92302547531897e-05,0.00195680763580292,"Faecalibacterium","Firmicutes"
"27","k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Ruminococcaceae.g__Flavonifractor","Site_General","SI",1.59751737296276,0.374056766333906,51,6,0.000115195226437734,0.0012937310046084,0.000154909571673394,"Flavonifractor","Firmicutes"
"28","k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Ruminococcaceae.g__Intestinimonas","Site_General","SI",-2.20513935792293,0.391184487204598,51,42,1.47621987491386e-06,6.92302547531897e-05,0.00148398222877273,"Intestinimonas","Firmicutes"
"29","k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Ruminococcaceae.g__Negativibacillus","Site_General","SI",1.00145669198811,0.322712780469313,51,7,0.00349823898973778,0.0243210901191293,0.000135538741014145,"Negativibacillus","Firmicutes"
"30","k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Ruminococcaceae.g__Oscillibacter","Site_General","SI",-2.30130420256335,0.490945467935129,51,43,3.10676155021327e-05,0.000533631983918985,0.00349117371427335,"Oscillibacter","Firmicutes"
"31","k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Ruminococcaceae.g__Ruminiclostridium","Site_General","SI",-2.12124756921823,0.410240914816664,51,45,6.71876985395181e-06,0.000162170347436644,0.00431694077793199,"Ruminiclostridium","Firmicutes"
"32","k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Ruminococcaceae.g__Ruminiclostridium_5","Site_General","SI",-1.58959236337673,0.284715495948329,51,45,1.21496003673066e-06,6.92302547531897e-05,0.00231436437390591,"Ruminiclostridium_5","Firmicutes"
"33","k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Ruminococcaceae.g__Ruminiclostridium_9","Site_General","SI",-2.46027528733547,0.476615175086138,51,45,6.87120054666208e-06,0.000162170347436644,0.00680513501970546,"Ruminiclostridium_9","Firmicutes"
"34","k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Ruminococcaceae.g__Ruminococcaceae_UCG.003","Site_General","SI",-1.04144054756373,0.248350650951464,51,7,0.000146920120624412,0.00153216697222601,0.000153492232700093,"Ruminococcaceae_UCG.003","Firmicutes"
"35","k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Ruminococcaceae.g__Ruminococcaceae_UCG.004","Site_General","SI",1.42666548819633,0.376149007548297,51,7,0.000488586552685475,0.00419609627600467,0.000114790021790474,"Ruminococcaceae_UCG.004","Firmicutes"
"36","k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Ruminococcaceae.g__Ruminococcaceae_UCG.005","Site_General","SI",-1.46105927711873,0.374998417964453,51,18,0.000362236564085826,0.00330540864728316,0.000503327765234446,"Ruminococcaceae_UCG.005","Firmicutes"
"37","k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Ruminococcaceae.g__Ruminococcaceae_UCG.009","Site_General","SI",-1.62735912686291,0.428329903875314,51,24,0.000424337606752541,0.00375474488399218,0.000462931204734642,"Ruminococcaceae_UCG.009","Firmicutes"
"38","k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Ruminococcaceae.g__Ruminococcaceae_UCG.010","Site_General","SI",-1.06381813592427,0.267062956304018,51,14,0.00027924611674841,0.00271799553635119,0.000501799641544767,"Ruminococcaceae_UCG.010","Firmicutes"
"39","k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Ruminococcaceae.g__UBA1819","Site_General","SI",2.30739419820294,0.41680476628124,51,14,2.06891551573875e-06,6.92302547531897e-05,0.000354921493509232,"UBA1819","Firmicutes"
"40","k__Bacteria.p__Firmicutes.c__Erysipelotrichia.o__Erysipelotrichales.f__Erysipelotrichaceae.g__","Site_General","SI",2.25187791399519,0.407554171681013,51,13,2.13380922184489e-06,6.92302547531897e-05,0.000329277034987281,"","Firmicutes"
"41","k__Bacteria.p__Firmicutes.c__Erysipelotrichia.o__Erysipelotrichales.f__Erysipelotrichaceae.g__Candidatus_Stoquefichus","Site_General","SI",1.80266257179962,0.398132346070333,51,9,5.16569683520292e-05,0.000837990819932918,0.000212278717165406,"Candidatus_Stoquefichus","Firmicutes"
"42","k__Bacteria.p__Firmicutes.c__Erysipelotrichia.o__Erysipelotrichales.f__Erysipelotrichaceae.g__Holdemania","Site_General","SI",1.65953835920627,0.373151467938103,51,11,6.64598168293862e-05,0.000882103023371854,0.000167837177766313,"Holdemania","Firmicutes"
"43","k__Bacteria.p__Firmicutes.c__Erysipelotrichia.o__Erysipelotrichales.f__Erysipelotrichaceae.g__Turicibacter","Site_General","SI",1.67796310292803,0.37912849473187,51,11,7.13539142361973e-05,0.000905884476389983,0.000222965199913704,"Turicibacter","Firmicutes"
"44","k__Bacteria.p__Proteobacteria.c__Deltaproteobacteria.o__Desulfovibrionales.f__Desulfovibrionaceae.g__Bilophila","Site_General","SI",1.5330186140489,0.498216157835763,51,9,0.00375708418823114,0.024933376885534,0.000971719641037631,"Bilophila","Proteobacteria"
"45","k__Bacteria.p__Proteobacteria.c__Gammaproteobacteria.o__Betaproteobacteriales.f__Burkholderiaceae.g__Parasutterella","Site_General","SI",2.72189685659337,0.509287205426602,51,26,2.74329245429848e-06,8.01041396655158e-05,0.00401384588826595,"Parasutterella","Proteobacteria"
"46","k__Bacteria.p__Proteobacteria.c__Gammaproteobacteria.o__Enterobacteriales.f__Enterobacteriaceae.g__Escherichia.Shigella","Site_General","SI",1.72977929441603,0.594869040933382,51,25,0.00590673990236507,0.0359326677393875,0.0092555648429205,"Escherichia.Shigella","Proteobacteria"
"47","k__Bacteria.p__Verrucomicrobia.c__Verrucomicrobiae.o__Verrucomicrobiales.f__Akkermansiaceae.g__Akkermansia","Site_General","SI",2.56537982393644,0.581712997353603,51,42,7.46466615514443e-05,0.000908201048875905,0.040705108711647,"Akkermansia","Verrucomicrobia"
