	TL1a_FP_65	TL1a_FP_64	TL1a_FP_209	TL1a_FP_77	TL1a_FP_245	TL1a_FP_76	TL1a_FP_102	TL1a_FP_173	TL1a_FP_174	TL1a_FP_144	TL1a_FP_142	TL1a_FP_172	TL1a_FP_66	TL1a_FP_143	TL1a_FP_100	TL1a_FP_246	TL1a_FP_78	TL1a_FP_210	TL1a_FP_208	TL1a_FP_101	TL1a_FP_244	TL1A_FP_641	TL1A_FP_689	TL1A_FP_640	TL1A_FP_688
TL1a_FP_65	0.0	1.3479526607802987	2.5499477370817325	1.6163634479371631	3.1445317920280034	1.773543928888331	3.3905997217237855	3.4377691615361976	3.17059370291998	0.8135789663179293	2.8259230622222073	3.383941050037948	2.252721162191021	2.5508678368047444	2.777977205361626	2.6077692046099576	0.4534669662870176	3.803803393801058	2.4194273614887494	4.539699784456762	1.6387902239728098	2.1522731126099783	1.9420170124549583	1.6169343065381685	1.9952234583661186
TL1a_FP_64	1.3479526607802987	0.0	1.9393220056943412	0.5073646527541129	1.9889521878762404	0.4831950084854746	2.2569324879040504	2.170284618952045	1.91697369837261	0.8281670755610673	1.4812956002848807	2.2147900300957426	1.7229014180593925	1.209464474352306	1.5269093605107389	1.5368364076522067	1.1800267298589788	2.699203000472092	1.9962178358679663	3.3692084735009225	1.2549388950732976	0.8426380180189482	0.7339984834151202	0.39710769600248375	0.6976283547346144
TL1a_FP_209	2.5499477370817325	1.9393220056943412	0.0	2.099665511711076	1.3833806505408337	1.8653974630697832	3.6382313723333453	1.9200742630432848	1.684566184281324	2.367512857070693	2.099353007651478	1.882483246587789	3.570516626266498	2.103467531878379	2.832099117766259	0.9569530675743709	2.6374441747348416	1.814574818964871	0.6040620360861441	4.517285307365678	0.9393463966090155	1.7549601289053751	1.5369895663946052	1.7055704768761373	1.617549073051104
TL1a_FP_77	1.6163634479371631	0.5073646527541129	2.099665511711076	0.0	2.046814821534831	0.3452520553535567	2.001420458802141	2.150650664051378	1.8626288886350684	0.8836399387034151	1.3697194929799197	2.351581551138644	1.4737416968309118	1.0424844343864526	1.3069632881183186	1.5881387289901439	1.3313300555994858	2.8026062059258137	2.285099869443795	3.221380940143614	1.4523435728107283	0.957464447782297	0.9855297973546728	0.7649183092662621	0.7592309312571509
TL1a_FP_245	3.1445317920280034	1.9889521878762404	1.3833806505408337	2.046814821534831	0.0	1.712622582318417	2.7640323296269322	0.5589720788301735	0.4935927590437285	2.7223714607612095	1.1464336877946606	0.6859710259266552	3.3046464268909763	1.368207668101307	2.046152406121495	0.6387612242938951	3.094895316915991	0.7761325864095643	1.6723032937881175	3.3667519662446654	1.8453473695303406	1.265776232467311	1.302779605058382	1.646947080457607	1.3269697006560073
TL1a_FP_76	1.773543928888331	0.4831950084854746	1.8653974630697832	0.3452520553535567	1.712622582318417	0.0	1.9935221796559668	1.8296905071280534	1.5498250595259022	1.1298453130157071	1.0945285122417256	2.008567281437481	1.7281961341006753	0.797942247349625	1.223771443100802	1.2794301349350314	1.556801048160728	2.462261221157503	2.055018852635522	3.130288314740486	1.3334415169730134	0.6285785152646866	0.6700864160604154	0.5357920895410556	0.4148097805386851
TL1a_FP_102	3.3905997217237855	2.2569324879040504	3.6382313723333453	2.001420458802141	2.7640323296269322	1.9935221796559668	0.0	2.4236678321279563	2.3679346362525617	2.705554779400461	1.6322966151218854	2.7459042477616378	1.6362030649038524	1.5379343955922489	0.8151843780340693	2.7531331762184625	3.052975073241389	3.301938472133565	3.8634611230081712	1.3586331456611835	3.313431923662637	1.982864941405175	2.2864317378355414	2.285784985553507	2.0921132859271316
TL1a_FP_173	3.4377691615361976	2.170284618952045	1.9200742630432848	2.150650664051378	0.5589720788301735	1.8296905071280534	2.4236678321279563	0.0	0.37313799734059355	2.930707648077251	0.9360842163929861	0.7070204283270305	3.226323324451759	1.2486078330863748	1.8041846237477803	1.0631955748809114	3.3296197439260182	0.9245428167896642	2.2186511108292795	2.9034332040112703	2.281650396928417	1.361754878106087	1.52048612686024	1.8541328504411363	1.4796446083951635
TL1a_FP_174	3.17059370291998	1.91697369837261	1.684566184281324	1.8626288886350684	0.4935927590437285	1.5498250595259022	2.3679346362525617	0.37313799734059355	0.0	2.638524461497009	0.7904889617148046	0.9310190342713928	3.0170994096635995	1.040921702549215	1.688767231947184	0.7751361980703413	3.050394480144493	1.126685448412481	2.039540608107926	3.0188988701524195	1.983776543273447	1.164864314110701	1.3103757726709044	1.6273665005082958	1.2196239589078823
TL1a_FP_144	0.8135789663179293	0.8281670755610673	2.367512857070693	0.8836399387034151	2.7223714607612095	1.1298453130157071	2.705554779400461	2.930707648077251	2.638524461497009	0.0	2.218005022532493	3.0197213408356642	1.6341651887897084	1.9058129640508914	2.100951479869836	2.1839509421022925	0.46731945235869815	3.452550018809058	2.415635943645129	3.9375992270116402	1.4777735707540973	1.6543055808243818	1.5342143717110905	1.2022172404001166	1.4594876430600898
