df,feature,Phylum,Order,Family,Genus,annotation
k__Bacteria.p__Firmicutes.c__Clostridia.o__Oscillospirales.f__UCG.010.g__,k__Bacteria.p__Firmicutes.c__Clostridia.o__Oscillospirales.f__UCG.010.g__,Firmicutes,Oscillospirales (o),UCG.010 (f),,UCG.010 (f)
k__Bacteria.p__Firmicutes.c__Clostridia.o__Oscillospirales.f__Butyricicoccaceae.g__UCG.009,k__Bacteria.p__Firmicutes.c__Clostridia.o__Oscillospirales.f__Butyricicoccaceae.g__UCG.009,Firmicutes,Oscillospirales (o),Butyricicoccaceae (f),UCG.009,UCG.009
k__Bacteria.p__Firmicutes.c__Bacilli.o__Lactobacillales.f__Streptococcaceae.g__Streptococcus,k__Bacteria.p__Firmicutes.c__Bacilli.o__Lactobacillales.f__Streptococcaceae.g__Streptococcus,Firmicutes,Lactobacillales (o),Streptococcaceae (f),Streptococcus,Streptococcus
k__Bacteria.p__Firmicutes.c__Clostridia.o__Lachnospirales.f__Lachnospiraceae.g__Acetatifactor,k__Bacteria.p__Firmicutes.c__Clostridia.o__Lachnospirales.f__Lachnospiraceae.g__Acetatifactor,Firmicutes,Lachnospirales (o),Lachnospiraceae (f),Acetatifactor,Acetatifactor
k__Bacteria.p__Firmicutes.c__Clostridia.o__Lachnospirales.f__Lachnospiraceae.g__Tuzzerella,k__Bacteria.p__Firmicutes.c__Clostridia.o__Lachnospirales.f__Lachnospiraceae.g__Tuzzerella,Firmicutes,Lachnospirales (o),Lachnospiraceae (f),Tuzzerella,Tuzzerella
k__Bacteria.p__Firmicutes.c__Clostridia.o__Peptostreptococcales.Tissierellales.f__Anaerovoracaceae.g__.Eubacterium..nodatum.group,k__Bacteria.p__Firmicutes.c__Clostridia.o__Peptostreptococcales.Tissierellales.f__Anaerovoracaceae.g__.Eubacterium..nodatum.group,Firmicutes,Peptostreptococcales.Tissierellales (o),Anaerovoracaceae (f),.Eubacterium..nodatum.group,.Eubacterium..nodatum.group
k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridia.UCG.014.f__.g__,k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridia.UCG.014.f__.g__,Firmicutes,Clostridia.UCG.014 (o), (f),,Clostridia.UCG.014 (o)
k__Bacteria.p__Cyanobacteria.c__Vampirivibrionia.o__Gastranaerophilales.f__.g__,k__Bacteria.p__Cyanobacteria.c__Vampirivibrionia.o__Gastranaerophilales.f__.g__,Cyanobacteria,Gastranaerophilales (o), (f),,Gastranaerophilales (o)
k__Bacteria.p__Firmicutes.c__Bacilli.o__Staphylococcales.f__Staphylococcaceae.g__Staphylococcus,k__Bacteria.p__Firmicutes.c__Bacilli.o__Staphylococcales.f__Staphylococcaceae.g__Staphylococcus,Firmicutes,Staphylococcales (o),Staphylococcaceae (f),Staphylococcus,Staphylococcus
k__Bacteria.p__Firmicutes.c__Clostridia.o__Oscillospirales.f__Oscillospiraceae.g__Colidextribacter,k__Bacteria.p__Firmicutes.c__Clostridia.o__Oscillospirales.f__Oscillospiraceae.g__Colidextribacter,Firmicutes,Oscillospirales (o),Oscillospiraceae (f),Colidextribacter,Colidextribacter
k__Bacteria.p__Bacteroidota.c__Bacteroidia.o__Bacteroidales.f__Marinifilaceae.g__Odoribacter,k__Bacteria.p__Bacteroidota.c__Bacteroidia.o__Bacteroidales.f__Marinifilaceae.g__Odoribacter,Bacteroidota,Bacteroidales (o),Marinifilaceae (f),Odoribacter,Odoribacter
k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Clostridiaceae.g__Candidatus.Arthromitus,k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Clostridiaceae.g__Candidatus.Arthromitus,Firmicutes,Clostridiales (o),Clostridiaceae (f),Candidatus.Arthromitus,Candidatus.Arthromitus
k__Bacteria.p__Firmicutes.c__Bacilli.o__Acholeplasmatales.f__Acholeplasmataceae.g__Anaeroplasma,k__Bacteria.p__Firmicutes.c__Bacilli.o__Acholeplasmatales.f__Acholeplasmataceae.g__Anaeroplasma,Firmicutes,Acholeplasmatales (o),Acholeplasmataceae (f),Anaeroplasma,Anaeroplasma
k__Bacteria.p__Proteobacteria.c__Gammaproteobacteria.o__Enterobacterales.f__Enterobacteriaceae.g__Escherichia.Shigella,k__Bacteria.p__Proteobacteria.c__Gammaproteobacteria.o__Enterobacterales.f__Enterobacteriaceae.g__Escherichia.Shigella,Proteobacteria,Enterobacterales (o),Enterobacteriaceae (f),Escherichia.Shigella,Escherichia.Shigella
k__Bacteria.p__Firmicutes.c__Bacilli.o__Lactobacillales.f__Lactobacillaceae.g__HT002,k__Bacteria.p__Firmicutes.c__Bacilli.o__Lactobacillales.f__Lactobacillaceae.g__HT002,Firmicutes,Lactobacillales (o),Lactobacillaceae (f),HT002,HT002
