"BioGeo.Mouse9A_FP97_merged_R1_001.fastq_profiled_metagenome" "BioGeo.Mouse9A_FP101_merged_R1_001.fastq_profiled_metagenome" "BioGeo.Mouse8A_FP89_merged_R1_001.fastq_profiled_metagenome" "BioGeo.Mouse8A_FP85_merged_R1_001.fastq_profiled_metagenome" "BioGeo.Mouse7A_FP41.REP1_S54_R1_001.fastq_profiled_metagenome" "BioGeo.Mouse7A_FP37_merged_R1_001.fastq_profiled_metagenome" "BioGeo.Mouse6A_FP35.Rep1_S93_R1_001.fastq_profiled_metagenome" "BioGeo.Mouse6A_FP31_merged_R1_001.fastq_profiled_metagenome" "BioGeo.Mouse5A_FP29.REP1_S53_R1_001.fastq_profiled_metagenome" "BioGeo.Mouse5A_FP25_merged_R1_001.fastq_profiled_metagenome" "BioGeo.Mouse4A_FP23.Rep1_S92_R1_001.fastq_profiled_metagenome" "BioGeo.Mouse3A_FP17_merged_R1_001.fastq_profiled_metagenome" "BioGeo.Mouse3A_FP13_merged_R1_001.fastq_profiled_metagenome" "BioGeo.Mouse2A_FP11.REP1_S55_R1_001.fastq_profiled_metagenome" "BioGeo.Mouse2A_FP07_merged_R1_001.fastq_profiled_metagenome" "BioGeo.Mouse1A_FP05_merged_R1_001.fastq_profiled_metagenome" "BioGeo.Mouse1A_FP01_merged_R1_001.fastq_profiled_metagenome" "BioGeo.Mouse10A_FP113_merged_R1_001.fastq_profiled_metagenome" "BioGeo.Mouse10A_FP109_merged_R1_001.fastq_profiled_metagenome"
"BioGeo.Mouse9A_FP97_merged_R1_001.fastq_profiled_metagenome" 0 1.61408537132915 1.1478563868078 0.588684093749021 2.27203039485106 2.10191318040214 1.76870391785626 0.603782665251516 4.03030862057206 2.62258418621821 3.76026877175838 2.42034278456435 0.744094374864242 2.56406007574698 0.551427170697915 2.56197595069784 1.14263536322834 2.50026617811244 1.15921042361606
"BioGeo.Mouse9A_FP101_merged_R1_001.fastq_profiled_metagenome" 1.61408537132915 0 0.948463909606801 1.72741165074198 1.19627137369279 2.12159801426861 0.431717374322106 1.46590276358475 4.15483382717357 2.38021756434063 2.33521564184827 1.25911847067202 1.73248944829189 1.25310997957048 1.67210292373223 1.10676073674979 1.42676178578727 1.07319805485366 1.65829131423728
"BioGeo.Mouse8A_FP89_merged_R1_001.fastq_profiled_metagenome" 1.1478563868078 0.948463909606801 0 1.55831276359982 1.50857824557965 1.53056886734375 1.30956817646305 0.837083648835891 3.73039553445345 1.90479692099655 2.79698594123664 1.76243416254332 1.15526887608837 1.48867196546143 0.973183250490922 1.69705017767568 1.4066065056255 1.63922684965734 1.15086732461357
"BioGeo.Mouse8A_FP85_merged_R1_001.fastq_profiled_metagenome" 0.588684093749021 1.72741165074198 1.55831276359982 0 2.52423541279224 2.62130715119708 1.77966191504537 1.13234814682586 4.48487224913795 3.12680339588514 3.98292502710735 2.59176421707648 1.22928464776956 2.85564154326638 1.12851654910637 2.74212908523002 1.27051463745711 2.59906436799164 1.6085201498714
"BioGeo.Mouse7A_FP41.REP1_S54_R1_001.fastq_profiled_metagenome" 2.27203039485106 1.19627137369279 1.50857824557965 2.52423541279224 0 1.60128267669132 1.18516741449889 1.83867926672168 3.23677808638476 1.64517751709687 1.59146125230186 0.384491522708844 1.95860264906436 0.998600199216792 2.0763007076996 0.662313473051092 1.57048100170677 1.80312299554464 1.59604384893372
"BioGeo.Mouse7A_FP37_merged_R1_001.fastq_profiled_metagenome" 2.10191318040214 2.12159801426861 1.53056886734375 2.62130715119708 1.60128267669132 0 2.324932302548 1.50122034232232 2.23314619367891 0.560621791228824 2.79687167337199 1.94649919838053 1.48180302109561 1.91338478090241 1.59436893791623 2.14226281819763 1.83781146580887 2.79325105355891 1.09989599280335
"BioGeo.Mouse6A_FP35.Rep1_S93_R1_001.fastq_profiled_metagenome" 1.76870391785626 0.431717374322106 1.30956817646305 1.77966191504537 1.18516741449889 2.324932302548 0 1.65526700912151 4.22010502844745 2.57449951131675 2.3232754819098 1.11620398419042 1.86927243951839 1.47051121104741 1.87780853671617 1.09112219266641 1.34887208248521 1.29512535957629 1.77576540229287
"BioGeo.Mouse6A_FP31_merged_R1_001.fastq_profiled_metagenome" 0.603782665251516 1.46590276358475 0.837083648835891 1.13234814682586 1.83867926672168 1.50122034232232 1.65526700912151 0 3.47729571572351 2.02182648464 3.3507552406444 2.04708837009796 0.34119780082986 2.1792105812141 0.249351106865277 2.22284294620164 0.948654081510046 2.387377097431 0.612452570702526
"BioGeo.Mouse5A_FP29.REP1_S53_R1_001.fastq_profiled_metagenome" 4.03030862057206 4.15483382717357 3.73039553445345 4.48487224913795 3.23677808638476 2.23314619367891 4.22010502844745 3.47729571572351 0 2.04487365133482 3.99406087808754 3.44816403013261 3.28989550835332 3.77665625651212 3.54139218551774 3.83703351717345 3.46328099173494 4.85056362703204 2.90989764774781
"BioGeo.Mouse5A_FP25_merged_R1_001.fastq_profiled_metagenome" 2.62258418621821 2.38021756434063 1.90479692099655 3.12680339588514 1.64517751709687 0.560621791228824 2.57449951131675 2.02182648464 2.04487365133482 0 2.53934188653508 1.99457451292759 2.02513960124269 1.86251583911158 2.13147583907023 2.14250975640175 2.27204825827968 2.90818377491839 1.61702788945218
