	shannon
Vil1-01B-FP11	3.6597836773795254
Vil1-03B-DTT33	5.4706560836285885
Itg-18-DTT496-S91	4.052982177285997
SLCFP072	4.013022823493427
LYZdtt342	2.283403981146488
Lyz2-02B-FP222-S70	1.0534076470570515
SLCFP021	4.4953417510429565
Vil1-05B-DTT57	0.08838292034261246
LYZdtt351	1.856035545989702
Lyz2-07B-DTT281-S123	5.644919219582834
Vil1-010B-DTT117	5.44271586398607
Itg-10-DTT455-S49	5.636701563978694
Itg-22-FP518-S21	3.48519122674469
SLCFP069	4.935940627792551
Lyz2-05B-DTT260-S101	4.22690504807437
Lyz2-04B-FP244-S41	5.223417268566067
LYZFP308	3.947164630033689
SLCFP111	5.912758293126398
Vil1-05B-FP57	6.649350675261086
Lyz2-02B-DTT221-S61	5.466321011629589
Vil1-06B-DTT70	0.06342224609885043
LYZFP307	3.5170231161461145
Vil1-03B-DTT35	5.328997667832778
Vil1-03B-FP35	2.9961917540813334
LYZdtt364	5.115607119170111
Itg-02-FP409-S9	5.900919186768422
Itg-10-DTT456-S50	6.011245090969919
Vil1-01B-DTT11	2.92435774898513
Vil1-01B-FP07	5.071661689998857
Lyz2-04B-FP243-S92	4.145208828311873
Vil1-13B-FP153	2.898622947521886
Vil1-07B-FP82	3.2807810236460306
Lyz2-07B-FP283-S81	2.9114854789207483
Lyz2-04B-FP245-S42	5.704048972040208
Itg-20-FP508-S11	4.572170297243832
SLCdtt163	5.8826793060777405
SLCdtt050	5.416258489951221
Vil1-10B-FP115	4.4850520738321515
Lyz2-06B-DTT269-S111	5.5649554041159455
LYZdtt308	2.979735367261404
Lyz2-03B-DTT232-S72	5.802888291660749
LYZFP331	1.624730491371341
Vil1-09B-DTT105	2.348054738527727
Itg-20-DTT504-S99	5.983425465320095
Itg-20-DTT505-S100	4.438704805456091
Itg-24-DTT530-S25	5.40561845994328
Vil1-06B-DTT72	0.06727427330829369
Itg-24-DTT531-S26	2.6536161640079237
SLCFP131	4.040378370150453
Vil1-01B-FP08	5.619536432232953
Vil1-10B-FP116	5.2830994437345336
Vil1-14B-FP167	1.9141785365441637
SLCFP078	3.0058906483678824
Vil1-04B-DTT43	4.857640960308463
Itg-24-DTT529-S24	6.342969104560395
SLCdtt110	5.578301781023144
Itg-04-DTT423-S15	2.926506584429201
SLCdtt075	4.289762103824971
SLCFP070	3.6620730425005594
Vil1-07B-DTT79	0.053109617648591415
Vil1-04B-FP46	3.013586962420872
LYZFP304	4.064029994317417
Vil1-06B-FP67	5.909309571701922
