TL1a_DTT_284	TL1A_DTT_642	TL1a_DTT_173_Repeat	TL1a_DTT_131	TL1A_FP_641	TL1A_FP_642	TL1A_DTT_690	TL1A_FP_689	TL1a_FP_162	TL1a_DTT_174_Repeat	TL1A_DTT_673	TL1A_FP_638	TL1a_FP_88	TL1a_FP_140	TL1A_FP_626	TL1a_DTT_76_Repeat	TL1a_FP_230	TL1a_FP_89	TL1a_FP_207	TL1a_DTT_78	TL1a_DTT_231	TL1a_FP_234	TL1a_FP_205	TL1A_FP_640	TL1a_FP_65	TL1a_FP_128	TL1a_FP_64	TL1a_DTT_172_Re_extracted	TL1A_DTT_675	TL1a_FP_209	TL1A_FP_629	TL1a_DTT_268_Repeat	TL1a_FP_85	TL1a_DTT_267	TL1a_DTT_139	TL1a_FP_129	TL1A_DTT_626	TL1a_DTT_171	TL1a_FP_206	TL1a_DTT_143	TL1a_FP_287	TL1a_FP_242	TL1A_DTT_629	TL1a_FP_86	TL1a_FP_77	TL1a_FP_245	TL1a_FP_198	TL1a_FP_161	TL1a_FP_266	TL1a_FP_127	TL1a_FP_76	TL1A_FP_676	TL1a_FP_73	TL1a_FP_102	TL1a_DTT_169_Re_extracted	TL1a_FP_197	TL1a_DTT_209	TL1a_FP_159	TL1A_DTT_677	TL1A_DTT_676	TL1a_DTT_160	TL1A_FP_677	TL1a_FP_132	TL1a_FP_98	TL1a_FP_75	TL1a_FP_130	TL1a_DTT_234	TL1a_FP_173	TL1A_FP_685	TL1a_DTT_74	TL1a_DTT_158	TL1a_DTT_269_Repeat	TL1a_DTT_161_Repeat	TL1a_FP_193	TL1a_FP_139	TL1a_FP_90	TL1a_DTT_141	TL1a_DTT_210	TL1A_FP_686	TL1A_FP_674	TL1A_FP_678	TL1a_FP_265	TL1a_FP_141	TL1a_FP_174	TL1a_FP_144	TL1a_FP_195	TL1a_FP_142	TL1A_DTT_674	TL1a_FP_158	TL1a_DTT_143_Repeat	TL1a_DTT_129	TL1a_DTT_265	TL1a_DTT_285	TL1a_DTT_144_Repeat	TL1a_DTT_241	TL1a_DTT_159	TL1a_FP_62	TL1A_DTT_627	TL1a_FP_157	TL1a_DTT_243	TL1A_FP_625	TL1a_DTT_127_Repeat	TL1a_DTT_205	TL1A_DTT_640	TL1a_DTT_206	TL1a_DTT_64	TL1a_DTT_287	TL1a_DTT_157_Repeat	TL1a_DTT_233	TL1a_DTT_62	TL1a_DTT_65	TL1a_DTT_242	TL1a_FP_231	TL1a_FP_284	TL1A_DTT_688	TL1a_DTT_245_Repeat	TL1a_FP_74	TL1A_FP_630	TL1a_FP_267	TL1a_DTT_130_Repeat	TL1A_FP_639	TL1A_FP_673	TL1a_FP_172	TL1a_DTT_102_Repeat	TL1a_FP_269	TL1a_DTT_73	TL1a_DTT_195	TL1a_DTT_63	TL1a_FP_171	TL1A_FP_687	TL1a_DTT_85	TL1A_DTT_638	TL1a_DTT_86	TL1a_DTT_193	TL1A_FP_675	TL1a_FP_288	TL1a_FP_66	TL1a_DTT_207	TL1A_FP_637	TL1a_DTT_196_Repeat	TL1a_DTT_286	TL1a_DTT_90_Repeat	TL1A_DTT_678	TL1a_FP_143	TL1a_DTT_132_Repeat	TL1a_DTT_131_Repeat	TL1a_DTT_230	TL1a_DTT_75	TL1a_DTT_61_Repeat	TL1a_FP_87	TL1a_FP_100	TL1a_FP_99	TL1a_DTT_246	TL1a_DTT_128	TL1a_DTT_283	TL1a_DTT_194	TL1a_FP_196	TL1a_DTT_100_Repeat	TL1a_FP_131	TL1A_FP_688	TL1a_DTT_198_Repeat	TL1a_DTT_97	TL1a_DTT_88_Repeat	TL1A_DTT_630	TL1a_FP_246	TL1a_DTT_229	TL1a_FP_169	TL1a_FP_270	TL1a_DTT_162_Repeat	TL1a_DTT_66	TL1a_FP_160	TL1a_FP_283	TL1a_FP_194	TL1a_FP_61	TL1a_FP_241	TL1a_FP_286	TL1a_DTT_140	TL1a_FP_229	TL1a_DTT_89_Re_extracted	TL1a_FP_78	TL1a_FP_210	TL1a_FP_208	TL1A_DTT_641	TL1a_DTT_244_Repeat	TL1a_FP_101	TL1a_DTT_99	TL1A_DTT_639	TL1a_DTT_87	TL1a_DTT_197_Repeat	TL1a_FP_244	TL1a_DTT_266	TL1a_FP_232	TL1A_FP_690	TL1a_DTT_270_Repeat	TL1a_FP_233	TL1A_DTT_687	TL1a_FP_63	TL1a_DTT_232	TL1A_DTT_689	TL1a_DTT_142_Repeat	TL1a_DTT_77	TL1a_DTT_98	TL1a_FP_243	TL1A_DTT_628	TL1a_FP_268	TL1a_FP_97	TL1a_FP_285	TL1A_FP_627	TL1a_DTT_288	TL1a_DTT_170	TL1a_DTT_101_Repeat	TL1a_DTT_208	TL1a_FP_170
0	402	217	0	40	73	204	5	5409	83	338	224	0	1241	0	723	0	2611	0	688	0	0	0	12	732	0	501	0	0	0	2	0	0	0	2452	0	0	1873	0	11	0	0	788	0	1047	0	0	4340	0	0	298	15	2786	524	0	0	0	0	15	32	0	83	0	1095	1948	2033	0	0	820	5619	0	0	0	0	1076	198	3397	0	2220	0	4	0	1907	0	1062	0	0	0	0	17	0	0	0	15	0	0	4538	18	0	0	0	0	0	307	0	326	0	0	0	4415	426	0	0	0	8	0	1665	626	0	0	459	0	0	87	0	6519	0	3970	868	655	0	140	0	0	0	0	507	0	444	0	0	12	0	281	0	0	0	4667	192	0	1908	551	0	0	0	0	0	66	3	57	0	2428	12	1577	0	2085	2487	0	0	295	0	0	0	3031	0	0	2534	0	0	5478	0	0	353	0	0	2379	746	0	0	0	287	0	35	0	0	975	5564	0	112	0	764	1921	0	205	0	1419	0	0	0	1464	142	0	537
0	816	689	6	85	57	424	14	12935	205	751	347	27	23713	21	675	0	8569	19791	2653	742	13	41149	15	12412	31	13571	933	0	38	2	22	0	0	16545	0	13	11553	35738	78	0	15879	2421	0	2189	188	7188	10531	0	0	1577	21	9244	1678	172	21093	954	0	18	66	193	60	0	16970	3772	7731	50	395	2159	9193	11	0	31	0	16654	657	21999	3326	3090	0	24	0	22752	2919	4374	0	2034	6	0	241	0	3	0	1125	8583	142	15824	53	0	6327	1	0	46148	994	30794	666	0	72	0	13705	906	6337	0	0	73	486	5264	530	0	0	660	5	21	310	1333	10193	0	12806	3566	2169	22	192	0	638	0	0	7752	34536	720	8	0	0	8	4720	0	0	0	7084	448	0	7713	3776	968	0	0	36	0	694	9	110	0	9952	29	2440	2151	4345	11830	12802	0	857	535	0	0	13992	6934	0	12019	0	876	12471	83	359	775	818	68	11351	600	0	0	7195	598	115	49	10	1397	1380	10420	10	282	272	2510	9572	12124	373	3671	7348	0	0	0	8290	310	1828	4094
3	305	2947	0	2479	648	1000	3548	2108	708	134	141	8	771	24	2269	0	1457	0	6651	0	14	0	1955	11560	12	2697	275	9	0	13	469	0	7	311	4	44	1777	0	22	1166	0	334	2	56397	351	2	1740	72	0	32507	18	1427	407	782	10	0	0	12	12	38	656	0	800	2355	1301	0	290	260	560	2	45	22	0	564	595	463	0	493	7	289	45	556	2574	2148	0	372	9	2	31	0	0	0	9	11	19	2035	27	0	0	34	0	5	369	0	20268	0	3	0	392	14490	9	0	0	1316	0	1176	143	28	0	254	13	15	3	90	561	0	444	2071	275	0	101	0	31	2	170	18222	0	303	0	0	41	10	945	0	0	0	757	0	0	749	722	0	0	0	0	0	7	4	2978	0	507	12	357	65	876	777	16	0	14995	71	0	0	2772	0	187	226	0	25	3921	0	2	162	0	16	751	263	0	0	17	83	4	816	119	3	401	1854	0	2875	2	13535	655	0	132	23	407	2	13	6	920	50	0	1497
10183	2	0	0	4	8	46	0	213	39	131	2	12333	3	192	0	1853	28	0	0	1224	27	0	0	3	1800	2	221	213	497	0	17	8923	1501	6	1432	169	0	0	0	4880	0	0	17008	414	2573	186	42	11399	1617	1670	3	2	9163	8250	959	0	2511	5	21	3034	5	9930	5	184	27	22	4144	0	56	1193	0	169	6847	4	868	0	0	0	989	0	8034	2	1722	12	5939	1098	187	6412	0	1116	421	12986	0	4	4159	4	93	17520	4	258	1772	4	5	0	0	405	2419	6	0	0	0	1338	26892	13	0	1490	92	6788	166	0	977	472	0	143	0	2909	0	3	0	7776	0	5934	3914	533	890	885	9	0	31	79	424	20	667	14	0	312	0	0	12857	3464	0	1900	1100	8369	3530	3815	0	91	42	0	2	369	0	400	15	5	24	150	0	1702	7991	8504	2	3	1592	0	1233	682	30	5558	155	0	0	12540	156	0	10603	72	69	2150	20	0	84	12	0	2	9	37	3	0	3	3	16	2487	0	17897	141	5	301	0	10	4
0	1822	1483	33	283	139	496	60	33456	763	1206	2963	79	31924	160	651	0	29176	0	1174	4409	158	0	79	25373	253	31040	7644	2	60	5	81	0	1	21046	48	29	25195	0	23	4	58427	4416	0	2383	3492	94	30217	28	1	1941	98	9075	4115	446	0	0	0	27	46	712	281	12	36494	15655	34602	220	1028	4338	8200	41	0	0	7	21821	2603	24556	0	6801	13	52	2	24261	2407	44310	0	12376	10	57	164	1	13	3	1280	46926	507	6276	91	0	47671	15	0	0	1831	0	299	0	136	2	7118	514	40185	0	0	108	5376	8516	433	21	0	4997	37	35	418	5808	12483	8	8218	42614	5218	71	1521	0	813	0	36	15451	129	5192	0	0	0	7	26439	0	29	0	6565	233	0	15039	40394	8666	8	2	250	7	410	26	273	0	18243	0	4975	18151	33040	16634	67547	0	375	2035	0	5	2666	40002	5	14851	0	6300	6375	25	23	1690	4972	243	22364	4242	0	0	38165	4242	4	63	250	5860	2674	5747	27	424	374	984	26555	71779	970	11386	28049	0	15	0	15217	455	0	42185
0	149	645	0	33	16	135	2	5869	295	376	304	682	4437	48	569	0	4358	0	751	1	3	0	11	3209	296	1892	291	21	121	3	0	719	367	2850	175	37	7446	2	5	5465	0	369	694	1988	1088	27	5178	783	212	976	14	7373	2917	2333	208	0	244	8	72	324	22	890	3294	12590	3516	0	840	325	3711	43	0	14	613	2213	201	3259	0	523	54	8	1437	2357	929	7840	1051	2262	20	215	123	154	173	0	98	0	365	10157	26	279	0	85	196	0	197	0	361	4	215	0	3056	654	0	0	0	21	0	8085	157	783	0	542	76	69	16	51	6516	838	2207	7022	239	623	258	370	1304	34	1470	2154	0	637	14	12	31	21	4371	0	3	0	2580	299	687	1536	3161	165	95	13	1392	738	42	18	25	29	2448	57	427	255	1295	4629	19	12	714	602	0	1206	8344	0	642	2410	0	51	11510	1045	42	149	17	782	2972	520	779	19	51	223	0	8	73	2	215	11656	0	98	0	789	2999	0	79	374	2302	0	23	0	4809	106	0	5863
0	41	0	0	120	37	51	135	0	0	60	70	0	0	6	0	0	0	0	0	0	0	0	177	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	153	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	2	0	36	0	0	0	0	0	0	104	0	0	0	0	0	0	0	0	0	151	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	88	0	0	0	0	0	0	0	0	0	0	12	0	0	51	0	0	125	0	0	0	0	0	0	0	0	340	0	29	0	0	0	0	0	0	160	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	202	0	0	0	324	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	62	0	0	0	212	0	0	0	2	0	65	0	0	121	5	0	45	0	0	0	0	26	0	0	0	0	0	0	0	0	0
0	192	0	0	31	86	16	7	0	0	73	7	196	0	890	0	0	0	0	0	0	0	0	36	0	0	0	5	510	0	516	14	492	0	0	0	469	0	0	0	0	0	9	244	21	0	0	0	0	0	80	68	0	189	4	8	0	0	10	147	0	23	2	0	3	0	0	3	0	0	0	0	0	0	0	60	0	0	0	341	73	0	0	0	0	0	0	378	0	0	0	0	0	0	3	0	0	213	0	0	1074	0	0	120	0	0	0	0	0	0	0	0	0	0	2	0	37	616	0	0	0	922	0	0	1	0	0	0	0	0	411	0	181	0	248	0	27	0	0	0	2	16	212	0	0	0	0	0	0	195	121	0	80	0	0	0	0	0	15	144	0	0	73	80	0	0	0	0	0	0	0	0	0	0	0	0	0	0	35	2	0	0	62	0	160	7	2	405	0	0	0	0	102	0	0	0	0	0	54	0	0	0	0	157	0	0	0	447	0	0	0	0	0
0	0	163	0	6	25	3	59	95	137	42	0	0	4	0	0	0	114	3	0	0	0	4	0	0	0	0	327	0	3	0	36	0	0	28	0	0	63	3	18	0	0	0	0	0	2	10	63	0	0	207	0	0	11	0	0	23	0	0	2	95	0	0	5	3	74	0	0	0	0	2	0	29	0	7	76	58	9	0	0	37	0	7	0	10	0	6	2	0	0	0	0	0	0	5	2	0	0	2	4	0	6	18	12	8	0	0	4	0	0	0	3	0	0	0	55	0	4	0	10	0	2	22	6	0	0	0	0	12	0	23	0	0	0	0	0	0	11	0	0	0	11	0	3	0	0	2	0	0	0	175	6	12	0	0	0	0	0	0	2	0	661	0	4	9	110	70	0	0	0	6	0	0	0	0	0	44	0	0	0	0	21	6	638	0	9	0	0	0	0	15	0	7	0	0	0	0	4	3	608	0	0	0	0	0	8	0	0	7	36	1	201	15
110	36	0	2	6	8	9	15	0	0	36	0	652	0	75	0	6	2	0	0	10	6	0	8	0	0	0	13	38	10	77	0	854	0	0	0	71	0	0	0	28	0	3	1048	3	30	65	0	0	0	68	0	4	506	48	36	0	0	0	0	13	8	8	0	10	0	9	53	0	0	3	0	0	127	0	46	0	0	0	23	6	0	0	48	0	75	0	21	2	0	0	0	122	16	0	13	0	32	8	0	93	4	0	24	0	0	70	8	48	0	0	0	8	384	0	0	95	42	0	0	0	79	4	0	4	0	39	0	0	0	1005	0	432	90	32	83	68	0	0	81	18	211	17	0	0	0	0	0	0	673	257	0	236	0	302	55	46	0	7	15	106	0	89	24	5	0	0	0	0	0	25	266	100	0	0	49	0	7	20	0	69	5	29	0	553	14	0	637	51	0	26	0	24	0	4	0	0	3	9	0	0	0	0	37	0	0	86	44	17	0	0	0	0
