,Vil1.03B.DTT33,Vil1.05B.DTT57,Lyz2.07B.DTT281.S123,Vil1.010B.DTT117,Itg.10.DTT455.S49,Lyz2.02B.DTT221.S61,Itg.10.DTT456.S50,Lyz2.06B.DTT269.S111,Lyz2.03B.DTT232.S72,Vil1.09B.DTT105,Itg.20.DTT504.S99,Itg.20.DTT505.S100,Vil1.04B.DTT43,Itg.24.DTT529.S24,Vil1.07B.DTT79,Itg.18.DTT492.S87,Vil1.014B.DTT164,Lyz2.01B.DTT207.S47,Itg.26.DTT541.S37,Itg.02.DTT409.S1,Itg.22.DTT516.S11,Lyz2.04B.DTT243.S84,Itg.06.DTT433.S26,Itg.02.DTT407.S99,Lyz2.08B.DTT291.S133,Itg.24.DTT527.S22,Itg.26.DTT539.S35,Vil1.09B.DTT104,Vil1.02B.DTT21,Vil1.03B.DTT32,Itg.22.DTT517.S12,Vil1.02B.DTT20,Lyz2.04B.DTT244.S85,Vil1.06B.DTT67,Vil1.04B.DTT44,Itg.24.DTT528.S23,Itg.08.DTT444.S37,Itg.12.DTT467.S61,Itg.16.DTT480.S75,Lyz2.02B.DTT219.S59,Itg.12.DTT468.S62,Vil1.04B.DTT45,Lyz2.03B.DTT233.S73,Itg.18.DTT491.S86,Lyz2.07B.DTT280.S122,Itg.06.DTT431.S24,Vil1.07B.DTT81,Lyz2.05B.DTT255.S96,Lyz2.01B.DTT208.S48,Itg.02.DTT408.S100,Lyz2.07B.DTT279.S121,Vil1.013B.DTT152,Vil1.05B.DTT55,Itg.18.DTT493.S88,Vil1.013B.DTT153,Vil1.01B.DTT08,Lyz2.05B.DTT256.S97,Itg.04.DTT421.S13,Vil1.014B.DTT165,Lyz2.08B.DTT292.S134,Vil1.06B.DTT69,Vil1.08B.DTT92,Itg.10.DTT457.S51,Lyz2.06B.DTT267.S108,Itg.16.DTT479.S73,Lyz2.05B.DTT257.S98,Vil1.08B.DTT93,Itg.20.DTT503.S98,Itg.22.DTT515.S10,Vil1.013B.DTT151,Itg.16.DTT481.S76,Vil1.02B.DTT19,Itg.12.DTT469.S63,Itg.08.DTT443.S36,Lyz2.04B.DTT245.S86,Vil1.010B.DTT116,Itg.04.DTT420.S12,Lyz2.02B.DTT220.S60,Lyz2.08B.DTT293.S135,Vil1.07B.DTT80,Vil1.010B.DTT115,Vil1.08B.DTT91,Vil1.014B.DTT163,Vil1.05B.DTT56,Lyz2.01B.DTT209.S49,Vil1.09B.DTT103,Vil1.01B.DTT09,Lyz2.06B.DTT268.S109,Vil1.06B.DTT68,Lyz2.03B.DTT231.S71,Itg.06.DTT432.S25,Itg.08.DTT445.S38,Itg.26.DTT540.S36,Itg.04.DTT419.S11,LYZdtt351,LYZdtt364,SLCdtt050,SLCdtt110,SLCdtt075,SLCdtt019,SLCdtt002,LYZdtt328,SLCdtt021,SLCdtt111,SLCdtt074,LYZdtt304,LYZdtt317,LYZdtt305,LYZdtt329,SLCdtt092,SLCdtt020,SLCdtt128,LYZdtt341,SLCdtt051,LYZdtt340,LYZdtt363,LYZdtt365,LYZdtt315,SLCdtt069,SLCdtt129,SLCdtt109,LYZdtt352,LYZdtt353,LYZdtt316,SLCdtt093,SLCdtt001,LYZdtt303,SLCdtt068,LYZdtt339,SLCdtt003,LYZdtt327,SLCdtt067,SLCdtt163,SLCdtt164,SLCdtt145,SLCdtt146,SLCdtt165,SLCdtt147
2f65298490e0fe48b880145471ec54eb,6241,189,1959,2205,26182,4195,10462,3467,15381,1464,5207,9714,3043,6316,119,4177,4072,4946,6484,12687,2169,31950,40128,6197,16781,6271,6152,1288,7293,2782,3959,3119,4258,0,4700,3601,9246,18058,7823,7319,8202,3729,5348,11870,2363,37622,422,2118,1484,6162,4044,2499,193,6719,4232,2178,1929,41075,6370,5524,753,632,11714,3186,20224,5214,906,30946,21431,4080,8364,5431,8011,5783,3834,2571,7329,6166,11733,260,1182,1038,6879,535,3052,1196,5716,1340,448,23768,16608,6326,3284,7120,114722,759,1160,2845,6270,6146,7225,7619,978,3265,13321,20947,78404,72674,7661,11082,757,1737,32645,757,7706,2316,1688,13046,2018,12017,16514,84975,51159,115133,8804,2713,13146,1428,5674,12073,26099,14280,39511,9025,47223,3537,20682,11901
c42634f8d1aad4956aa9638465e86565,2093,40,2198,5186,7233,340,1549,526,272,3169,108,147,3319,1107,10,7492,2950,790,1389,94,343,1072,6028,696,1479,1202,2405,3577,1392,2074,720,607,199,7,3918,480,10990,12829,12743,928,5791,3228,38,25166,1159,6668,280,3358,149,67,3878,6,22,25438,6,610,3769,2871,6503,426,316,68,1794,490,12125,5319,238,2076,3100,196,14267,812,5272,1966,18,4566,774,341,678,157,968,59,3646,69,241,3164,1485,144,56,1100,3656,6521,812,4065,22137,1092,287,295,143,3693,768,10200,3707,236,404,841,1759,743,18793,334,2641,542,30667,237,5445,4743,4047,1254,740,222,3346,11269,8042,2033,541,297,6431,173,1691,1309,24870,653,6385,1066,17279,1001,8294,8716
5ae5ad642b9c2cc68c4fc59e4902ff63,1266,1,4036,1401,1502,969,422,491,1969,171,5499,5416,811,2267,0,3586,153,1784,1534,841,2726,1920,785,799,957,4777,908,430,3016,3143,2677,1279,2113,1,974,3217,254,1424,4850,3590,3021,977,705,1301,2787,359,8,148,1854,1553,931,0,0,1147,1,456,692,776,173,465,15,105,158,1475,595,649,133,3721,1066,26,1895,119,1392,145,461,1489,252,4103,632,3,2,2,176,4,1675,15,755,784,21,685,3257,106,1824,711,67,1264,5755,1267,25,202,8133,4373,131,1637,88,1611,551,398,3828,1565,336,7307,754,3193,2122,930,984,124,5617,1643,574,51,33,920,2805,226,2667,1940,338,4284,502,1050,3913,938,5022,1691,825,7093
f5fb42e8863737981eb6e04a3de22e29,265,11,239,534,817,223,489,318,427,200,871,629,271,501,0,1605,692,303,547,637,312,537,355,588,826,550,208,216,349,718,474,127,307,0,525,442,721,853,1854,685,1286,951,346,947,267,182,51,347,378,354,221,0,0,1814,12,271,1374,613,444,258,94,125,249,547,672,892,167,469,243,42,878,129,816,167,107,517,163,388,381,27,12,0,360,91,404,23,447,304,58,379,753,487,636,475,672,2096,171,219,250,60,307,4868,582,660,483,2792,2090,406,4088,188,553,403,957,287,1993,2225,4013,217,3437,113,338,535,376,2019,3525,30,2184,286,464,124,492,100,812,874,916,163,385,297
3bffd5a2b1cf48b46d1e51628c3551fc,16,0,13,20,33,13,39,12,19,6,29,14,16,19,0,32,11,3,15,32,12,21,27,19,62,23,18,11,29,30,16,22,13,0,56,32,69,42,43,16,34,39,6,44,9,33,3,22,8,32,19,0,0,31,0,4,20,24,17,14,0,0,10,22,27,21,3,57,33,0,17,9,15,7,5,35,5,34,14,0,0,0,25,0,10,0,13,7,0,4,44,22,6,18,100,125,28,15,0,5,0,0,9,9,31,22,53,32,15,8,33,21,103,27,66,98,73,90,0,0,0,63,53,77,6,4,119,3,16,0,18,0,141,54,88,2,79,7
6d5171bbc6ef97262119e6d152d82164,256,0,40,0,226,16,42,65,16,0,37,281,19,178,0,30,0,101,139,26,42,619,25,0,80,149,31,0,623,0,188,0,15,0,122,29,75,50,146,0,0,74,20,85,0,0,0,35,29,0,114,0,0,57,0,27,0,32,0,0,0,0,647,16,197,35,0,168,115,0,462,11,44,112,41,0,0,19,24,0,0,0,33,0,485,0,41,15,0,224,22,219,36,49,110,42,2,3,1,4,3,50,2,120,3,30,1546,1757,82,2,0,3,3199,3,27,39,155,134,61,17,20,42,1107,52,13,2,130,2,69,4,45,21,4,352,1241,0,2,4
235c319ab46f87d377a28a34ba10bfa1,496,0,148,287,239,74,91,52,269,146,45,80,226,121,0,191,326,89,149,279,60,459,365,130,186,112,106,175,557,472,124,176,89,0,657,72,474,378,312,95,236,621,89,299,98,309,19,303,33,189,133,406,0,255,677,103,177,233,346,64,15,11,75,61,350,209,26,213,311,811,306,101,138,106,56,335,73,56,106,4,41,0,298,24,50,85,231,34,19,142,345,168,65,146,271,110,115,209,24,145,465,391,106,177,41,273,485,201,519,98,152,259,613,113,181,185,210,48,161,380,302,318,110,558,167,117,871,86,104,472,700,87,767,273,292,92,894,411
89c209abd89a5232343a4c87c93cb4ea,20,0,4,16,56,0,6,0,0,4,6,11,10,53,0,0,0,12,36,16,0,25,43,7,182,19,16,6,0,0,0,0,0,0,0,22,24,85,15,4,19,1,0,14,0,28,0,15,0,4,54,0,0,4,0,0,6,31,5,3,0,0,15,6,57,7,0,55,24,0,10,0,25,54,3,20,0,0,0,0,0,0,78,0,0,7,0,0,0,26,16,18,16,22,204,34,0,4,0,0,16,45,4,0,8,93,78,309,81,0,3,0,44,0,12,36,40,100,0,7,6,117,183,111,3,13,92,0,49,28,97,0,172,6,13,0,28,3
f745d265f36ea7eac26d97280e690796,203,0,0,37,570,0,164,0,12,92,9,8,36,0,0,12,0,206,11,3,0,502,19,21,99,87,15,81,7,20,0,0,0,0,13,18,10,503,34,79,205,29,0,97,0,19,0,52,0,6,58,0,0,22,0,8,0,9,0,5,0,0,232,0,1039,0,0,828,55,10,9,0,283,143,0,25,0,9,13,0,0,0,52,0,8,138,25,0,0,277,0,8,0,70,37,7,0,0,14,59,274,10,14,0,63,27,26,24,14,0,15,3,22,0,6,8,13,2252,7,4,4,9,18,10,3,184,187,0,253,30261,176,9,16389,337,22,0,1,30
48082d1ff66a9207ede6bf05e9846d6e,348,0,339,108,542,283,133,157,346,157,202,357,267,385,0,143,291,364,590,567,89,544,787,241,247,242,428,166,351,294,227,192,120,0,525,164,1021,847,444,553,438,354,160,541,170,595,35,497,107,241,287,0,0,524,0,124,293,697,380,169,37,38,139,217,538,363,58,1137,769,36,552,236,352,218,104,122,179,190,267,38,35,13,272,22,185,195,291,94,15,211,526,482,186,355,1018,62,149,136,104,108,185,807,57,59,302,358,1010,574,2030,31,76,163,1158,337,210,838,498,417,168,277,279,969,230,1163,101,53,1844,64,96,150,1903,165,743,325,194,245,1433,1324
