,Vil1.03B.DTT33,Vil1.05B.DTT57,Lyz2.07B.DTT281.S123,Vil1.010B.DTT117,Itg.10.DTT455.S49,Lyz2.02B.DTT221.S61,Itg.10.DTT456.S50,Lyz2.06B.DTT269.S111,Lyz2.03B.DTT232.S72,Vil1.09B.DTT105,Itg.20.DTT504.S99,Itg.20.DTT505.S100,Vil1.04B.DTT43,Itg.24.DTT529.S24,Vil1.07B.DTT79,Itg.18.DTT492.S87,Vil1.014B.DTT164,Lyz2.01B.DTT207.S47,Itg.26.DTT541.S37,Itg.02.DTT409.S1,Itg.22.DTT516.S11,Lyz2.04B.DTT243.S84,Itg.06.DTT433.S26,Itg.02.DTT407.S99,Lyz2.08B.DTT291.S133,Itg.24.DTT527.S22,Itg.26.DTT539.S35,Vil1.09B.DTT104,Vil1.02B.DTT21,Vil1.03B.DTT32,Itg.22.DTT517.S12,Vil1.02B.DTT20,Lyz2.04B.DTT244.S85,Vil1.06B.DTT67,Vil1.04B.DTT44,Itg.24.DTT528.S23,Itg.08.DTT444.S37,Itg.12.DTT467.S61,Itg.16.DTT480.S75,Lyz2.02B.DTT219.S59,Itg.12.DTT468.S62,Vil1.04B.DTT45,Lyz2.03B.DTT233.S73,Itg.18.DTT491.S86,Lyz2.07B.DTT280.S122,Itg.06.DTT431.S24,Vil1.07B.DTT81,Lyz2.05B.DTT255.S96,Lyz2.01B.DTT208.S48,Itg.02.DTT408.S100,Lyz2.07B.DTT279.S121,Vil1.013B.DTT152,Vil1.05B.DTT55,Itg.18.DTT493.S88,Vil1.013B.DTT153,Vil1.01B.DTT08,Lyz2.05B.DTT256.S97,Itg.04.DTT421.S13,Vil1.014B.DTT165,Lyz2.08B.DTT292.S134,Vil1.06B.DTT69,Vil1.08B.DTT92,Itg.10.DTT457.S51,Lyz2.06B.DTT267.S108,Itg.16.DTT479.S73,Lyz2.05B.DTT257.S98,Vil1.08B.DTT93,Itg.20.DTT503.S98,Itg.22.DTT515.S10,Vil1.013B.DTT151,Itg.16.DTT481.S76,Vil1.02B.DTT19,Itg.12.DTT469.S63,Itg.08.DTT443.S36,Lyz2.04B.DTT245.S86,Vil1.010B.DTT116,Itg.04.DTT420.S12,Lyz2.02B.DTT220.S60,Lyz2.08B.DTT293.S135,Vil1.07B.DTT80,Vil1.010B.DTT115,Vil1.08B.DTT91,Vil1.014B.DTT163,Vil1.05B.DTT56,Lyz2.01B.DTT209.S49,Vil1.09B.DTT103,Vil1.01B.DTT09,Lyz2.06B.DTT268.S109,Vil1.06B.DTT68,Lyz2.03B.DTT231.S71,Itg.06.DTT432.S25,Itg.08.DTT445.S38,Itg.26.DTT540.S36,Itg.04.DTT419.S11,LYZdtt351,LYZdtt364,SLCdtt050,SLCdtt110,SLCdtt075,SLCdtt019,SLCdtt002,LYZdtt328,SLCdtt021,SLCdtt111,SLCdtt074,LYZdtt304,LYZdtt317,LYZdtt305,LYZdtt329,SLCdtt092,SLCdtt020,SLCdtt128,LYZdtt341,SLCdtt051,LYZdtt340,LYZdtt363,LYZdtt365,LYZdtt315,SLCdtt069,SLCdtt129,SLCdtt109,LYZdtt352,LYZdtt353,LYZdtt316,SLCdtt093,SLCdtt001,LYZdtt303,SLCdtt068,LYZdtt339,SLCdtt003,LYZdtt327,SLCdtt067,SLCdtt163,SLCdtt164,SLCdtt145,SLCdtt146,SLCdtt165,SLCdtt147
b3111baca54677926264de26b4a9bf7a,0,0,28,20,41,748,60,92,676,9,46,33,3,134,0,105,389,968,123,71,62,527,27,74,54,97,36,25,17,36,62,24,102,0,0,55,46,41,82,796,73,3,45,47,13,22,3,66,2322,75,91,0,0,101,0,94,231,44,130,29,0,16,22,241,34,310,11,20,13,6,54,7,42,32,69,16,40,717,133,9,0,0,212,0,993,0,57,196,0,396,84,12,244,32,38,1807,156,181,8,9,1630,3459,64,149,108,778,63,36,837,24,85,185,829,85,3508,1695,1453,128,394,42,57,49,32,377,41,25,480,360,115,298,69,69,4,47,350,390,16,493
87c1f25ee57f851893eda4c10a460604,337,0,24,10,430,24,197,531,3208,0,132,289,25,707,0,424,452,177,132,1559,936,2515,505,508,392,1284,29,0,283,1410,934,252,2303,0,57,344,795,59,1674,23,114,36,1780,122,46,198,0,323,0,1077,515,0,0,189,0,153,2368,1199,174,124,18,0,52,1053,167,2146,0,140,162,14,1544,83,65,289,1017,53,1806,0,130,0,0,0,230,0,17,0,205,894,57,432,1298,258,71,305,1288,999,0,2733,1036,123,496,8,1395,3275,2413,8140,1305,578,15,6554,929,960,15,6,0,1180,712,988,1092,113,402,1788,2554,1478,2952,69,397,598,5,297,6,222,4581,10869,640,290,751,5
e8ed0e081283c5963ce9860944f651c6,5,0,59,133,263,77,468,242,128,46,402,195,67,256,0,210,203,76,211,159,183,87,62,80,134,251,59,77,108,155,245,98,161,0,89,226,339,307,229,67,608,81,58,213,38,12,15,86,268,152,203,0,0,129,0,97,668,178,358,76,12,141,170,474,48,436,149,123,62,5,102,26,442,68,34,110,48,160,77,4,0,0,92,88,121,13,84,521,3,117,84,160,216,85,170,2987,951,257,401,20,192,913,45,435,2543,245,66,74,552,214,153,458,353,763,1561,983,546,199,498,65,64,263,218,102,436,28,1195,106,48,120,48,74,218,556,207,46,328,360
b3ef12a80d40902556c2fd4de5924438,3,0,5,0,5,6,3,2,14,0,4,0,0,6,0,5,7,7,7,6,0,21,3,2,3,0,3,0,3,5,2,2,3,0,6,3,0,2,12,14,4,6,6,9,3,6,0,0,0,7,4,0,0,4,0,0,0,0,0,0,0,7,0,4,11,3,3,0,11,0,8,0,0,0,0,0,0,3,0,0,0,0,22,0,8,0,5,0,0,4,7,0,0,0,21,29,0,0,0,0,3,20,0,0,8,0,9,15,23,4,3,0,9,0,9,50,40,0,4,0,0,7,15,9,6,0,81,0,0,4,9,4,1,9,15,5,22,12
a30dd65fa0f17c9ffe88b70cc66d024b,0,0,0,5,4,2,6,0,0,0,4,3,9,3,0,3,0,0,0,7,2,0,4,2,3,5,3,3,0,4,3,0,0,0,7,4,3,0,4,4,3,6,2,0,5,3,0,0,0,6,2,0,0,3,0,0,3,4,0,0,0,0,3,3,0,3,0,3,0,0,0,0,0,0,0,7,0,2,0,0,0,0,0,0,0,0,0,2,0,0,3,3,0,0,4,7,3,0,3,0,3,4,0,4,5,0,4,3,8,0,3,5,0,0,0,10,7,0,7,0,0,6,6,10,4,0,12,0,0,0,0,0,0,3,24,3,4,8
4c8288bfbd76958c0c094d87b97650f8,258,14360,95,3057,413,26,0,148,94,13073,38,19,3401,0,16523,67,2794,570,24,250,0,900,40,683,642,239,114,8864,301,126,20,126,15,15076,142,41,52,112,230,83,0,444,25,84,187,107,15604,1209,0,341,3737,3494,25282,29,4220,29,23,0,1381,210,26950,15310,0,90,662,45,17433,462,226,2364,109,329,16,4592,0,8879,0,23,339,12048,18039,21515,2223,21430,30,20483,128,12,19651,642,21,27,26,964,295,920,0,26,26,16,264,721,0,0,125,5519,493,588,666,0,0,0,618,0,408,488,588,5170,16,0,34,350,349,715,0,450,41549,0,2613,390,975,303,4,1,2,1,1,1
fbbeae3dceada6928b2cdc472f5d9901,104,0,17,173,0,0,0,0,21,88,0,0,264,0,50,0,34,55,0,63,0,0,0,293,113,0,34,85,22,144,0,0,0,83,282,0,0,0,56,0,0,220,0,0,29,0,0,97,0,111,455,609,50,0,797,0,0,0,181,0,56,42,0,0,69,0,0,0,61,1156,0,32,0,827,0,174,0,0,19,21,166,82,1150,28,0,218,16,0,43,0,0,0,0,362,1,12,25,11,2,4,7,7,13,19,3,303,5,5,20,2,14,2,6,50,6,8,8,1679,356,4,42,2,4,15,7,5,6476,213,48,13,2,1124,50,1,471,21,1,278
9558d82710beac18e454f983c9db7cca,74,0,272,173,369,383,373,341,525,87,377,375,157,309,0,625,244,234,313,247,253,470,264,193,77,325,93,97,126,255,280,81,226,0,260,349,656,303,502,443,563,292,153,291,155,89,9,75,903,266,183,0,0,376,0,92,314,353,200,213,11,77,147,437,177,250,106,240,96,23,318,35,351,92,73,162,108,1053,306,11,4,8,124,45,379,16,104,373,24,160,387,256,389,108,400,1087,739,314,382,82,421,3315,135,685,1166,612,342,182,1548,374,282,591,1067,413,5449,747,1136,333,1627,83,118,799,852,806,1047,33,2462,502,124,268,138,151,501,277,383,104,378,611
f9130f059b9380b9961aef118b3a529e,88,0,142,72,185,134,257,106,202,35,116,151,151,284,0,348,83,240,182,180,141,231,163,172,52,182,86,53,84,217,197,48,77,0,188,192,301,213,275,502,233,199,95,194,91,65,8,62,394,81,100,0,0,280,0,58,200,201,91,75,16,49,95,206,141,236,49,115,62,11,239,16,220,43,53,63,56,331,124,6,0,5,96,4,302,6,99,160,5,147,223,154,147,110,740,591,259,71,110,24,220,880,92,209,343,445,305,190,663,231,178,125,694,182,1417,756,307,226,849,48,71,817,616,512,426,15,2585,70,58,142,127,24,196,336,213,71,386,349
f0deb5bac19f248fce27d93d918d3464,5,0,26,47,11,6,2,5,3,41,8,9,10,14,0,8,5,8,18,14,3,9,27,6,2,10,21,33,0,11,11,3,5,0,13,13,25,10,10,11,4,24,3,8,14,24,0,3,6,6,9,0,0,10,0,0,0,8,16,5,0,0,0,3,9,6,3,15,12,0,14,0,6,3,3,33,3,5,10,0,0,0,2,0,4,11,2,7,0,0,34,10,8,0,15,19,0,16,5,0,34,7,5,22,24,0,18,17,14,34,5,7,36,0,0,12,26,0,12,12,19,14,17,25,64,4,22,0,0,35,27,7,68,34,3,4,56,12
ad4e760fa406db6470c29766422a47d2,119,1,182,83,263,187,240,44,229,13,56,72,36,263,0,104,121,198,352,167,82,273,321,59,14,158,87,26,19,160,182,25,174,0,156,269,474,213,417,249,208,52,86,92,139,136,4,39,195,185,79,3,1,146,6,9,77,601,65,92,12,1,46,107,208,68,9,103,134,21,316,18,112,27,99,84,277,335,92,6,8,1,37,1,261,8,14,91,3,61,1029,63,246,98,1940,2028,20,10,11,0,19,2205,0,5,18,263,573,1767,2632,11,9,13,532,16,302,1682,1768,791,23,24,10,3258,1322,762,34,0,3706,21,218,112,948,10,375,19,6,7,56,67
292a57429f3bed0adc53c07dc4c62c9f,50,0,109,233,116,29,107,183,77,135,229,183,45,140,0,125,182,49,214,44,117,57,59,36,73,134,35,297,53,135,48,37,74,0,101,147,177,48,169,26,136,61,25,42,101,31,4,13,232,38,131,0,0,34,0,84,89,76,59,131,4,55,39,279,44,70,35,76,15,5,82,1,76,23,27,170,85,52,160,2,2,0,36,8,104,10,60,289,7,39,164,51,145,45,221,1301,22,203,376,0,179,837,0,243,951,1552,812,198,587,0,51,19,546,34,729,468,510,206,73,0,70,548,323,1621,15,0,590,46,72,44,102,37,169,497,248,195,63,277
e5450be8d98da604aa4a1fa0ed722fe1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,0,0,0,3,0,0,0,0,0,0,3,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
49e9cee41713f4c00f8b171ecaff09b5,5,0,47,70,85,15,26,46,27,13,21,17,41,160,0,70,37,26,66,47,50,42,47,56,30,71,30,33,33,74,58,28,52,0,48,113,92,81,51,18,80,38,12,43,32,21,2,21,18,28,43,0,0,64,0,22,46,107,29,21,0,9,14,100,9,61,15,17,27,3,25,11,56,6,20,37,16,25,25,0,0,0,31,4,26,5,24,68,6,11,67,55,75,83,94,345,55,19,21,4,82,241,35,18,160,206,53,55,214,84,62,49,87,58,261,292,135,106,100,17,56,141,72,104,168,3,294,71,0,76,57,18,43,57,87,43,48,116
f5bf4e20e8a4c371b702c2cf491f56e8,7,0,2,2,75,573,44,45,109,0,140,146,22,129,0,405,123,134,93,26,174,194,14,15,10,308,34,0,11,287,73,6,663,0,31,130,130,25,10,786,51,10,5,45,2,10,1,10,447,28,43,1939,0,45,1107,37,54,10,35,1,2,2,18,168,2,68,3,15,7,258,5,1,30,11,230,1,36,433,1,3,0,0,29,1,250,0,20,109,1,211,139,7,116,33,17,908,0,0,304,1,604,2,0,0,771,2463,817,264,12,0,0,0,3118,0,3755,410,319,513,167,0,0,17,54,1694,0,17,721,0,82,118,25,87,2,0,113,372,0,421
18285598fe8215895e323b758326f2e2,0,0,0,16,16,16,26,0,22,6,0,0,7,0,0,0,0,20,0,0,17,23,0,0,5,16,0,14,7,10,13,6,14,0,14,0,11,15,55,26,21,6,4,9,0,0,0,5,22,0,5,0,0,0,0,4,20,0,0,7,0,11,12,0,15,19,12,0,6,0,30,0,15,5,6,23,0,26,9,0,0,0,0,9,16,0,7,0,7,0,0,10,0,0,18,137,38,14,0,0,8,69,5,19,15,15,3,10,59,24,3,45,76,33,136,81,24,0,3,4,4,16,10,25,72,0,42,0,10,18,14,0,1,40,18,3,21,23
9ff8565480eb4d1ae1feec02a0dfce35,2298,13,274,3466,1610,109,526,1293,121,1892,16,11,0,3072,0,129,1986,51,1781,5628,577,1064,690,4415,1902,1307,2856,2866,839,1514,1198,443,214,0,0,1915,518,2138,923,135,1107,10,13,277,219,1052,0,4640,12,2960,904,0,11,17,7,0,3129,2651,2689,385,0,0,597,2668,1448,4584,0,494,4656,130,592,961,1180,560,26,2566,542,106,918,0,572,0,1439,28,17,2342,0,684,7,1014,315,226,1013,648,225,219,45,1126,54,545,84,4427,269,1065,118,569,363,180,11721,138,297,38,522,41,175,206,235,750,576,37,4356,177,172,275,189,92,3674,337,523,361,9959,719,9489,2111,4045,604,11074,6664
028e2c1b650e2e2b5847154a153e0166,12,0,0,10,1,0,0,0,0,11,0,0,0,0,18,0,21,35,0,26,0,201,9,122,646,0,0,0,0,8,0,0,0,29,14,14,0,15,42,0,0,0,0,0,8,15,11,50,0,80,423,23,30,0,13,0,0,20,114,35,0,13,0,22,0,0,11,0,0,106,9,0,0,682,0,20,0,0,75,14,14,25,564,0,0,15,0,7,10,17,0,0,0,387,22,32,0,2,5,5,58,40,0,0,51,0,34,28,51,4,0,0,41,0,19,30,29,28972,3,0,0,26,16,43,0,30,69,0,330,751,43,10,0,0,1344,0,0,0
8fde870b4c3464dbd28fb743c07f36f1,0,0,0,13,0,0,0,0,0,0,0,2,3,4,0,0,0,0,5,0,0,0,0,0,3,0,2,0,0,3,2,0,0,0,0,3,2,0,0,4,2,3,0,2,0,0,0,0,0,0,0,0,0,3,0,0,2,4,0,0,0,0,0,0,2,5,0,4,3,0,4,0,2,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,25,0,4,0,7,3,0,0,0,0,13,0,0,4,0,0,0,0,5,0,0,0,0,0,0,0,5,0,0,6,0,4,10,10,0,0,0,25,0,0,0,0,0,0,0,0,2,0,10
3311c81da0640c29e6d9ed4f0529d3d5,28,0,0,0,9,0,2,0,0,17,0,0,10,5,0,2,5,0,4,30,2,0,3,17,0,3,6,16,2,24,5,2,0,0,8,0,15,8,7,0,4,23,0,3,0,4,0,0,0,7,0,0,0,3,0,0,0,7,24,0,0,0,2,0,4,0,0,0,4,0,15,0,4,0,0,0,3,0,0,0,0,0,0,0,0,3,2,0,0,0,2,26,2,5,0,0,0,12,6,0,28,0,6,10,7,0,0,0,0,12,8,0,0,11,0,0,0,0,28,5,9,0,0,0,15,9,7,0,0,45,0,28,0,2,17,8,0,38
4aa01b032f6f21994f27fd7c9ef08933,0,0,3,2,0,0,2,0,2,0,2,6,3,8,0,5,0,13,9,2,12,7,0,0,2,9,0,0,4,0,5,0,3,0,3,9,4,2,2,4,0,0,2,2,0,0,0,0,4,0,0,0,0,2,0,0,4,3,0,2,0,0,0,5,2,9,0,2,2,0,0,0,0,8,0,2,3,9,2,0,0,0,2,0,7,0,0,8,0,0,3,2,8,0,4,26,4,0,0,0,12,0,4,0,0,0,10,0,0,4,8,12,6,4,6,12,20,0,8,0,0,0,0,0,12,4,0,0,0,0,0,0,0,0,15,4,0,6
cb48af0355580e3a4cfe6d22f05b6b14,139,14,646,277,1781,680,1141,221,1220,69,2803,1569,592,824,319,2824,1111,1265,527,581,581,1135,786,1435,794,833,267,213,280,614,432,127,885,0,539,790,2298,1009,2278,1867,1611,543,321,1051,374,342,43,777,2882,856,1164,3975,11,1392,2661,138,1290,2371,1000,522,86,62,359,1357,381,1041,80,1010,295,11655,1204,49,908,1591,221,246,960,2189,1177,36,0,7,5533,136,1089,3,169,738,89,752,2626,769,771,2245,1029,6603,1942,1163,707,50,931,3470,228,1475,4957,39565,2824,665,1574,1892,483,1800,601,1044,1565,3731,3221,12044,1133,629,713,1494,1191,2944,5636,34,887877,463,228,486,155,355,1381,342,2238,443,396,1658
b08002696e45f7e121334d154e2f5d4a,4,0,11,9,19,1,18,12,9,4,0,0,5,0,0,0,4,22,0,0,14,0,0,0,4,25,0,8,11,18,8,6,0,0,10,0,42,16,0,8,19,8,4,1,8,0,0,6,53,0,14,0,0,0,0,1,30,8,3,9,0,5,8,44,12,20,0,4,9,0,0,4,11,0,0,6,4,12,6,0,0,0,0,0,22,3,6,18,0,7,0,19,0,0,26,0,10,9,0,5,10,0,5,25,0,0,12,12,0,10,13,9,7,1,45,0,0,194,31,1,21,12,14,54,14,0,0,22,7,0,0,0,0,24,10,0,23,5
