"","feature","metadata","value","coef","stderr","N","N.not.0","pval","qval","X","Kingdom","Phylum","Class","Order","Family","Genus","Species","Family_Genus","Phylum_Genus","asterisk","coef_d","tick_colors"
"1","028e2c1b650e2e2b5847154a153e0166","Site","Duo",0.786779822591615,0.215359714663947,278,31,0.000321530897071127,0.00162240360907449,"028e2c1b650e2e2b5847154a153e0166","Bacteria","Firmicutes","Bacilli","Lactobacillales","Enterococcaceae","Enterococcus",NA,"Enterococcaceae : Enterococcus","Firmicutes : Enterococcus","*",0.786779822591615,"forestgreen"
"2","028e2c1b650e2e2b5847154a153e0166","Site","Jej",0.97575625173519,0.211251157387561,278,31,6.47290367064906e-06,4.88936849013106e-05,"028e2c1b650e2e2b5847154a153e0166","Bacteria","Firmicutes","Bacilli","Lactobacillales","Enterococcaceae","Enterococcus",NA,"Enterococcaceae : Enterococcus","Firmicutes : Enterococcus","*",0.97575625173519,"forestgreen"
"3","028e2c1b650e2e2b5847154a153e0166","Site","DC",0,NA,NA,NA,NA,100,"028e2c1b650e2e2b5847154a153e0166","Bacteria","Firmicutes","Bacilli","Lactobacillales","Enterococcaceae","Enterococcus",NA,"Enterococcaceae : Enterococcus","Firmicutes : Enterococcus","",0,"forestgreen"
"4","028e2c1b650e2e2b5847154a153e0166","Site","PC",-0.260861284200373,0.211251157387561,278,31,0.218171240784396,0.39899443680424,"028e2c1b650e2e2b5847154a153e0166","Bacteria","Firmicutes","Bacilli","Lactobacillales","Enterococcaceae","Enterococcus",NA,"Enterococcaceae : Enterococcus","Firmicutes : Enterococcus","",-0.260861284200373,"forestgreen"
"5","028e2c1b650e2e2b5847154a153e0166","Site","Cec",-0.431949683159763,0.211251157387561,278,31,0.042040132166663,0.114687728065477,"028e2c1b650e2e2b5847154a153e0166","Bacteria","Firmicutes","Bacilli","Lactobacillales","Enterococcaceae","Enterococcus",NA,"Enterococcaceae : Enterococcus","Firmicutes : Enterococcus","",-0.431949683159763,"forestgreen"
"6","028e2c1b650e2e2b5847154a153e0166","Site","Ile",0.808615684665906,0.212565034991794,278,31,0.000183127369274163,0.000987451500988135,"028e2c1b650e2e2b5847154a153e0166","Bacteria","Firmicutes","Bacilli","Lactobacillales","Enterococcaceae","Enterococcus",NA,"Enterococcaceae : Enterococcus","Firmicutes : Enterococcus","*",0.808615684665906,"forestgreen"
"7","04af8257d41718f9636b8bbc789b0fcf","Site","Jej",0.479934569867443,0.167682077860804,278,261,0.00460252066313351,0.0174578369980926,"04af8257d41718f9636b8bbc789b0fcf","Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","Marvinbryantia",NA,"Lachnospiraceae : Marvinbryantia","Firmicutes : Marvinbryantia","*",0.479934569867443,"forestgreen"
"8","04af8257d41718f9636b8bbc789b0fcf","Site","PC",-0.0619981209985362,0.167682077860804,278,261,0.711925232006317,0.86246448811338,"04af8257d41718f9636b8bbc789b0fcf","Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","Marvinbryantia",NA,"Lachnospiraceae : Marvinbryantia","Firmicutes : Marvinbryantia","",-0.0619981209985362,"forestgreen"
"9","04af8257d41718f9636b8bbc789b0fcf","Site","Ile",0.197976096225153,0.168748139312677,278,261,0.241947690719701,0.424741507018603,"04af8257d41718f9636b8bbc789b0fcf","Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","Marvinbryantia",NA,"Lachnospiraceae : Marvinbryantia","Firmicutes : Marvinbryantia","",0.197976096225153,"forestgreen"
"10","04af8257d41718f9636b8bbc789b0fcf","Site","DC",0,NA,NA,NA,NA,100,"04af8257d41718f9636b8bbc789b0fcf","Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","Marvinbryantia",NA,"Lachnospiraceae : Marvinbryantia","Firmicutes : Marvinbryantia","",0,"forestgreen"
"11","04af8257d41718f9636b8bbc789b0fcf","Site","Duo",0.237032923540392,0.171009328233424,278,261,0.167085407762357,0.325420435691106,"04af8257d41718f9636b8bbc789b0fcf","Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","Marvinbryantia",NA,"Lachnospiraceae : Marvinbryantia","Firmicutes : Marvinbryantia","",0.237032923540392,"forestgreen"
"12","04af8257d41718f9636b8bbc789b0fcf","Site","Cec",-0.231047413963355,0.167682077860804,278,261,0.169599687786082,0.328450099585722,"04af8257d41718f9636b8bbc789b0fcf","Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","Marvinbryantia",NA,"Lachnospiraceae : Marvinbryantia","Firmicutes : Marvinbryantia","",-0.231047413963355,"forestgreen"
"13","1e65ef9ba16ebcd3b8413c31e58cada1","Site","Cec",0.232974749354183,0.188744960312931,278,226,0.218358773596502,0.39899443680424,"1e65ef9ba16ebcd3b8413c31e58cada1","Bacteria","Firmicutes","Clostridia","Clostridiales","Ruminococcaceae","Butyricicoccus",NA,"Ruminococcaceae : Butyricicoccus","Firmicutes : Butyricicoccus","",0.232974749354183,"forestgreen"
"14","1e65ef9ba16ebcd3b8413c31e58cada1","Site","Jej",-0.272626560132495,0.188744960312931,278,226,0.150005611346592,0.303181053518202,"1e65ef9ba16ebcd3b8413c31e58cada1","Bacteria","Firmicutes","Clostridia","Clostridiales","Ruminococcaceae","Butyricicoccus",NA,"Ruminococcaceae : Butyricicoccus","Firmicutes : Butyricicoccus","",-0.272626560132495,"forestgreen"
"15","1e65ef9ba16ebcd3b8413c31e58cada1","Site","Duo",-0.328442371367731,0.192421349603735,278,226,0.0892108863202454,0.202834764444383,"1e65ef9ba16ebcd3b8413c31e58cada1","Bacteria","Firmicutes","Clostridia","Clostridiales","Ruminococcaceae","Butyricicoccus",NA,"Ruminococcaceae : Butyricicoccus","Firmicutes : Butyricicoccus","",-0.328442371367731,"forestgreen"
"16","1e65ef9ba16ebcd3b8413c31e58cada1","Site","PC",0.514734679983205,0.188744960312931,278,226,0.00688965727861736,0.0246059188522049,"1e65ef9ba16ebcd3b8413c31e58cada1","Bacteria","Firmicutes","Clostridia","Clostridiales","Ruminococcaceae","Butyricicoccus",NA,"Ruminococcaceae : Butyricicoccus","Firmicutes : Butyricicoccus","*",0.514734679983205,"forestgreen"
"17","1e65ef9ba16ebcd3b8413c31e58cada1","Site","Ile",-0.325283742017371,0.189920804253248,278,226,0.0881308040611628,0.202738154300246,"1e65ef9ba16ebcd3b8413c31e58cada1","Bacteria","Firmicutes","Clostridia","Clostridiales","Ruminococcaceae","Butyricicoccus",NA,"Ruminococcaceae : Butyricicoccus","Firmicutes : Butyricicoccus","",-0.325283742017371,"forestgreen"
"18","1e65ef9ba16ebcd3b8413c31e58cada1","Site","DC",0,NA,NA,NA,NA,100,"1e65ef9ba16ebcd3b8413c31e58cada1","Bacteria","Firmicutes","Clostridia","Clostridiales","Ruminococcaceae","Butyricicoccus",NA,"Ruminococcaceae : Butyricicoccus","Firmicutes : Butyricicoccus","",0,"forestgreen"
"19","204736c3bd4a4c1f840e9fc99a5155d2","Site","Duo",0.3592858874133,0.150481808603108,278,106,0.0177801518336344,0.0569095312088712,"204736c3bd4a4c1f840e9fc99a5155d2","Bacteria","Proteobacteria","Deltaproteobacteria","Desulfovibrionales","Desulfovibrionaceae","Bilophila",NA,"Desulfovibrionaceae : Bilophila","Proteobacteria : Bilophila","",0.3592858874133,"firebrick"
"20","204736c3bd4a4c1f840e9fc99a5155d2","Site","Ile",0.112003314706421,0.148530081383418,278,106,0.451585689109491,0.651611988418545,"204736c3bd4a4c1f840e9fc99a5155d2","Bacteria","Proteobacteria","Deltaproteobacteria","Desulfovibrionales","Desulfovibrionaceae","Bilophila",NA,"Desulfovibrionaceae : Bilophila","Proteobacteria : Bilophila","",0.112003314706421,"firebrick"
"21","204736c3bd4a4c1f840e9fc99a5155d2","Site","DC",0,NA,NA,NA,NA,100,"204736c3bd4a4c1f840e9fc99a5155d2","Bacteria","Proteobacteria","Deltaproteobacteria","Desulfovibrionales","Desulfovibrionaceae","Bilophila",NA,"Desulfovibrionaceae : Bilophila","Proteobacteria : Bilophila","",0,"firebrick"
"22","204736c3bd4a4c1f840e9fc99a5155d2","Site","Jej",-0.0330167676501339,0.147612579149682,278,106,0.823214606970645,0.914914429617717,"204736c3bd4a4c1f840e9fc99a5155d2","Bacteria","Proteobacteria","Deltaproteobacteria","Desulfovibrionales","Desulfovibrionaceae","Bilophila",NA,"Desulfovibrionaceae : Bilophila","Proteobacteria : Bilophila","",-0.0330167676501339,"firebrick"
"23","204736c3bd4a4c1f840e9fc99a5155d2","Site","Cec",0.530204959179882,0.147612579149682,278,106,0.000402748647336629,0.00197778353602809,"204736c3bd4a4c1f840e9fc99a5155d2","Bacteria","Proteobacteria","Deltaproteobacteria","Desulfovibrionales","Desulfovibrionaceae","Bilophila",NA,"Desulfovibrionaceae : Bilophila","Proteobacteria : Bilophila","*",0.530204959179882,"firebrick"
"24","204736c3bd4a4c1f840e9fc99a5155d2","Site","PC",0.345001699859125,0.147612579149682,278,106,0.0203020143976381,0.0627309433634884,"204736c3bd4a4c1f840e9fc99a5155d2","Bacteria","Proteobacteria","Deltaproteobacteria","Desulfovibrionales","Desulfovibrionaceae","Bilophila",NA,"Desulfovibrionaceae : Bilophila","Proteobacteria : Bilophila","",0.345001699859125,"firebrick"
"25","235c319ab46f87d377a28a34ba10bfa1","Site","PC",-0.0553759793851151,0.179785088829228,278,270,0.758356918763198,0.885554788364668,"235c319ab46f87d377a28a34ba10bfa1","Bacteria","Proteobacteria","Gammaproteobacteria","Betaproteobacteriales","Burkholderiaceae","Parasutterella",NA,"Burkholderiaceae : Parasutterella","Proteobacteria : Parasutterella","",-0.0553759793851151,"firebrick"
"26","235c319ab46f87d377a28a34ba10bfa1","Site","Jej",-0.0234966372767889,0.179785088829228,278,270,0.896134533505196,0.946015342471896,"235c319ab46f87d377a28a34ba10bfa1","Bacteria","Proteobacteria","Gammaproteobacteria","Betaproteobacteriales","Burkholderiaceae","Parasutterella",NA,"Burkholderiaceae : Parasutterella","Proteobacteria : Parasutterella","",-0.0234966372767889,"firebrick"
"27","235c319ab46f87d377a28a34ba10bfa1","Site","Cec",-0.259636207961861,0.179785088829228,278,270,0.150082771605586,0.303181053518202,"235c319ab46f87d377a28a34ba10bfa1","Bacteria","Proteobacteria","Gammaproteobacteria","Betaproteobacteriales","Burkholderiaceae","Parasutterella",NA,"Burkholderiaceae : Parasutterella","Proteobacteria : Parasutterella","",-0.259636207961861,"firebrick"
"28","235c319ab46f87d377a28a34ba10bfa1","Site","DC",0,NA,NA,NA,NA,100,"235c319ab46f87d377a28a34ba10bfa1","Bacteria","Proteobacteria","Gammaproteobacteria","Betaproteobacteriales","Burkholderiaceae","Parasutterella",NA,"Burkholderiaceae : Parasutterella","Proteobacteria : Parasutterella","",0,"firebrick"
"29","235c319ab46f87d377a28a34ba10bfa1","Site","Duo",0.812962233906097,0.183306798501136,278,270,1.43641289865336e-05,9.71878009570039e-05,"235c319ab46f87d377a28a34ba10bfa1","Bacteria","Proteobacteria","Gammaproteobacteria","Betaproteobacteriales","Burkholderiaceae","Parasutterella",NA,"Burkholderiaceae : Parasutterella","Proteobacteria : Parasutterella","*",0.812962233906097,"firebrick"
"30","235c319ab46f87d377a28a34ba10bfa1","Site","Ile",-0.0827588373121769,0.180912068319336,278,270,0.647784402479107,0.814903753925682,"235c319ab46f87d377a28a34ba10bfa1","Bacteria","Proteobacteria","Gammaproteobacteria","Betaproteobacteriales","Burkholderiaceae","Parasutterella",NA,"Burkholderiaceae : Parasutterella","Proteobacteria : Parasutterella","",-0.0827588373121769,"firebrick"
"31","292a57429f3bed0adc53c07dc4c62c9f","Site","Ile",-0.789425589718734,0.190179077428343,278,130,4.69078598470267e-05,0.000277412074364137,"292a57429f3bed0adc53c07dc4c62c9f","Bacteria","Firmicutes","Clostridia","Clostridiales","Ruminococcaceae","Anaerotruncus",NA,"Ruminococcaceae : Anaerotruncus","Firmicutes : Anaerotruncus","*",-0.789425589718734,"forestgreen"
"32","292a57429f3bed0adc53c07dc4c62c9f","Site","Jej",-0.89658685808425,0.189014235734183,278,130,3.72360634668466e-06,2.96809201547328e-05,"292a57429f3bed0adc53c07dc4c62c9f","Bacteria","Firmicutes","Clostridia","Clostridiales","Ruminococcaceae","Anaerotruncus",NA,"Ruminococcaceae : Anaerotruncus","Firmicutes : Anaerotruncus","*",-0.89658685808425,"forestgreen"
