	IL17.DTT.116	IL17.DTT.117	IL17.DTT.128	IL17.DTT.129	IL17.DTT.140	IL17.DTT.141	IL17.DTT.188	IL17.DTT.189	IL17.DTT.201	IL17.DTT.200	IL17.DTT.218	IL17.DTT.219	IL17.DTT.26	IL17.DTT.27	IL17.DTT.105	IL17.DTT.104	IL17.DTT.50	IL17.DTT.51	IL17.DTT.86	IL17.DTT.87	TKO.DTT.2	TKO.DTT.3	TKO.DTT.44	TKO.DTT.45	TKO.DTT.32	TKO.DTT.33	TKO.DTT.20	TKO.DTT.21	TKO.DTT.56	TKO.DTT.57	TKO.DTT.69	TKO.DTT.74	TKO.DTT.75	TKO.DTT.87	TKO.DTT.92	TKO.DTT.93	TKO.DTT.104	TKO.DTT.105	TKO.DTT.110	TKO.DTT.111	TKO.DTT.123	TKO.DTT.128	TKO.DTT.129	TKO.DTT.140	TKO.DTT.141	TKO.DTT.152	TKO.DTT.153
IL17.DTT.116	0.0	0.7317376392707786	1.3921480580953365	2.9211964208386774	2.336061574854584	2.581812777109395	1.6955983838006128	2.2318589775882907	1.2475757133132022	1.0777873350962743	0.3792007577868796	0.8932205430554299	1.506677748121132	2.997747994684369	1.4936664225905256	0.7770879159845098	1.0916320187257162	1.8061769065375235	0.2281588379307236	0.7359280985423889	2.4488942582296627	2.9889270301939996	2.575952002949067	2.90723125982832	2.850827258755434	2.9516902857991054	2.9763370538279696	3.0538811305036235	2.45978400965706	2.8922642391908826	3.038676179835743	2.7817860997431945	3.5896624020915415	3.729394712109906	2.213752501018636	2.661651460877366	2.3345868888012578	3.069943912534366	2.640820580177339	3.1441147531149873	2.9491967987163292	2.2803727165945835	3.0604532588530917	2.4748936112577598	2.6398771251874527	2.4411009638868166	3.253933210833922
IL17.DTT.117	0.7317376392707786	0.0	1.711728213532456	2.3769249223464852	1.694579917338741	1.8758211320797036	1.2904637979164095	1.5287422169189535	0.807905720498319	1.2034226451637577	0.6484191519637116	0.6688461850850891	0.8085681962992952	2.289552475242797	1.0498958965469274	0.6663193778460655	0.6729963627724881	1.1878581896488682	0.5111201231466609	0.33889646753460256	2.0797885490195105	2.2819410711801145	2.238542598458244	2.378765177445952	2.5202292229196654	2.4668100154441475	2.517914011619389	2.416639190131786	2.072694362057835	2.2193648467791225	2.353173959863173	2.0577763495059775	2.8689241327278285	3.0794174510722914	1.6206139497101673	1.9504559682458396	1.6470242742388865	2.351473418855945	1.9222803039871053	2.421453201801051	2.2577296608023243	1.8736214503648634	2.4583061764525125	1.8015949557524822	1.9492912252673522	1.9176784833710416	2.5590027290490847
IL17.DTT.128	1.3921480580953365	1.711728213532456	0.0	4.009344337486643	3.349039419543793	3.3925726836806267	1.5543711790165242	2.677800541631472	1.438276925972414	0.5648551565983858	1.1393878832230264	1.1659207550362254	2.1398835539009715	3.73161639827723	2.7358556557671037	2.1228161855431114	2.334701772845337	2.8799011426909122	1.47677227726876	1.941171748536712	3.7208162917540752	3.7700347048247185	1.9519535425081997	2.646281820255865	2.16035738235678	2.5783673855961484	2.531128260602902	3.086046088248034	1.9650018245770016	3.0781796913834847	3.2733321825017208	3.3016942940234655	4.256851627958631	3.741488458195477	2.271130356572368	3.090666512591199	2.6937003588821447	3.6059673808134893	3.1135471306857943	3.7811314796255737	3.808322807528294	1.8796184536352956	2.9794600690380504	2.7243747014101634	2.9318519578634556	2.2642253918036914	3.4971817239564498
IL17.DTT.129	2.9211964208386774	2.3769249223464852	4.009344337486643	0.0	0.881089761529893	1.189914424712168	2.965591077745858	2.018583771783682	2.7426033103469614	3.478162655079504	2.957875517568656	2.8772249394504534	2.0249675497378683	1.2949287038349793	1.5175169033013354	2.2384667901593303	1.8819216928978386	1.2694487397421852	2.7218965669857256	2.213053041581188	0.9173272269506169	1.2268200707658803	3.771087616618312	3.3352816360707114	3.990907446513782	3.535403833006614	3.6738877209101823	2.8696134515074334	3.547057832777521	2.5383626122667717	2.4646125623859025	1.8515435079227964	1.7219649592179325	3.185338906050681	2.6814719935190037	2.0163030494104266	2.1516679892682893	1.7971190258732894	1.943952595411348	1.614026714702246	1.042247101029001	3.3607813254228045	3.077549945591003	2.370493211891117	2.308706458255242	3.0649179864210363	2.5343442006285954
IL17.DTT.140	2.336061574854584	1.694579917338741	3.349039419543793	0.881089761529893	0.0	0.5745954822463393	2.2796423839657702	1.3261973421757474	2.0292270152951684	2.7982397337197225	2.327842197729342	2.1908137458569037	1.3004002313465264	0.9581906227672012	1.0054486022801785	1.7022924082121995	1.303330979164862	0.5396909800931365	2.121403078822492	1.6017144635464446	1.1603935404834338	0.8642342123977699	3.083310094580893	2.6952872324674386	3.3171817810007154	2.8928952857768158	3.0164137587851174	2.2796834931310226	2.855599459921378	1.9395969435436777	1.9153589633671793	1.267735328739528	1.5111562593522434	2.703978236577792	1.990376612108136	1.4076298607359263	1.488008212021085	1.370414921293942	1.3172488065900203	1.2252907625675007	0.7115975578025278	2.667168279387873	2.4746466459053633	1.7025811414027978	1.663073408061973	2.3915138874870356	2.0110717153539106
IL17.DTT.141	2.581812777109395	1.8758211320797036	3.3925726836806267	1.189914424712168	0.5745954822463393	0.0	2.115548166755606	0.962646059838839	1.9794883315947607	2.828477845822912	2.491146384312115	2.232347176258439	1.255798923256866	0.4554532810321427	1.4673953825339798	2.0647997721945837	1.6705884293144606	0.9422385100360008	2.3558645146194723	1.8812250797265717	1.7035032729899353	0.40760249150616024	2.788756669561992	2.2775802700745698	2.995148566348968	2.4912879599877917	2.625385966358261	1.7829291432853933	2.5572395970855335	1.4367594218273012	1.3827784113249326	0.7182391566240189	1.0376823848279475	2.1515323931822508	1.6636884704323438	0.902419027592819	1.0933732736850847	0.8008225760207418	0.80839515363065	0.6726795573493315	0.4206893389226106	2.38829717253673	1.9991673008412851	1.2782219848357979	1.1894575463275132	2.0435255952911726	1.4553073789833912
IL17.DTT.188	1.6955983838006128	1.2904637979164095	1.5543711790165242	2.965591077745858	2.2796423839657702	2.115548166755606	0.0	1.2348697462813032	0.49073534765188165	1.0711168466953507	1.3386337328173468	0.8089810817656637	0.9986421821149082	2.357176066480307	2.12941608125608	1.9385205318755623	1.8608892156691867	1.982591637683952	1.5522358140139436	1.5976640362223835	3.017486257932453	2.4320332253821726	0.9818683833582009	1.244669823522865	1.2560686467570845	1.2667003064620392	1.2976751318871613	1.5607116064053523	0.8174853159575215	1.5406948502248203	1.7318125610649806	1.8461986853839325	2.8229446568684122	2.2268903535894458	0.7347728537792967	1.602847522162423	1.20172251341242	2.128493483798097	1.6484923401040659	2.3507655707496515	2.5308789325298626	0.6189830670435755	1.4857933908370327	1.2049415515742752	1.417331306225182	0.7936487615514253	1.9617107690257702
IL17.DTT.189	2.2318589775882907	1.5287422169189535	2.677800541631472	2.018583771783682	1.3261973421757474	0.962646059838839	1.2348697462813032	0.0	1.2474912179090305	2.1257985509352895	2.0123487036230925	1.5971512099465772	0.7333938115091982	1.1429728468837168	1.7251629159190114	2.0026659131606785	1.69772335648531	1.3032674872872463	2.01307203292297	1.699304149824163	2.3536445597418076	1.220325151293741	1.826635625191782	1.3697907596711938	2.0340593098303126	1.567285263718415	1.6929895157630392	1.0433203325513285	1.5952793488682235	0.7553331255150617	0.8434852992903038	0.628775775315232	1.5949933334972393	1.6253939036041332	0.7011282214919623	0.4366710438451073	0.17702558290332363	0.9311474871530993	0.4444903284370401	1.1204503448013698	1.3511416005430534	1.4294002529656864	1.1919022355479796	0.40002475883827854	0.4624719421672059	1.08558721535353	1.0435688623328951
IL17.DTT.201	1.2475757133132022	0.807905720498319	1.438276925972414	2.7426033103469614	2.0292270152951684	1.9794883315947607	0.49073534765188165	1.2474912179090305	0.0	0.8802257559478703	0.915132144803793	0.39446793710580164	0.7420197232873966	2.299373943583455	1.7192877032357228	1.4644835343245823	1.414218707202679	1.6492637072200595	1.0884205225112225	1.127089123583666	2.6737965791177465	2.343291561954274	1.4346099573800477	1.6597565346150644	1.7154993175764277	1.7122047732407542	1.748375581046445	1.8550738330019252	1.2738472769184952	1.7527431515695926	1.9282858935938687	1.8704735505521661	2.8190634767761398	2.5368322676687263	0.9964607028422596	1.6719394757891313	1.2838421782387968	2.1753733598728546	1.686975392054974	2.343062830283	2.3995708157172433	1.0768211158850796	1.8316996188760482	1.356601757888872	1.5534898539586286	1.1937118847567219	2.153794910457275
IL17.DTT.200	1.0777873350962743	1.2034226451637577	0.5648551565983858	3.478162655079504	2.7982397337197225	2.828477845822912	1.0711168466953507	2.1257985509352895	0.8802257559478703	0.0	0.7351012058309635	0.6090082004942529	1.5770549909968765	3.169338552824934	2.2454161512989073	1.7061018413833968	1.8566610939069084	2.3428522242673697	1.0842415031575487	1.4710925492569964	3.2409436202760165	3.205827413781409	1.6798333587631555	2.246784295168972	1.9305301335270224	2.217913458600131	2.197128856912096	2.6114876090957915	1.6317085142090404	2.5696812074374016	2.75913405110981	2.7483047724699303	3.696968901009972	3.282820366588833	1.7702380706471033	2.545091934074355	2.15196334216393	3.0546192947829907	2.5631040986221647	3.2218065226817405	3.2446518099076593	1.5024412559089453	2.532442279913829	2.1980035604294317	2.4021305979483962	1.8251958649606426	2.9837727292040888
