#OTU ID,Itg.04.DTT422.S14,LYZdtt308,LYZdtt307,LYZdtt306,Vil1.07B.DTT84,Vil1.07B.DTT83,Vil1.07B.DTT82,Itg.20.DTT506.S1,LYZdtt319,LYZdtt318,Itg.22.DTT520.S15,Itg.06.DTT436.S29,LYZdtt320,Lyz2.07B.DTT282.S124,Itg.26.DTT542.S38,Lyz2.04B.DTT246.S87,Itg.16.DTT484.S79,Lyz2.02B.DTT222.S62,Vil1.03B.DTT34,Vil1.03B.DTT35,Itg.26.DTT543.S39,Lyz2.06B.DTT270.S112,Lyz2.02B.DTT223.S63,Itg.20.DTT507.S2,Itg.22.DTT519.S14,SLCdtt022,Vil1.08B.DTT94,Vil1.08B.DTT95,Vil1.08B.DTT96,SLCdtt149,SLCdtt148,SLCdtt024,SLCdtt150,Lyz2.08B.DTT295.S137,SLCdtt166,SLCdtt168,SLCdtt167,Lyz2.02B.DTT224.S64,Vil1.013B.DTT156,Vil1.013B.DTT154,Vil1.013B.DTT155,Lyz2.06B.DTT271.S113,SLCdtt054,SLCdtt053,SLCdtt052,Itg.10.DTT459.S53,Vil1.04B.DTT48,Vil1.04B.DTT47,Vil1.04B.DTT46,Itg.24.DTT530.S25,Itg.16.DTT482.S77,SLCdtt114,SLCdtt113,SLCdtt112,Itg.10.DTT458.S52,SLCdtt006,SLCdtt005,SLCdtt004,Lyz2.07B.DTT283.S125,Itg.18.DTT494.S89,Lyz2.03B.DTT234.S74,SLCdtt132,SLCdtt130,Lyz2.05B.DTT260.S101,Lyz2.01B.DTT211.S51,Vil1.09B.DTT108,Lyz2.07B.DTT284.S126,Lyz2.05B.DTT259.S100,Vil1.010B.DTT118,Vil1.010B.DTT119,Lyz2.06B.DTT272.S114,Vil1.010B.DTT120,Vil1.05B.DTT60,Vil1.05B.DTT58,Vil1.05B.DTT59,Lyz2.08B.DTT296.S139,Itg.18.DTT495.S90,Itg.08.DTT447.S40,Itg.24.DTT531.S26,Vil1.09B.DTT107,Vil1.09B.DTT106,Lyz2.03B.DTT235.S75,SLCdtt070,SLCdtt078,SLCdtt077,SLCdtt076,Lyz2.01B.DTT210.S50,Lyz2.03B.DTT236.S76,Itg.26.DTT544.S40,Vil1.01B.DTT12,Vil1.01B.DTT11,Vil1.01B.DTT10,Itg.18.DTT496.S91,Itg.02.DTT410.S2,Lyz2.05B.DTT258.S99,Vil1.014B.DTT167,SLCdtt096,SLCdtt095,Vil1.014B.DTT168,Itg.12.DTT470.S64,Vil1.06B.DTT70,Vil1.06B.DTT72,Vil1.06B.DTT71,Itg.02.DTT411.S3,Itg.06.DTT435.S28,Itg.22.DTT518.S13,Lyz2.04B.DTT248.S89,Itg.20.DTT508.S3,Itg.04.DTT424.S16,Itg.04.DTT423.S15,LYZdtt356,LYZdtt355,LYZdtt354,Itg.02.DTT412.S4,Lyz2.01B.DTT212.S52,Itg.08.DTT446.S39,Vil1.02B.DTT23,Vil1.02B.DTT22,LYZdtt368,LYZdtt367,Vil1.02B.DTT24,LYZdtt366,Lyz2.04B.DTT247.S88,Itg.06.DTT434.S27,LYZdtt332,LYZdtt331,LYZdtt330,Itg.12.DTT471.S65,Lyz2.08B.DTT294.S136,LYZdtt344,LYZdtt343,LYZdtt342,taxonomy
MF0063,4747.2,10812.61,7534.76,1667.78,2731.33,1834.75,2704.04,2111.3,1194.21,5409.93,4282.91,1375.73,2554.25,10376.01,3448.67,2143,9563.87,1825.02,10558.62,1300.73,4112.97,3099.94,1117.2,3076.76,1296.22,9850.66,4897.58,4494.12,5402.43,20343.71,21496.35,3000.06,16046.81,1053.35,3413.3,15110.83,11753.78,3463.12,5256.61,7040.45,1734.93,3733.32,914.78,3657.2,2293.77,1346.04,2932.39,1892.25,4507.77,2205.93,4927.56,3316.92,1687.91,246.08,1547.07,3828.04,1708.17,473.33,2333.06,6661.48,3365.71,6653.4,1219.03,3005.27,6346.28,3018.77,6725.83,6065.09,5536,6419.23,2234.27,2800.71,3025,4113.5,2210.25,3781.07,4363.84,7439.79,730.3,5504.03,5327.66,1154.22,1055.3,2247.68,1785.66,4528.63,3766.92,1561.68,3457.74,1570.29,1430.55,1752.76,4043.37,3576.01,7760.43,962.28,418.68,329.025,4587.75,9416.66,1981.12,3572.83,3164,812.62,5170.83,3539.72,4186.43,8979.98,2014.37,4079.81,4317.09,2756.28,658.03,2173.43,1621.52,2181.9,3992.93,1521.74,13356.94,11707.4,2548.82,6590.7,2649.24,6281.89,4195.61,9103.67,5823.14,1618.04,1635.24,8892.36,2309.51,3368.24,
MF0020,115541.7,96705.22,140030.08,42582.15,3008.5,2326,2874,28064.07,39169.73,184966.095,39427.075,10837.25,116448.1,34160.375,47365.47,16075.8,34170.525,128706.68,10794.65,7878.625,19893.15,39718.975,55316.1,27855.975,53572.725,31269.2,5199.75,5604.25,5695.125,217627.945,35215.27,6813.3,125679.075,9658,428837.82,143931.675,185645.625,33069.75,46267.805,32457.975,45045.2,22198.55,13755.95,39008.85,43124.85,66263.325,9535,8634.725,13671.15,22181.87,9469.9,27227.1,28486.4,3313.6,76362,47750.8,31868.2,22388.6,4777.23,26232.8,56677.08,29459.4,7455.5,12485.5,36187.15,5928.2,33461.15,8432.875,12370.25,18165.225,7386.025,6606.875,3314.25,6235.725,3116.275,75079.4,34696.725,41466.92,65595.4,11173.9,10938.075,63435.955,11523,52463.975,66832.125,81453.775,44710.55,63767.5,43498.55,31909.325,34748.175,20650.05,47606.95,111407.05,12954.8,26839.175,120132.55,52836.2,29850.33,57723.6,2226.7,3856.875,3329,60871.275,83274.175,22415.4,40566.195,44613.45,76321.475,157100.7,139312.475,69158.145,49006.5,90296.875,70438.3,15645.65,23153.85,12939,26733.145,25669.53,9977.25,18239.025,47448.95,58984.1,36632.695,14750.625,21493.3,28434.9,6665.825,65663.195,31592.425,48508.08,
MF0061,80304.11,76948.67,100467.43,17650.75,2946.33,2184.5,2859.04,13232.05,27453.57,130180.42,30692.89,8386.61,29394.25,33344.2,27407.17,9872.49,32973.84,88277.19,29945.02,6814.84,45474.78,39347.71,38406.29,20596.63,30691.27,35485.99,5124.41,5281.87,5642.68,151107.55,59737.75,9237.08,89119.32,7069.18,280554.85,110903.38,129243.93,25016.18,28323.33,19816,26559.86,16586.92,8785.36,26096.63,28216.02,33674.16,8354.96,6907.83,14330.78,16531.83,10089.39,12213.42,11845.33,1158,35667.74,25137.97,15081,11303,5002.7,29519.19,36982.5,25050.42,5946,15861.32,27426.68,5605.45,36173.94,15655.43,11663.33,14178.69,6179.74,5442.79,3227.75,5612.85,2848.9,52768.61,29639.76,30624.79,34146.51,9948.65,10780.3,41072.31,8115.78,35923.58,44966.01,55488.75,31028.52,41337.35,26104.86,23038.88,24214.79,14582.76,36415.57,81502.68,21303.6,18352.83,70025,32592.67,27758.62,42937.66,2156.32,3781.08,3280.5,37746.2,60152.67,15137.36,25460.87,34291.25,50708.04,107544.49,100509.81,49692.8,21332.7,58829.02,48212.28,10401.32,16995.63,9310.58,30283.68,27216.47,8264.43,16801.2,31747.74,47143.29,49763.22,32533.33,19646.36,14944.07,6597.1,58107.4,19279.54,38580.77,
MF0062,829.8333333,4332.833333,9388.833333,1399.333333,0,0,0,455,4654.333333,5620.333333,2552.5,145.6666667,10998.66667,166.5,3493.333333,698.8333333,358,48.33333333,200.5,0,1501.333333,1241,18.66666667,826.5,2725,1674.333333,0,0,0,395.8333333,111.1666667,254.1666667,504.8333333,35.16666667,10262.16667,7442.833333,6805.5,52.33333333,37.83333333,0,0,1405.333333,660,1165.333333,1975.833333,2222.5,224.5,193.8333333,301.5,857.1666667,90,863.8333333,896.8333333,0,2446.166667,2292.833333,1671,0,32.83333333,1188.833333,1422.5,765,139.3333333,1514.666667,99.33333333,45.33333333,1543.333333,1221.333333,234.3333333,0,572,0,0,0,0,75.33333333,2672.333333,2329.5,9282.666667,0,137.8333333,1529.333333,231.8333333,195.3333333,399.3333333,189.8333333,108,3017,4169.5,54,68.33333333,39.83333333,2613,5177.666667,1913.333333,3969.333333,9169.666667,0,2472.333333,1642.5,0,0,0,3440.833333,863.1666667,807.5,4490.666667,2006,2095.166667,3397.166667,44.16666667,72.83333333,20,3315.333333,105.6666667,753.6666667,773,444.8333333,85.66666667,81.33333333,352.1666667,33,2731.666667,331.5,142.3333333,99.83333333,38.5,1293.333333,91.5,199,12.33333333,95.33333333,
MF0060,62640,47832.74,64293,12091,2680,1811,2679.5,7026,15929,108419,7519,5916,23343.67,16041,8228,4878,15485,84698,3920,3365,4302.34,11640,36303,9795,9472,8024.91,4870.25,4449.5,5364.75,83524,15001.25,2656,36764,5753,234984,67861,97920,20185,4832,5033,6626,5872,1838,7844,13067,17042,2040,2220,3479,4795,2397,3450.75,2641.83,217,17335,7250,3964.75,4472,1813,5525.09,29721,10409,2321,4282.15,20647,2820.08,8763,3092.08,4953,7848.75,2382.99,3121.5,3030.25,4135.75,2277.25,47862,7919.5,8808,19661.84,5364.08,4599.33,36064,4028,32350,41558,47877,25425,33147,9813.08,19988,21476,11926,7843.67,14999,4831,9534.5,18628.5,16810,11437.5,14484,1974.5,3550.75,3140,13104,48592,3742,11983.41,14360,28036,67795,92164,43145,17631,33027,45758,3106,6637,3112,12690,12837,2824,7039,18547,36038,13962,3621,1786,5477,2627,41227,11226,28280,
MF0027,0,2,19,0,0,0,0,0,0,6,0,0,2,0,7,0,164,73,0,0,0,14,26,0,0,11,0,0,0,73,110,5,10,13,6,4,14,37,0,0,0,5,18,29,0,17,0,13,0,0,39,8,7,0,32,4,3,2,0,0,37,13,0,0,0,0,10,0,0,0,6,0,0,0,0,9,0,46,0,0,0,49,0,27,23,4,0,6,0,0,0,0,0,0,0,0,0,0,10,62,0,0,0,0,0,5,0,0,0,0,95,4,2,0,9,0,0,0,168,431,0,222,0,0,2,0,0,26,0,13,3,0,
MF0028,5078.88,15297.49,11875.5,20458.03,2686,1816.75,2668.25,13698.59,1570.18,6316.16,6624.91,1674.28,85362.09,16376.27,7710.8,5533.8,16132.73,13086.16,13341.83,932.1,20899.45,4154.96,9826.02,4726.84,3043.77,13965.19,4853.75,4413,5362,26441.74,29281.13,3137.53,20772.51,2176.03,15632.91,19713.19,20561.76,6730.42,4825.73,10447.9,2081.69,4917.44,5771.09,14447.29,14520.46,2911.38,3406.91,3191.26,5645.39,4431.42,9578.84,6279.11,2771.73,1168.93,8032.48,2158.84,1161.5,893,2194.94,9091.9,6650.46,13216.84,1812.23,3472.54,4697.93,2799.5,10411.2,7522.03,4311,6015.25,2273.27,2724.25,3025,4092,2175.75,12952.16,5892.92,9390.42,1267.17,5080,4415.5,6972.14,1517.11,6450.01,4653.09,5389.33,8172.42,3895.7,8224.06,2277.29,4491.71,3303.65,5225.17,15667,12174,1279.25,466,196.75,6478.5,11732.74,1974.5,3540.5,3141.5,3306.64,8330.83,8377.31,3188.51,12696.64,2436.42,5099.15,9385.52,9624.96,22392.81,9716.22,3870.38,6053.38,5206.31,4997.33,41658.18,37148.86,2743.22,32677.63,5270,8254.08,4947.84,15060.97,20669.65,4719.4,2005.01,9870.31,16368.23,7662.59,
MF0025,1157.78,2475.25,837.95,186.28,2685.33,1810,2655,397.57,161.12,1371.38,423.98,156.3,260.16,439.13,248,229.25,428.12,170.17,424.45,289.02,583,349.32,75.42,505.28,90.79,746.41,4872.41,4415.33,5371.5,354.48,2941.55,32.93,471.25,95.17,149.11,4714.29,1075.35,287.18,2527.78,4505.45,969.07,393.62,37.67,155.82,97.5,100.47,289,474.58,324.9,840.19,196.83,247.09,62.33,4.33,92.92,126.27,86.92,34.33,737.78,385.52,324.53,79.07,19.93,145.47,2784.92,2634.15,329.57,124,4265.33,5914.7,648.72,2667.92,3023.25,4090,2175,290.47,345.78,579,283.4,4902.55,4174.48,117.75,71.8,174.19,170.06,537.48,197.1,65.92,167.22,204.75,170.25,169.16,338.53,94.42,79.67,317.68,13.73,0.93,1945.67,190,1977.83,3544.83,3140,27.33,652.92,467.56,1652.96,269.32,403.1,668.41,355.87,268.07,102.6,104,136.25,67.92,590.7,104.08,1699.44,924.52,467.63,555.34,600.05,381.35,801.83,521.83,410.28,97.38,274.54,1078.57,154.59,378.47,
MF0069,18.25,193.25,195.25,61.75,2680,1810,2655,157,87.25,133.75,67.75,17.5,48.5,77,59.5,10.75,63.25,22,58.75,211.75,352,191.75,23.75,64.75,34.25,27.75,4851.75,4408,5359.5,0.25,0.25,0,0.25,26,0.25,0.25,0.25,50.25,1573.75,1183.25,483,63.25,0,3.75,3.5,21.5,235.5,402.25,167,305.25,15,186.75,9,0,13.75,75.5,40.25,22,409.25,63.25,50.5,0,9,95.5,2603.25,2616.75,60,32,4074.5,5852.5,456.75,2655.25,3023.25,4090,2175,58,106.25,101.5,152,4863.25,4038.25,38.75,0,10.25,13,19.75,28.5,24.25,73.75,156.25,121.75,74.5,73,44.75,12,186.75,0,0,1193,5.5,1973.5,3538.5,3140,12,62.75,52.75,1419.5,83.25,51.5,69,56.5,62,40,58.5,61.75,10.25,165.5,77.75,450,44.75,207,52.5,69.25,147.25,60,106.5,60.75,13.25,49,159,54.25,127.5,
MF0102,594,1331,835,326.615,25,17,0,438,296.25,523,609,173,559.75,736,1013,205,1329.75,171,1001,139,641.025,451,143,565.92,372,2840,0,23,15,7519,1227,276,5239,161.75,1524.75,3982.25,760,338,160,195,36,818,305,1674,591,210,250,218,715,592,1437,437,212,60,220,195,141,113,227,1383,463,898,171,460.5,921,40,2077,1536,277,146,347,20,0,0,0,695,1332,962,187,106,158,127,159,185,76,450,249.46,130,1000.75,310,247,294.5,859,2014,2113,207,33,29,786,804,0,1783.8325,1581,435,655,519,392,1891.5,318,746.075,224.01,256,117,564,182.25,368,447,294,1284,2658.5,341,2287,441,1014,554,2558,1507,305,222,699,427,611,
