#OTU ID,Itg.04.DTT422.S14,LYZdtt306,Vil1.07B.DTT82,Itg.20.DTT506.S1,LYZFP330,Itg.16.FP482.S85,Itg.22.FP518.S21,LYZdtt318,Lyz2.03B.FP234.S82,Itg.26.FP542.S46,LYZFP318,Vil1.02B.FP22,Lyz2.07B.DTT282.S124,LYZFP306,Itg.08.FP446.S47,Itg.26.DTT542.S38,Lyz2.04B.DTT246.S87,Itg.20.FP506.S9,Lyz2.02B.DTT222.S62,Vil1.03B.DTT34,Itg.10.FP458.S60,LYZFP354,Vil1.05B.FP58,Lyz2.06B.DTT270.S112,Lyz2.02B.FP222.S70,LYZFP342,Vil1.09B.FP103,SLCdtt022,Vil1.08B.DTT94,SLCdtt148,Vil1.04B.FP46,SLCdtt166,Vil1.013B.DTT154,SLCdtt052,Vil1.04B.DTT46,Itg.24.DTT530.S25,Lyz2.05B.FP258.S55,Itg.18.FP494.S97,Vil1.13B.FP151,Itg.16.DTT482.S77,SLCdtt112,Itg.10.DTT458.S52,Itg.04.FP422.S22,SLCdtt004,Itg.18.DTT494.S89,Vil1.01B.FP10,Lyz2.03B.DTT234.S74,SLCdtt130,Itg.06.FP434.S35,SLCFP148,Vil1.010B.DTT118,Lyz2.08B.FP294.S92,SLCFP022,Lyz2.07B.FP282.S80,SLCFP052,Vil1.05B.DTT58,Vil1.06B.FP70,Vil1.03B.FP34,SLCFP166,Vil1.09B.DTT106,Itg.24.FP530.S33,Vil1.14B.FP163,SLCFP112,SLCdtt070,SLCdtt076,Lyz2.01B.DTT210.S50,Itg.12.FP470.S72,SLCFP004,Vil1.01B.DTT10,Itg.02.DTT410.S2,Lyz2.05B.DTT258.S99,Itg.02.FP410.S10,Itg.12.DTT470.S64,Vil1.10B.FP115,Vil1.06B.DTT70,Lyz2.04B.FP246.S43,Itg.22.DTT518.S13,Lyz2.06B.FP270.S68,Lyz2.01B.FP210.S58,SLCFP076,SLCFP070,LYZdtt354,Vil1.07B.FP82,Itg.08.DTT446.S39,Vil1.02B.DTT22,LYZdtt366,Itg.06.DTT434.S27,SLCFP094,LYZdtt330,Lyz2.08B.DTT294.S136,Vil1.08B.FP91,LYZdtt342,taxonomy
MF0063,4747.2,1667.78,2704.04,2111.3,22341.31,8634,2827.035,5409.93,4714.89,7452.75,19149.64,13946.44,10376.01,15719.8,6810.33,3448.67,2143,10743.14,1825.02,10558.62,3731.915,5534.71,3295.56,3099.94,3512.25,1167.44,10515.83,9850.66,4897.58,21496.35,10332.69,3413.3,7040.45,2293.77,4507.77,2205.93,4026.04,1518.33,25947.77,4927.56,246.08,1547.07,823.92,473.33,6661.48,3769.58,3365.71,1219.03,3244,11813.05,5536,1613.83,3578.85,4387.125,3539.67,4113.5,4160.11,3787.37,2824.5,5327.66,567.79,21610.07,3438.415,1055.3,4528.63,3766.92,10151.125,232.08,1752.76,3576.01,7760.43,3209.625,9416.66,11473.58,1981.12,411.92,3539.72,700.66,2133,1379.87,4966.785,658.03,5428.5,2181.9,1521.74,6590.7,6281.89,1952.105,5823.14,1635.24,14238.03,3368.24,
MF0020,115541.7,42582.15,2874,28064.07,46909.85,24263.7,96079.55,184966.095,166177.75,107951.85,54439.6,48251.455,34160.375,148455.225,32526.8,47365.47,16075.8,47174.1,128706.68,10794.65,117163.05,217706.825,84955.75,39718.975,224114.1,47205.15,14430.25,31269.2,5199.75,35215.27,39920.82,428837.82,32457.975,43124.85,13671.15,22181.87,7444.75,79139.4,68981.25,9469.9,3313.6,76362,152495.3,22388.6,26232.8,58200.95,56677.08,7455.5,115508.2,22461.15,12370.25,32412.075,13589.1,19611.25,58714.3,6235.725,28332.4,75599.975,92534.3,10938.075,130244.8,49546.1,15584.325,11523,81453.775,44710.55,72364.05,50068.9,20650.05,111407.05,12954.8,103608.8,57723.6,32133.6,2226.7,43929.675,22415.4,24192.675,224451.9,103916.8,45931.35,49006.5,33576.25,15645.65,12939,18239.025,58984.1,53580.15,21493.3,6665.825,30916.55,48508.08,
MF0061,80304.11,17650.75,2859.04,13232.05,109762.26,49052.84,63961.2,130180.42,97577.66,69959.96,62091.57,45371.54,33344.2,124558.09,29697.91,27407.17,9872.49,44611.23,88277.19,29945.02,66355.49,163749.1,62452.55,39347.71,158082.52,52653.41,28631.33,35485.99,5124.41,59737.75,51413.66,280554.85,19816,28216.02,14330.78,16531.83,12965.83,61481.66,36690.19,10089.39,1158,35667.74,99138.67,11303,29519.19,50839.03,36982.5,5946,102973.04,31788.39,11663.33,27906.18,19393.08,18169.5,37468.01,5612.85,34274.81,62621.69,87610.91,10780.3,84664.37,68366.5,10812.08,8115.78,55488.75,31028.52,62859.75,22926.42,14582.76,81502.68,21303.6,70570.5,42937.66,44148.3,2156.32,19946.13,15137.36,21763.96,154982.65,63575.58,30760.16,21332.7,56660.59,10401.32,9310.58,16801.2,47143.29,31668.84,19646.36,6597.1,40912.7,38580.77,
MF0062,829.8333333,1399.333333,0,455,119.3333333,224.1666667,5597.5,5620.333333,5564.5,5795.333333,123.8333333,2149.666667,166.5,12353.66667,1960.166667,3493.333333,698.8333333,1176.5,48.33333333,200.5,5526,326.3333333,968.3333333,1241,160.3333333,17.16666667,68.16666667,1674.333333,0,111.1666667,700.6666667,10262.16667,0,1975.833333,301.5,857.1666667,1116.5,2653,22.66666667,90,0,2446.166667,1602,0,1188.833333,154,1422.5,139.3333333,1320.666667,145.1666667,234.3333333,118.1666667,0,25.66666667,2577.666667,0,48.16666667,9262.833333,4862.666667,137.8333333,7529,994.1666667,423,231.8333333,189.8333333,108,2667,878,39.83333333,5177.666667,1913.333333,6346,1642.5,1407.166667,0,3561.5,807.5,1149.833333,130.5,302.1666667,1535,20,0,753.6666667,444.8333333,33,331.5,1253.833333,38.5,91.5,136.8333333,95.33333333,
MF0060,62640,12091,2679.5,7026,14055,5497.34,13255,108419,78415,14324,24933,10906,16041,60985,5645,8228,4878,10101,84698,3920,19476,141535,52005,11640,146813,31141,4524,8024.91,4870.25,15001.25,10724,234984,5033,13067,3479,4795,3017.33,5892.33,8760,2397,217,17335,77769,4472,5525.09,32208,29721,2321,63133,11176.18,4953,16583,2694,9161,8343,4135.75,12847,23869,30714,4599.33,15765.84,20942,3326.08,4028,47877,25425,11284,3312,11926,14999,4831,13577,14484,10662,1974.5,10472,3742,5006,147967,59209,11117,17631,18094.59,3106,3112,7039,36038,5290,1786,2627,9400,28280,
MF0027,0,0,0,0,3,485,21,6,157,63,285,0,0,241,19,7,0,0,73,0,114,93,42,14,17,0,35,11,0,110,151,6,0,0,0,0,10,0,143,39,0,32,0,2,0,11,37,0,0,3,0,0,10,0,0,0,46,0,258,0,0,364,45,0,4,0,152,6,0,0,0,0,62,63,0,16,5,0,65,20,94,2,479,0,0,222,0,0,0,0,214,0,
MF0028,5078.88,20458.03,2668.25,13698.59,28697,18104.34,6867.04,6316.16,6828.64,10466.02,23061.07,18146.68,16376.27,31532.76,7091.46,7710.8,5533.8,17326.66,13086.16,13341.83,3760,11130.25,4395.04,4154.96,4097,19269.75,20253.49,13965.19,4853.75,29281.13,11997,15632.91,10447.9,14520.46,5645.39,4431.42,3889,8985.75,48168.72,9578.84,1168.93,8032.48,994.8,893,9091.9,10904,6650.46,1812.23,14762.33,19919.68,4311,7965.75,5328.5,4612,4557.01,4092,11932.01,4682,5884.84,4415.5,1209.66,30522.5,4686.83,1517.11,5389.33,8172.42,12193.25,977.17,3303.65,15667,12174,4294.8,11732.74,28309.99,1974.5,1790.67,8377.31,1375.34,3067.4,1615.13,4918.93,22392.81,28877.34,6053.38,4997.33,32677.63,8254.08,2475.01,20669.65,2005.01,20612.16,7662.59,
MF0025,1157.78,186.28,2655,397.57,374.92,576.5,46.33,1371.38,217,146.17,3937.25,259.4,439.13,664.9,46.33,248,229.25,1616,170.17,424.45,133,365.98,273.78,349.32,51.75,46.83,1667.66,746.41,4872.41,2941.55,573.58,149.11,4505.45,97.5,324.9,840.19,39,44.33,19057,196.83,4.33,92.92,2.5,34.33,385.52,96.33,324.53,19.93,64.83,1936.73,4265.33,127.82,18.07,16.5,273.92,4090,895.08,225.7,322.95,4174.48,51.87,3165.87,106,71.8,537.48,197.1,186.83,22.33,169.16,94.42,79.67,25,190,2831.7,1977.83,113.5,467.56,21.58,98.75,27.33,1297.33,102.6,717.25,67.92,104.08,555.34,381.35,161.06,410.28,274.54,3472.35,378.47,
MF0069,18.25,61.75,2655,157,137.25,1.5,1,133.75,2,3,76.25,3,77,99.5,0,59.5,10.75,5,22,58.75,1,166.25,1966.75,191.75,3.25,37.5,1,27.75,4851.75,0.25,4.75,0.25,1183.25,3.5,167,305.25,0,2.5,41,15,0,13.75,2.5,22,63.25,2,50.5,9,2,490,4074.5,1.75,2,1,11.25,4090,86.25,43.5,407.25,4038.25,2.5,3,9,0,19.75,28.5,0,16,74.5,44.75,12,0,5.5,3,1973.5,5.5,52.75,5.25,4.75,1,0,40,2.25,10.25,77.75,52.5,147.25,0,60.75,49,2.25,127.5,
MF0102,594,326.615,0,438,5690,3473,777,523,1322,2337,681,2017,736,10987.5,529.75,1013,205,1132,171,1001,462,417,367,451,399,792.25,125,2840,0,1227,1945,1524.75,195,591,715,592,789,1079.5,71,1437,60,220,59,113,1383,3381,463,171,3254,1220,277,1012,280.25,325,787,0,780,587,2426.75,158,243.5,1349,794,159,450,249.46,818,119,294.5,2014,2113,1797,804,195,0,247,519,570,318,618,671,117,5459,368,294,2287,1014,115,1507,222,741,611,
MF0026,8474.545,11887.14,0,7802.295,25131.375,18672.045,21242.52,11433.635,9783.83,21398.44,18164.035,16632.835,9663.44,33342.695,10382.87,10227.9,3467.9,16087.49,6666.58,12538.46,21564.12,8147.5,3999.89,4725.59,4263.96,10579.38,10385.745,12788.95,0,25424.26,18399.59,27365.455,10605.325,13150.23,5431.79,4826.27,4462.29,24048.12,33886.735,5136.42,878.465,11910.74,9533.96,3533.915,13067.78,8368.54,4734.73,1675.265,14254.585,16097.635,3372.08,5178.2,4801.525,4085.5,14532.965,2067.25,10324.445,15552.17,14324.905,3271.965,20098.97,30045.91,4869.915,1809.69,4882.315,4175.71,19958.165,9783.5,1728.825,28346,8866.51,24507.75,13390.08,16358.37,0,4637.44,6532.655,4025.02,2745,2330.955,9301.745,11287.03,0,4774.19,3503.165,16461.94,5771.995,13063.525,10379.325,1817.545,17488.075,3969.795,
MF0103,7007.895,2648.36,58.74,3382.23,28061.26,12328,7679.15,8456.21,8793.17,10111.33,27715.795,21116.14,23428.825,22846.805,7887.285,5629.375,3411.875,21686.805,15948.5,4594.86,3422.375,7903.425,2684.975,4350.625,4520.25,1364.99,24314.445,13436.32,62.07,33637.675,13238.865,18900.93,18127.45,17967.705,4814.31,3257.825,4067.5,2141.66,99690.41,6694.375,399.825,4822.76,1356,753.66,4801.52,8665.47,8281.86,2382.045,8314.99,20372.13,1323.16,3331.445,899.615,3465,7534.09,0,7677.25,4487.235,3304.245,1577.4,1010.45,29021.165,2168.75,1218.54,5911.31,5415.51,6999.535,713.535,2775.725,17301.545,12828.545,4359.125,13478.045,32405.085,11.985,1190.885,5368.525,1059.4,2792.875,1180.91,10029.7,2696.09,6746,4095.885,4647.785,31137.465,9591.715,1551.095,7920.395,2331.38,23096.965,5402.175,
MF0067,86205.5,42431.08,2865.54,28622.48,114249.1,52778.79,71179.16,136476.24,128553.66,95327.31,82283.69,62431.49,44784.85,158132.64,33032.62,42798.72,18833.02,58589.18,95792.95,31725.59,83041.53,163752.01,66764.51,46797.42,159203.12,53044.39,36656.91,49884.63,5144.07,82196.77,56923.82,295855.16,29419.2,36509.3,17372.46,26024.08,12693.08,56727.97,59711.85,16196.38,3256.18,58487.49,100167.56,16817.43,37697.47,52712.06,48288.93,7558.21,102973.04,44996.3,13073.66,29712,19198.57,18297.75,42396,5626.45,37143.88,67178.3,90743.74,12032.42,110355.45,96567.14,18818.78,10394.67,65804.91,42309.17,66384.89,32611.49,17809.14,90293.14,25077.15,73910.8,57130.69,56968.83,2176.85,37088.98,24754.51,25241.94,155556.15,75221.12,40384.09,43258.83,59228.34,16770.91,14508.81,35107.11,52213.54,34970.04,35118.59,8481.61,54593.6,44125,
MF0024,18.25,61.75,2689.77,157,136.25,5,3434.895,133.75,2.25,26.5,76.25,9.33,9490.94,99.5,5343.745,59.5,10.75,13459.49,22,58.75,3171.62,82.25,86.75,2572.965,7,36.5,10157.995,27.75,4878.995,7.17,9.92,18.42,6301.7,3.5,167,305.25,0,7.5,24104.86,15,0,28.75,2,22,63.25,41.75,50.5,1212.765,3,16052.135,4074.5,2.75,3467.15,0,10.25,4101.75,11.25,683.75,11.75,4038.25,5.5,25856.66,0,920.44,296.25,28.5,9070.79,16,74.5,7855.875,6972.01,0,100.25,8.75,1977.31,1101.69,52.75,1352.145,4.25,1200.08,0,40,7,10.25,2537.54,52.5,147.25,0,60.75,1743.045,12,127.5,
