#OTU ID,LYZdtt304,Itg.18.DTT492.S87,Lyz2.04B.FP244.S41,Vil1.07B.DTT80,LYZFP328,LYZdtt316,LYZFP316,Vil1.02B.FP20,Itg.02.FP408.S8,Itg.08.DTT444.S37,LYZFP304,Itg.02.DTT408.S100,Vil1.04B.DTT44,Lyz2.03B.DTT232.S72,Lyz2.05B.FP256.S53,Itg.10.DTT456.S50,LYZFP352,Vil1.05B.FP56,Itg.12.FP468.S70,LYZFP340,Vil1.09B.FP107,Lyz2.08B.FP292.S90,Vil1.08B.DTT92,SLCdtt020,Lyz2.03B.FP232.S80,SLCdtt146,Vil1.04B.FP44,Lyz2.01B.DTT208.S48,Itg.16.FP480.S83,Itg.26.FP540.S44,Vil1.01B.DTT08,Itg.04.DTT420.S12,Lyz2.01B.FP208.S56,SLCdtt164,Itg.18.FP492.S95,Itg.24.FP528.S31,Itg.26.DTT540.S36,Vil1.013B.DTT152,SLCdtt050,Lyz2.06B.DTT268.S109,Itg.10.FP456.S58,Vil1.13B.FP155,Vil1.05B.DTT56,Itg.20.DTT504.S99,SLCdtt110,SLCdtt128,Vil1.01B.FP08,SLCdtt002,Lyz2.06B.FP268.S65,Vil1.010B.DTT116,Itg.22.DTT516.S11,SLCFP146,SLCFP020,Vil1.02B.DTT20,SLCFP050,Vil1.06B.FP68,SLCFP164,Vil1.09B.DTT104,Vil1.03B.FP32,Itg.12.DTT468.S62,Lyz2.08B.DTT292.S134,SLCFP110,Lyz2.04B.DTT244.S85,Lyz2.07B.DTT280.S122,SLCdtt068,SLCdtt074,Itg.04.FP420.S20,Vil1.14B.FP167,Vil1.06B.DTT68,SLCFP128,Itg.16.DTT480.S75,Itg.06.DTT432.S25,SLCdtt092,SLCFP002,Vil1.014B.DTT164,Itg.06.FP432.S33,Vil1.10B.FP119,Itg.22.FP516.S19,Lyz2.07B.FP280.S78,Itg.08.FP444.S45,Vil1.03B.DTT32,SLCFP074,LYZdtt352,Vil1.07B.FP80,SLCFP068,Lyz2.02B.DTT220.S60,LYZdtt364,Lyz2.02B.FP220.S68,Itg.20.FP504.S7,LYZdtt328,SLCFP092,Vil1.08B.FP95,Itg.24.DTT528.S23,Lyz2.05B.DTT256.S97,LYZdtt340,taxonomy
MF0019,25249.18,1064.47,1223.45,3023.5,2919.06,3630.41,4393.16,876.97,395.49,1342.42,4208.26,823.58,601.13,1773.79,452.66,788.69,4542.94,2153.91,1465.51,2252.01,467.78,945.97,4053.62,734.4,1632.67,460.65,890.08,3448.2,2255.24,1651.24,413.76,600.14,4657.78,3169.94,1200.7,1234.87,1135.21,7361.77,1799.8,1443.37,885.13,784.08,5448.37,633.92,1149.4,1658.2,1487.55,2157.1,1445.07,3084.26,403.11,1234.5,1733.2,284.1,1886.85,1621.83,2053.39,2669.78,1354.13,1090.49,845.65,703.4,1142.15,734.62,703.8,3192.4,449.27,774.14,5010.68,1879,1727.08,2248.16,1802.42,969.55,1247.42,734.89,658.21,1255.33,738.34,871.87,1034.5,922,4922.22,1271.69,900,2275.22,5696.37,3968.27,1078.14,5748.77,1556.58,5163.39,898.64,2276.68,2312.92,
MF0030,3569,2019,802,27.5,1324.5,2469.5,2084.75,723.5,338.5,1053,2322.25,418.5,600.5,1022,331.5,636,495,2223.5,883,1093.75,414,562,125.5,570,648,359,611.5,2077,1008.5,642,272,384.5,2885,1985,1186,522,732,0,875,855,671,0,91.5,871.5,402,830,724.5,824,842,550.5,515.5,841,569,127.5,409,1361,584.5,227.5,842.5,1306.5,477,197,1047,267.5,523,2391,426.5,15,63.5,165,1722,763,430,365,876,256.5,215,879.5,245,328,765.5,333,1083,670.5,98,1709,5685.75,2036,1077.5,4890.5,748.5,181,700,1378.5,5922,
MF0074,207711.33,48329.83,26141.43,13010.91,66472.09,167872.82,102112.39,33937.96,18254.21,45508.11,108786.7,21864.6,20757,47008.45,12155.66,30200.13,54298.9,53489.79,36810.96,64551.94,118161.16,24234.64,21441.99,20040.88,57708.22,19264.12,32655.23,66279.52,62556.54,34040.81,9236.54,22200.94,81113.86,103102.3,58185.26,35689.42,28866.96,16191.33,35861.63,25317.96,28817.34,10344.69,24578.67,34421.85,33480.28,38490.86,28551.82,47441.96,30557.55,29518.28,21464.59,38125.17,24752.45,8932.89,15035.04,46442.68,22440.58,23502.81,44969.83,39808.12,20077.95,11415.87,27897.93,13805.83,15594.49,92962.52,22009.69,8991.78,22103.85,18198.15,75916.37,48310.45,46082.95,16472.98,27233.89,41029.89,99566.82,48602.69,16539.98,25163.83,31433.83,23043.5,146133.7,34118.81,10473.34,51773.05,177440.08,71830,48073.08,156799.92,31091.61,144729.43,31491.4,49947.89,102385.32,
MF0031,11412.7,1417.37,2231.85,9137.33,9930.06,6490.33,14557.83,6410.33,1827.45,5646.23,8068.76,1582.81,2207.63,3285.68,1282.84,1085.46,7717.85,4795.33,3833.55,6981.17,2472.46,1953.01,11654.71,860.29,5246.11,1055.87,5500.95,1053.1,9650.49,5278.08,564.22,1235.39,6717.16,2938.96,5965.77,3636.71,1224.57,6147.69,1648.73,748.66,2905.8,2599.48,16134.54,1146.97,837.45,1437.02,6466.65,1452.13,2112.5,8333.64,639.1,4635.83,3393.27,971.3,3671.46,5332.08,6141.48,7363.12,5331.04,2682.61,1023.87,869.37,914.86,923.88,1056.07,2637.78,1414.07,853.14,14787.09,4202.33,4037.36,3643.91,406.89,1778.98,3526.69,6095.81,2007.21,4359.31,2128.84,5025.38,1593.16,3320.08,7870.56,8630.22,3520.92,1424.76,3791.96,7351.36,5988.48,8095.69,1708.81,2135.14,1319.39,1332.19,1944.36,
MF0075,68986.7,7635.04,2872.35,3199,14608.06,15482.83,18838.16,9146.68,3284.78,8956.39,13599.26,2976.31,4644.96,4992.52,2379.17,3368.63,10110.69,12163,7491.22,9664.01,4207.46,3504.34,4502.04,3252.95,6374.44,2089.2,8239.45,2905.6,14296.99,8183.74,1591.72,2158.39,11268.66,8177.13,12404.1,5754.54,3858.57,3799.69,2979.4,2379.49,4874.96,783.81,5765.04,4723.64,2276.95,3026.35,9221.99,3601.3,4092.84,6508.47,2214.27,7086,5783.1,1440.3,4142.3,11570.92,7857.98,4520.46,8856.37,7696.78,2176.04,1448.7,2025.2,2037.04,2195.4,6408.95,2083.74,912.64,5174.43,4996.5,10824.02,6573.91,1874.39,2688.15,5164.69,7444.48,8796.21,7887.31,2973.34,6655.04,4519,3876.25,11173.38,11916.88,2463.75,3159.09,14480.79,10018.69,10279.98,25414.02,3439.81,10627.64,3532.73,5732.86,10992.19,
MF0072,36828.42,4340.75,10187.25,3330.5,3685.58,116918.58,57780.83,8682.75,4174,6914.5,42101.33,5208.75,4234.25,14091.92,1474.75,9009,7141.08,4870.75,5918.75,12745.58,28295.58,11637.67,4785.75,1764.42,46631,1690.25,7693.59,4695,7899,7047.25,2390.25,8101,12061.25,11531.83,7285.5,9930.75,3264.5,3910,5490.33,3309.75,12567,9247.67,5993.83,5518.75,1709.67,3084.42,8936.92,7433.33,4993.58,5219,2760,8237.25,2006.42,2337.5,2288.58,6500.67,6735.17,3941.58,9156.41,6179.25,5744.92,653,4360.75,2839.42,2174,13786.75,12946,16000.25,5463.58,7159.08,8434.25,17806.25,10026.67,3437.83,3984.08,24037,41878.67,11129.25,5041,5846,4063.5,10785.08,86882.5,4113.17,5421,8021,16849.75,30236.75,16372.75,11025.58,17748.25,112561.17,4683.5,3960.75,12127.5,
MF0073,120646.86,25456.69,11620.89,3511.24,35492.68,39802.65,46478.6,22217.17,13690,25420.55,45505.81,12879.39,11506.02,17714.72,8078.25,14312.94,26669.78,34411.39,22201.89,29733.58,41870.89,9427.94,7264.2,11608.37,12293.15,10238.62,19619.04,26944.15,34136.57,24364.12,4206.95,9556.05,30275.13,66634.19,29008.96,22598.4,16084.92,7857.44,23126.03,15709.49,13603.64,2979.48,6961.46,17261.69,19524.13,22053.96,16367.6,25517.06,19929.24,14868.96,12336.25,22905.55,13868.27,4668.22,10441.31,30691.16,19151.26,11615.03,29460.04,21306.03,10689.7,7371.64,13847.77,7173.96,10300.73,44424.37,7366.31,4434.89,5992.09,10256.23,38791.47,20277.47,20109.79,9783.64,15825.85,15040.62,37987.71,29574.86,7956.83,14910.32,18329.5,8866.57,36180.45,20068.97,6939.85,17506.14,73606.11,24080.17,24892.63,67689.6,13407.67,16473.89,18062.85,27518.43,57590.93,
MF0070,37686.04,6758.37,15464.15,3387.83,11147.93,122009.39,69654.75,19695.09,9485.25,15263.73,46761.48,7657.81,7155.78,18880.47,2395.34,11834.36,10754.27,7332.14,15388.3,18147.34,39197.38,12988.84,4800.71,1921.87,60300.41,5091.37,15632.34,3352.9,18672.74,15735.03,3026.62,8757.89,15888.56,13332.28,24426.47,17075.06,4756.77,7273.94,3803.8,2610.16,25955.9,46584.06,6014.21,6573.12,4294.88,3422.7,15281.44,10315.9,6731.17,7749.39,2993,27218.88,6305.25,4151.3,5720.23,8631.92,16222.01,4888.54,13863.12,11287.36,6618.21,2060.97,5256.86,3171.21,2811.97,17612.13,14625.07,49405.39,5482.26,12509.75,13257.8,19557.31,12962.62,9507.4,6599.36,30088.71,54223.29,21821.36,6485.34,16051.58,5176.16,15066.9,90559.2,17776.05,7478.02,8022.31,4992.36,36457.26,25861.38,15199.61,31013.91,115399.5,5020.44,4524.19,10478.01,
MF0071,168757.905,33732.815,21654.62,6542.365,45486.89,117516.81,84574.695,30505.425,18338.75,35444.05,72390.27,17557.265,15624.52,32001.89,8984.625,22335.19,35117.115,38884.52,30980.64,38707.79,73621.955,16454.245,10438.45,13568.035,51999.035,14716.495,26300.125,41524.4,41985.07,31227.12,5517.075,14757.55,52117.005,74791.4,45227.615,30990.65,21019.67,12198.065,25919.615,18043.615,36694.115,27207.565,12225.545,24750.69,23952.045,26774.875,21891.77,32950.145,23835.95,19143.585,15794.25,43106.565,16401.935,6873.47,13167.77,34985.83,26058.425,14256.115,34519.205,30577.28,16476.245,8797.39,18459.645,9802,11860.23,61408.37,16895.195,31660.655,10870.55,15894.815,52194.465,32330.595,27662.455,15158.85,20417.06,33423.495,87157.57,42302.36,11128.83,23797.705,20887,17602.91,98414.22,25422.135,9807.01,32965.265,111073.235,47417.545,39718.255,104077.685,40323.91,89771.2,23679.475,29471.805,73081.305,
MF0038,133011.64,32741.19,26174.14,3812.24,44844.93,105719.06,108344.6,37707.94,18934.02,38567.05,92113.31,20860.39,18413.27,38453.14,9630.25,26925.44,37769.78,40453.56,36419.64,45011.83,10300.4,20349.32,8192.45,13714.62,24422.47,15605.12,31975.96,38139.65,44972.82,37137.87,6758.95,17460.05,51683.63,77726.44,41879.52,33611.82,22133.92,8976.25,27450.53,18236.24,24737.74,4597.44,7621.96,26865.94,23152.13,29090.71,26687.77,36404.06,25682.74,19645.21,17004.25,49186.28,16661.22,8822.22,14041.31,35502.83,21766.8,13713.28,39865.62,33958.28,15570.07,8958.14,19995.77,11371.96,13522.73,63157.87,13356.03,2072,6426.59,20478.98,48538.05,39621.47,32415.79,18498.89,21176.6,21634.68,15218,50968.61,12880.45,24704.94,23456,21566.82,90048.59,25608.09,10231.27,33685.39,99781.86,59520.52,50285.13,100398.1,26105.75,34165.25,23804.1,30575.43,79312.93,
MF0039,2583,523.5,408,6,63,1769.5,1100,81.5,182.5,240,1036,108,98,164,19,93,72,162,250.5,728.5,49,43.5,17,125,25,441,121.5,491,229.5,217.5,50.5,123.5,475,116,244,147.5,200,1939,134,166,204,3,1,224,58,78,110.5,800,127,229,227.5,854,161,17.5,74,284.5,34.5,104,324.5,114,47,16,703,22,39,878,91.5,3,3,39,229,239.5,102,355,182,69,199,363,22,78,380.5,150,105,95,29,524.5,1156,207.5,302.5,220.5,236.5,19,235,117,3895,
MF0036,36899.12333,7421.68,4776.766667,3012,9680.081667,26163.665,19512.895,6248.285,4471.383333,7637.278333,16806.595,3528.623333,3637.805,6355.246667,1984.876667,7286.24,7919.036667,8834.711667,7020.01,11382.11167,20631.20833,4220.27,3827.5,5794.58,10244.935,3243.755,6317.403333,15631.25,11224.945,6663.431667,1524.25,4023.63,10618.705,15387.265,13773.65,8188.32,4507.328333,4342.131667,9168.05,4293.516667,6744.6,2055.28,5357.5,4702.605,4992.761667,5914.18,5286.66,9190.451667,5298.346667,4478.52,4412.58,6709.473333,6289.95,1487.195,2792.133333,8991.27,5097.383333,3376.795,8710.296667,8186.42,4463.42,2122.01,3572.325,2223.02,5698.6,12270.185,5619.823333,3698.023333,4917.75,5181.4,13053.96667,7846.74,7491.83,3275.498333,5225.035,8267.41,19491.56667,8913.086667,3400.913333,5083.07,5261.113333,5353.11,20109.775,7189.063333,3511.14,6520.891667,20488.78667,11991.69667,8156.555,21413.67833,7456.553333,8072.415,5205.78,6546.945,20458.40667,
MF0037,46,82.5,27,0,0,137,185.5,113.5,39.5,198.5,105,40.5,185,30.5,45,85,135,153.5,123.5,126,120,48.5,0,88.5,26,12.5,286.5,57,153.5,52.5,14,78.5,66,83,140,50,26,0,66.5,24,75,2046.28,0,30,57.5,49.5,71.5,71,52.5,192.5,29,46.5,182,32,123,82.5,118,66.5,416.5,100.5,21.5,58.5,31,11,0,28.5,169.5,2,6,78,101.5,82,162,214,18.5,98.5,471.5,141.5,29,110,148,21,130,70.5,35,31,236,64.5,120.5,0,334,442.5,41,39.5,140,
MF0034,61898.04,9203.62,2649.85,155.83,16914.48,11915.99,18118.25,11122.59,8332.45,9261.23,12258.93,5478.06,3687.88,4783.27,3866.59,3655.96,9294.77,12276.59,8163.8,8329.34,15643.88,3169.84,466.21,2475.37,6090.11,2517.62,7639.37,2633.6,15369.74,10946.83,982.97,3026.39,9787.91,7702.63,10417.27,12586.96,4040.07,3456.19,3804.4,2613.66,5879.3,829.81,338.71,5062.33,4940.28,4591,7668.49,5668.5,8320.42,6582.14,2189.6,8948.08,6277.85,1608.8,4024.38,13772.42,13607.81,4920.04,12965.12,6973.36,2303.71,2629.87,1913.61,1817.46,2456.07,5910.28,3575.07,2954.89,225.01,5015.75,14299.1,7007.16,3197.22,3723.15,5828.86,7985.31,16479.29,11390.06,3046.84,6684.38,4836.16,3746.5,10321.8,10932.55,3241.42,3934.26,9616.96,10992.11,9580.23,20403.86,4134.56,8519.97,7326.39,6682.94,6343.86,
MF0078,58705.02,12046.61,11307.84,3515.41,20761.48,118589.34,56080.68,11904.43,4621.78,15691.96,56172.51,7005.14,7335.7,19855.27,2733.83,13479.21,20178.37,14143.17,10838.31,29195.67,53438.89,14577.52,6094.78,6315.28,45703.93,6499.7,11422.95,20398.85,21999.07,10987.08,3707.55,10850.8,27628.73,48252.21,19539.09,12308.38,8923.22,5002.69,6683.8,8074.57,13252.45,7431.31,6681.21,9010.96,10129.78,10594.94,13038.9,14023.13,8532.83,8339.04,6290.02,11534.92,7610.7,3227.72,3824.8,11381.91,5704.81,6352.87,13200.71,12589.45,11699.03,2806.87,8379.86,4798.62,3388.16,30843.44,13917.73,3961.89,5764.18,9265.9,24818.27,23642.82,15589.64,4624.31,9506.35,27945.14,43690.46,16631.06,7509.83,9818.03,8431.34,14075.59,100697.46,15997.88,4069.33,16038.92,45434.54,37690.6,18255.73,48915.93,15618.32,113379.64,8427.64,11865.1,34173.36,
MF0035,47794.92,6183.75,2545.85,3151.33,12145.56,11064.66,17191.58,7937.75,2587.95,7869.75,10247.51,2331.31,3445.38,4235.1,1899.75,2720,9467.6,8220.92,5589.3,8735.67,3408.21,2820.75,4233.71,2099.04,5879.11,1914.75,7126.87,3745.5,11728.49,6943.83,1251.5,2399.75,8953.66,5788.71,8750.77,4887.96,2619.07,7197.94,3686,2308.66,3893.3,2898.73,5619.54,5009.25,2601.75,3165.5,7974.57,3871,3551,5580.39,1780.5,5888.08,4474.52,1282.8,4308.96,9157.75,7051.98,3997.87,7660.12,5445.5,1809.67,1316.37,1726.75,1705.38,1770,6146.75,2133.25,965.89,5148.59,4752.08,7923.58,6595.75,3871.25,2446.23,3597.19,6817.81,4559.46,6217.56,2672.34,5861.88,3729.5,3795.83,10207.64,10480.22,3748.92,3389.5,9782.75,9424.86,8912,16499.44,3510.75,5431,2618.5,5100,5968.61,
MF0079,5725,3356,337,3012,2682,4221,1781,1464,705,1531,1523,750,1169,883,669,1032,556,3132,1672,959,880,646,3827.5,1209,407,362,1222,799,2028,1214,550,367,2140,1804,3579,970,1356,873.5,483,644,757,56,5357.5,1806,477,874,1463,743,1021,2219.75,653,1067,1162,269,235,2407,780,2216,1760,2650,555,146,630,564,604,966,243,291,4912.75,203,3855,1609,484,246,1421,533,4395,1801,353,619,1713,146,1167,1354,129,849,4299,946,2221,10035,620,4544,933,2802,4200,
MF0032,1379.75,16.75,0,3012,82.5,178.75,116,1.5,0,13,101,85.25,35.5,23.5,0.75,0,27.75,4.75,0,40,1.5,1,3827.5,0,2,0.25,0,0,1.75,1.5,7.25,0,1.25,0.25,0,0,6.5,873.5,0,3,0,18,5357.5,9.5,6.5,0,10.75,66,1.25,2219.75,0,15.5,0,31.5,13.25,2,2.5,2216,3,0,52.5,0,3.75,46.75,0,31.25,0,54,4912.75,0,57.5,5.25,0,12.75,698.5,0,3,0,0,0,31.5,0,87.5,1.5,0,5.75,230,1.25,1.75,180.25,16.25,7.5,10.25,5.75,102,
MF0076,13998.96,2352.25,6966.5,3143.5,1972.585,59128.62,29402.67,6618.71,3901,4807.75,21332.335,3221.75,2511.375,7932.46,644.46,5345,3859.54,2314.13,5654.625,6771.79,17194.875,5682.5,4178.5,606.21,27584,1978.25,4850.71,1859.75,4355,5499.125,1264.875,3835.75,5864.625,5442,8742.25,6764.625,1771,3092.5,1291.5,1092.335,11488.5,22791,5625.5,2717.875,1460.5,1183.125,4435.71,4184.75,2119.75,3582.625,1190,11589.625,1318.625,1606.5,1019.75,2460.585,4794.5,2924.875,4326.54,4251.375,2893.835,409,2618.25,1282.73,829.085,7526.875,6256.415,23946.125,5143.25,4072.125,4136.54,8608.375,5705,3609.375,2805,11914.5,26426.375,8712.875,2391.75,5376.5,2103.08,5804.625,43621.5,1883.335,2605.5,3994.085,3348.96,15142.21,9909.25,5526.045,13624.75,56753.125,1929.375,1857.79,7545.835,
MF0033,97726.725,17050.095,0,5043.62,23072.98,129705.105,71898.465,21525.92,11905.65,20920.275,62070.97,11720.695,10700.71,24198.38,4971.375,16547.67,21158.555,20414.93,18785.445,27510.455,52783.86,15694.055,8125.975,6956.02,55281.975,8087.56,18640.775,18816.475,25293.91,19210.66,4400.175,12240.775,29128.015,41375.71,25971.83,21383.25,11051.81,8078.47,11886.88,8999.12,23010.87,29312.075,9411.145,13931.795,11838.45,13154.615,17151.57,19482.245,13469.535,12568.23,8269.575,26957.925,9188.67,5041.61,7089.87,18672.75,16182.565,9602.18,22097.515,17903.765,10941.895,4449.12,10652.885,6038.315,6531.315,37349.61,15952.655,27885.195,8391.21,12802.78,27594.25,27000.685,19980.43,9724.735,12241.965,31269.51,57410.565,27207.58,8620.915,15122.76,12205.25,15927.65,104560.59,16479.07,8483.975,18070.72,47731.255,42810.785,29339.765,51937.465,25898.135,119731.155,12463.825,15813.965,41140.415,
MF0077,42237.22333,2338.833333,326.0833333,4051.166667,1818.833333,3015.86,1969.083333,1319.14,508.8333333,1208.166667,2227.833333,745,1182.083333,746.14,487.6666667,692.8333333,557.1666667,2658.556667,1131.583333,875.8333333,989.4166667,455.5,5254.083333,882.25,507.3333333,305.1666667,1387.473333,540.3333333,1542.416667,947.25,374.1666667,355.3333333,1614,1342.416667,2278.5,756.0833333,888.8333333,2058.5,579.3333333,516.9166667,608.5,575,7256.333333,1066.583333,458.5,756.0833333,1246.14,1075.166667,686.6666667,3936.416667,444.8333333,1159.75,968.4166667,316.1666667,400.3333333,2231.223333,1118.833333,3440.25,1831.026667,1606.083333,491.64,191.3333333,428.8333333,552.3333333,461.8333333,814.1666667,256.1666667,382.0833333,6628.166667,464.25,2512.36,1487.666667,660.3333333,471.9166667,2154.25,550,2440.666667,1274.083333,371.8333333,511.5,1461.333333,118.9166667,1102.026667,1168.833333,184.6666667,637.9166667,3126.833333,895.3333333,1418.333333,6542.25,836.1666667,2719.25,708.5833333,1622.833333,2903.5,
MF0029,69542.45,5170.12,2800.1,3137.33,7942.73,12139.58,14085.5,9801.75,2477.7,8067.98,10574.18,3467.06,8393.38,4909.93,2584.09,2979.46,7502.52,11437.25,5500.8,7238.84,9762.13,2446.09,4307.46,3409.37,5632.36,1532.62,12098.53,2588.1,9474.49,5271.08,1539.22,1743.14,8984.16,7101.38,8127.27,4393.96,2749.07,8521.19,3920.4,2447.91,3646.55,8125.06,5799.96,2245.47,3362.53,4757.1,8186.9,6759.3,3331.42,7736.89,1750.6,7029.83,6339.6,2182.3,4592.38,9975.33,12158.56,5385.29,13432.21,5284.36,1875.87,2003.87,2238.11,2269.71,1959.07,4025.28,1701.82,2002.64,5206.01,6426,7017.19,6519.66,2313.97,4469.65,6136.86,4753.56,3652.29,6524.81,3100.84,3801.63,6591.66,1107,10497.89,13247.8,2159.17,2949.51,11170.21,8196.36,4874.98,15305.61,4854.06,5317.72,2691.14,4278.69,6796.11,
MF0041,59398.29333,8863.735,4545.003333,2259.875,9680.081667,15935.165,16020.87,8386.865,5514.441667,8795.49,16806.595,4580.168333,3637.805,7561.656667,2356.256667,6183.12,7919.036667,8834.711667,8647.005,11382.11167,20631.20833,3491.02,2876.9375,3984.696667,10959.44,4270.71,6196.001667,9765.125,11224.945,8933.511667,1524.25,3620.74,10618.705,15387.265,10263.32,8460.29,5521.65,3534.5,7535.44,4381.04,9439.84,3569.365,4034.375,5693.87,7021.455,5927.925,4596.25,11216.995,6322.851667,5027.61,3797.29,11773.13833,5380.06,1889.36,3208.758333,8991.27,6631.218333,3555.215,9747.461667,8243.21,4463.42,2361.505,4617.115,2280.105,3261.22,12270.185,3000.065,5583.898333,3709.1875,3032.365,13881.285,6223.33,6540.23,4786.418333,5473.035,4668.57,20987.11167,9921.043333,2710.985,5947.285,5850.17,3140.96,17004.155,6731.67,2882.07,6545.79,20488.78667,10195.66,10148.68,21413.67833,7456.553333,6491.875,6605.74,6853.78,20475.38,
MF0085,14674.57,1597.4975,5426.25,195.2475,2167.815,74642.805,28974.4425,4911.935,1505.7525,3002.88,27298.8775,2725.5,2468.94,8773.565,520.7525,5528.4975,4611.6225,1714.5075,2286.06,8857.3725,19361.94,8148,478.2525,403.565,31650.5025,1152.7525,4234.9425,1454.5,4463.125,2215.5675,1875,5357.25,7169.75,5365.4375,2341.3775,4581.565,1120.75,864,652.5,926.7525,6696.255,5151.5,441.2525,3013.935,731.7475,1043.3125,6456.315,4566.875,2025.9975,1373.94,882.9975,5290.81,656.0625,1530.25,626.4975,2652.5025,1868.7475,938.685,4360.06,3028.935,3950.505,117.2525,2039.995,1662.7525,739.7525,9320.31,8750.4975,1696.5625,419.2475,4784.8125,5166.1825,12236.25,6755.9975,1589.0625,1791.5025,17166.9975,17377.185,4650.1875,3364,2461.005,2323.495,7899.5625,63804.1875,2521.5025,2364.7525,4586.44,892.1275,21388.6275,9502.75,6094.1925,7860,81470.2475,1639.8075,2193.4975,5984.3775,
MF0086,160201.28,32649.565,34852.515,3680.745,45427.89,262988.98,148505.185,44232.925,23705.875,41723.8,121396.395,22554.14,19690.27,48843.89,9803,32516.065,38902.24,37337.895,38628.64,56043.165,115332.6,30488.73,6473.975,12644.91,115555.525,16376.12,35296,35055.025,51462.82,39120.87,8468.575,23638.55,54704.88,81372.65,55998.96,43761.775,21428.17,10269.69,23161.49,16957.74,48949.015,54594.77,6969.69,27839.94,23249.67,26134.625,33177.395,38458.145,26282.325,18892.835,16186.625,56621.175,19290.56,10358.595,13199.395,34282.705,32784.05,13090.74,42005.205,35695.655,21227.87,8356.39,21560.77,12008.875,12421.855,72131.995,31202.935,61804.765,6150.505,25062.94,53512.59,52879.345,39451.705,19916.35,21839.685,62660.995,131745.125,54901.735,17282.33,32511.445,23243.25,31865.03,204893.32,30665.01,15126.85,34598.64,85049.86,83114.92,59915.63,94050.31,52857.17,240868.43,23702.475,30117.43,72284.555,
MF0083,2362.545,339.33,358.5,14.83,600.67,1629.66,1924.84,203.91,123.67,677.84,1208.67,139.625,248.67,123,71.17,275.33,557.33,249.34,233.83,812.58,132.17,259.75,181.17,166.67,34.67,174.67,623.92,71,447,168.84,58.5,278.25,295,405,179.67,211.17,164,0,256,468.67,365.34,5,104.67,287.33,135.33,123,180.25,346,406.33,714.67,192.33,153.33,406,45.25,126.33,333,106.83,224.33,964.75,207.33,159.085,130.67,496.66,80.71,47.67,603.33,625.58,3,71.83,58.5,326.33,282.25,213.33,413,475.585,91.33,184.33,414,73,261.34,346.66,110,883.67,68.67,90.67,249.67,2148.17,301.67,464.75,1592.34,1121.75,111.33,236.66,263.83,2684.67,
MF0040,51210.59,1782.89,200,3046,1585.69,2490.32,1492.17,920.12,373.43,832.14,2041.835,530.96,778.21,508.93,342.32,554.43,808.665,1799.94,987.57,718.19,664.69,349.96,3967.79,662.67,433.29,211.25,1042.53,434,1415.89,780.64,286.82,208.14,1283.96,948.01,1960,528.29,743.07,1542.64,368.5,348.14,430.71,2273.38,5458.12,945.64,302.665,471.67,941.75,508.33,597.72,2913.32,343.57,816.5,774.25,174.5,546.58,1484.43,415.6,2527.19,1298.04,1408.43,351.5,197.835,329.75,355.71,394,530.25,146.29,579.14,4990.51,353.25,2141.03,870.96,309.81,371.25,1451.12,370.43,2566.53,937.71,185.14,391.29,1076.5,167.25,974.165,1180.6,1552,488.04,2460.29,1030.835,1151.18,5378.15,429.96,2476.46,507.68,1434.46,2340.29,
MF0084,1379.75,16.75,0,3012,82.5,178.75,116,1.5,0,13,101,85.25,35.5,23.5,0.75,0,27.75,4.75,0,40,1.5,1,3827.5,0,2,0.25,0,0,1.75,1.5,7.25,0,1.25,0.25,0,0,6.5,873.5,0,3,0,18,5357.5,9.5,6.5,0,10.75,66,1.25,2219.75,0,15.5,0,31.5,13.25,2,2.5,2216,3,0,52.5,0,3.75,46.75,0,31.25,0,54,4912.75,0,57.5,5.25,0,12.75,698.5,0,3,0,0,0,31.5,0,87.5,1.5,0,5.75,230,1.25,1.75,180.25,16.25,7.5,10.25,5.75,102,
MF0082,2746,304.25,0,3013.5,118.75,1116.75,639,46.75,0,163,663.75,136.5,114.75,139.5,12.75,0,95,78.5,0,426,17.25,36.5,3843,0,23.5,200.5,0,0,71.25,116.5,33.5,0,259.75,30.25,0,0,105.25,1843,0,102.5,0,19.5,5366.5,132.25,48,0,50.75,447.75,81.75,2266.25,0,409.25,0,40.25,52.75,61.5,22.75,2234.75,121,0,110.75,0,368,73.75,0,526.75,0,56.25,4914.75,0,139.25,124.75,0,157.25,815.75,0,8.5,0,0,0,196,0,195,17,0,303.5,897.75,155,133.5,336.5,44.5,17,123.5,71.5,2092.5,
MF0080,17984,2803,690.625,0,0,2498.625,2465.125,2434,2316.125,3389.75,3454.875,1242.625,1557.75,1000.5,640.125,1706.125,2569.875,2423.125,4010.25,5443.375,15188.375,565.625,0,881.625,651.125,1297.125,3406.875,2314.125,6105.875,2823,271.25,472.75,2830.125,1924.75,11059,2343.375,1208.5,0,1698.875,816,4608.125,19286.25,0,929,835.875,1336.25,1266.375,0,1261.625,1060.75,891.375,5271.375,2524.625,412.375,750.875,2151.375,1868.875,712.625,2274.75,2498.375,408.75,430,930.375,393.375,0,1848.5,775.125,16145.625,0,1021.375,2877.875,1194,1966.75,1982.5,1507.25,1685.625,13378,5141.875,961.75,3436.375,1139.75,383.875,3606,2720.625,716.75,1665.625,5068.875,1994.125,2467.875,0,6762.625,2493.625,1181.5,1932.125,5815,
