#OTU ID,LYZdtt304,Itg.18.DTT492.S87,Lyz2.04B.FP244.S41,Vil1.07B.DTT80,LYZFP328,LYZdtt316,LYZFP316,Vil1.02B.FP20,Itg.02.FP408.S8,Itg.08.DTT444.S37,LYZFP304,Itg.02.DTT408.S100,Vil1.04B.DTT44,Lyz2.03B.DTT232.S72,Lyz2.05B.FP256.S53,Itg.10.DTT456.S50,LYZFP352,Vil1.05B.FP56,Itg.12.FP468.S70,LYZFP340,Vil1.09B.FP107,Lyz2.08B.FP292.S90,Vil1.08B.DTT92,SLCdtt020,Lyz2.03B.FP232.S80,SLCdtt146,Vil1.04B.FP44,Lyz2.01B.DTT208.S48,Itg.16.FP480.S83,Itg.26.FP540.S44,Vil1.01B.DTT08,Itg.04.DTT420.S12,Lyz2.01B.FP208.S56,SLCdtt164,Itg.18.FP492.S95,Itg.24.FP528.S31,Itg.26.DTT540.S36,Vil1.013B.DTT152,SLCdtt050,Lyz2.06B.DTT268.S109,Itg.10.FP456.S58,Vil1.13B.FP155,Vil1.05B.DTT56,Itg.20.DTT504.S99,SLCdtt110,SLCdtt128,Vil1.01B.FP08,SLCdtt002,Lyz2.06B.FP268.S65,Vil1.010B.DTT116,Itg.22.DTT516.S11,SLCFP146,SLCFP020,Vil1.02B.DTT20,SLCFP050,Vil1.06B.FP68,SLCFP164,Vil1.09B.DTT104,Vil1.03B.FP32,Itg.12.DTT468.S62,Lyz2.08B.DTT292.S134,SLCFP110,Lyz2.04B.DTT244.S85,Lyz2.07B.DTT280.S122,SLCdtt068,SLCdtt074,Itg.04.FP420.S20,Vil1.14B.FP167,Vil1.06B.DTT68,SLCFP128,Itg.16.DTT480.S75,Itg.06.DTT432.S25,SLCdtt092,SLCFP002,Vil1.014B.DTT164,Itg.06.FP432.S33,Vil1.10B.FP119,Itg.22.FP516.S19,Lyz2.07B.FP280.S78,Itg.08.FP444.S45,Vil1.03B.DTT32,SLCFP074,LYZdtt352,Vil1.07B.FP80,SLCFP068,Lyz2.02B.DTT220.S60,LYZdtt364,Lyz2.02B.FP220.S68,Itg.20.FP504.S7,LYZdtt328,SLCFP092,Vil1.08B.FP95,Itg.24.DTT528.S23,Lyz2.05B.DTT256.S97,LYZdtt340,taxonomy
MF0026,67758.595,14756.46,7066.595,0,17753.8,32759.96,36166.82,12192.735,7044.235,16359.445,26583.415,6437.745,7542.395,10871.18,3420.76,8085.035,15345.38,17031.785,14184.56,16312.405,20803.08,5201.87,0,5777.62,8663.21,6117.745,12778.525,15939.975,18219.835,12972.68,2124.975,4717.525,18716.965,38450.995,22598.765,10547.735,8727.11,5680.245,10406.515,7916.88,11277.44,21733.165,3544.315,9808.56,10093.53,12384.98,8991.07,13857.63,8344.385,6907.015,6709.19,15472.79,7290.235,2538.26,6187.92,0,10605.345,4406.48,13479.1,12510.73,5523.455,3778.955,7221.065,3695.565,5026.95,25719.15,3555.17,23989.695,0,6814.115,19535.63,10550.385,10949.86,6849.02,8187.71,7902.675,25785.32,18499.08,3995.515,10684.23,8675.33,5596.585,19928.89,13264.67,4072.21,11070.655,46043.94,13376.62,16046.765,39526.32,14946.835,10048.285,9017.255,12435.58,31373.925,
MF0103,13623.34,5994.775,6866.975,276.16,26407.11,17571.715,38437.675,18844.395,5126.395,15356.895,23481.81,5037.985,6382.725,10175.455,3922.235,3611.44,22098.335,14451.175,12284.855,19413.755,9065.26,5701.505,589.455,2684.255,14664.605,4817.415,15358.215,7270.1,27347.19,15103.12,2380.965,3685.715,21996.96,9066.315,16435.44,10084.455,4915.42,10645.765,9124.31,3110.405,8412.815,6669.815,448.615,7118.5,3522.825,9733.065,19279.15,13269.46,6472.485,5430.785,3813.53,17959.66,9201.94,3378.685,11614.745,16124.105,16947.505,2037.83,17568.92,9707.465,2972.29,2755.54,4642.645,4402.355,4486.99,7452.36,4073.475,2952.34,575.775,14127.41,12781.16,13146.085,6258.215,7152.06,4130.39,16510.915,4701.885,14158.11,6781.79,13465.295,9462.57,9301.535,23001.625,29253.335,9597.13,7477.505,13129.58,22656.48,21043.13,25808.21,6296.985,13390.47,3830.325,10473.57,6701.73,
MF0067,173887.57,38334.69,30226.14,3878.07,56534.73,196544.98,142309.64,46143.48,27707.5,47298.64,101206.06,23331.94,20985.34,41241.34,10845.47,30028.27,48833.14,46065.18,43920.67,52416.94,82733,23955.76,8496.95,16734.56,76156.15,19069.14,39893.3,40753.25,59009.98,45765.96,7855.05,20714.3,60307.13,84088.94,62999.94,44149.92,23887.12,20958.84,27926.96,20640.96,46708.12,50146.73,7783.46,28808.94,28942.08,27681.78,33295.92,39378.89,29687.75,22374.58,17753.58,61448.68,23342.22,9586.62,19291.22,41868.78,38894.04,15338.99,44438.7,39080.41,18341.39,10736.01,20796.77,11767.3,14177,73836.37,22603.49,53699.14,6752,25560.56,63816,45377.22,36495.94,22553.67,25001.8,45116.44,97077.71,62524.96,15833.43,33966.3,24609.16,25750.05,137431.22,34222.16,14885.51,32806.76,107002.93,69595.64,56829.93,110278.62,52623.17,134367.69,27197.6,35462.96,74296.45,
MF0024,1379.75,16.75,0,3287.035,82.5,178.75,116,2.92,0,13,101,85.25,35.5,23.5,3217.135,7170.035,27.75,4.75,11573.435,40,144.25,5178.87,5581.435,5696.995,6662.21,5395.87,10903.485,0,2.5,3.75,7.25,0,18614.59,84.25,15914.015,8225.11,8221.36,4939.62,0,7829.88,6658.94,2407.79,6216.065,9.5,9640.28,12201.855,15.67,68.5,7796.51,2219.75,0,15.5,6932.11,2279.51,5635.045,2,7475.095,2216,6.08,11235.355,52.5,0,6868.94,3687.94,0,31.25,0,54,5420.585,6064.49,57.5,10423.01,0,12.75,7689.46,0,38.25,13610.705,0,0,31.5,5458.96,87.5,1.5,0,5.75,230,2.5,13186.64,180.25,6618.46,825.75,10.25,12173.455,102,
MF0068,146736.94,32149.69,25357.89,3802.24,43211.26,161473.15,106020.37,36946.43,21719.75,37966.55,88131.56,19633.72,17701.77,36569.06,9204.25,25927.44,35332.61,37856.89,35047.89,42769.66,79883.47,20768.11,7865.95,13421.2,68152.15,14810.37,31060.63,35032.15,44379.82,36068.21,6489.53,17246.55,48648.38,76374.02,50307.96,37094.4,21002.57,10556.69,23112.43,17220.99,38369.38,49606.48,7558.29,24004.76,22701.63,24261.05,26213.94,33233.56,24638.73,19581.71,15203.75,46610.05,17513.77,8030.14,12733.31,33361.83,29330.26,13889.11,37775.95,32490.53,16709.54,8550.31,18544.43,9997.21,11979.49,60993.12,20047.81,53844.39,6494.92,19042.23,49236.72,38271.38,30924.79,16942.3,21258.93,39783.62,98413.88,48256.86,12871.83,29505.06,21111.84,21431.91,123973.36,30120.97,12330.35,29295.89,90276.86,57366.33,46747.88,94665.43,40868.92,132867.64,22857.51,29462.42,67970.43,
MF0101,5825.15,1858.65,439.6,3039,2049.2,2750.35,1653.2,1204.3,529.6,1418,1554.9,681.85,919.5,790.5,437.35,653.2,1226.15,2311.05,1394.4,1278.4,595.1,461.3,3980.5,1153.2,779.4,434.45,1210.5,492.6,2190.35,1408.1,344.65,362,1709.45,1158.45,2321.1,1097,881.5,4604.3,707.4,451.6,594,623.6,5448.5,1088.5,731.7,773.6,1354.15,1084.8,850.45,3776.15,400.2,1520.5,2319.6,245.3,1161.05,2108.4,979.3,2815.6,1728,1709.6,435.7,504.2,440.95,501.75,644.4,815.45,320.2,239.5,4970.75,1340,2545,1094.45,411,892.15,1613.9,666.8,2202.6,1359.6,464.2,875,1238.5,460,1487.9,1624.2,687,643.55,2480,1917.05,1656.05,5790.45,1225.85,2301.1,685.05,1541.15,2478.4,
MF0021,75360.86,17069.615,7593.095,3272.245,12048.48,36225.085,33276.215,8645.215,4411.115,15560.72,27356.97,6688.975,6835.415,13186.225,3133.085,9891.46,12520.07,21683.835,12176.68,10600.755,6391.26,6333.68,5690.62,6452.075,7652.02,5933.785,9248.24,21714.6,11449.155,9692.455,2315.135,6329.72,22890.32,36594.17,11149.93,9101.42,9389.145,9126.315,15682.725,10185.49,8153.625,1553.185,6439.21,16177.84,12593.03,16692.645,6888.525,16081.715,9364.75,8537.34,7477.685,13303.625,5797.15,2570.635,6961.715,16335.995,7590.06,6103.08,12098.585,13399.905,5182.95,4560.37,9229.36,5179.29,6076.49,30271.235,4391.65,8189.765,5594.845,7164.7,20324.98,14597.99,15678.805,6329.855,9375.355,4981.225,12243,14380.685,3385.835,6586.455,9883,4630.045,18085.675,11573.215,2855.75,17074.965,52274.375,16066.355,18315.98,42466.895,12777.315,11709.68,10288.515,14001.52,32963.485,
MF0065,132479.195,23964.94,15596.05,4888.365,27169.625,117459,59343.27,19127.795,11297.75,21717.425,48406.99,10765.445,9830.195,20261.735,5498.375,14492.72,22281.7,26907.87,19251.82,23229.75,52039.135,11546,8197.825,9949.7,55624,9002.745,16001.06,26242.125,24756.82,19321.935,3512.225,9219.025,30328.43,61297.41,28992.885,19575.825,14230.32,9164.565,18452.29,13397.865,29537.295,45804,9315.38,17240.74,17827.91,20684.7,13502.8,24549.18,15280.285,13963.46,11197.925,30941.665,10315.275,4481.11,9068.805,25875.665,15604.045,10412.325,21689.375,18909.78,11842.535,6167.59,12484.395,7084.79,8499.655,38004.945,13048.89,48877,8183.26,10542.325,35834.49,21051.985,19185.045,9981.53,14141.02,25930.19,67171.465,26198.305,7117.665,15590.545,15034.25,12099.75,89150.575,16259.3,6308.085,19558.115,68524.66,31942.335,26455.565,63606.145,33753.05,112346,16865.95,19653.93,48055.105,
MF0022,60730.86,11654.36,6617.84,3288.66,17814.23,23799.84,26939.68,12402.18,4582.28,13764.21,24385.26,5977.64,5594.95,12988.02,2837.33,6952.96,11823.37,14895.17,10976.56,12921.17,3841.64,5265.02,5711.53,6372.78,8347.93,7803.7,9389.95,23012.1,14176.32,10540.08,2631.05,4588.05,22565.48,45791.96,11882.59,7806.88,9498.72,6951.69,13638.05,8574.82,5781.45,780.31,6282.71,12163.96,10752.28,18205.69,10568.15,17597.13,7923.83,8122.79,8435.77,16624.17,5840.45,3320.97,7314.3,10091.91,8949.81,5087.62,12679.71,12679.95,7459.53,3523.37,8599.36,5378.37,5736.41,24105.44,3068.73,559.14,5447.93,8642.65,19408.02,11961.57,9620.89,6358.31,7643.85,8641.64,4509.71,16475.81,4215.33,8079.03,9938.84,6915.09,14002.21,10414.88,3536.58,14908.92,46499.29,15339.85,18106.98,44577.68,7257.82,15765.14,7201.89,12453.85,28747.36,
MF0066,65639.725,11215.22,15459.9,3421.495,12423.8,79166.74,53659.09,18928.715,11092.5,17228.025,41677.12,9132.695,8125.135,18134.245,2760.875,15198.96,13842.35,11593.2,18419.84,18657.25,37396.28,10862.93,5667.495,6926.83,34962.46,7173.81,15632.34,24633,16933.035,16762.185,3443.835,9203.55,21845.565,33640.18,24426.47,17987.7,8371.71,7323.72,10510.65,6464.995,25856.9,42626.655,6397.96,9844.47,9049.855,13050.84,13933.595,14433.115,8831.205,7881.98,8501.5,27560.025,6305.25,4369.235,5507.24,9758.625,14500.42,5413.35,13868.81,17477.67,8545.995,4211.67,8205.86,4085.895,5415.51,28101.41,14037.07,42245.82,5661.345,11051.65,19126.23,19780.19,17295.39,9488.655,8809.76,26339.66,54460.645,28461,6276.665,16051.58,7481.5,15060.9,59952.33,16304.3,6122.83,12687.445,33169.18,31221.555,24918.18,33072.51,26750.365,67720.07,7802.925,10124.465,23657.09,
MF0018,54219.79,13994.87,16568.65,3538.58,37966.26,128628.14,77254.58,28178.17,15900,26565.73,54381.81,11617.56,10991.53,20803.72,6774.09,16098.61,23371.1,16592.72,25706.55,46252.92,124036.71,15070.76,5149.96,6424.54,62108.66,7597.12,23530.04,7253.65,49623.99,25072.78,3624.62,11511.89,23904.81,19806.86,56408.97,28654.06,7863.77,8486.44,6090.38,5304.41,33189.15,48806.98,6159.29,8412.87,8855.8,6293.62,20519.94,12538.23,14281.75,14310.14,5295.75,32539.38,20696.92,5308.55,7446.81,17796.67,24616.93,11226.37,24940.7,19856.36,8301.46,3381.97,6876.61,5272.63,4143.22,24801.13,16733.82,54039.89,5569.09,13703.08,34351.47,26577.81,15038.79,10255.98,13236.44,39186.96,120593.46,32397.86,11873.34,26473.83,8766.66,15934.23,106151.12,33279.97,10348.02,10292.31,14565.61,43135.01,28899.63,38169.94,33126.66,126273.14,8990.69,12214.44,21698.76,
