#OTU ID,Lyz2.04B.FP244.S41,LYZFP329,LYZFP328,LYZFP327,Lyz2.05B.FP255.S52,Itg.02.FP407.S7,LYZFP317,LYZFP316,LYZFP315,Vil1.02B.FP20,Vil1.02B.FP21,Lyz2.06B.FP267.S64,Itg.02.FP408.S8,LYZFP305,LYZFP304,Vil1.07B.FP79,Itg.20.FP505.S8,LYZFP303,Itg.16.FP481.S84,Itg.26.FP541.S45,Lyz2.05B.FP256.S53,Itg.12.FP467.S69,Itg.18.FP491.S94,LYZFP353,LYZFP352,LYZFP351,Vil1.05B.FP56,Vil1.05B.FP57,Vil1.05B.FP55,Itg.12.FP468.S70,Itg.02.FP409.S9,Lyz2.07B.FP279.S77,LYZFP341,LYZFP340,LYZFP339,Vil1.09B.FP107,Vil1.09B.FP106,Vil1.09B.FP108,Lyz2.08B.FP292.S90,Itg.26.FP539.S43,Lyz2.03B.FP232.S80,Lyz2.05B.FP257.S54,Lyz2.04B.FP243.S92,Itg.04.FP421.S21,Vil1.04B.FP44,Vil1.04B.FP45,Vil1.04B.FP43,Itg.16.FP480.S83,Itg.26.FP540.S44,Lyz2.01B.FP208.S56,Itg.18.FP492.S95,Itg.24.FP528.S31,Lyz2.02B.FP219.S67,Lyz2.08B.FP291.S89,Itg.12.FP469.S71,Lyz2.06B.FP269.S67,Itg.10.FP457.S59,Itg.10.FP456.S58,Vil1.13B.FP154,Vil1.13B.FP155,Vil1.13B.FP156,Lyz2.08B.FP293.S91,Lyz2.03B.FP233.S81,Vil1.02B.FP19,Lyz2.01B.FP209.S57,Vil1.01B.FP08,Vil1.01B.FP07,Vil1.01B.FP09,Itg.24.FP527.S30,Lyz2.06B.FP268.S65,SLCFP147,Itg.10.FP455.S57,SLCFP146,SLCFP145,SLCFP021,SLCFP020,Itg.18.FP493.S96,SLCFP049,SLCFP051,SLCFP050,Vil1.06B.FP67,Vil1.06B.FP69,Vil1.06B.FP68,SLCFP165,SLCFP164,SLCFP163,Vil1.03B.FP32,Vil1.03B.FP33,Vil1.03B.FP31,SLCFP109,SLCFP111,SLCFP110,Itg.06.FP433.S34,Itg.04.FP420.S20,Vil1.14B.FP167,Vil1.14B.FP166,Vil1.14B.FP168,Lyz2.01B.FP207.S55,SLCFP129,SLCFP128,SLCFP127,Itg.24.FP529.S32,Lyz2.07B.FP281.S79,Itg.08.FP443.S44,Itg.22.FP515.S18,SLCFP003,SLCFP002,SLCFP001,Lyz2.03B.FP231.S79,Vil1.10B.FP118,Itg.06.FP432.S33,Vil1.10B.FP119,Itg.22.FP516.S19,Vil1.10B.FP120,Lyz2.07B.FP280.S78,Itg.08.FP444.S45,SLCFP019a,Itg.16.FP479.S81,Lyz2.02B.FP221.S69,SLCFP075,SLCFP074,Itg.04.FP419.S19,SLCFP073,Itg.20.FP503.S6,Vil1.07B.FP81,Vil1.07B.FP80,Itg.22.FP517.S20,SLCFP069,SLCFP068,SLCFP067,Lyz2.04B.FP245.S42,Lyz2.02B.FP220.S68,Itg.20.FP504.S7,SLCFP093,SLCFP092,SLCFP091,Vil1.08B.FP96,Itg.06.FP431.S32,Vil1.08B.FP95,Itg.08.FP445.S46,Vil1.08B.FP94,taxonomy
MF0026,7066.595,32077.015,17753.8,26754.775,6280.855,4126.32,47778.89,36166.82,38368.68,12192.735,15627.57,10080.075,7044.235,22207.98,26583.415,11544.195,17135.32,20364.23,16900.475,11946.925,3420.76,13796.665,16410.93,13457.345,15345.38,23913.29,17031.785,21485.37,18994.2,14184.56,8062.195,3164.845,17442.925,16312.405,22034.13,20803.08,14134.355,19286.66,5201.87,7190.75,8663.21,6269.115,13645.58,7534.275,12778.525,15050.59,15056.245,18219.835,12972.68,18716.965,22598.765,10547.735,12804.615,3947.995,17986.315,7507.255,14597.44,11277.44,81233.62,21733.165,19140.655,8195.205,11217.925,13067.615,12967.295,8991.07,11560.135,14485.62,7363.32,8344.385,9133.835,18245.765,15472.79,8817.27,6612.625,7290.235,15337.21,8461.155,9151.675,6187.92,12498.92,0,0,9078.645,10605.345,12361.105,13479.1,18224.785,10113.01,6425.775,6306.74,3778.955,8611.415,3555.17,23989.695,35972.9,18991.685,9034.63,3934.11,6814.115,3346.855,12093.865,0,12191.32,7855.08,9513.875,6849.02,8960.78,8301.18,16985.16,7902.675,25785.32,18499.08,15188.435,3995.515,10684.23,6885.66,9861.105,10694.52,3756.615,5596.585,8458.15,4993.235,12305.81,15799.65,13264.67,16987.82,3411.425,4072.21,4404,6094,13376.62,16046.765,10258.855,14946.835,10429.355,26115.67,5676.57,10048.285,13385.245,14739.765,
MF0103,6866.975,46878.04,26407.11,68774.365,9316.14,5381.925,18867.51,38437.675,43525.79,18844.395,21255.23,11023.575,5126.395,7503.22,23481.81,27181.14,18429.65,26685.955,20184.11,13194.245,3922.235,18231.23,18233.94,13960.195,22098.335,43265.62,14451.175,20420.535,34840.67,12284.855,5004.76,7813.13,17844.225,19413.755,33178.205,9065.26,6767.75,11719.225,5701.505,12988.61,14664.605,5205.185,23597.245,7775.65,15358.215,16293.79,23643.775,27347.19,15103.12,21996.96,16435.44,10084.455,16505.86,7822.34,13644.97,5279.035,12885.755,8412.815,9445.46,6669.815,4032.035,8711.77,20012.415,24796.52,15073.515,19279.15,28022.905,21942.68,6632.055,6472.485,11118.46,20673.775,17959.66,16384.215,8283.375,9201.94,12860.615,18778.115,11644.925,11614.745,22019.32,15747.435,16124.105,9913.975,16947.505,18182.72,17568.92,20698.35,20058.65,10934.475,3972.075,2755.54,10942.02,4073.475,2952.34,3226.05,3671.205,16179.17,5929.475,14127.41,7214.475,9838.695,9308.94,18107.75,10822.42,10413,7152.06,13912.61,16680.38,4500.805,16510.915,4701.885,14158.11,16712.955,6781.79,13465.295,9073.45,15093.475,16441.825,3763.82,9301.535,9137.215,11308.81,22056.12,23702.385,29253.335,12554.43,5293.495,9597.13,11688.43,6406.365,22656.48,21043.13,5059.905,6296.985,7535.185,35251.105,11291.44,13390.47,10638.41,12686.875,
MF0067,30226.14,99092.98,56534.73,102427.17,26321.73,17345.35,173339.76,142309.64,146616.21,46143.48,54179.66,37273.55,27707.5,319168.44,101206.06,31685.01,55695.97,243743.95,52546.45,43401.6,10845.47,48647.13,45005.43,37979.92,48833.14,78767.56,46065.18,58795.56,64493.48,43920.67,30044.66,10885.21,54622.88,52416.94,73599.71,82733,76419.21,84626.04,23955.76,26523.25,76156.15,20731.28,81227.58,31078.85,39893.3,41829.82,49081.71,59009.98,45765.96,60307.13,62999.94,44149.92,43996.63,29922.69,55201.33,25790.98,52452.43,46708.12,188704.89,50146.73,40480.47,29704.36,78039.2,56519.94,40945.44,33295.92,40590.72,50169.84,25530.59,29687.75,29792.2,83523.8,61448.68,41314.61,21494.9,23342.22,42769.07,27011.66,25688.57,19291.22,40408.44,56521.59,41868.78,33203.92,38894.04,37047.87,44438.7,60694.63,39231.48,24334.09,19769.73,10736.01,41626.23,22603.49,53699.14,90376.59,44933.93,35256.86,12510.82,25560.56,17163.08,42143.68,20705.52,40089.06,28132.96,28467.55,22553.67,28648.27,75948.34,83877.33,45116.44,97077.71,62524.96,50598.83,15833.43,33966.3,20959.85,33209.31,57667.39,13914.13,25750.05,27784.85,33122.9,53890.02,45461.95,34222.16,51721.24,12557.83,14885.51,15806.11,23450.92,69595.64,56829.93,37421.34,52623.17,34864.58,101017.31,27710.84,134367.69,39656.92,89823.45,
MF0024,0,141,82.5,167,0,2454.32,80.5,116,111.75,2.92,3.75,9351.075,0,101.25,101,3.83,0,102.75,16007.475,3.75,3217.135,11213.04,7.5,30.75,27.75,94.75,4.75,6.25,8,11573.435,0,3141.72,55,40,84.75,144.25,10874.355,70.25,5178.87,3,6662.21,0,9144.705,7281.15,10903.485,12.58,13235.285,2.5,3.75,18614.59,15914.015,8225.11,12747.99,3914.745,74.5,7163.755,76.75,6658.94,21,2407.79,11.25,8151.33,9188.8,10137.615,1.75,15.67,37.75,29.25,2.75,7796.51,382.75,10376.39,15.5,1.75,8.25,6932.11,12250.71,8113.155,8758.8,5635.045,12478.92,2,2,6660.645,7475.095,1.5,6.08,8.17,16.25,5593.15,5700.99,0,1.75,0,54,2847.4,39.25,0,3568.485,6064.49,2754.73,10493.615,6572.76,4.75,0,8021.125,12.75,36.75,6562.305,63.75,0,38.25,13610.705,4.25,0,0,6639.66,3.25,10569.145,3662.24,5458.96,8285.15,4838.11,9682.435,3.75,1.5,0,0,0,0,5222.75,2.5,13186.64,19,6618.46,5637.605,252,5525.07,825.75,10765.37,1050.75,
MF0068,25357.89,72371.23,43211.26,95122.74,22606.23,14493.76,167657.86,106020.37,116874.59,36946.43,44381.81,29569.2,21719.75,316728.86,88131.56,27905.66,45304.46,228535.46,40713.69,34709.2,9204.25,36885.96,37804.79,28625.91,35332.61,54406.87,37856.89,47482.2,47519.48,35047.89,24770.84,7967.64,45473.63,42769.66,63455.14,79883.47,75178.53,82658.87,20768.11,23198.5,68152.15,18470.83,72245.83,24233.15,31060.63,33586.91,36654.73,44379.82,36068.21,48648.38,50307.96,37094.4,34950.12,26297.89,44694.24,20569.45,43022.77,38369.38,183191.64,49606.48,39900.13,24855.23,69903.66,50037.11,32811.09,26213.94,35570.72,41350.93,21684.23,24638.73,23369.91,77933.89,46610.05,36433.62,16458.4,17513.77,32916.29,17256.56,18587.49,12733.31,30695.51,43305.59,33361.83,25481.92,29330.26,28711.78,37775.95,52369.28,34475.89,17199.66,15538.91,8550.31,36332.55,20047.81,53844.39,91780.92,44506.69,26783.2,9699.2,19042.23,14723.31,35746.77,16238.69,36409.1,24119.14,22374.4,16942.3,21779.61,69161.56,83935.65,39783.62,98413.88,48256.86,51215.52,12871.83,29505.06,15767.35,28923.49,49327.14,11824.27,21431.91,21047.61,27987.56,42845.89,35811.55,30120.97,40525.49,9735.63,12330.35,13420.63,19563.69,57366.33,46747.88,25904.84,40868.92,24787.58,93487.04,23170.2,132867.64,32701.54,88834.03,
MF0101,439.6,3365.2,2049.2,2184.1,574.4,385.8,3698.1,1653.2,1850.05,1204.3,1946.15,1261.2,529.6,3064.15,1554.9,2026.9,1776.8,1290.35,1995.8,1591.7,437.35,1355.8,1405.6,833.95,1226.15,2517.95,2311.05,3534.75,2857,1394.4,760,451.55,1681.2,1278.4,1515.25,595.1,480.6,485.7,461.3,884.45,779.4,1014.9,1540.45,554.4,1210.5,1600.3,1796.5,2190.35,1408.1,1709.45,2321.1,1097,1382.2,485.1,2137.45,533.4,1087.55,594,619.6,623.6,413.85,727.85,1935.95,1620.6,1318.9,1354.15,1589.85,2397.85,788,850.45,2089.55,1117,1520.5,942.75,2469.75,2319.6,2256.5,1778.9,1570.05,1161.05,1952.9,3028.9,2108.4,1164.6,979.3,1582.9,1728,2772.45,1503.4,1905.6,837.7,504.2,762.2,320.2,239.5,394.8,329.25,838.6,602.2,1340,571.6,1309.4,654,1001.5,575.4,1059,892.15,2129.95,1019.05,1440.5,666.8,2202.6,1359.6,1419.1,464.2,875,1733.2,1297.25,1250.85,322,460,636,861.4,1085.8,3404.6,1624.2,1522.6,546.8,687,887,452.5,1917.05,1656.05,1054.6,1225.85,1507.4,3236.35,523.6,2301.1,1453.25,2759.5,
MF0021,7593.095,28373.71,12048.48,7108.835,4404.405,2319.915,45871.6,33276.215,34224.855,8645.215,14476.735,11502.95,4411.115,22940.275,27356.97,7357.415,23234.84,17575.455,12846.415,8518.115,3133.085,10403.9,7373.345,12434.67,12520.07,18028.92,21683.835,26403.455,18334.565,12176.68,6831.395,2578.81,13708.655,10600.755,8891.095,6391.26,4887.865,4329.17,6333.68,3788.67,7652.02,6629.42,10819.16,12269.275,9248.24,14097.935,11353.3,11449.155,9692.455,22890.32,11149.93,9101.42,15907.075,3517.39,14547.34,9212.61,13118.715,8153.625,3713.64,1553.185,1806.335,10585.395,11234.81,6860.695,16896.065,6888.525,5363.255,13044.02,6951.68,9364.75,11694.795,10344.495,13303.625,5078.485,5465.125,5797.15,10288.01,10079.57,13625.55,6961.715,11210.86,24174.06,16335.995,8062.77,7590.06,8214.275,12098.585,18976.375,6909.415,6568.65,8219.615,4560.37,10699.18,4391.65,8189.765,7725.995,7265.995,9993.425,5522.57,7164.7,2910.48,12284.495,9123.115,6402.35,3853.3,9960.75,6329.855,7515.24,6457.07,5676.77,4981.225,12243,14380.685,6650.16,3385.835,6586.455,4886.285,5362.25,12643.26,3869.535,4630.045,15690.22,3919.445,11857.2,15794.33,11573.215,15062.97,3853.22,2855.75,2846.58,7338.675,16066.355,18315.98,11796.685,12777.315,10653.815,39573.37,5945.205,11709.68,12487.83,15609.985,
MF0065,15596.05,52180.78,27169.625,47873.455,11666.24,7492.335,148376,59343.27,74946.65,19127.795,24990.645,18173.575,11297.75,301056,48406.99,14050.5,27156.485,201189,25204.215,18414.935,5498.375,19849.855,21396.885,19666.25,22281.7,34233.96,26907.87,33708.635,28651.895,19251.82,13345.26,4888.89,25679.985,23229.75,32478.53,52039.135,42275.34,44800.265,11546,13462.555,55624,11319.455,56074,13458.275,16001.06,20277.105,18621.66,24756.82,19321.935,30328.43,28992.885,19575.825,22998.2,19251,24126.495,13740.11,24979.605,29537.295,177605,45804,35782,14261.24,53460.105,30662.925,22337.39,13502.8,17938.97,22581.59,12350.52,15280.285,15754.065,59043.745,30941.665,26310.205,10050.325,10315.275,17607.645,13837.19,16299.935,9068.805,19312.31,35285.825,25875.665,14328.515,15604.045,14500.1,21689.375,33109.58,16905.57,9841.3,10765.055,6167.59,19956.515,13048.89,48877,74760,37899,15504.6,6553.74,10542.325,10221.77,20233.51,12952.44,23327.54,16529.87,15653.075,9981.53,13634.975,57811,55780.46,25930.19,67171.465,26198.305,27204.215,7117.665,15590.545,9295.695,15068.835,27801.47,6458.26,12099.75,16106.25,19768,26479.19,24642.875,16259.3,23887.605,5490.645,6308.085,6888.585,11018.835,31942.335,26455.565,19490.26,33753.05,17307.115,60901.185,12313.6,112346,17652.73,61287,
MF0022,6617.84,30766.33,17814.23,25296.55,4819.65,3069.75,9823.1,26939.68,26161.98,12402.18,18167.07,10383.45,4582.28,5432.82,24385.26,9683.17,19159.5,15383.12,13580.58,8971.99,2837.33,11754.44,9791.92,9964.34,11823.37,18241.37,14895.17,17023.5,17672.56,10976.56,5995.22,3809.64,14507.57,12921.17,15648.59,3841.64,2725.87,4127.38,5265.02,6159.59,8347.93,5265.33,11736.49,7381.4,9389.95,11504.23,12348.51,14176.32,10540.08,22565.48,11882.59,7806.88,14733.87,4235.39,12901.75,7261.03,9362.51,5781.45,2750.39,780.31,1069.13,7948.9,12590.22,12212.86,15444.44,10568.15,12741.46,15758.57,6103.05,7923.83,10730.04,10687.7,16624.17,8677.19,5673,5840.45,10426.01,12635.32,11840.47,7314.3,9690.78,10925.64,10091.91,7060.02,8949.81,9591.07,12679.71,16809.04,9082.71,5872.03,4862.78,3523.37,8655.22,3068.73,559.14,952.16,972.28,11462.59,5407.86,8642.65,3840.86,9157.74,9387.86,8537.98,5758.22,10221,6358.31,8094.28,8039.16,2797.73,8641.64,4509.71,16475.81,7362.03,4215.33,8079.03,5559.2,6915.87,12912.01,3817.66,6915.09,7642.05,6113.74,14416.16,12083.7,10414.88,16725.47,3686.06,3536.58,3131.99,6402.34,15339.85,18106.98,5777.35,7257.82,6424.65,48220.82,6681.11,15765.14,8330.91,18472.11,
MF0066,15459.9,19484.24,12423.8,34842.83,7554.41,7012.21,82759.425,53659.09,61330.24,18928.715,18614.61,11556.975,11092.5,157663.995,41677.12,13950.99,24922.5,114927.505,15438.99,16502.935,2760.875,19063.98,18342.895,10232.125,13842.35,19900.855,11593.2,14298.43,16407.45,18419.84,11352.65,3262.695,19626.485,18657.25,28522.405,37396.28,32355.85,32142.73,10862.93,13088.67,34962.46,6758.32,36627.37,13825.275,15632.34,13534.7,18508.24,16933.035,16762.185,21845.565,24426.47,17987.7,17765.17,13754.945,21802.87,7466.43,23763.015,25856.9,169055.515,42626.655,34853.525,12963.77,35678.815,27245.095,14046.295,13933.595,18405.605,21054.215,8286.285,8831.205,10090.295,44765.43,27560.025,20022.385,4995.45,6305.25,15235.83,7169.52,6461.325,5507.24,12314.255,10281.755,9758.625,11167.545,14500.42,14877.225,13868.81,18513.23,14662.945,7901.97,5906.04,4211.67,19325.43,14037.07,42245.82,73098.625,33665.01,14723.225,5249.16,11051.65,10493.51,16024.16,5588.845,20801.91,15515.22,11108,9488.655,13370.39,34904.795,44390.325,26339.66,54460.645,28461,22655.805,6276.665,16051.58,5534.27,14319.87,26710.11,6538.61,15060.9,11047.16,22369.34,23526.33,11387.385,16304.3,22835.66,4939.01,6122.83,6551.49,9366.8,31221.555,24918.18,17769.135,26750.365,17586,49104.145,13429.15,67720.07,15732.48,47467.735,
MF0018,16568.65,43273.49,37966.26,124757.15,23146.91,12250.83,157973.78,77254.58,94094.51,28178.17,27548.97,18245.2,15900,308810.61,54381.81,33778.32,24067.98,214455.22,39005.2,25184.79,6774.09,32708.96,45684.97,14484.58,23371.1,43157.8,16592.72,23243.28,37246.66,25706.55,15935.04,6899.23,38023.22,46252.92,87887.73,124036.71,103260.44,124330.29,15070.76,20914.25,62108.66,12360.51,65586.58,15848.15,23530.04,21292.82,30698.9,49623.99,25072.78,23904.81,56408.97,28654.06,19006.03,23680.39,33648.83,11882.86,31616.02,33189.15,182964.39,48806.98,37841.71,15157.89,59657.75,45398.95,15149.09,20519.94,33280.97,28258.17,13834.41,14281.75,12689.68,75873.57,32539.38,31566.54,16082.15,20696.92,27626.46,9824.97,7157.65,7446.81,25678.84,19503.27,17796.67,18521.75,24616.93,24286.61,24940.7,30980.88,33168.72,12246.8,7760.75,3381.97,29228.14,16733.82,54039.89,94699.08,44186.46,17792.21,5760.63,13703.08,12858.8,22345.7,9927.12,35735.17,22214.78,11548.15,10255.98,15376.53,64665.13,113642.56,39186.96,120593.46,32397.86,63322.12,11873.34,26473.83,21119.35,36569.58,37414.46,7476.11,15934.23,10920.04,24367.13,33185.89,30753.31,33279.97,22850.42,6311.11,10348.02,11854.64,11806.26,43135.01,28899.63,20270.34,33126.66,19730.08,59138.39,19606.05,126273.14,25079.63,88162.03,
MF0019,1223.45,6773.09,2919.06,5315.21,784.34,409.18,5835.85,4393.16,3781.23,876.97,1203.55,2030.45,395.49,1475.3,4208.26,1914.09,1208.51,3615.71,1675.47,1325.41,452.66,1651.02,1176.2,3153.84,4542.94,7796.63,2153.91,3149.75,3888.82,1465.51,619.71,839.98,2165.74,2252.01,2762.18,467.78,408.78,2607.63,945.97,925.07,1632.67,1055.88,2499.52,2329.4,890.08,1137.39,1571.29,2255.24,1651.24,4657.78,1200.7,1234.87,3316.4,823.57,1577.07,1934.68,1344.48,885.13,2062.32,784.08,483.53,1462.33,2388.73,1654.99,3675.17,1487.55,1662.03,1679.58,814.42,1445.07,1567.35,1794.87,1234.5,974.33,1264.75,1733.2,851.79,2386.3,2698.85,1886.85,1958.43,1785.9,1621.83,1497.2,2053.39,1729.3,1354.13,1836.38,1318.22,2801.2,1206.9,703.4,1435.06,449.27,774.14,322.43,1144.54,2548.2,1107.4,1879,786.2,1348.09,1432.04,1086.92,744.22,1221,969.55,2778.15,1800.14,621.39,734.89,658.21,1255.33,1367.78,738.34,871.87,1470.9,1464.38,2762.16,748,922,2219.14,1790.3,1124.18,1831.46,1271.69,1245.31,584.1,900,1284,1212.04,3968.27,1078.14,1596.2,1556.58,1940.8,8573.16,817.46,5163.39,992.25,2549.36,
MF0030,802,2174,1324.5,445.5,286.5,109,275,2084.75,1592.5,723.5,1338.5,1001,338.5,349,2322.25,513.5,1164.5,1103.75,1334.5,941.5,331.5,637,674.5,594,495,730.5,2223.5,2537,842.5,883,517.5,220,2245.25,1093.75,801.5,414,135,137,562,181,648,873.5,650,647.5,611.5,940.5,835,1008.5,642,2885,1186,522,2168,223.5,1625.5,656,1152,671,0,0,35,871,1014,471.5,1989,724.5,518.5,1750.5,482,842,715,715.5,841,273,669,569,1337,486,768,409,475.5,2193.5,1361,609.5,584.5,712,842.5,1711.5,640,352,402,197,456.5,426.5,15,27,103.5,1293,243,165,66,942,525,338,141.5,593,365,459,527,548,256.5,215,879.5,232.5,245,328,286,279,1732,356,333,778,337,387,1276,670.5,1108.5,206,98,105,843,2036,1077.5,925.5,748.5,856,3120.5,278,181,995.5,504,
MF0074,26141.43,106289.64,66472.09,117607.23,25350.5,11390.78,91696.26,102112.39,97006.24,33937.96,48372.4,35332.62,18254.21,291759.65,108786.7,32603.92,53666.05,224560.72,59599.11,31181.36,12155.66,36823.09,42846.59,47501.72,54298.9,81785.22,53489.79,68095.33,56039.22,36810.96,25493.3,9353.74,66513.44,64551.94,96442.35,118161.16,97240.29,116415.55,24234.64,15888.47,57708.22,25958.61,51456.7,31996.73,32655.23,42039.07,37661.26,62556.54,34040.81,81113.86,58185.26,35689.42,54462.62,26847.18,45636.81,27561.99,39435.88,28817.34,28337.68,10344.69,5640.32,31179.19,62373.17,37243.54,57565.15,28551.82,31638.91,49729.52,23907.61,30557.55,26386.12,54571.98,38125.17,25746.31,20996.5,24752.45,39290.27,20573.32,28860.39,15035.04,38368.32,64381.64,46442.68,24441.43,22440.58,22678.56,44969.83,64728.55,33544.68,16315.77,19248.53,11415.87,43289.58,22009.69,8991.78,27948.94,10800.25,39263.34,12289.78,18198.15,13186.44,40352.85,24616.99,24880.03,15793.36,24704.92,16472.98,17242.35,58999.59,110282.7,41029.89,99566.82,48602.69,52933.64,16539.98,25163.83,24659.62,37788.67,61272.34,14463.66,23043.5,30599.19,27582.82,38147.26,49438.73,34118.81,46136.59,10719.97,10473.34,11994.83,21610.6,71830,48073.08,21920.69,31091.61,20435.9,131836.15,25692.9,144729.43,35086.91,115214.89,
MF0031,2231.85,17011.34,9930.06,26076.7,3388.16,1955.58,6170.93,14557.83,16520.31,6410.33,6076.07,3663.95,1827.45,2420.31,8068.76,8491.66,4558.68,9651.12,7287.75,4524.99,1282.84,6111.61,6493.27,4709.83,7717.85,14789.05,4795.33,6805.33,12106.57,3833.55,1557.24,2615.48,6405.57,6981.17,12376.93,2472.46,1714.69,4606.54,1953.01,4746.75,5246.11,1429.01,8321.33,2109.9,5500.95,5425.56,8609.84,9650.49,5278.08,6717.16,5965.77,3636.71,4685.03,2701.89,4121.93,1390.36,4405.17,2905.8,3955.39,2599.48,1566.46,2974.39,6580.9,8826.2,4371.94,6466.65,10180.97,7135.22,2364.56,2112.5,3935.88,7290.37,4635.83,5688.2,3032,3393.27,4577.01,6052.32,2847.3,3671.46,7237.44,5332.48,5332.08,3613.85,6141.48,6693.06,5331.04,5498.04,7234.87,3329.35,1363.95,869.37,3482.89,1414.07,853.14,800.83,1064.96,5206.76,1523.53,4202.33,2261.85,3476.25,2112.87,6776.97,3857.38,2375.5,1778.98,4070.28,5846.48,1458.56,6095.81,2007.21,4359.31,6116.37,2128.84,5025.38,3343.2,4947.88,5379.51,1314.16,3320.08,2621.89,3789.73,7018.99,8179.21,8630.22,3330.97,1471.21,3520.92,4355.34,1884.51,7351.36,5988.48,1490.69,1708.81,2275.48,6586.84,3782.8,2135.14,3829.08,1103.28,
MF0075,2872.35,25225.84,14608.06,27619.71,4465.83,2523.91,20853.6,18838.16,20112.98,9146.68,11066.4,6170.95,3284.78,11916.65,13599.26,11825.99,9080.51,12972.96,12190.09,8272.66,2379.17,8668.44,9465.1,6995.34,10110.69,18356.88,12163,17045,17126.41,7491.22,3707.07,2983.48,10386.74,9664.01,14592.93,4207.46,3643.03,5423.88,3504.34,5683.09,6374.44,4240.01,9430.49,3389.4,8239.45,9609.39,10995.34,14296.99,8183.74,11268.66,12404.1,5754.54,7817.7,3493.39,10336.59,2799.36,7613.51,4874.96,895.39,783.81,973.46,5267.06,11415.06,10915.03,8132.94,9221.99,12546.46,13576.56,4068.39,4092.84,5751.55,9764.54,7086,6281.7,7351.5,5783.1,11212.18,7027.65,4005.8,4142.3,10417.61,15271.99,11570.92,6938.85,7857.98,10073.4,8856.37,12025.22,8897.04,4176.35,2534.45,1448.7,5498.06,2083.74,912.64,1550.66,1019.79,6409.1,1966.7,4996.5,2605.35,6650.58,3586.04,8306.14,4529.04,3760.5,2688.15,4927.95,7030.48,5470.39,7444.48,8796.21,7887.31,6984.21,2973.34,6655.04,4625.2,6559.71,7549.17,1948.5,3876.25,4402.89,4246.9,8939.66,17525.71,11916.88,7553.31,1812.05,2463.75,2213,2663.68,10018.69,10279.98,3091.85,3439.81,3777.65,18825.67,4664.46,10627.64,7964.25,11528.61,
MF0072,10187.25,4319.5,3685.58,21849.08,4487.25,3121,151744.33,57780.83,72594.33,8682.75,8375.67,5899.25,4174,300517.58,42101.33,5681.33,14376,200499.58,6402,6499.25,1474.75,7387.75,6328,4603.33,7141.08,9196.33,4870.75,5760.67,7340.42,5918.75,3828.67,1784.75,13539.58,12745.58,20918.08,28295.58,25668.33,24093.33,11637.67,5108.25,46631,2658,43600.25,10378.75,7693.59,5922.75,10402.58,7899,7047.25,12061.25,7285.5,9930.75,9864.75,19344.5,7245.25,3822.42,11389,12567,25713.5,9247.67,4245.67,10589,42708.75,16542.92,7158.25,8936.92,16123.67,14735.75,4041.75,4993.58,3489.08,33934.33,8237.25,17031.34,1533,2006.42,4331,1561,2197.92,2288.58,7573,6804.67,6500.67,4875.33,6735.17,7782.08,9156.41,14622.25,11082.75,1861.08,1320.5,653,19072.25,12946,16000.25,18123.92,14016.75,9287,2905.75,7159.08,8824.75,7817.5,3263.75,9249.25,7664,4075.5,3437.83,4456.33,50847.25,38343.75,24037,41878.67,11129.25,13770.58,5041,5846,1580.83,9129.5,27301.25,4775.25,10785.08,5578,18783.58,20490.25,4813.75,4113.17,8389,3134.83,5421,7045.67,6772.75,30236.75,16372.75,9245.17,17748.25,7474.5,46741.92,11277,112561.17,6043.58,56024.92,
MF0073,11620.89,63293.73,35492.68,71696.24,18022.98,8967.17,16054.53,46478.6,40010.51,22217.17,31706.89,23034.95,13690,14388.03,45505.81,19207,27674.97,27656.13,31896.69,22161.62,8078.25,22300.96,22260.29,23263.33,26669.78,43141.79,34411.39,43291.28,39336.06,22201.89,18141.19,6112.89,32423.55,29733.58,40926.89,41870.89,41929.03,50548.54,9427.94,12368.75,12293.15,16413.83,15885.08,14658.65,19619.04,25700.66,23127.57,34136.57,24364.12,30275.13,29008.96,22598.4,21837.7,7338.89,26821.49,17178.28,21761.52,13603.64,4775.89,2979.48,2223.88,15740.98,17750.91,23889.53,21159.59,16367.6,18174.47,27331.93,15970.07,19929.24,16255.17,21160.48,22905.55,11279.53,12961.15,13868.27,22303.79,15326.64,16959.82,10441.31,23535.01,40929.92,30691.16,18085.92,19151.26,17080.78,29460.04,42726.7,22871.39,12767.48,12535.58,7371.64,16920.8,7366.31,4434.89,14509.5,6145.45,14911.2,6125.29,10256.23,4535.31,26105.36,13124.69,15815.51,10421.96,15026.15,9783.64,11537.36,11306.81,35715.9,15040.62,37987.71,29574.86,27614.44,7956.83,14910.32,13029.35,17313.74,19127.8,6073.27,8866.57,15993.2,7777.47,18118.39,30130.3,20068.97,28479.08,6084.62,6939.85,7439.63,10393.67,24080.17,24892.63,10333.34,13407.67,11340.58,46648.54,11143.7,16473.89,19586.79,27937.03,
