	TL1a_FP_88	TL1a_DTT_76_Repeat	TL1a_FP_64	TL1a_DTT_172_Re_extracted	TL1a_DTT_268_Repeat	TL1a_FP_76	TL1a_FP_130	TL1a_FP_142	TL1a_DTT_130_Repeat	TL1a_FP_172	TL1a_DTT_196_Repeat	TL1a_FP_100	TL1a_FP_196	TL1a_DTT_88_Repeat	TL1a_FP_160	TL1a_FP_286	TL1a_FP_208	TL1a_DTT_244_Repeat	TL1a_FP_244	TL1a_FP_232	TL1a_DTT_142_Repeat	TL1a_FP_268	TL1a_DTT_160	TL1a_DTT_64	TL1a_DTT_286	TL1a_DTT_232	TL1a_DTT_208	TL1A_FP_640	TL1A_DTT_640	TL1A_FP_688	TL1A_DTT_628
TL1a_FP_88	0.0	2.6156211117714308	2.395450713154793	1.3661163034752628	1.510721074136613	2.386224400049431	2.6091363301208466	1.8529688447289319	1.1569151364977261	0.2958651729404374	1.445685488781062	1.7472511323277018	0.5253464584701684	0.9680513391708635	1.7811687853671168	0.8262411077179289	2.073517700793173	2.3238643617206103	2.7902934755445403	1.6569011120098527	1.2216028059948547	1.6510631423847164	1.646770406054059	4.010573067300616	0.7898626989038368	3.3041019046710036	2.625670771457333	2.4656307753199944	2.169681186184997	2.1936482859360797	1.5108599168885908
TL1a_DTT_76_Repeat	2.6156211117714308	0.0	0.7706330866683317	1.6340452921905841	1.8809503928481635	0.9941562539215478	0.9945827156681035	2.543868129689056	1.5972897544729208	2.424103596250428	2.4090219297467614	1.5927451487211126	3.095890779059815	1.7001642301427273	3.246765362815835	2.4509286740570753	0.8728373524476716	0.5166550360890741	0.753363386808628	2.130532636407181	1.773631650573289	2.930539155747202	3.042055100293839	2.2404237980135937	2.8634725736947955	2.8804365845394235	1.1937401069733418	0.15258105325439544	1.0568078355023194	0.7477186336887032	1.4845516786656965
TL1a_FP_64	2.395450713154793	0.7706330866683317	0.0	1.2241672084475765	2.037835847025784	0.24170540420426065	0.3474712591482204	1.8837424782012082	1.3709182188400248	2.145883248268353	2.590817163501192	0.9659618236885775	2.8401816670758135	1.6126784189441465	2.639319986854423	2.4715932550667827	0.3885135565398213	0.5296297157956907	0.5117376879566813	2.4185038666249135	1.919151577972466	2.308560651606019	2.4638807585879294	2.1501720522573584	2.844487558442504	3.4096416356023287	1.5205952344234497	0.7241025633659526	1.14854311415439	0.8601756418367819	1.4620298392413396
TL1a_DTT_172_Re_extracted	1.3661163034752628	1.6340452921905841	1.2241672084475765	0.0	1.363354171524751	1.1494607090328075	1.3412151795984941	1.4546500622986167	0.4056454518963148	1.1278433678104536	1.8415048530570768	0.5373726183595725	1.825221534798515	0.9998977779732442	1.9106129567377323	1.5805886541255643	1.0468644889428778	1.1874388320889413	1.5406379229676084	1.8724867896542388	1.378057126856689	1.5585359560542904	1.8003627261629538	3.2175318511235522	1.9229111077641474	3.1665534928941663	1.6540998917902976	1.5106471566200503	1.1090828870247624	1.1033294715676625	0.783549942270507
TL1a_DTT_268_Repeat	1.510721074136613	1.8809503928481635	2.037835847025784	1.363354171524751	0.0	2.102753761848114	2.2400402065136054	2.700725410445488	1.0060471808278486	1.5202371551410268	0.6553677265945929	1.8589394084465813	2.0045833409257243	1.1513086349211252	2.981311301103364	0.9320939314435258	1.8676748730729653	1.6468142178820588	2.1952910412513127	0.6574670814179155	0.776720809999269	2.702394041649568	2.8451555879360795	3.927383200839599	1.422343476059561	1.8987381340386527	1.3888439039193152	1.7701998300812287	1.1789499972297153	1.340244397098682	0.6597875460717463
TL1a_FP_76	2.386224400049431	0.9941562539215478	0.24170540420426065	1.1494607090328075	2.102753761848114	0.0	0.23821177386185832	1.7501845625529	1.3637599393414703	2.1250991267708486	2.6660834539883345	0.818301193841664	2.820897547436075	1.677988792371474	2.5107784319427147	2.5202217199259174	0.5017698098763068	0.6718423148552979	0.5732182744514308	2.528577805809437	2.022806194938937	2.168277674719668	2.3579496588241553	2.255734773429885	2.886284726408772	3.537602804233725	1.601311377430609	0.9489744006583961	1.1979466387441267	0.9534946202245709	1.4890613663318562
TL1a_FP_130	2.6091363301208466	0.9945827156681035	0.3474712591482204	1.3412151795984941	2.2400402065136054	0.23821177386185832	0.0	1.9427177028193516	1.5571376676911186	2.351042959098745	2.8249375095925555	1.0156934301397074	3.050134489634686	1.8936067529196958	2.7118508465767093	2.7152667618796755	0.7040819998190557	0.7117963177120212	0.40635563366825134	2.675533281661528	2.204684765901767	2.3650064249103226	2.5694605412815408	2.2263952637312503	3.0957662710166347	3.583231234900166	1.5833590010519336	0.9851936614750608	1.242383788523528	1.005283383708879	1.6277332813372936
TL1a_FP_142	1.8529688447289319	2.543868129689056	1.8837424782012082	1.4546500622986167	2.700725410445488	1.7501845625529	1.9427177028193516	0.0	1.7138066635556266	1.5790036990902188	3.0067818672889985	1.1591317707480782	1.9841146781416894	1.818161282974104	0.8323376048337279	2.5149966559271335	1.6725981918217212	2.218790136386122	2.3225110052568625	3.059875642135422	2.4136999339638883	0.6041504394081837	0.7039066063707307	3.0526699229770484	2.6141582633713147	4.555403864620714	3.006055155825638	2.4316626366504153	2.4632770042859375	2.338037661769663	2.209797652397664
TL1a_DTT_130_Repeat	1.1569151364977261	1.5972897544729208	1.3709182188400248	0.4056454518963148	1.0060471808278486	1.3637599393414703	1.5571376676911186	1.7138066635556266	0.0	0.9693060801453952	1.4543143225760744	0.8965690593529003	1.6629285021340952	0.6908401495975821	2.0999288984203996	1.2141807528547417	1.1413284691115357	1.2178630207151058	1.6843402478915388	1.4740493692296095	0.9825000543190636	1.785917900283258	1.9592920563193916	3.316927487618534	1.5935931936500851	2.8499831684389627	1.5642129251115533	1.4608359950261942	1.0527489519817852	1.0670497273379171	0.5264311640507918
TL1a_FP_172	0.2958651729404374	2.424103596250428	2.145883248268353	1.1278433678104536	1.5202371551410268	2.1250991267708486	2.351042959098745	1.5790036990902188	0.9693060801453952	0.0	1.574572240098149	1.4695119461851465	0.7099058739568151	0.8346938311012692	1.5911846324568506	0.9919149422707323	1.8250152701665852	2.1157216273719515	2.5546447052240358	1.7384831061838406	1.2189675104832156	1.4239299492059878	1.4426902380075313	3.7681793188018755	1.0497444938249803	3.3738850339912947	2.5018010476891694	2.274636173706909	2.0147855283290848	2.014744869219843	1.3948732954265186
