feature	k__Bacteria.p__Bacteroidota	k__Bacteria.p__Firmicutes	k__Bacteria.p__Actinobacteriota	k__Bacteria.p__Verrucomicrobiota	k__Bacteria.p__Proteobacteria	k__Bacteria.p__Desulfobacterota	k__Bacteria.p__Cyanobacteria	k__Bacteria.p__Deferribacterota
Mouse5A.FP28	4.61244157443797	3.97512516507367	2.07018168467801	-3.56876592863991	1.71189650266941	-1.17087065584154	-2.26948294450965	-5.36052539786796
Mouse3A.FP16	4.27831877565298	3.65725894386812	0.12727886975433	-4.16318057139406	2.61844443044386	-1.1427556852497	-2.02311440789779	-3.35225035517773
Mouse5A.FP26	4.47661358662707	3.39275132611386	0.477826657503745	-3.91456276420568	2.07147039290509	0.0107054679724837	-5.70632223343374	-0.808482433482827
Mouse7A.FP40	3.57119253643277	3.417652697249	0.402369210605058	-4.46516523985052	0.812949419379993	-0.348841770909648	-2.00842946702922	-1.38172738587743
Mouse1A.FP05	4.98550037158815	4.89443577765892	-0.197805538655424	-3.02258001406578	1.62318356888757	-0.425195380851085	-2.88904862144125	-4.96849016312109
Mouse6A.FP32	4.61172874127625	3.48452337623532	-2.08195754144786	-3.39763433535379	0.634189869886973	-0.0303385053673194	-2.269169083536	-0.951342521693573
Mouse3A.FP17	2.85706841293223	3.73897139559496	-3.18668158327382	-3.71730983433599	2.52588572093811	-1.94235748342432	1.96012866498061	-2.23570529341178
Mouse7A.FP38	3.98355150323498	3.32532384381102	-0.630051922337256	-3.77516159696585	0.987012337831908	-0.36658410800607	-2.97665390074808	-0.547436156820664
Mouse1A.FP02	4.03717755625512	4.29613056026604	-1.52326736035523	-3.90589516102281	-0.19639641970614	0.221239224022279	-4.59904234158276	1.6700539421235
Mouse2A.FP11	4.11004206392135	2.55383061608741	0.514090571875649	-4.40380267052199	1.61026170850323	1.24768350063549	-2.11560631498005	-3.51649947552109
Mouse3A.FP18	2.12347984083509	3.3218278484454	-2.81509666215238	-3.11234818562031	2.50344341151318	-1.91609742738829	2.1876984541034	-2.29290727973608
Mouse6A.FP31	4.44273369315818	3.26325277490985	-2.49906062804738	-4.29082009727544	0.699612489503298	0.314350088712653	-2.78674270049916	0.856674379538015
Mouse4A.FP22	3.44668765686384	5.71524837533511	-0.644920925539385	-3.1463568772786	0.931180566627124	-1.17227585125659	-2.45320969671865	-2.67635324803286
Mouse1A.FP03	3.65729889082581	2.50420340750372	-0.0523818175553283	0.46637406188664	0.831543629816795	-0.300516592918855	-6.49492198402353	-0.611599595535248
Mouse4A.FP23	3.80858023574187	5.90872701861196	-0.462559175274996	-3.21939954054664	0.541800575146924	-0.892121834962221	-1.07933337705037	-4.60569390166653
Mouse1A.FP01	3.90464534928476	4.19929144903354	-2.74352928735648	-3.21353291660221	-1.12166885492382	0.490235150005476	-4.82297082903631	3.30752993959505
Mouse6A.FP35	3.57214212546053	2.18466152458113	-0.634701590706197	-3.92310347822301	1.76160943371284	-0.168124222404548	0.010028490415373	-2.80251228283612
Mouse2A.FP07	4.43336802210575	2.93292758019747	-1.12512142681156	-4.09919220358437	0.856634854016892	-1.25761060985764	-0.547934127346481	-1.19307208872007
Mouse3A.FP13	4.77874075038007	3.77323836210393	-0.504426458682942	-4.74575321125369	0.711702376632645	-0.191876319653148	-2.44316811825964	-1.37845738126721
Mouse1A.FP06	4.91091557964715	5.02090836899891	0.0465535769010242	-2.78665976715519	2.51735562050748	-0.243933546478365	-4.73256991621051	-4.73256991621051
Mouse1A.FP04	4.54373678323351	4.58580983435371	-0.0413288067935268	-3.58710741726679	1.45200734815133	-1.30132944258913	-0.272921412594264	-5.37886688649485
Mouse2A.FP12	3.97619233633643	1.64290869942156	-0.682149249424548	-2.65104891670456	1.42648852720116	0.469162271244413	-1.7582886822406	-2.42326498583385
Mouse2A.FP10	4.14708203241993	2.2316916364512	0.320444931519488	-3.69183467764831	2.00342674727596	1.05940164811073	-3.19935819255051	-2.87085412557848
Mouse7A.FP42	3.54641670241391	2.25884884665285	-0.23368533457203	-4.07956853749563	1.83393446814264	1.07082869897578	-1.05914365135127	-3.33763119276625
Mouse7A.FP41	3.79732613886124	3.14226206065903	0.163911618080918	-3.9136258258248	0.629668956445202	0.627302091434936	-1.89134269798491	-2.55550234167161
Mouse3A.FP15	4.41075335697956	3.25216791732883	0.0358170165307073	-2.91735564260449	0.347130693515765	-0.149988864345858	-3.61050282316443	-1.36802165424009
Mouse4A.FP20	3.94571294885113	3.77971962959554	-0.998771832146196	-4.09736149113989	0.226771165115085	-0.500049230551449	-3.40421431057995	1.04819312085573
Mouse5A.FP29	3.76765323510436	3.80361628780921	0.669726423537994	-4.39827890221722	1.69657994309505	-0.489117129070106	-4.95789469015264	-0.092285168106645
