	TL1a_FP_162	TL1a_FP_88	TL1a_FP_89	TL1a_FP_234	TL1a_FP_287	TL1a_FP_198	TL1a_FP_161	TL1a_FP_197	TL1a_FP_132	TL1a_FP_130	TL1a_FP_90	TL1a_FP_269	TL1a_FP_288	TL1a_FP_196	TL1a_FP_131	TL1a_FP_270	TL1a_FP_160	TL1a_FP_286	TL1a_FP_232	TL1a_FP_233	TL1a_FP_268	TL1A_FP_677	TL1A_FP_678	TL1A_FP_630
TL1a_FP_162	0.0	3.4925291304122226	1.4748981515007977	4.403740864326265	3.2149852049997936	3.082998553648414	0.7132560992746633	2.5288171688437964	3.262955998073913	1.4690205773907308	2.237635960899401	3.0829822263617785	3.3406125280051877	3.3059109776974784	3.266819020218531	2.2819615072032073	2.7764090327604096	3.4122968184702533	3.657962593562754	3.807331562818702	2.5164189472381784	2.1352907038572932	2.6176703052347183	2.3686318035481047
TL1a_FP_88	3.4925291304122226	0.0	3.751656897783352	2.817311271727763	0.8572633120804442	2.8632640477888347	2.8891666357571664	1.8037189089074186	1.151013005107893	2.5026855388381604	1.5546107849392456	2.577472023087926	1.4015745105818729	0.5189340974299556	1.1507170267434206	2.482894201294949	1.3876933043569746	0.800726729906037	1.8918458344211768	2.8053226938864095	1.3758646057228598	2.064683237755944	1.8869219987162469	1.5506274896384655
TL1a_FP_89	1.4748981515007977	3.751656897783352	0.0	4.065093215081145	3.7967424233955893	2.8824786468164936	1.3976268411763104	2.9363022679738466	3.853579754458994	1.5774522248523097	2.398436232821302	3.0736205504722305	3.3525103832744056	3.7544576958070563	3.190364076309886	2.1577192614963137	3.568113181987066	3.612414000787455	3.372178729214505	3.448713177352602	3.232175637981904	1.904840240820401	2.3397034761726943	2.589112268093129
TL1a_FP_234	4.403740864326265	2.817311271727763	4.065093215081145	0.0	3.1439364720849214	1.553846935902363	3.7073015116232715	2.3239642103007947	3.8869557159043064	2.940588431882353	2.445937650029476	1.5499925894222168	1.535323635476975	2.947200719393617	1.818239544924324	2.144200798806456	3.6108473917979107	2.116842924189219	1.0707965287498087	0.7027922196221045	3.2039264523584228	2.41908089361104	1.9684714382693491	2.313807041091797
TL1a_FP_287	3.2149852049997936	0.8572633120804442	3.7967424233955893	3.1439364720849214	0.0	2.8932072277901653	2.6771076194221095	1.5225573793395488	0.9789190578791107	2.411427130008034	1.573876370876531	2.5350825682018003	1.6559073781772062	0.3438403171175832	1.6210470817068738	2.480934578692115	0.6693409825643034	1.0643707155220374	2.324364151946934	3.0411558806121857	0.7500221051383905	2.219395154522041	2.1572550655283735	1.4996505626959198
TL1a_FP_198	3.082998553648414	2.8632640477888347	2.8824786468164936	1.553846935902363	2.8932072277901653	0.0	2.448818768075458	1.492081645102626	3.6207487428120984	1.7247242563745735	1.699231751536832	0.4540338632084901	1.5542410064977814	2.8137283743878307	1.863285805413928	0.8722441419581479	3.088237334240474	2.1616727447222175	1.496436816658942	0.8891729543610126	2.580010694925997	1.5532235654390876	1.3761610691308916	1.5691253553024793
TL1a_FP_161	0.7132560992746633	2.8891666357571664	1.3976268411763104	3.7073015116232715	2.6771076194221095	2.448818768075458	0.0	1.8853824575816998	2.83730249998926	0.7726152150524113	1.5412780614506258	2.434097977338618	2.6365383760494656	2.730376443633545	2.567926846227319	1.6134687032695838	2.3418000987396357	2.7453228537901473	2.94554703401063	3.129861170781937	2.003816612407635	1.4378558943936495	1.9127381074427017	1.6762713667749074
TL1a_FP_197	2.5288171688437964	1.8037189089074186	2.9363022679738466	2.3239642103007947	1.5225573793395488	1.492081645102626	1.8853824575816998	0.0	2.2898877576193746	1.3615450548744343	0.8374242720584666	1.1443057902684557	1.1183215044015913	1.5535464647498292	1.3771127942269894	1.1297025668744871	1.6240261904230422	1.2505570109785078	1.7021172974586063	1.9469203998098474	1.114287561576615	1.3290942397757521	1.3043429598758107	0.5855968005847692
TL1a_FP_132	3.262955998073913	1.151013005107893	3.853579754458994	3.8869557159043064	0.9789190578791107	3.6207487428120984	2.83730249998926	2.2898877576193746	0.0	2.756779160300818	2.0348417323004995	3.3247899280172497	2.378031710245099	1.0104586530860746	2.1500845833030375	3.053227395281134	0.934213131098153	1.7936467512160736	2.9360968686031907	3.7692925492278024	1.3085775848677639	2.5745642823334567	2.6058334484694594	2.0840103824219787
TL1a_FP_130	1.4690205773907308	2.5026855388381604	1.5774522248523097	2.940588431882353	2.411427130008034	1.7247242563745735	0.7726152150524113	1.3615450548744343	2.756779160300818	0.0	0.9778196714927062	1.7296403961876867	1.9684558786642297	2.400030624240766	1.9390659207025953	0.8620012215650795	2.2668948398451323	2.2062681811670846	2.211555129454978	2.3616787302122924	1.8270210749320706	0.7563731178343496	1.1981154088060233	1.0933439378419083
