	TL1a_DTT_173_Repeat	TL1a_DTT_76_Repeat	TL1a_DTT_172_Re_extracted	TL1a_DTT_268_Repeat	TL1a_DTT_269_Repeat	TL1a_DTT_245_Repeat	TL1a_DTT_130_Repeat	TL1a_DTT_196_Repeat	TL1a_DTT_90_Repeat	TL1a_DTT_198_Repeat	TL1a_DTT_88_Repeat	TL1a_DTT_89_Re_extracted	TL1a_DTT_244_Repeat	TL1a_DTT_197_Repeat	TL1a_DTT_270_Repeat	TL1a_DTT_142_Repeat	TL1a_DTT_78	TL1a_DTT_209	TL1a_DTT_160	TL1a_DTT_234	TL1a_DTT_210	TL1a_DTT_64	TL1a_DTT_287	TL1a_DTT_233	TL1a_DTT_65	TL1a_DTT_286	TL1a_DTT_246	TL1a_DTT_66	TL1a_DTT_232	TL1a_DTT_77	TL1a_DTT_208	TL1A_DTT_642	TL1A_DTT_629	TL1A_DTT_640	TL1A_DTT_630	TL1A_DTT_641	TL1A_DTT_689	TL1A_DTT_628
TL1a_DTT_173_Repeat	0.0	0.6018188940821178	1.2500740508760222	1.7775320629976081	1.1733759326331912	0.21814207309467396	1.335852254525658	2.0622386853912973	1.5625304303842336	1.2926953410823832	1.6213426373810362	1.0827345329682416	0.47484218861705424	1.4901810183204904	1.9891479113416592	1.3817483429434696	0.5981232859299807	1.3821709438947478	1.1541022349980374	1.7435394804975355	1.1675588018849492	2.2126091918823616	1.681373799713814	2.0598542523828605	1.6822615486291845	2.320110722733111	1.1684287089196466	1.2110046231775269	2.0440397906040344	1.3181257816809562	1.143768415458304	2.1110148518361824	3.2731293656250604	2.078404045401077	1.8218690031789084	2.0726764265721784	1.578242179544506	1.5418114984719937
TL1a_DTT_76_Repeat	0.6018188940821178	0.0	1.592449760359433	1.7735029117661174	1.0855781821750439	0.6210283439785725	1.771236755225021	2.0744738503990217	2.1616523089057713	1.632220756039834	2.2227660554994864	1.5457975238704147	0.7007210963821924	2.0237475583920936	2.2159638001997095	1.8569262210999846	0.45972225206126727	0.879324206734988	1.539800859752857	2.2269997061262936	0.7580040217169274	1.815656766515425	2.2696069663733707	2.548331896431869	1.6177112754227954	2.8505632849445774	1.5903740860999105	0.8776020905608185	2.106278891970138	1.2627710315264749	1.0560337074362591	2.622622354709237	3.628773372692697	2.5699838980660368	2.3048222610940337	2.570116825260104	2.0411185231395734	2.0954309523904304
TL1a_DTT_172_Re_extracted	1.2500740508760222	1.592449760359433	0.0	1.9012067273961564	1.8319747997102862	1.1492759943109887	1.2156031900168687	2.1948397012296073	1.6462421085594472	1.7784542323372892	1.643623758702771	0.3834732111179192	1.0275729800471352	1.393083355198268	2.1042790320671587	1.44618622712376	1.73112536024325	2.460127072966719	0.8971401790964643	1.0827429292385014	2.223807112989929	3.3705400814045468	1.6458399570130102	1.849253789273425	2.7583259024296862	2.029059159342774	0.8015433666135924	2.3561961747380646	1.9045483290041656	2.374597210709507	1.0451266202875262	1.5048072542868842	3.5493195076357518	1.52076536875811	1.3996408243970935	1.601265822430349	1.5321922383512725	0.9975309115785018
TL1a_DTT_268_Repeat	1.7775320629976081	1.7735029117661174	1.9012067273961564	0.0	0.8330281569465218	1.892201282312016	1.3373186313401413	0.34710557696432326	2.669467842775204	1.2664025863138384	2.6165629513919226	1.9279209894608824	1.970541776648327	1.835177776002306	0.924942079368402	1.5247236103138144	2.152886064864231	2.3563326463158463	1.2398459881173198	1.8772251037937036	2.4685360139555326	3.215974983552946	2.3756911804324226	1.9335828754209359	3.274670644829692	2.3545752089217253	2.4890693743477645	2.52386768678086	0.44059162272528546	2.9516549370208307	1.3346330487473785	3.227090819093465	4.966076615861399	3.278848462068392	3.1291221767297985	3.3287340622439316	3.1041082295245874	2.478857652630035
TL1a_DTT_269_Repeat	1.1733759326331912	1.0855781821750439	1.8319747997102862	0.8330281569465218	0.0	1.3283671596110622	1.3637889446857674	1.0577987912575608	2.352358722654809	1.0191973918589332	2.343364611900255	1.7731853645679816	1.4709598262013233	1.765319280181489	1.2905656945704398	1.4552028017807666	1.4255735616157674	1.5853857797064168	1.2524343036093846	2.010533703679239	1.709807972178465	2.4154471547124814	2.1985004883570283	2.071161455601083	2.48055311609375	2.4676767099321304	2.175417833578126	1.7274430840019723	1.2447646031847275	2.1822923392280305	1.1982560502572384	3.040875707178097	4.403780995132647	3.0560676982431723	2.846864640470424	3.0755621176066845	2.694658769548579	2.3220011123136475
TL1a_DTT_245_Repeat	0.21814207309467396	0.6210283439785725	1.1492759943109887	1.892201282312016	1.3283671596110622	0.0	1.4369304637012463	2.1929639672074024	1.5947875087461265	1.4797224199100387	1.6624366213008408	1.0153524794843605	0.2649895816860494	1.5842059109631546	2.1452188150329476	1.5087437255226313	0.5987409184718495	1.4169158549598804	1.216102900580061	1.7691577664236615	1.1537965970986352	2.25927496369284	1.754065603062935	2.167180474502181	1.6777503254290145	2.409469730802432	1.0134750193262072	1.2355366137703512	2.1382713578024486	1.2962788719285512	1.091885679798484	2.009809864232543	3.1920804471207718	1.9631236176131788	1.7011140036604686	1.96147623038288	1.4609404286984908	1.4945094296798713
TL1a_DTT_130_Repeat	1.335852254525658	1.771236755225021	1.2156031900168687	1.3373186313401413	1.3637889446857674	1.4369304637012463	0.0	1.4902907217359567	1.419127438213074	0.7507029063342132	1.3360640046889094	1.0123549561603622	1.5480756880220667	0.515358415295138	1.0338497315311166	0.32252602356377597	1.9213955749506555	2.565537779459013	0.38734006239166463	0.7090568304457346	2.4626089271661713	3.396981845499325	1.0652909725668935	0.8262081332026268	2.922452357295551	1.1772412417405593	1.6293860959105824	2.4819284438090183	1.3459554471450146	2.5947628557009823	1.5104364114478797	2.066218792237745	3.9291331844383985	2.154395121797273	2.0454609746239627	2.192137290400663	2.086016812724697	1.278852938755299
TL1a_DTT_196_Repeat	2.0622386853912973	2.0744738503990217	2.1948397012296073	0.34710557696432326	1.0577987912575608	2.1929639672074024	1.4902907217359567	0.0	2.8488314702486512	1.3530401265821912	2.7833349522048647	2.2006274140632804	2.289036386927105	1.9623188479183316	0.8076613327250725	1.6407898909722989	2.438002706151062	2.609344022877638	1.4688261770066084	2.033019025121198	2.7479758694082936	3.4236527080265207	2.5072740531507827	1.9617925908157456	3.524581908388604	2.387198523582683	2.784857140637253	2.7826873201284603	0.4772548101202714	3.217515385308581	1.6809236361970024	3.4684217977421965	5.214604790342837	3.532478982501095	3.3933235874508676	3.5810572147032556	3.375343678032853	2.7037089297567105
TL1a_DTT_90_Repeat	1.5625304303842336	2.1616523089057713	1.6462421085594472	2.669467842775204	2.352358722654809	1.5947875087461265	1.419127438213074	2.8488314702486512	0.0	1.648959783534939	0.16017558554180242	1.269957576141173	1.7118167292764084	1.0030850028132214	2.324276206525035	1.2614240979093	1.99114712109301	2.835091565732993	1.5415590846546017	1.3660170470782937	2.557600584020674	3.4541989981940193	0.5566183093318311	1.48706161547798	2.48909265386244	1.433027842360332	1.3238546690129422	2.5215171105123435	2.750563320724542	2.2468963050522732	2.347955144968659	1.2612446605230196	2.624990794166419	1.327218849015654	1.2137138573525204	1.2764126320037825	1.1566618255111472	0.8251665772178648
TL1a_DTT_198_Repeat	1.2926953410823832	1.632220756039834	1.7784542323372892	1.2664025863138384	1.0191973918589332	1.4797224199100387	0.7507029063342132	1.3530401265821912	1.648959783534939	0.0	1.5955977105043695	1.5492528243841512	1.6826927264830311	0.9495137219338826	0.8773776371136526	0.6204131493548657	1.7577651037820048	2.2455070687645775	0.9581800133031507	1.4387048281883472	2.2333929387042053	2.9652076085873396	1.3541564074424999	1.1869691259795605	2.653625729274942	1.5581958082452683	2.0349565302504504	2.184358413020115	1.461391363510088	2.3812932558375577	1.7395457860148522	2.5894384566807602	4.036184389663998	2.6525449456808827	2.490111594517364	2.6582430742946626	2.3892769227272312	1.8191599946012202
