feature	k__Bacteria.p__Bacteroidota	k__Bacteria.p__Firmicutes	k__Bacteria.p__Actinobacteriota	k__Bacteria.p__Verrucomicrobiota	k__Bacteria.p__Proteobacteria	k__Bacteria.p__Desulfobacterota	k__Bacteria.p__Cyanobacteria	k__Bacteria.p__Deferribacterota
Mouse5A.DTT29	5.19584908191261	3.37103850754453	0.422766810350712	-3.08236149415968	2.8878064530878	-1.13645134510436	-5.02827164321499	-2.63037637041662
Mouse6A.DTT35	4.44426482063189	2.32502091235598	-1.34493053187244	-2.4127711618738	1.90955372046313	-0.513381028453375	-2.7957634141299	-1.61199331712148
Mouse1B.DTT15	3.95603059516619	2.77861414155868	-2.58051606438587	-4.09464379701564	-0.258128344095643	-0.136431409118123	-2.73133895412045	3.06641383201086
Mouse1B.DTT18	2.79495079349863	3.47637050029036	-0.757244603805615	-2.23209236226695	0.0555670805104198	-0.0145004821062971	-3.58201907921597	0.258968153095428
Mouse5A.DTT27	3.81282810500645	2.79797953253449	-2.9880712879351	-3.79041776046004	-0.0382024311742926	-0.615574205742342	-2.88963121512185	3.71108926289269
Mouse4A.DTT19	4.52658400246443	3.31123359977512	-3.73465185619427	-3.73465185619427	0.281731164558123	-1.08670557916176	-2.02990376395584	2.46636428870846
Mouse5A.DTT30	5.17493628560054	3.34518609505137	-0.275397789047281	-2.56247869550536	2.24531831343743	-0.563079861499062	-5.1274280529669	-2.23705629507073
Mouse5A.DTT28	4.58127652031053	2.9418281716801	-2.28798881292553	-4.26899028179212	2.17989911235474	-0.89311070811425	-3.57584310123217	1.32292909971869
Mouse7A.DTT38	3.83107123913172	3.49797486357073	-2.40318049143567	-3.12372664618373	0.0726763228324143	-0.872434847577233	-1.63207176940601	0.62969132906778
Mouse7A.DTT41	4.29695421489606	2.92219713818104	0.209412399996717	-2.43304051861968	2.23889784383325	0.0318253802848742	-4.09126859522321	-3.17497786334906
Mouse4A.DTT22	4.40622626391321	4.15566096948137	-2.0762255647411	-2.63584135267652	1.91671888303927	-1.21877533288988	-2.23037624456836	-2.31738762155799
Mouse6A.DTT31	3.36664377971691	2.75087531130525	-2.78012724161561	-1.37808452352758	-0.480721801538945	-0.25503371958974	-2.48061071151683	1.25705890676654
Mouse7A.DTT42	4.21141704124416	2.96811346000646	-0.457081763390315	-1.44632149491064	1.67079094048059	-0.155675208512969	-5.75038658811481	-1.04085638680247
Mouse1B.DTT16	3.85845794774483	2.62135602178884	-0.66696647229377	-1.99138542969557	2.05201665378895	-1.52138180044984	-3.7061838577875	-0.645913063095937
Mouse1B.DTT14	3.37686287985008	2.6953859696141	-1.91727334409784	-1.97402616069029	-1.173695309911	-0.587731799570396	-2.27888656967715	1.85936433448249
Mouse1B.DTT13	3.71310659841386	2.3373418564008	-2.29877313343672	-0.808011512636214	-0.354565112451933	-1.12378786598403	-3.04071047816609	1.57539964786033
Mouse6A.DTT34	4.80525933242352	2.28649364887052	-2.99162101036	-1.3821830979259	2.52783790483157	-0.203528101584252	-4.37791537147989	-0.664343304775581
Mouse5A.DTT26	4.67201747616244	3.01414228409457	-2.20721869246932	-3.57052353536451	0.854867314192809	-0.91217300281457	-2.7103222701414	0.859210426339974
Mouse4A.DTT21	3.5320475523837	3.10855407338606	-2.88849011661801	-3.63042746134739	-0.909132033495158	-1.09673064738996	-1.83866799211933	3.72284662520009
Mouse4A.DTT24	4.59453412621607	3.8378819758387	-1.31259359677314	-1.74545767906942	1.98923131107582	-0.364385261930676	-5.61665868997731	-1.38255218538005
Mouse1B.DTT17	3.3934031927253	3.65170371107776	-2.5267118120232	-1.27394884352783	0.298447797225923	-1.12911789564937	-3.13284761559351	0.719071465764928
Mouse5A.DTT25	4.2717833972551	4.06705228977164	-4.50191074912934	-3.20262776499908	-0.202360336279701	-0.772209300495153	-2.82793431555767	3.16820677943421
Mouse7A.DTT39	3.33641638614346	2.67939042805917	-1.44647373602087	-3.56365560568355	-0.14719075189061	-0.605146042620171	-2.85146023015291	2.59811955216549
