feature	k__Bacteria.p__Bacteroidota	k__Bacteria.p__Firmicutes	k__Bacteria.p__Actinobacteriota	k__Bacteria.p__Verrucomicrobiota	k__Bacteria.p__Proteobacteria	k__Bacteria.p__Desulfobacterota	k__Bacteria.p__Cyanobacteria	k__Bacteria.p__Deferribacterota
Mouse5A.DTT29	27559	4443	232	6	2740	48	0	10
Mouse6A.DTT35	20911	2511	63	21	1657	146	14	48
Mouse1B.DTT15	34494	10626	49	10	509	575	42	14170
Mouse1B.DTT18	4116	8137	117	26	265	247	6	325
Mouse5A.DTT27	26060	9445	28	12	553	310	31	23539
Mouse4A.DTT19	30966	9184	7	7	443	112	43	3945
Mouse5A.DTT30	29802	4781	127	12	1591	95	0	17
Mouse5A.DTT28	27904	5415	28	3	2527	116	7	1072
Mouse7A.DTT38	18866	13521	36	17	439	170	79	767
Mouse7A.DTT41	17579	4445	294	20	2244	246	3	9
Mouse4A.DTT22	9149	7121	13	7	758	32	11	10
Mouse6A.DTT31	29433	15900	62	255	627	786	84	3569
Mouse7A.DTT42	21200	6114	198	73	1670	268	0	110
Mouse1B.DTT16	17358	5037	187	49	2850	79	8	191
Mouse1B.DTT14	28878	14608	144	136	304	547	100	6331
Mouse1B.DTT13	34292	8663	83	372	586	271	39	4043
Mouse6A.DTT34	9731	783	3	19	997	64	0	40
Mouse5A.DTT26	41790	7962	42	10	918	156	25	922
Mouse4A.DTT21	12900	8446	20	9	151	125	59	15612
Mouse4A.DTT24	27205	12765	73	47	2009	190	0	68
Mouse1B.DTT17	8193	10608	21	76	370	88	11	564
Mouse5A.DTT25	19385	15796	2	10	220	124	15	6429
Mouse7A.DTT39	25800	13374	215	25	791	500	52	12330
Mouse4A.DTT20	17927	11512	14	17	148	115	68	9480
Mouse6A.DTT32	20256	14370	27	29	259	468	118	1753
Mouse6A.DTT33	18642	10665	33	37	222	825	88	15288
Mouse6A.DTT36	24868	4301	115	16	3629	152	0	39
Mouse4A.DTT23	14714	22783	36	10	948	82	2	37
Mouse7A.DTT37	30535	6057	128	43	1243	39	45	357
Mouse7A.DTT40	17474	4971	67	14	2081	135	3	195
Mouse9A.DTT98	28285	53878	93	171	474	887	96	880
Mouse10A.DTT109	23749	10556	198	879	1062	134	43	17231
Mouse9A.DTT100	67229	2574	303	4593	4728	717	0	51
Mouse9A.DTT101	47453	2929	352	3772	1102	796	2	29
Mouse10A.DTT110	35326	5972	7	13	592	72	98	3058
Mouse9A.DTT99	21908	24189	186	72	359	438	53	23262
Mouse9A.DTT97	22016	17150	101	308	411	353	51	36933
Mouse8A.DTT90	47351	6584	371	73	14545	36	2	66
Mouse10A.DTT111	34836	8786	17	0	476	151	93	2048
Mouse10A.DTT113	35440	10532	122	13	2572	70	0	20
Mouse9A.DTT102	40038	2270	178	2400	483	686	0	16
Mouse10A.DTT112	28545	10324	47	20	4292	222	10	162
Mouse10A.DTT114	19168	13406	257	229	1195	120	40	934
Mouse8A.DTT85	37112	15578	122	227	845	665	23	490
Mouse8A.DTT86	25676	12863	52	102	820	278	1	520
Mouse8A.DTT88	19302	3115	273	19	5541	94	0	113
Mouse8A.DTT89	47666	2356	349	19	13708	102	14	10
Mouse8A.DTT87	10287	12860	40	94	363	415	5	42097
