OTU ID	GnotobioticExp-FP-188-S51	GnotoExpt-FP569-S85	GnotoExpt-FP617-S313	806rcbc422-S327	806rcbc392-S297	806rcbc423-S424	806rcbc477-S382	GnotobioticExp-FP-199-S63	GnotobioticExp-FP-193-S57	GnotoExpt-FP562-S78	806rcbc481-S386	GnotoExpt-FP552-S67	GnotoExpt-FP610-S306	806rcbc421-S326	GnotoExpt-FP452-S673	806rcbc179-S276	GnotoExpt-FP461-S682	GnotobioticExp-FP-209-S73	GnotoExpt-FP457-S678	806rcbc425-S330	GnotoExpt-FP456-S677	806rcbc175-S272	GnotobioticExp-FP-197-S61	GnotoExpt-FP554-S69	GnotoExpt-FP472-S693	806rcbc394-S299	806rcbc433-S338	GnotoExpt-FP475-S696	GnotobioticExp-FP-207-S71	806rcbc176-S273	806rcbc474-S379	GnotoExpt-FP455-S676	806rcbc432-S337	GnotoExpt-FP539-S54	GnotoExpt-FP558-S74	GnotoExpt-FP616-S312	806rcbc393-S298	GnotoExpt-FP453-S674	GnotoExpt-FP614-S310	GnotobioticExp-FP-196-S60	GnotobioticExp-FP-175-S37	GnotoExpt-FP564-S80	GnotoExpt-FP536-S51	806rcbc466-S371	GnotoExpt-FP469-S690	GnotoExpt-FP555-S71	806rcbc401-S306	806rcbc403-S308	GnotoExpt-FP474-S695	GnotobioticExp-FP-189-S52	GnotoExpt-FP465-S686	806rcbc479-S384	GnotoExpt-FP570-S86	GnotoExpt-FP595-S291	GnotoExpt-FP479-S700	806rcbc472-S377	806rcbc398-S303	806rcbc400-S305	GnotoExpt-FP549-S64	GnotoExpt-FP464-S685	806rcbc434-S339	806rcbc169-S266	GnotoExpt-FP551-S66	806rcbc436-S341	806rcbc423-S328	806rcbc426-S331	GnotoExpt-FP565-S81	GnotoExpt-FP615-S311	806rcbc396-S301	806rcbc480-S385	GnotobioticExp-FP-186-S49	GnotobioticExp-FP-177-S39	GnotoExpt-FP548-S63	GnotoExpt-FP618-S314	806rcbc430-S335	GnotoExpt-FP529-S44	806rcbc469-S374	806rcbc173-S270	GnotoExpt-FP609-S305	GnotoExpt-FP557-S73	806rcbc465-S370	GnotobioticExp-FP-190-S53	GnotobioticExp-FP-201-S65	GnotoExpt-FP561-S77	GnotoExpt-FP602-S298	806rcbc427-S332	GnotoExpt-FP462-S683	GnotobioticExp-FP-198-S62	GnotoExpt-FP608-S304	GnotoExpt-FP540-S55	GnotoExpt-FP466-S687	806rcbc428-S333	GnotobioticExp-FP-208-S72	806rcbc431-S336	806rcbc168-S265	GnotoExpt-FP600-S296	806rcbc171-S268	GnotobioticExp-FP-191-S54	806rcbc464-S369	806rcbc399-S304	GnotoExpt-FP545-S60	GnotoExpt-FP567-S83	806rcbc172-S269	GnotoExpt-FP483-S704	GnotoExpt-FP543-S58	GnotoExpt-FP484-S706	806rcbc438-S343	806rcbc174-S271	GnotoExpt-FP451-S672	GnotobioticExp-FP-187-S50	806rcbc402-S307	GnotoExpt-FP534-S49	GnotoExpt-FP467-S688	806rcbc178-S275	806rcbc390-S295	806rcbc435-S340	GnotoExpt-FP559-S75	GnotobioticExp-FP-206-S70	GnotobioticExp-FP-195-S59	GnotobioticExp-FP-179-S41	GnotoExpt-FP601-S297	GnotoExpt-FP533-S48	806rcbc467-S372	GnotoExpt-FP537-S52	GnotoExpt-FP459-S680	GnotoExpt-FP541-S56	GnotoExpt-FP612-S308	GnotoExpt-FP460-S681	GnotoExpt-FP486-S708	GnotoExpt-FP478-S699	GnotoExpt-FP454-S675	GnotoExpt-FP470-S691	GnotoExpt-FP535-S50	GnotobioticExp-FP-205-S69	GnotoExpt-FP468-S689	GnotoExpt-FP597-S293	GnotoExpt-FP599-S295	GnotoExpt-FP611-S307	806rcbc407-S312	GnotoExpt-FP546-S61	GnotoExpt-FP481-S702	GnotobioticExp-FP-194-S58	GnotobioticExp-FP-181-S44	806rcbc471-S376	GnotoExpt-FP485-S707	GnotobioticExp-FP-204-S68	GnotobioticExp-FP-202-S66	GnotoExpt-FP463-S684	GnotoExpt-FP547-S62	GnotoExpt-FP603-S299	GnotoExpt-FP605-S301	806rcbc429-S334	GnotoExpt-FP458-S679	GnotoExpt-FP480-S701	GnotoExpt-FP538-S53	GnotobioticExp-FP-182-S45	GnotobioticExp-FP-176-S38	GnotobioticExp-FP-210-S74	GnotobioticExp-FP-184-S47	GnotoExpt-FP550-S65	GnotoExpt-FP477-S698	806rcbc404-S309	GnotoExpt-FP563-S79	GnotoExpt-FP531-S46	GnotobioticExp-FP-200-S64	806rcbc397-S302	GnotoExpt-FP607-S303	806rcbc437-S342	GnotoExpt-FP542-S57	GnotoExpt-FP613-S309	GnotoExpt-FP568-S84	806rcbc470-S375	GnotoExpt-FP553-S68	GnotoExpt-FP482-S703	GnotobioticExp-FP-203-S67	806rcbc406-S311	806rcbc170-S267	GnotobioticExp-FP-185-S48	806rcbc473-S378	GnotobioticExp-FP-183-S46	GnotoExpt-FP556-S72	GnotoExpt-FP532-S47	GnotoExpt-FP473-S694	GnotoExpt-FP471-S692	806rcbc468-S373	GnotoExpt-FP566-S82	GnotobioticExp-FP-192-S55	806rcbc177-S274	806rcbc476-S381	GnotobioticExp-FP-180-S43	GnotoExpt-FP604-S300	806rcbc391-S296	GnotoExpt-FP596-S292	GnotoExpt-FP544-S59	806rcbc405-S310	806rcbc424-S329	GnotoExpt-FP606-S302	GnotobioticExp-FP-178-S40	GnotoExpt-FP598-S294	806rcbc395-S300	GnotoExpt-FP560-S76	806rcbc478-S383	GnotobioticExp-FP-372.fastq	GnotobioticExp-FP-319.fastq	GnotobioticExp-FP-384.fastq	GnotobioticExp-FP-314.fastq	GnotobioticExp-FP-301.fastq	GnotobioticExp-FP-315.fastq	GnotobioticExp-FP-369.fastq	GnotobioticExp-FP-377.fastq	GnotobioticExp-FP-304.fastq	GnotobioticExp-FP-313.fastq	GnotobioticExp-FP-375.fastq	GnotobioticExp-FP-317.fastq	GnotobioticExp-FP-306.fastq	GnotobioticExp-FP-386.fastq	GnotobioticExp-FP-305.fastq	GnotobioticExp-FP-366.fastq	GnotobioticExp-FP-371.fastq	GnotobioticExp-FP-365.fastq	GnotobioticExp-FP-302.fastq	GnotobioticExp-FP-380.fastq	GnotobioticExp-FP-393.fastq	GnotobioticExp-FP-321.fastq	GnotobioticExp-FP-391.fastq	GnotobioticExp-FP-394.fastq	GnotobioticExp-FP-363.fastq	GnotobioticExp-FP-303.fastq	GnotobioticExp-FP-385.fastq	GnotobioticExp-FP-307.fastq	GnotobioticExp-FP-381.fastq	GnotobioticExp-FP-312.fastq	GnotobioticExp-FP-309.fastq	GnotobioticExp-FP-318.fastq	GnotobioticExp-FP-370.fastq	GnotobioticExp-FP-383.fastq	GnotobioticExp-FP-367.fastq	GnotobioticExp-FP-378.fastq	GnotobioticExp-FP-310.fastq	GnotobioticExp-FP-322.fastq	GnotobioticExp-FP-373.fastq	GnotobioticExp-FP-364.fastq	GnotobioticExp-FP-382.fastq	GnotobioticExp-FP-387.fastq	GnotobioticExp-FP-388.fastq	GnotobioticExp-FP-368.fastq	GnotobioticExp-FP-361.fastq	GnotobioticExp-FP-389.fastq	GnotobioticExp-FP-311.fastq	GnotobioticExp-FP-379.fastq	GnotobioticExp-FP-308.fastq	GnotobioticExp-FP-392.fastq	GnotobioticExp-FP-323.fastq	GnotobioticExp-FP-316.fastq	GnotobioticExp-FP-396.fastq	GnotobioticExp-FP-374.fastq	GnotobioticExp-FP-324.fastq	GnotobioticExp-FP-320.fastq	GnotobioticExp-FP-390.fastq	GnotobioticExp-FP-362.fastq	GnotobioticExp-FP-376.fastq	GnotobioticExp-FP-395.fastq	taxonomy
k__Bacteria;p__Firmicutes	385	6347	38446	2102	3529	18553	3056	1997	4776	9819	32861	10485	86620	4035	3070	4722	3231	24430	3022	15609	15678	1688	9209	4918	5294	13268	5108	5694	1254	2193	25605	12519	16460	18909	7739	10457	9952	3115	3796	8036	1721	15465	2843	2216	2383	6001	17346	1189	11466	3071	2688	41878	13947	4503	3032	2290	1756	3583	4204	2834	6074	1442	22994	2374	4589	8431	4329	4760	1728	19263	6186	2842	4189	1578	5854	3536	33100	4360	8896	10132	1731	12586	616	7876	5605	2437	4816	1584	5072	21014	8279	2484	15221	14519	1307	13064	2723	2435	1368	13077	12414	4316	716	5281	2761	7972	1078	1856	3163	1543	963	4335	31372	10092	1962	3823	6113	1150	2317	5635	3957	13859	33942	4576	3865	1893	1956	6899	7543	5862	3211	2039	4146	2074	36040	5617	43871	69234	1240	12019	2810	2490	609	1629	6436	40694	16462	3328	3444	10743	31112	3208	3406	9353	13508	2067	786	18822	1983	29622	3530	1411	11480	5671	3044	1509	4868	817	3466	2552	11032	2171	3552	2400	18830	7262	1818	3244	18328	2314	8858	32633	8131	3027	15136	3780	51788	1839	3607	1844	12580	1972	4709	35429	4644	6423	34367	2652	196487	26288	8175	2265	1898	5019	512	1004	1783	1333	4123	3912	3668	1669	3013	2278	4319	2065	5517	2071	2276	1780	2093	4659	2665	7342	2864	5240	3172	1406	2918	1345	4674	4777	1517	2328	5902	570	2609	2429	2445	1436	2731	2690	1100	2486	3372	3377	2803	2280	4605	4335	2494	2976	6311	1893	3132	2238	3673	5215	3271	2264	5458	3387	
k__Bacteria;p__Cyanobacteria	0	18	174	0	0	5	0	0	0	4	1415	34	1334	0	3	113	17419	4786	0	0	3254	0	4762	0	52	925	60	8	0	0	255	2199	4048	2340	271	20	258	4	0	25	0	1095	0	0	3	0	4067	0	156	0	0	344	202	0	11675	0	0	41	0	1	478	0	2933	0	0	0	0	0	0	514	0	0	0	9	711	0	3152	56	0	20	0	117	0	0	3	0	5709	11301	2	5	5143	0	52	1276	0	5514	165	21	0	127	15	0	0	9	0	315	0	0	2	0	0	339	776	177	0	10	0	0	0	255	0	1524	58	0	1	0	10	2346	12419	3229	30	2	2	0	767	0	2221	3658	29247	0	1	0	0	0	10363	465	481	2	0	0	50	0	6	3615	68	0	0	19476	642	136	0	0	510	0	0	0	0	0	2	0	7	0	0	0	703	3778	3	156	35	0	23	66	490	3	520	0	36	32	0	7	0	0	0	979	55	2143	785	19	61	2304	0	0	1633	0	7128	0	0	0	0	292	36	0	0	403	69	0	2729	24	713	113	0	0	0	0	0	104	0	0	5	0	0	33055	0	219	263	482	0	70	15	19	0	70	36	0	19	0	0	160	1231	12	0	6	8602	2	577	5	6768	9	5012	0	329	191	
k__Bacteria;p__Bacteroidota	20497	35280	3997	29311	34119	167	17139	15875	11616	29750	2985	38302	16483	31908	43304	7713	257	13449	38694	1691	24781	40270	7655	62220	627	22781	26517	46951	6035	34854	2518	35977	23485	26723	7738	33409	12519	38071	32848	985	23299	34510	22502	9486	26034	47982	22735	37058	363	20959	28069	5064	16308	38116	467	8135	32567	33720	23313	34198	8520	36386	5592	28900	33030	2234	66856	22564	39251	2808	1077	16408	23506	1637	15139	24744	3920	3010	26878	24422	11913	282	4270	46549	37553	25999	3660	1118	34090	11268	429	27836	2635	28877	39386	25917	1926	116	8438	8508	14998	48879	1422	19438	20171	17720	24794	33794	42428	55163	32214	17699	1302	3904	28809	20137	51161	7402	9114	296	37967	24445	1246	22570	33845	24300	1623	26821	12193	4865	52094	25656	26690	7463	1658	29211	1949	6108	15621	9307	21227	9653	15852	32923	864	2792	371	40351	25851	28748	39335	27858	35707	15308	5677	29999	28044	5428	12838	6882	19670	37449	7820	18569	18435	42436	34524	23245	25767	28760	17782	11647	51578	23566	3709	23559	34383	1143	2431	15255	21466	1371	186	18910	4520	57842	92	850	23373	206	24783	30676	30782	8519	18126	1021	5042	2319	3382	13425	54089	12437	2061	14943	316	17804	15931	21426	18714	55	547	19675	12190	676	3174	30126	925	11855	620	9553	16365	44386	35550	19373	27676	12096	14374	17132	28983	20289	35079	4364	25585	9119	589	1033	20643	52	2955	1861	14714	9723	330	28917	10174	17206	12515	1852	2424	38500	21271	33652	3478	9407	1675	16206	3787	19447	938	16595	1805	2499	
k__Bacteria;p__Proteobacteria	60	14667	22357	428	363	102	80	857	691	3357	2632	117	2306	179	12	91357	11064	16210	40	2186	2033	859	25534	320	448	25282	472	28	513	458	1506	1284	2980	2443	4480	2874	6596	7	2649	4284	9	1592	55	43	61	94	11772	451	366	53	3	1092	5972	2291	5863	57	450	820	232	4	1942	984	7376	141	201	2735	77	621	321	1460	51	23	525	1523	17204	227	2029	44057	1546	4699	56	412	275	84	4401	165	29862	4754	4210	4950	13397	306	2158	1896	339	3776	176107	40	51	2627	10208	51	62556	28	236	1612	143	353	8	10	192	586	1586	67175	267	786	123	732	591	920	3759	6396	466	70	10	178	1898	2196	1283	9098	171	67	514	789	454	1462	4469	34811	14319	173	54	564	27	23	3375	1574	7468	52	335	2307	4895	197	89	1014	50159	41	65	4914	2990	3315	1	324	883	133	1450	483	5524	126	637	3062	7606	55	100	40	9272	18633	676	987	899	22	25468	56047	639	10	1671	93	8	77811	57	23	7021	439	1856	8752	11990	27041	5243	196	13634	10734	246	50	1515	723	54773	16	26	36	127	1103	196	31	125	292	154	58	4959	231	842	404	33	619	23	830	84	842	147	20	0	80	1088	8589	387	40	1997	57270	156	542	75	11621	147	2929	86326	3	507	126	117	62	5200	375	52	61	6213	32	315	279	2754	842	1085	164	1962	2182	
k__Bacteria;p__Actinobacteriota	0	4	31	0	9	0	0	2	0	43	9	4	5	7	0	0	0	373	0	75	13	0	23	0	123	37	16	8	0	12	20	11	11	106	98	2	31	2	0	0	0	29	4	0	6	3	78	0	152	3	0	14	113	0	20	0	3	5	0	0	84	0	1317	0	5	119	4	0	3	20	17	2	11	47	53	5	20	43	2	3	0	12	3	0	2	2	3	3	0	314	20	3	6	12	0	8	4	6	0	38	79	7	14	2	5	35	0	0	0	0	0	14	121	71	2	32	2	0	4	50	0	111	5	5	0	4	42	2	221	14	0	6	11	0	93	0	50	3	0	9	5	2	0	0	224	16	8	5	4	0	20	0	0	41	477	0	0	23	3	1858	6	4	193	5	0	4	2	0	16	0	46	0	0	3	107	24	6	29	7	0	36	436	154	2	17	0	10	0	0	12	0	6	0	459	9	129	28	26	30	100	0	0	11	0	0	0	0	3	0	26	114	2	0	164	90	7	96	3	15	6	2	6	6	0	6	0	2	0	7	0	5	151	6	10	42	3	0	15	78	16	2	13	0	6	54	2	2	30	142	8	0	10	70	23	59	0	0	0	16	0	27	20	
k__Bacteria;p__Verrucomicrobiota	1	5006	3103	7873	2	19595	9348	1	1	78730	33540	8144	4887	4199	3	16	1	5	3	14745	1	2	1118	4844	17471	5	5181	6503	0	0	115575	3	1880	6082	20765	739	2	4	2211	9096	0	42068	3	6502	5237	4073	13	1	11748	1	4	37259	47985	1880	175	10045	1	2	1	2	12102	1	8042	2333	1723	13322	10365	736	1	75137	14	0	1	3927	7138	4	44354	1	373	5111	8070	0	0	742	2061	4420	10	4	1101	13788	1	2530	3210	6096	2	7676	2	0	8593	2	30201	3542	1	4817	3	8931	6270	5	3	1	0	10462	4	2	1	11962	2669	0	1	0	1045	11156	4421	6	3	6	4612	2	2300	709	3	6397	1	0	5	695	45650	1775	885	11111	8032	0	0	27095	4095	1	0	1	1	665	6665	2086	3	3438	3	1	1	4	0	32	4365	0	65777	7	0	1	2328	5617	4	2808	84599	11410	4516	3629	1	1680	1	16	50270	0	32096	3821	14560	7556	29875	10268	1	3	16838	0	1231	1	2302	1667	2	2342	22682	0	40820	55	4487	7015	1	2016	70	279	425	337	2	1	8321	663	2	8073	1744	992	6498	1	1	1	605	364	517	599	1277	94	2	403	1698	905	343	3360	352	655	3	113	4	1	7639	8097	4	2	5	584	3021	3	2	2464	7945	994	569	1773	11927	902	3099	4	742	2459	213	3	2	2458	
k__Bacteria;p__Desulfobacterota	0	0	28	0	0	0	0	0	0	0	0	0	43	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	3	0	0	6	147	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	215	0	9	0	0	0	0	1	2	0	0	0	0	19	6	0	0	0	0	49	0	0	0	5	1	0	0	194	0	0	41	0	0	0	0	7	0	0	0	0	5	0	0	0	0	0	6	0	0	0	0	0	0	0	0	12	33	0	0	0	0	3	0	13	0	0	0	0	0	0	14	568	140	0	316	0	0	0	0	0	0	0	0	0	40	56	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	11	0	0	4	3	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	6	0	0	0	127	0	2054	0	0	0	1	167	0	1	1	2	1	0	2	4	0	1	2	1	8	1	0	0	2	1	1	510	1	2	0	2	2	1	1	1	1	1	0	1	0	0	1	1	0	1	1	1	16	0	0	1	1	1	1	1	1	1	1	0	27	273	1	1	0	1	
