df,feature,Phylum,Order,Family,Genus,annotation
k__Bacteria.p__Bacteroidota.c__Bacteroidia.o__Bacteroidales.f__Prevotellaceae.g__Prevotellaceae.UCG.001,k__Bacteria.p__Bacteroidota.c__Bacteroidia.o__Bacteroidales.f__Prevotellaceae.g__Prevotellaceae.UCG.001,Bacteroidota,Bacteroidales (o),Prevotellaceae (f),Prevotellaceae.UCG.001,Prevotellaceae.UCG.001
k__Bacteria.p__Bacteroidota.c__Bacteroidia.o__Bacteroidales.f__Bacteroidaceae.g__Bacteroides,k__Bacteria.p__Bacteroidota.c__Bacteroidia.o__Bacteroidales.f__Bacteroidaceae.g__Bacteroides,Bacteroidota,Bacteroidales (o),Bacteroidaceae (f),Bacteroides,Bacteroides
k__Bacteria.p__Bacteroidota.c__Bacteroidia.o__Bacteroidales.f__Prevotellaceae.g__Alloprevotella,k__Bacteria.p__Bacteroidota.c__Bacteroidia.o__Bacteroidales.f__Prevotellaceae.g__Alloprevotella,Bacteroidota,Bacteroidales (o),Prevotellaceae (f),Alloprevotella,Alloprevotella
k__Bacteria.p__Firmicutes.c__Bacilli.o__Lactobacillales.f__Lactobacillaceae.g__Ligilactobacillus,k__Bacteria.p__Firmicutes.c__Bacilli.o__Lactobacillales.f__Lactobacillaceae.g__Ligilactobacillus,Firmicutes,Lactobacillales (o),Lactobacillaceae (f),Ligilactobacillus,Ligilactobacillus
k__Bacteria.p__Proteobacteria.c__Gammaproteobacteria.o__Burkholderiales.f__Sutterellaceae.g__Parasutterella,k__Bacteria.p__Proteobacteria.c__Gammaproteobacteria.o__Burkholderiales.f__Sutterellaceae.g__Parasutterella,Proteobacteria,Burkholderiales (o),Sutterellaceae (f),Parasutterella,Parasutterella
k__Bacteria.p__Bacteroidota.c__Bacteroidia.o__Bacteroidales.f__Muribaculaceae.g__,k__Bacteria.p__Bacteroidota.c__Bacteroidia.o__Bacteroidales.f__Muribaculaceae.g__,Bacteroidota,Bacteroidales (o),Muribaculaceae (f),,Muribaculaceae (f)
k__Bacteria.p__Firmicutes.c__Clostridia.o__Peptostreptococcales.Tissierellales.f__Anaerovoracaceae.g__.Eubacterium..nodatum.group,k__Bacteria.p__Firmicutes.c__Clostridia.o__Peptostreptococcales.Tissierellales.f__Anaerovoracaceae.g__.Eubacterium..nodatum.group,Firmicutes,Peptostreptococcales.Tissierellales (o),Anaerovoracaceae (f),.Eubacterium..nodatum.group,.Eubacterium..nodatum.group
k__Bacteria.p__Firmicutes.c__Clostridia.o__Oscillospirales.f__Ruminococcaceae.g__,k__Bacteria.p__Firmicutes.c__Clostridia.o__Oscillospirales.f__Ruminococcaceae.g__,Firmicutes,Oscillospirales (o),Ruminococcaceae (f),,Ruminococcaceae (f)
k__Bacteria.p__Bacteroidota.c__Bacteroidia.o__Bacteroidales.f__Muribaculaceae.g__Muribaculum,k__Bacteria.p__Bacteroidota.c__Bacteroidia.o__Bacteroidales.f__Muribaculaceae.g__Muribaculum,Bacteroidota,Bacteroidales (o),Muribaculaceae (f),Muribaculum,Muribaculum
k__Bacteria.p__Firmicutes.c__Bacilli.o__Lactobacillales.f__Streptococcaceae.g__Streptococcus,k__Bacteria.p__Firmicutes.c__Bacilli.o__Lactobacillales.f__Streptococcaceae.g__Streptococcus,Firmicutes,Lactobacillales (o),Streptococcaceae (f),Streptococcus,Streptococcus
