	TL1a_FP_88	TL1a_DTT_268_Repeat	TL1a_FP_130	TL1a_DTT_130_Repeat	TL1a_DTT_196_Repeat	TL1a_FP_196	TL1a_DTT_88_Repeat	TL1a_FP_160	TL1a_FP_286	TL1a_FP_232	TL1a_FP_268	TL1a_DTT_160	TL1a_DTT_286	TL1a_DTT_232	TL1A_DTT_628
TL1a_FP_88	0.0	2.3897254467275624	3.713578881020866	2.0520065586850356	1.5885048588321673	0.3404594446469034	0.9109934041948633	2.6478760021274126	1.138092009677958	2.179471461326212	2.5047188916592744	1.627247067889814	0.6947232419417361	3.461178665723836	1.9373984733924348
TL1a_DTT_268_Repeat	2.3897254467275624	0.0	2.069986684412854	0.6302658847570449	1.2741683572602385	2.3376080973365307	1.729684894086898	2.451117397306749	1.3239735386157745	0.5229213039426174	2.1480745420938665	2.4058536752544915	2.0972241009596164	1.5257439902728027	0.6577822530292662
TL1a_FP_130	3.713578881020866	2.069986684412854	0.0	1.8884445614244907	3.2021756736666425	3.7607065086344504	2.8769498759694554	2.271211944031774	3.0206327058088496	2.382466638058993	2.0572864402039412	2.8149976997730612	3.7521267978566555	3.010908498665941	1.977700840088471
TL1a_DTT_130_Repeat	2.0520065586850356	0.6302658847570449	1.8884445614244907	0.0	1.409241405989227	2.0248372713215526	1.3441163750366742	1.878417449071647	1.154137917172047	0.88380799690442	1.5753207796282038	1.79699663881875	1.938829449828486	2.1375634280835114	0.14206231324519805
TL1a_DTT_196_Repeat	1.5885048588321673	1.2741683572602385	3.2021756736666425	1.409241405989227	0.0	1.525471327708342	1.3086489072316934	3.004448972871285	0.6783264406286169	0.9254016504695033	2.742736708621989	2.4629516697563782	1.0371648234768753	1.9213962111494745	1.3053126359496423
TL1a_FP_196	0.3404594446469034	2.3376080973365307	3.7607065086344504	2.0248372713215526	1.525471327708342	0.0	1.0794212462742612	2.6087894606595876	1.0385559847245096	2.1680452320771013	2.468785491929676	1.6625608418210271	0.6197482488691282	3.418943535168773	1.9217819224230208
TL1a_DTT_88_Repeat	0.9109934041948633	1.729684894086898	2.8769498759694554	1.3441163750366742	1.3086489072316934	1.0794212462742612	0.0	2.271866031150855	0.8922167780262401	1.5193425103427538	2.0587598678239623	1.4276850180677367	1.0828970210816797	2.889048126372602	1.2156717445258356
TL1a_FP_160	2.6478760021274126	2.451117397306749	2.271211944031774	1.878417449071647	3.004448972871285	2.6087894606595876	2.271866031150855	0.0	2.416789169474254	2.7544155265945447	0.3086108587584617	1.1552289187903717	2.958448357169547	3.965034124182436	1.9357455142422313
TL1a_FP_286	1.138092009677958	1.3239735386157745	3.0206327058088496	1.154137917172047	0.6783264406286169	1.0385559847245096	0.8922167780262401	2.416789169474254	0.0	1.1646927859262106	2.1802144263649517	1.817674981614516	0.815886621921041	2.42243728204709	1.04963801372935
TL1a_FP_232	2.179471461326212	0.5229213039426174	2.382466638058993	0.88380799690442	0.9254016504695033	2.1680452320771013	1.5193425103427538	2.7544155265945447	1.1646927859262106	0.0	2.4541513034193865	2.496843334018456	1.8248130268598182	1.4064388370073413	0.8212404421127867
TL1a_FP_268	2.5047188916592744	2.1480745420938665	2.0572864402039412	1.5753207796282038	2.742736708621989	2.468785491929676	2.0587598678239623	0.3086108587584617	2.1802144263649517	2.4541513034193865	0.0	1.1175452194118956	2.767763320828086	3.6608214502587018	1.6361697246497033
TL1a_DTT_160	1.627247067889814	2.4058536752544915	2.8149976997730612	1.79699663881875	2.4629516697563782	1.6625608418210271	1.4276850180677367	1.1552289187903717	1.817674981614516	2.496843334018456	1.1175452194118956	0.0	2.1024521293767693	3.8797883390445773	1.7670118801004762
TL1a_DTT_286	0.6947232419417361	2.0972241009596164	3.7521267978566555	1.938829449828486	1.0371648234768753	0.6197482488691282	1.0828970210816797	2.958448357169547	0.815886621921041	1.8248130268598182	2.767763320828086	2.1024521293767693	0.0	2.9564471415880282	1.8210255084453897
TL1a_DTT_232	3.461178665723836	1.5257439902728027	3.010908498665941	2.1375634280835114	1.9213962111494745	3.418943535168773	2.889048126372602	3.965034124182436	2.42243728204709	1.4064388370073413	3.6608214502587018	3.8797883390445773	2.9564471415880282	0.0	2.1333328417946307
TL1A_DTT_628	1.9373984733924348	0.6577822530292662	1.977700840088471	0.14206231324519805	1.3053126359496423	1.9217819224230208	1.2156717445258356	1.9357455142422313	1.04963801372935	0.8212404421127867	1.6361697246497033	1.7670118801004762	1.8210255084453897	2.1333328417946307	0.0
