feature	k__Bacteria.p__Bacteroidota	k__Bacteria.p__Firmicutes	k__Bacteria.p__Proteobacteria	k__Bacteria.p__Verrucomicrobiota	k__Bacteria.p__Actinobacteriota	k__Bacteria.p__Desulfobacterota
TL1a_DTT_268_Repeat	2.57779572796114	2.2647366840429	-0.0583132440723325	-1.20964231491285	-3.55144812106017	-0.0231287319586791
TL1a_DTT_269_Repeat	3.39145308879653	4.00023128124384	-2.4158988248126	0.682295029703344	-4.66719062341909	-0.990889951512016
TL1a_DTT_127_Repeat	5.29719700303031	4.95238209084828	0.323383777327631	-3.45510783547599	-2.27645283913435	-4.84140219659588
TL1a_DTT_157_Repeat	4.76225501005589	4.38393980849959	-0.591909369511255	-3.15685872697279	-4.94861819620085	-0.448808525870582
TL1a_DTT_130_Repeat	5.58892235086522	4.69573746602759	1.53466321663982	-4.30597844073358	-3.20736615206547	-4.30597844073358
TL1a_DTT_196_Repeat	6.37326982499877	4.43943137923563	-4.24817946447174	-4.24817946447174	-0.0140729598744828	-2.30226931541643
TL1a_DTT_90_Repeat	2.73979934962491	3.52762503497665	0.601275602886869	0.270464169538055	-5.52559358122732	-1.61357057579917
TL1a_DTT_198_Repeat	5.8952638264448	5.41762501115393	1.20323659636344	-4.17204181132072	-4.17204181132072	-4.17204181132072
TL1a_DTT_88_Repeat	3.19898697169047	4.29886152456887	2.00540891513809	0.0457685732708795	-4.77451299233416	-4.77451299233416
TL1a_DTT_89_Re_extracted	3.53871257103841	2.35541870574736	-0.0869283296218398	0.119821411916694	-2.81967114331442	-3.1073532157662
TL1a_DTT_197_Repeat	4.78343858567174	3.03042406704636	-0.420224635834104	-1.58337544563979	-1.51883692450221	-4.291425646742
TL1a_DTT_270_Repeat	2.88033970789305	3.16361388718669	-0.813873434924858	-1.55452294946981	-3.42497468727353	-0.250582523411544
TL1a_DTT_284	5.04465604167897	7.16805511724761	-3.11206930755984	-1.2025268026754	-3.39975138001162	-4.49836366867973
TL1a_DTT_231	3.86233881540562	5.70392348257471	-5.91223523703717	1.20253421132929	-3.71501065970095	-1.1415506125715
TL1a_DTT_267	4.84840785400775	6.06389021316475	-1.90320330657661	-5.56676495270625	-3.16886967990788	-0.27346012798176
TL1a_DTT_160	3.72515939888622	2.28156848466205	-1.01196198450688	-1.08643807740836	-3.86938958668369	-0.0389382349493513
TL1a_DTT_234	4.44486312950793	2.84875979382345	-2.78245198799792	1.27498801728873	-3.83850466224723	-1.94765429037495
TL1a_DTT_158	4.173298159839	4.18706898807281	-1.44001241165312	-2.03784941240874	-4.43574468520711	-0.446760638642837
TL1a_DTT_129	5.18705413017198	5.5226569846719	-0.705719528972204	-3.10361480177057	-2.41046762121063	-4.48990916289047
TL1a_DTT_265	3.38838540744757	4.46129417055173	-0.70417184420044	-2.09046620532033	-3.74869428192386	-1.30634724655466
TL1a_DTT_285	5.21770117846292	4.6846760948791	-1.24012267007514	-2.14090921541333	-1.12233963441875	-5.39900575343481
TL1a_DTT_159	4.48170858570257	3.39781258929288	-0.119685248065436	-1.12648998748042	-5.68036687908096	-0.952979060368623
TL1a_DTT_287	4.58624261613347	5.03401677489064	-4.14751251523142	-1.20307353606498	-0.122160824496275	-4.14751251523142
TL1a_DTT_233	5.18029314110766	4.27665950536443	-4.34483363951231	-2.22457010331222	-3.2462213508442	0.358672447196642
TL1a_DTT_195	5.60254830680711	7.49452057665278	-4.170146955479	-1.27977519758283	-3.47699977491905	-4.170146955479
TL1a_DTT_85	4.0370034710207	3.70396036486774	-1.08783245981369	-0.769378728695158	-4.23198473848596	-1.65176790889363
TL1a_DTT_86	4.36276066750711	5.03218585277903	-2.62312244346553	-0.430740490605095	-5.75861665939468	-0.582466926820847
TL1a_DTT_193	5.09906029470402	4.54719573515031	-3.44941005529799	0.642550715568838	-4.00902584323341	-2.83037084689176
TL1a_DTT_286	5.3095751715487	5.32963403761668	-2.57844670218269	-3.27159388274263	-0.418962452829315	-4.37020617141074
TL1a_DTT_230	4.90828766588558	5.6647358553824	-4.25349251547523	-4.25349251547523	-4.25349251547523	2.1874540251577
TL1a_DTT_128	5.5453429722431	5.60376344102109	1.40315989048414	-4.18408876791611	-4.18408876791611	-4.18408876791611
TL1a_DTT_283	5.49244046119736	4.68666379575262	-0.481171710808154	-3.28885175285921	-1.1743188913681	-5.23476190191452
TL1a_DTT_194	5.27104100933052	4.06109074824808	-2.88692636839575	-2.66378281708154	-2.19377918783581	-1.58764338426549
TL1a_DTT_229	3.63080890757011	2.11604299050034	0.290857228713159	1.31812425713604	-7.03560838512716	-0.320224998792482
TL1a_DTT_87	3.57042102435634	4.07979157118422	-2.30430697541777	-0.257612302157015	-3.54681344374595	-1.54147987421983
TL1a_DTT_266	3.27293271945884	3.47012958372469	-1.87909691252	-1.02274921661288	-2.70837626740453	-1.13283990664611
TL1a_DTT_232	3.74190229445551	4.78164907559843	-2.49773607061493	-0.294121695179937	-2.83806187655213	-2.89363172770694
TL1A_DTT_673	3.43315498514338	2.70289374357558	-0.403087738731239	1.08242247036946	-5.42036757554616	-1.39501588481101
TL1A_DTT_675	3.81577986403627	3.2174786920784	-2.35790206777327	0.518483448148151	-5.35363434132727	0.159794404837717
TL1A_DTT_626	3.32734235456682	3.15125219523436	-1.60168716604102	1.03060881259619	-4.18568471847326	-1.72183147788309
TL1A_DTT_629	4.00462201482032	2.07728719992877	-0.963239463292644	1.58489635326556	-6.27644544233443	-0.427120662387572
TL1A_DTT_674	3.45364287989153	3.19258373353602	-2.83049128117927	0.473856274492964	-4.2968283499727	0.00723674323146859
TL1A_DTT_627	2.87539092234005	4.22898888926755	-3.05046786766994	1.58328977517007	-4.25444067199587	-1.38276104711186
TL1A_DTT_630	3.45792001256339	1.82615942729309	0.320103078715089	1.56192425488979	-6.1047659451903	-1.06134082827105
TL1A_DTT_628	2.92608542037249	1.77848192592137	-0.687770630301387	-0.0421039879744359	-3.3108276185702	-0.663865109447832
