	IL17.DTT.115	IL17.DTT.116	IL17.DTT.117	IL17.DTT.118	IL17.DTT.119	IL17.DTT.120	IL17.DTT.127	IL17.DTT.128	IL17.DTT.129	IL17.DTT.130	IL17.DTT.131	IL17.DTT.132	IL17.DTT.143	IL17.DTT.144	IL17.DTT.139	IL17.DTT.140	IL17.DTT.141	IL17.DTT.142	IL17.DTT.188	IL17.DTT.189	IL17.DTT.201	IL17.DTT.202	IL17.DTT.203	IL17.DTT.199	IL17.DTT.200	IL17.DTT.217	IL17.DTT.218	IL17.DTT.219	IL17.DTT.220	IL17.DTT.221	IL17.DTT.222	IL17.DTT.25	IL17.DTT.26	IL17.DTT.27	IL17.DTT.28	IL17.DTT.29	IL17.DTT.105	IL17.DTT.106	IL17.DTT.103	IL17.DTT.104	IL17.DTT.53	IL17.DTT.49	IL17.DTT.50	IL17.DTT.51	IL17.DTT.52	IL17.DTT.85	IL17.DTT.86	IL17.DTT.87	IL17.DTT.88	IL17.DTT.89	IL17.DTT.90	TKO.DTT.1	TKO.DTT.2	TKO.DTT.3	TKO.DTT.4	TKO.DTT.5	TKO.DTT.6	TKO.DTT.43	TKO.DTT.44	TKO.DTT.45	TKO.DTT.46	TKO.DTT.47	TKO.DTT.48	TKO.DTT.31	TKO.DTT.32	TKO.DTT.33	TKO.DTT.34	TKO.DTT.35	TKO.DTT.16	TKO.DTT.17	TKO.DTT.18	TKO.DTT.22	TKO.DTT.23	TKO.DTT.24	TKO.DTT.19	TKO.DTT.20	TKO.DTT.21	TKO.DTT.58	TKO.DTT.59	TKO.DTT.60	TKO.DTT.55	TKO.DTT.56	TKO.DTT.57	TKO.DTT.69	TKO.DTT.70	TKO.DTT.71	TKO.DTT.72	TKO.DTT.78	TKO.DTT.73	TKO.DTT.74	TKO.DTT.75	TKO.DTT.76	TKO.DTT.77	TKO.DTT.87	TKO.DTT.88	TKO.DTT.89	TKO.DTT.90	TKO.DTT.91	TKO.DTT.92	TKO.DTT.93	TKO.DTT.94	TKO.DTT.95	TKO.DTT.103	TKO.DTT.104	TKO.DTT.105	TKO.DTT.106	TKO.DTT.107	TKO.DTT.108	TKO.DTT.109	TKO.DTT.110	TKO.DTT.111	TKO.DTT.112	TKO.DTT.113	TKO.DTT.123	TKO.DTT.124	TKO.DTT.125	TKO.DTT.126	TKO.DTT.127	TKO.DTT.128	TKO.DTT.129	TKO.DTT.130	TKO.DTT.131	TKO.DTT.132	TKO.DTT.139	TKO.DTT.140	TKO.DTT.141	TKO.DTT.142	TKO.DTT.143	TKO.DTT.144	TKO.DTT.154	TKO.DTT.155	TKO.DTT.156	TKO.DTT.151	TKO.DTT.152	TKO.DTT.153
IL17.DTT.115	0.0	1.4652267309638705	1.5806081837507908	1.3243848081207878	1.398172821701491	1.5653765824348878	0.410126381348392	2.2235012274022607	1.541367102788209	1.886209017938635	0.6205288133330923	0.7483950311764845	2.37614718318418	2.0541832228774837	0.6960077549829109	1.087105551962738	1.3838536462151514	2.5100177477468795	1.6206717772108952	1.4862340256681734	1.965425449636936	2.5389977781990276	2.4640278964824134	1.7668756825694025	1.9554518715198321	1.200656751487283	1.2925610350928567	1.5698684028604688	1.6489958832220875	1.396148104705631	1.31204205399861	1.0053115685689489	1.5216493259842212	1.22369015985266	2.7513770939882276	2.4494332934977217	1.1501255763066534	1.2184329847575228	0.7748128249179717	1.2823676351193554	1.5362123109162458	0.49046905722933964	1.2230995284812134	1.3431333292386733	1.8519533971095754	0.6366640344312383	1.4780092569885896	1.4909770947574674	1.7195867590505118	0.30242503052334524	1.015414428424863	1.0754661135922976	0.7837732019384938	1.225730538285785	1.228114949855911	1.4169315576329602	0.6683225703251788	0.8491640310231862	2.042070528416006	1.997568063128891	2.2721882764435635	2.0382852741943647	0.9260972426770084	1.3001063999254525	2.510429007438058	2.549760281541667	2.9779863278191465	1.9630954789112727	1.3504732412765348	0.7322103898285417	0.3192483392896228	1.6085843165402025	1.203818004423638	1.215287822981364	1.2074679403282873	1.9124940105941632	1.6902193933283032	1.212609801859416	1.0542427924359965	0.8643556012352773	1.3711558765318974	1.694822143909539	1.5439813517687315	2.4427908744664837	2.4302280352041237	2.6616963378994716	1.9758171501876802	0.7010496507743998	1.3209008292705429	1.5660653991977709	1.4159928334271539	1.7664488723201153	1.4367769994463557	1.9250023579391287	2.7829477986649325	2.136941062938723	1.6107134845216216	0.916159644524668	1.3764026821015838	1.257569213819324	1.6886851791046107	1.2049211645197395	0.7333270268329755	1.4884704603296293	1.4244182968371142	2.390578275680506	2.094081818142924	1.6168328203497409	0.5372237992650646	1.2776900598502727	1.086794394527376	2.024430082369943	2.117012677257097	1.2418622412154006	2.449933814555475	1.1832462970124127	1.056925335453153	0.729273949042032	1.7805973908787656	1.603152151962286	1.553681070437879	1.284518174895314	0.1741607645862624	1.053501713444644	1.5441672209556592	1.6305504385267242	1.6787327192389843	1.6541957126379971	0.2156505514876262	0.7474065526807735	1.2842787647763905	0.8317397384265913	0.9409080785528202	1.8162928000668763	1.7476119463832125
IL17.DTT.116	1.4652267309638705	0.0	0.17509383397797756	2.695470024175312	2.5266818286285093	2.3574547919863087	1.505443104875827	1.2695712907386552	2.9855902704281836	0.9824725362107999	2.0263927604159906	2.050682869607644	2.7186966201272194	2.2459497133423776	0.897613906199875	0.6443505882946502	0.32531249971578313	3.1420466398395233	0.5231589013773424	0.13396688062638684	1.077619374544723	3.0122948995805445	3.0199763457870414	0.7998366377594859	0.9664737672448184	2.274804940602257	0.22789676675078308	0.8004587431587176	3.108424716628484	2.8293923266677514	2.7603544617713722	2.1550078338125447	0.5983666511895626	0.6577465057331957	3.2912930379858985	2.9652931927777963	0.4008909129147544	2.4642854174425124	1.5607826761506385	0.32156858786472226	1.947356743962561	1.5622873163426798	0.37034775343839876	0.6860564311403711	3.106581479246329	0.9433025312446649	0.3604472693581578	0.6480812935846672	2.7501106356305796	1.544390073272111	0.5668606984399467	0.5866058935251478	1.5084852006646736	0.26400567962627014	2.5829034183463837	2.693682251363026	1.2338381154261555	0.9604390591020602	0.8898921316096028	0.8926055407432304	2.8921487663304806	2.7452663166919593	1.3035016409472284	0.36780731028397257	1.7645120270402348	1.9001303479974947	3.0226524558921635	2.4652723381546786	2.770309971480275	2.0704215673429767	1.6015815518890906	3.0450713271803145	2.646802202044484	2.4756570656257937	0.9770594761799238	0.9458054459957805	1.0330129708631677	2.6626330024179095	2.4748127239362665	2.0239263290815632	1.0480112814333724	0.6058442557471012	0.4513019841379034	1.9675978659898408	3.1277931534755066	3.3367815324246646	2.4443529940276987	1.9515938268239232	0.8449228129466475	0.4008052247885285	0.20468752626834144	2.726709798520708	2.6034853977239667	1.095802360496602	2.939818937997464	2.9738058011737225	2.4312497338447527	1.0665323263883721	0.17283056444074069	0.43558030026681926	3.007505653531777	2.1462508112363388	1.0066154326478638	0.909252339991315	0.8423953456834538	2.764985057417298	2.66590459753601	1.8891151291825758	1.2825978023915792	0.260147902211136	0.4813575073919282	2.8714608329251146	3.0698303095360044	0.2741315796994355	3.186023232135961	2.2540238576051896	2.0427684721111294	1.2072681841531094	0.6881384451299002	0.5028889496511161	2.136303683488864	2.3556014221023798	1.3604111682418214	1.1952474067526089	0.3781655680266155	0.38022336120761785	2.6718925235154267	2.5878056429719423	1.3719066317126407	1.7969616444845087	2.631487279352264	1.3826586470622404	1.1477951128496902	0.6320668697001327	0.5594836546068531
IL17.DTT.117	1.5806081837507908	0.17509383397797756	0.0	2.83539555514806	2.6833406332959004	2.5273785710026537	1.6007416053713952	1.1270276048494539	3.0839315922448036	0.8465386123949593	2.153681427846679	2.193644431378191	2.7045842049209283	2.2227449071132166	1.0126272621097476	0.7926260287579328	0.28165056780227954	3.140670920536229	0.45365699030275597	0.12293819906570438	0.9490759731274947	2.986465821942232	3.017871532666056	0.6779467124711589	0.8288863212575683	2.4366770057863163	0.29839675101901997	0.7071732614364308	3.2162595263262284	2.9599158627588182	2.8852469099214604	2.3046256008019466	0.516383376111576	0.6462454123670948	3.2815636516330495	2.95363982006377	0.5480331175702825	2.5512712373752415	1.7238512370889782	0.47509877165346226	1.9719364049222547	1.7030487757066248	0.39635311668182394	0.6263608597651581	3.1813853886303116	1.0881702879650752	0.28577999477931754	0.5604095122489419	2.79000520048612	1.6569161481456602	0.6192801594178163	0.6460591914560637	1.672282732342809	0.3920205364585887	2.6598106819873437	2.782792396610044	1.3942885114788397	1.1123783295806804	0.7484521849088113	0.7560540226593028	2.8781935832494256	2.746199353424498	1.3540721923252685	0.37624960359184945	1.6301901087806876	1.771293196757727	2.93811670776759	2.445100105926706	2.8592027903705173	2.150773166139144	1.722883234880887	3.156438983858914	2.7725398301560986	2.6232351788880512	0.9498349520421479	0.811847002389108	0.9294896741799737	2.7676711149233766	2.6031123602088093	2.168506217751175	1.0108244544244551	0.4780432910272646	0.3371430366203195	1.8482708366680871	3.135280527981408	3.341111150630209	2.4306640879786063	2.0383844816390395	1.0027445342320145	0.26852342448566224	0.2603210048513148	2.757441627648376	2.667843089940553	0.9686922510194946	2.8706275105718975	2.9885386443696254	2.4637688748044284	1.2308614336866672	0.21271222874768175	0.4259242928919809	3.0916808655339274	2.308879622413141	1.0632522593839813	0.8329494579675628	0.7753308433926795	2.7296808469662595	2.6665933793482703	1.859369720641465	1.4253779924714594	0.32979242910214507	0.5333368101436634	2.889708186201708	3.123607369703801	0.35297032898163566	3.1987318290386066	2.3003634692099157	2.0891048090045365	1.3584941025969652	0.5577616470229145	0.38839645096898096	2.124085690334253	2.4175017112674495	1.4815008749885181	1.356221422668652	0.26056407198747017	0.23030076126464524	2.830940833928874	2.7519748206955623	1.5023295688278413	1.9508037632170405	2.7683046844470094	1.5500510365400881	1.3050930744137783	0.5030988178519615	0.4034098931988349
IL17.DTT.118	1.3243848081207878	2.695470024175312	2.83539555514806	0.0	0.6248298328164852	1.1995436802532617	1.532837121829256	3.5420147101956454	1.0724429210526254	3.2100806111254707	0.8388340869955802	0.6473494706525084	3.212682352488469	3.046131440544063	1.8756419808941784	2.171955344064358	2.676518702876303	3.1332098407733526	2.9091598475584024	2.7443560885791762	3.2841770818983202	3.3117020538661315	3.142660903311598	3.086087814934358	3.276223107574003	0.7713674771399863	2.56046193503832	2.892838971896302	0.9562612188201888	0.33404815525812626	0.4928089751492874	0.6916861260532622	2.836448192104542	2.543122353939369	3.4031062734229227	3.181222371025708	2.3310791365871086	1.4536333466850433	1.2649493325713534	2.4497346258995925	2.4803830251302177	1.1604028079970135	2.513033128714946	2.664531158150627	1.8073442831057747	1.7581064097422192	2.774317899755858	2.8129330000169683	2.1509876687991434	1.3656796334231083	2.3231114553165755	2.3703905330779778	1.3218498618486842	2.453389586990224	1.3353446865003527	1.4606204874483542	1.519300662908583	1.8316703915540928	3.351618458719481	3.3091663710059085	2.991560224172658	2.7286145290518404	2.1138317892724	2.5949204718841514	3.8042594940318706	3.826641696158172	3.9876788094926634	2.840695736102543	1.1390534466953677	1.2706928938906066	1.1665538624145029	0.9831906490089617	0.357691716078883	0.3674778634604783	2.5188646334924525	3.2334750764836553	3.007936141972308	0.7749178407928219	0.35608191732441674	0.7808406880132346	2.667348893383607	3.0071818154218204	2.85024957274203	3.6918099925945174	3.0034364745729083	3.207631641664451	2.853126566762502	1.395500504912458	2.239463179278485	2.8626148335288706	2.643503943844247	2.27372338542431	1.7609839323936718	3.2447293841478246	3.748595991959505	2.669188167809538	2.281607956777346	1.7807818726224358	2.642165953197537	2.5615850524486405	1.5565620024439155	1.1008379888443316	2.0489434495840015	2.8085864917001904	2.7467754064059675	3.2632396244335626	2.848396158826587	2.707960500358187	1.4491214009838498	2.5293674768793926	2.3756581300180897	2.5722286051517833	2.407522000129276	2.497654566408658	2.975975078691631	1.825354140481821	1.8551372634390542	1.5814736505424525	3.093031826255921	2.910597963963041	2.4933113543964507	1.807518124980211	1.4182467039188122	1.7913003940151742	2.841539718299722	2.9220172788685206	0.9547410114311755	1.0233287499324928	1.364938572787377	1.074978720919814	0.6573733822867858	1.4755708322170782	1.7482881737951168	3.1170991971542623	3.0539309555711016
IL17.DTT.119	1.398172821701491	2.5266818286285093	2.6833406332959004	0.6248298328164852	0.0	0.6160371068234614	1.6950020197056204	3.5462738988506537	1.6791791635856808	3.207182665020143	1.0897316149300615	0.6751109613469705	3.5466764451211206	3.3179464293738135	1.7616527570823723	1.9424763930133102	2.580239504852341	3.5660922207759738	2.827296703119494	2.602316104971591	3.2911044786554027	3.713351965800336	3.5454669657910096	3.0583900596990614	3.2563724499598194	0.4613140523872356	2.4388539117170542	2.8926716885068715	1.5792897852182355	0.9552860144792507	1.0926928396035354	0.4254336011463138	2.794199532417292	2.530858996423379	3.8238196241102913	3.5795155650079526	2.14581052346564	1.9022878223282735	0.9935038670033055	2.2447494024208696	2.727010461518057	1.0383473229208569	2.4210262624389753	2.650060788561448	2.3591514686814534	1.6070826311263198	2.683333338951826	2.78523280903996	2.6304384007599366	1.4982625892383505	2.2705982091074035	2.3237180067222853	1.0410889189395627	2.2960728334042373	1.847436991642332	1.9557881008690143	1.302654305272905	1.5965740709538607	3.2891328572441654	3.258112935372531	3.4147995416741845	3.1525098446465836	2.245694652559769	2.511511357332034	3.881659228461925	3.93319250007351	4.308128500105382	3.203201038153058	1.7009011611407119	1.6215575066592818	1.1920642395168553	1.5834841175652477	0.9363503000423541	0.31147051708407314	2.5841912897930386	3.216701303582254	3.0473642126000597	1.3094637930176118	0.8125187792798979	0.6005671377236834	2.740923353309159	2.944330631267629	2.7716219667928605	3.839607738521086	3.4460356685638573	3.6576844647413984	3.2027991935662645	1.7201922370848883	1.9122215011694754	2.765529381499328	2.4761900360406437	2.738881310687398	2.238305835664436	3.264084974841686	4.087593830370793	3.136172820531161	2.6749959982675775	1.4955326654533776	2.5129514040640544	2.4905287694692206	2.116429674036934	0.9260716938092546	2.1075261870618607	2.841492280111938	2.769373669560552	3.629355199621933	3.2299869640376917	2.968039617657641	1.2846058294874523	2.3915065361369545	2.293001213326704	3.0308271591830724	2.8665888250341696	2.3652248427716573	3.4279734602190763	2.233497607011084	2.2092146554965644	1.3431440061025726	3.0348165628174866	2.8373302461801524	2.822567689685739	2.2217102831677304	1.4584751922713979	1.4482785244210645	2.7464573053177626	2.8140097540307125	0.378678179993723	0.4058714940545619	1.3662662903336757	0.9944773223914514	1.0554135844833434	1.1894051875196079	1.4466609724866497	3.0350335882071495	2.968656370939495
IL17.DTT.120	1.5653765824348878	2.3574547919863087	2.5273785710026537	1.1995436802532617	0.6160371068234614	0.0	1.8580796814815428	3.4848603378602205	2.210200745927646	3.163345679538698	1.3946247687655466	1.002144014180915	3.7223480976256456	3.45427578980741	1.7525923742648362	1.7845444509478754	2.4853563865915245	3.84431804794062	2.6996886291240942	2.451800618810586	3.240703561612719	3.977363436486516	3.788249482528588	2.986659241061844	3.185382361465318	0.5660256865999391	2.3178906597196964	2.8593497242695234	2.126657151036826	1.5096486440293901	1.6145711502386606	0.7654034217034738	2.720096135041246	2.4996396407610963	4.079925092425252	3.8272073003316778	2.0005470928700704	2.2431512863346534	0.8827790534897487	2.070534261310535	2.848098635837479	1.1507956410834588	2.3425494723509863	2.635309987110183	2.777486952912413	1.5453942321241876	2.575548319426224	2.7367449845073355	2.994516250960461	1.65683814644361	2.2339542436564273	2.2600825427899474	0.911710120517137	2.1636510942623204	2.3080140280695614	2.329052391674338	1.1940761370643638	1.4738550927563274	3.170426568014606	3.1501981940678405	3.718296780257874	3.456882176823771	2.32150466402302	2.417082742877578	3.87508034187586	3.9521747352495917	4.520252938123787	3.463051351154048	2.2136331151393214	2.006448144679619	1.404737323052087	2.081127148722996	1.4890188963897035	0.8811537141281023	2.6336243374113106	3.150194422324497	3.048873144631384	1.8532402686929017	1.3477320027473552	0.8956406035905164	2.7661670301692274	2.8490041969212463	2.6797654953468473	3.9090661385907626	3.7332249198347927	3.944010855861978	3.431197929268584	2.005163788316706	1.6427374926789746	2.6643401821013684	2.333698418251095	3.090018746263333	2.602955573376652	3.2317198765910433	4.3130892413710145	3.472688410444075	2.9443039699905484	1.3085972202705907	2.382543311563895	2.426970765010479	2.552239117791254	0.8397743209749061	2.171679046795777	2.8447545503375506	2.767065202845977	3.8699320304019404	3.4705233866927747	3.153614126921762	1.2911769701192684	2.2781611997391638	2.2389896229667077	3.360850241909291	3.1609053688507998	2.255507343873974	3.7213088888407144	2.5778533533296795	2.500648944758101	1.2637093200516842	2.9352950968131495	2.737829195224978	3.099144794196657	2.5281154549692144	1.5658833273303518	1.2293273750671192	2.639715892778973	2.6925977911092023	0.576341855852216	0.3642386395645924	1.4537387098724093	1.0223394401421515	1.4283407077234844	1.004984192397219	1.2801957638709343	2.9084447509119213	2.862100464011972
IL17.DTT.127	0.410126381348392	1.505443104875827	1.6007416053713952	1.532837121829256	1.6950020197056204	1.8580796814815428	0.0	2.052864848532087	1.5282009308372406	1.75130087630758	0.7122817799191139	1.0272336372495328	1.9740910728202485	1.6651852701725078	0.929290123805481	1.29111349916214	1.3763128556345345	2.132612799610199	1.5242663567742463	1.4940014539359014	1.7994826962154955	2.1733000439911594	2.072482042376207	1.638592736264436	1.8151016884477378	1.4360777315478865	1.3037179093568516	1.4379964942161043	1.6664871765873397	1.530468998278123	1.3995891093256185	1.3409342033290992	1.4185054275578401	1.116068401946276	2.364074229897055	2.0650915685568068	1.27689786019979	0.9764346315002973	1.0656420461860934	1.4017241837989782	1.1302358945352728	0.8818379584788955	1.2364938839885204	1.2780708980697117	1.627035768533895	0.8710023455803328	1.435070853882136	1.3975346852624742	1.419904479672047	0.20408515249540532	1.0083839932487046	0.995137093351565	1.0789205349340893	1.3052684279785778	1.146690039651952	1.2012315027290703	0.9414436566828837	1.1276642111342148	1.921802187498787	1.868290936015267	1.9320445702496323	1.6936047972137755	0.5900814564777557	1.2619003805654518	2.2833851079371588	2.306057448138079	2.664722415131448	1.6247428008564861	1.3388868896063313	0.7621212106109252	0.7196395135582933	1.5783507082074764	1.3646824154525414	1.495255155652114	1.0558897146536779	1.7715572535694126	1.5308933234042805	1.3324105076005972	1.266103906103512	1.2224481817756985	1.1532622911950063	1.6074972767410745	1.4985107411464653	2.19501301418346	2.0556570255803366	2.284443111927736	1.6040062648370113	0.4537566182939084	1.5496742868910767	1.5482658217007164	1.4945551070471912	1.454370654504654	1.1634762309694713	1.7602706525603768	2.4551963300304767	1.8001394147381515	1.237715148132277	1.1917420442226514	1.388418357628439	1.244568130868377	1.5071203973024703	1.32904835163107	0.6074661172375756	1.3403970115242094	1.2892559399449475	2.0321230981855094	1.7074466501818173	1.30316965311503	0.8970765888579822	1.340702169560691	1.1254030088971687	1.6852019020672109	1.7700854617549153	1.2994160497729572	2.07748213531699	0.9298079909929244	0.7516214790459068	1.065264513759646	1.6769023169699095	1.5323445193056828	1.2931853114642917	0.9585862231589963	0.36399430606056316	1.3636739271901068	1.5125985593140474	1.60466331022022	2.0089452101415066	1.9689319864771617	0.4683923574112663	0.8986064540920503	1.3214397222483831	1.0981458387908096	1.2552266229933657	1.7240273112114513	1.693820459007938
IL17.DTT.128	2.2235012274022607	1.2695712907386552	1.1270276048494539	3.5420147101956454	3.5462738988506537	3.4848603378602205	2.052864848532087	0.0	3.471939786161766	0.37806587313546836	2.75017743214337	2.948129196951655	2.1850392841399597	1.7077848956820318	1.8739011111109114	1.8473275053947844	1.065327161809082	2.7125883432948172	0.8281980672647741	1.139209490836041	0.25811860871772596	2.4425032107941873	2.5721233652336366	0.503774072201112	0.3106163223977375	3.2682451909019017	1.2139966227556274	0.6634916597470079	3.6553089375503545	3.57429636016211	3.447303900463031	3.152852331678273	0.769434974765304	1.016585121078455	2.772230376963572	2.4689455645299634	1.5898524453425147	2.794862411913383	2.619550583044905	1.565940677732793	1.801798320443298	2.533598522638404	1.199807037287555	0.9541089514578047	3.3052113640678393	1.9807439437538212	0.9503849905520413	0.7822632327184058	2.7345138213319884	2.200742023641469	1.2955845806227422	1.232545864428155	2.583145774734757	1.4149266818083144	2.953407080155015	3.020033792269041	2.3003074909278802	2.1057255288569903	0.4356233287860435	0.4068552519595864	2.4620074729155297	2.429252399008805	1.5476023147928397	1.0832048171764266	0.5272390884673586	0.6965832498148902	2.106367914195567	2.0427343629561387	3.2274015572755306	2.567592449842854	2.4509645981189463	3.576832330236882	3.3891489139346405	3.418692928117544	1.0621158866775477	0.34253992495485547	0.580457539138092	3.2855483592077728	3.2639587441416658	3.007004960616524	0.9143534290546568	0.672655981707378	0.8670380437524982	0.8876200991857193	2.7641124686600502	2.926064239289384	2.0162654574747076	2.3786894034185293	2.1092831570912622	0.9330959963610547	1.3364927191273346	2.6466637550972405	2.772549073384121	0.31430374989725335	2.1163771583275053	2.730462768502672	2.3392740058345605	2.239820961397369	1.1738537062291226	1.1126122810054722	3.299732289284751	3.0786818218333654	1.4965339880032693	0.7550168555112782	0.8121622444422408	2.1581723304337146	2.290670841411603	1.5071447607735986	2.3062932604485664	1.3156817424230571	1.3186782193331839	2.6607165727483753	3.0331849095864	1.318249140964758	2.8533167533747896	2.39756035192544	2.1897399925193173	2.311506759101402	0.5844253587419732	0.7849092241745187	1.925701455419189	2.5108068199625904	2.1315094079478194	2.400625944370145	0.9209366395312837	0.9065400907154153	3.7628352305753343	3.6937555421654524	2.2030119975664375	2.6975731119360944	3.34911607842191	2.480104094724592	2.3249608869631873	0.6582013481942189	0.7359952830331145
IL17.DTT.129	1.541367102788209	2.9855902704281836	3.0839315922448036	1.0724429210526254	1.6791791635856808	2.210200745927646	1.5282009308372406	3.471939786161766	0.0	3.1768629468230585	1.0990202283608606	1.3346610633858271	2.6097309796179045	2.5606216116846254	2.2046036617606677	2.615979754449572	2.8527394197728415	2.341697315819023	3.0420251152020517	2.9874089358712523	3.2297526397668137	2.550985005075452	2.4147857743043413	3.1080493328033656	3.2677061573737585	1.6905939229404094	2.792284070029926	2.886705714521926	0.24497190391868445	0.7673269398643531	0.618418027176018	1.578820431464533	2.908366829401478	2.60085590152517	2.6268606155294756	2.447602163200097	2.6889691485373275	0.9085895777344558	1.948927005875754	2.822245761922289	2.120278733190478	1.7071397024694979	2.702511727530307	2.7071457874104152	0.9086399436517926	2.1656444039689324	2.932269266634266	2.861394228871845	1.3193941766068547	1.4812960007010327	2.477104556644702	2.512325716825498	1.999350086825543	2.7530124978341366	0.5754359949717108	0.8091416856817248	2.07153456359848	2.3378194113718056	3.4103724980680905	3.3522985179803197	2.1997150887975567	1.9566667526805968	2.008273409159073	2.7622167192188245	3.589921883388458	3.5596400038718268	3.328860866072482	2.175517892519308	0.3069868652411278	1.0012706179110082	1.5259343556327158	0.38794303615771597	0.7485086787367622	1.3815784023068576	2.4458212040493494	3.2233466106201725	2.920988746562358	0.5379944549950673	0.9162687259957467	1.5625763365379526	2.563770662520305	3.0949171340060344	2.978668336477959	3.35812675457827	2.205137029820421	2.391179534296644	2.2226212619819004	1.1318341808042078	2.81332124499474	3.0191991901182176	2.9352044656929923	1.4575174906199664	1.0115487784824082	3.171286422466271	3.0687694121343925	1.822342505551612	1.6397799769798316	2.362459006655544	2.8759301741107777	2.711037168579362	0.6722624326545467	1.817730634206552	2.0713127050936304	2.754712265751087	2.717869395903733	2.5665723478474876	2.1697415628751697	2.2542145133983675	1.9505224518247017	2.7887623023883568	2.5689194755957034	1.7500472781354472	1.680525853796932	2.7527594552960633	2.167153817128789	1.2013581586862057	1.3540259524941844	2.141760453325008	3.1656824823335894	3.025126228013163	1.9243465217261781	1.2087397305013607	1.6525511100536114	2.443080357359345	2.9978642364320716	3.0910653298019044	2.0138006738005645	2.0841213142372936	1.677219091426102	1.6463527160746843	0.9955823991377744	2.124535629890368	2.3550964123376565	3.228145138127948	3.1729475029442447
IL17.DTT.130	1.886209017938635	0.9824725362107999	0.8465386123949593	3.2100806111254707	3.207182665020143	3.163345679538698	1.75130087630758	0.37806587313546836	3.1768629468230585	0.0	2.438128259532445	2.612909801857765	2.1859220322324666	1.6925722517450839	1.5109814219408704	1.5119831551183995	0.7305032772031088	2.658666053539379	0.6039673396168789	0.8519187339221149	0.18000628721881184	2.4120260652330727	2.53495436610452	0.2276377606790948	0.1632552963145709	2.9507332290828723	0.8965847072336688	0.32167184865726484	3.3559143796991138	3.253580518149479	3.134984058879277	2.8064802388552925	0.4580468553452263	0.6847295513370458	2.7574711679560857	2.4337102059318583	1.2606700934184887	2.5500295044344985	2.2943023752175904	1.2517276167474187	1.6844189459041743	2.1834355403910926	0.8525684345089286	0.581643044481312	3.0859785639384065	1.6373253403469192	0.6426276146931879	0.42865054335480673	2.5414035928398944	1.8921575023704384	0.9441148805505855	0.9220468270514935	2.256869738177649	1.0875059918580947	2.6640253106728227	2.779539721821295	1.971568643542128	1.7612208125959605	0.4012999338938718	0.35001273643740966	2.3703824144540406	2.307904738744901	1.3000508202163523	0.762362752945025	0.805475378911758	0.9348996985649614	2.1725615042498037	1.934167429644759	2.9265041824462728	2.244025349679759	2.0975344220062078	3.29229516703411	3.0607182661238053	3.078032937445228	0.7339127347500335	0.14059346975382644	0.27949889631095165	2.9576840659136088	2.927585799408486	2.6560908759691895	0.6575463760923181	0.38839899962427143	0.5417916335085469	1.0128364059396944	2.6925000649070743	2.875821517602607	1.9324784236820096	2.095850445680276	1.8008093777526002	0.6116682180843933	1.0183744336171683	2.4656995004141815	2.5469297018078616	0.14656746143815882	2.149471304963046	2.599783390915024	2.178332234878146	1.908943066048738	0.8636262687295635	0.759465226572912	3.0580621345941523	2.7937848504334735	1.1679718821344423	0.4225743022589244	0.4691371552588133	2.1284764845035116	2.213877252247042	1.3569363921588724	1.9547400044517824	0.9799980679797068	0.9608764565135572	2.5212320115061533	2.89737588200317	0.981649699840509	2.776499961948535	2.1456420125791746	1.9397095862062752	1.963385348934015	0.3457606456292743	0.4868577168039284	1.722195926118474	2.291425679040201	1.803941259416821	2.0665290480281167	0.6085108252950999	0.6164061585333139	3.4175274017877757	3.357655502227463	1.8739456810205606	2.395037147615778	3.0581354448718945	2.160602972957531	1.9841736782613457	0.46978505049192554	0.45688278275975297
