Mouse5A.DTT29	Mouse5A.FP28	Mouse6A.DTT35	Mouse1B.DTT15	Mouse1B.DTT18	Mouse3A.FP16	Mouse5A.FP26	Mouse7A.FP40	Mouse1A.FP05	Mouse6A.FP32	Mouse3A.FP17	Mouse7A.FP38	Mouse1A.FP02	Mouse5A.DTT27	Mouse2A.FP11	Mouse3A.FP18	Mouse4A.DTT19	Mouse5A.DTT30	Mouse5A.DTT28	Mouse6A.FP31	Mouse4A.FP22	Mouse1A.FP03	Mouse4A.FP23	Mouse1A.FP01	Mouse6A.FP35	Mouse7A.DTT38	Mouse7A.DTT41	Mouse4A.DTT22	Mouse2A.FP07	Mouse3A.FP13	Mouse1A.FP06	Mouse6A.DTT31	Mouse7A.DTT42	Mouse1B.DTT16	Mouse1A.FP04	Mouse2A.FP12	Mouse2A.FP10	Mouse7A.FP42	Mouse7A.FP41	Mouse1B.DTT14	Mouse3A.FP15	Mouse4A.FP20	Mouse1B.DTT13	Mouse6A.DTT34	Mouse5A.FP29	Mouse6A.FP34	Mouse6A.FP36	Mouse2A.FP09	Mouse5A.DTT26	Mouse5A.FP25	Mouse5A.FP30	Mouse7A.FP39	Mouse4A.FP24	Mouse4A.DTT21	Mouse4A.DTT24	Mouse1B.DTT17	Mouse3A.FP14	Mouse4A.FP21	Mouse2A.FP08	Mouse5A.DTT25	Mouse7A.DTT39	Mouse4A.DTT20	Mouse6A.DTT32	Mouse6A.DTT33	Mouse6A.DTT36	Mouse4A.DTT23	Mouse7A.FP37	Mouse7A.DTT37	Mouse6A.FP33	Mouse4A.FP19	Mouse7A.DTT40	Mouse5A.FP27	Mouse9A.DTT98	Mouse10A.DTT109	Mouse9A.DTT100	Mouse10A.FP110	Mouse9A.DTT101	Mouse10A.FP109	Mouse10A.DTT110	Mouse9A.DTT99	Mouse9A.DTT97	Mouse10A.FP111	Mouse8A.DTT90	Mouse9A.FP97	Mouse9A.FP98	Mouse10A.DTT111	Mouse10A.DTT113	Mouse8A.FP87	Mouse9A.DTT102	Mouse10A.DTT112	Mouse8A.FP85	Mouse10A.DTT114	Mouse10A.FP113	Mouse9A.FP102	Mouse8A.DTT85	Mouse8A.DTT86	Mouse9A.FP101	Mouse10A.FP112	Mouse8A.FP90	Mouse10A.FP114	Mouse8A.FP86	Mouse8A.DTT88	Mouse9A.FP99	Mouse8A.DTT89	Mouse8A.FP89	Mouse8A.DTT87	Mouse9A.FP100	Mouse8A.FP88
1920	1114	1494	503	173	1088	1353	1066	1148	990	358	1804	319	1890	1129	161	1144	2018	1326	950	360	974	497	231	1908	602	1748	775	737	778	814	897	2709	1185	1049	907	676	2609	1807	345	1302	1066	471	427	1057	1428	2394	729	1098	1379	1868	946	1446	634	3528	275	993	1003	866	367	1218	560	420	532	1509	1778	1998	1080	1220	680	1329	718	1340	409	9571	402	6826	968	581	3067	348	850	14036	2636	2118	468	3608	1453	3786	1083	912	1612	1196	4449	1150	1170	8547	719	8153	2162	1336	2131	2006	4703	5427	1047	12212	2684
760	1795	1816	1768	305	1290	464	2424	1013	1111	489	804	583	592	5179	443	678	1368	997	1473	334	605	354	405	3597	713	923	600	2036	1529	513	1109	1132	1336	846	5226	3028	1755	1426	1177	1492	383	1398	756	375	1860	3247	2499	1236	939	3303	603	763	216	1155	377	1336	307	2404	397	1401	381	673	619	1809	671	1027	1427	1236	256	1108	817	620	908	3939	506	553	1396	1305	871	385	1300	468	2900	2443	905	2903	841	1694	3295	307	2184	3764	4672	1332	840	6362	3569	6955	3994	942	433	1671	4092	5456	151	6535	762
1780	1595	1176	774	196	1475	184	750	1743	577	576	377	430	495	2149	307	305	2458	2223	289	119	460	169	499	900	429	698	282	1333	1055	836	405	668	1084	1138	1708	1933	582	563	796	1211	187	969	626	127	1111	857	238	1208	280	2020	172	176	54	657	381	1301	102	818	452	214	227	354	170	961	557	377	827	440	99	656	1014	759	517	4066	403	4913	988	571	556	157	321	3519	3116	2312	736	1499	301	3514	411	239	595	2613	2429	733	1498	4318	775	1869	686	1621	1938	263	2106	3307	204	7261	2270
1171	1132	960	1000	149	715	231	502	1110	889	233	265	367	421	1186	160	243	1400	1850	563	109	302	154	367	1229	365	467	234	1084	1522	736	485	460	749	465	1158	1320	454	330	967	1498	163	1229	835	341	1812	1137	310	1015	522	1189	234	161	45	367	295	1389	132	587	475	222	208	525	203	1082	432	664	726	658	97	595	938	649	620	2521	552	2098	1453	1161	395	490	338	1291	2211	2061	924	2515	95	2215	778	41	1134	2651	1466	505	444	1960	1465	902	1305	437	430	279	682	1134	65	2937	803
0	0	4	38	23	0	0	0	0	0	10	0	12	0	0	0	36	0	8	0	0	21	0	1	0	1	0	0	33	12	0	0	0	0	0	0	0	0	0	96	49	42	44	0	9	0	0	218	0	0	0	29	0	0	0	16	49	42	59	0	0	29	0	0	0	0	0	9	0	24	0	0	311	18	1	2	1	1	7	33	62	8	6	35	25	15	1	89	0	2	262	10	1	1	2	57	1	10	1	2	172	1	41	1	20	58	1	1
8	0	14	210	17	5	382	19	5	194	13	143	391	790	0	8	468	6	41	124	0	112	0	885	5	219	0	0	87	63	0	267	19	12	0	0	0	4	0	546	149	516	315	0	315	6	0	593	352	26	0	267	0	502	13	23	73	914	174	514	319	658	243	387	0	8	41	95	582	495	13	0	955	63	1	47	0	77	66	331	275	167	15	144	146	172	3	202	0	35	160	36	6	16	657	525	14	289	1	21	252	3	182	2	33	810	3	3
73	9	61	3880	258	269	8851	294	10	6933	139	4840	0	5175	24	124	11899	60	759	4664	0	166	10	114	105	2142	33	21	3859	3975	0	5602	114	170	113	21	39	30	56	2599	5610	6617	2884	15	6606	86	13	2987	9215	4905	41	7311	0	5710	178	490	4946	9396	3288	3840	4354	6558	3495	3548	19	65	5434	4269	9256	7667	212	34	789	5300	1	8934	5	15425	10232	810	5723	11746	37	2033	1424	10665	45	3447	52	1480	1729	1479	30	17	8458	3428	20	6224	7	25	4490	20	1406	10	476	1501	4	28
10	0	48	14170	325	8	133	130	0	126	43	226	1583	23539	16	58	3945	17	1072	687	7	358	0	6792	45	767	9	10	127	57	0	3569	110	191	0	53	24	20	34	6331	112	1029	4043	40	518	15	6	449	922	95	17	666	0	15612	68	564	56	911	138	6429	12330	9480	1753	15288	39	37	67	357	358	3798	195	18	880	17231	51	23	29	1928	3058	23262	36933	149	66	951	163	2048	20	642	16	162	2943	934	1	8	490	520	12	572	2	159	958	113	1022	10	135	42097	6	7
9	0	6	264	102	10	17	8	3	39	26	40	290	126	7	46	434	9	104	37	0	114	0	830	3	128	0	0	108	109	0	152	9	23	7	14	9	5	4	570	98	390	223	0	21	6	0	740	141	0	0	67	0	453	30	53	73	466	221	129	93	1147	38	69	0	12	13	39	117	430	7	0	1502	40	2	35	2	26	57	302	465	137	26	165	146	148	11	336	1	34	1040	120	1	10	348	924	14	161	2	12	536	9	341	2	76	597	5	6
8	0	0	208	11	18	266	0	0	0	9	1	0	223	0	9	295	11	39	0	0	32	0	0	0	45	0	0	93	205	0	0	0	7	0	0	0	0	0	349	256	465	105	0	170	9	0	609	184	43	11	0	0	433	44	18	208	481	283	223	0	499	0	0	0	16	1	0	0	760	0	0	2218	53	1	13	0	7	76	255	774	67	6	82	43	90	0	38	0	14	274	50	4	2	35	15	0	178	1	12	244	4	106	1	28	15	1	1
