Kingdom,Phylum,Class,Order,Family,Genus,Species,feature
Bacteria,Cyanobacteria,Oxyphotobacteria,Chloroplast,,Chloroplast (o),,k__Bacteria; p__Cyanobacteria; c__Oxyphotobacteria; o__Chloroplast; f__; g__; s__
Bacteria,Cyanobacteria,Melainabacteria,Gastranaerophilales,,Gastranaerophilales (o),,k__Bacteria; p__Cyanobacteria; c__Melainabacteria; o__Gastranaerophilales; f__; g__; s__
Bacteria,Firmicutes,Clostridia,Clostridiales,,Clostridiales (o),,k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__; g__; s__
Bacteria,Firmicutes,Bacilli,Lactobacillales,,Lactobacillales (o),,k__Bacteria; p__Firmicutes; c__Bacilli; o__Lactobacillales; f__; g__; s__
Bacteria,Firmicutes,Bacilli,Lactobacillales,,Lactobacillales (o),,k__Bacteria; p__Firmicutes; c__Bacilli; o__Lactobacillales; f__; g__; s__
Bacteria,Cyanobacteria,Oxyphotobacteria,Chloroplast,,Chloroplast (o),,k__Bacteria; p__Cyanobacteria; c__Oxyphotobacteria; o__Chloroplast; f__; g__; s__
Bacteria,Cyanobacteria,Oxyphotobacteria,Chloroplast,,Chloroplast (o),,k__Bacteria; p__Cyanobacteria; c__Oxyphotobacteria; o__Chloroplast; f__; g__; s__
Bacteria,Cyanobacteria,Oxyphotobacteria,Chloroplast,,Chloroplast (o),,k__Bacteria; p__Cyanobacteria; c__Oxyphotobacteria; o__Chloroplast; f__; g__; s__
Bacteria,Firmicutes,Clostridia,Clostridiales,,Clostridiales (o),,k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__; g__; s__
Bacteria,Bacteroidetes,Bacteroidia,,, (o),,k__Bacteria; p__Bacteroidetes; c__Bacteroidia; o__; f__; g__; s__
Bacteria,Cyanobacteria,Melainabacteria,Gastranaerophilales,,Gastranaerophilales (o),,k__Bacteria; p__Cyanobacteria; c__Melainabacteria; o__Gastranaerophilales; f__; g__; s__
