#OTU ID,Mouse1B.DTT18,Mouse3A.FP18,Mouse5A.DTT30,Mouse1A.FP06,Mouse7A.DTT42,Mouse2A.FP12,Mouse7A.FP42,Mouse6A.FP36,Mouse5A.FP30,Mouse4A.FP24,Mouse4A.DTT24,Mouse6A.DTT36,Mouse8A.DTT90,Mouse9A.DTT102,Mouse10A.DTT114,Mouse9A.FP102,Mouse8A.FP90,Mouse10A.FP114,taxonomy
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Bifidobacteriales;f__Bifidobacteriaceae;g__Bifidobacterium,113,1,113,6,192,66,204,118,337,1,61,113,345,178,168,1919,12127,0,
k__Bacteria;p__Actinobacteria;c__Coriobacteriia;o__Coriobacteriales;f__Atopobiaceae;g__Coriobacteriaceae_UCG-002,0,0,9,0,0,5,4,0,14,0,0,0,4,0,19,0,35,3,
k__Bacteria;p__Actinobacteria;c__Coriobacteriia;o__Coriobacteriales;f__Eggerthellaceae;g__DNF00809,4,33,4,112,0,233,252,310,415,187,0,0,15,0,64,31,110,108,
k__Bacteria;p__Actinobacteria;c__Coriobacteriia;o__Coriobacteriales;f__Eggerthellaceae;g__Enterorhabdus,0,0,0,0,6,3,5,21,6,5,2,2,7,0,0,6,11,16,
k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides,228,204,16,7,49,30,7,6,31,0,50,31,75,119,551,58,10,39,
k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Marinifilaceae;g__Odoribacter,0,0,0,13,6,0,12,12,0,0,27,6,1,3,11,4,0,0,
k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Muribaculaceae;g__,2372,3139,27511,13855,19170,29444,18385,29018,32244,7624,23949,23831,45812,37380,14692,58421,67428,35194,
k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Muribaculaceae;g__Muribaculum,208,386,2173,1529,1661,2733,1979,2554,3009,1162,2890,941,1338,2284,1038,5227,4125,3474,
k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Prevotellaceae;g__Alloprevotella,258,124,60,0,114,21,30,13,41,0,178,19,37,52,1480,17,7,25,
k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Prevotellaceae;g__Prevotellaceae_UCG-001,1004,871,34,0,162,193,81,23,80,0,39,19,63,75,1173,63,20,50,
k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Rikenellaceae;g__Alistipes,39,128,3,15,21,46,13,24,6,9,48,16,9,100,158,150,3,18,
k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Rikenellaceae;g__Rikenella,0,8,0,0,0,13,0,0,4,4,12,0,2,24,32,33,0,3,
k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Tannerellaceae;g__Parabacteroides,7,23,0,0,15,0,0,2,0,0,9,0,37,18,32,24,4,6,
k__Bacteria;p__Cyanobacteria;c__Melainabacteria;o__Gastranaerophilales;f__;g__,6,9,0,0,0,0,0,0,3,0,0,0,2,0,17,4,0,0,
k__Bacteria;p__Cyanobacteria;c__Oxyphotobacteria;o__Chloroplast;f__;g__,0,5198,0,0,0,104,204,108,107,12,0,0,0,0,23,4664,9,2347,
k__Bacteria;p__Deferribacteres;c__Deferribacteres;o__Deferribacterales;f__Deferribacteraceae;g__Mucispirillum,325,58,17,0,110,53,20,6,17,0,68,39,66,16,935,8,2,159,
k__Bacteria;p__Firmicutes;c__Bacilli;o__Bacillales;f__Bacillaceae;g__,0,0,37,0,539,0,0,0,0,0,438,80,44,10,363,0,0,0,
k__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Enterococcaceae;g__Enterococcus,0,6,3,5,0,6,0,3,8,4,11,0,18,0,4,0,9,4,
k__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Lactobacillus,5863,14554,1584,15975,1698,2524,4210,3134,4990,25974,9303,3199,1593,399,8829,221,1267,23863,
k__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Streptococcaceae;g__Lactococcus,9,5,2,0,0,0,2,0,2,0,2,0,21,0,0,0,0,0,
k__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Streptococcaceae;g__Streptococcus,92,423,12,47,23,25,20,25,37,21,16,19,16,59,13,158,48,242,
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__;g__,6,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Clostridiales_vadinBB60_group;g__,5,5,0,0,0,5,0,0,0,0,0,0,0,0,7,0,0,0,
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Family_XIII;g__,0,2,0,3,5,0,8,0,0,0,0,0,7,15,10,75,7,13,
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Family_XIII;g__Family_XIII_UCG-001,13,4,0,0,0,0,0,0,0,0,0,0,8,0,18,14,0,5,
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae;g__,375,178,155,75,275,53,128,50,79,21,888,73,462,887,1312,1893,295,271,
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae;g__A2,8,5,16,0,1,3,4,0,6,0,33,5,828,164,38,962,3,3,
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae;g__ASF356,4,2,0,0,0,0,0,0,0,0,5,2,3,0,5,0,0,4,
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae;g__Acetatifactor,24,20,12,13,27,4,10,0,7,0,24,0,23,11,125,45,2,17,
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae;g__GCA-900066575,8,3,0,0,3,0,0,0,0,0,9,2,24,0,5,6,0,0,
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae;g__Lachnoclostridium,84,49,84,877,89,50,264,226,155,16,113,53,542,214,180,463,29,219,
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae;g__Lachnospiraceae_FCS020_group,7,8,0,0,0,0,0,0,0,0,8,0,15,0,37,15,4,8,
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae;g__Lachnospiraceae_NK4A136_group,538,321,50,20,125,43,49,30,34,2,128,9,361,69,343,428,73,119,
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae;g__Lachnospiraceae_UCG-001,226,29,48,42,122,19,18,14,32,0,42,24,301,50,124,315,148,18,
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae;g__Lachnospiraceae_UCG-004,6,0,0,0,0,0,0,0,0,0,6,0,6,0,15,5,0,0,
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae;g__Lachnospiraceae_UCG-006,17,26,14,71,31,26,98,86,55,43,69,29,58,90,57,267,38,197,
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae;g__Lachnospiraceae_UCG-010,0,3,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae;g__Marvinbryantia,0,0,0,0,0,0,3,4,0,4,0,0,26,16,7,6,2,0,
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae;g__Roseburia,254,55,18,0,47,12,13,0,19,6,85,0,124,29,528,63,5,225,
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae;g__Tyzzerella,0,4,0,0,0,0,0,0,0,0,0,0,2,0,0,3,0,2,
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Peptococcaceae;g__,11,9,11,0,0,0,0,0,11,0,44,0,6,0,50,2,1,12,
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Ruminococcaceae;g__,31,21,2,0,13,0,0,0,0,0,2,2,2,0,57,12,0,47,
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Ruminococcaceae;g__Anaerotruncus,0,4,0,0,0,2,0,0,0,0,0,0,0,0,5,0,0,0,
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Ruminococcaceae;g__Angelakisella,4,8,0,0,0,0,0,0,0,0,2,0,11,0,0,8,0,0,
