#OTU ID,Mouse5A.DTT29,Mouse5A.FP28,Mouse6A.DTT35,Mouse1B.DTT18,Mouse3A.FP16,Mouse7A.FP40,Mouse1A.FP05,Mouse3A.FP17,Mouse2A.FP11,Mouse3A.FP18,Mouse5A.DTT30,Mouse5A.DTT28,Mouse4A.FP22,Mouse4A.FP23,Mouse6A.FP35,Mouse7A.DTT41,Mouse4A.DTT22,Mouse1A.FP06,Mouse7A.DTT42,Mouse1B.DTT16,Mouse1A.FP04,Mouse2A.FP12,Mouse2A.FP10,Mouse7A.FP42,Mouse7A.FP41,Mouse6A.DTT34,Mouse5A.FP29,Mouse6A.FP34,Mouse6A.FP36,Mouse5A.FP30,Mouse4A.FP24,Mouse4A.DTT24,Mouse1B.DTT17,Mouse6A.DTT36,Mouse4A.DTT23,Mouse7A.DTT40,Mouse9A.DTT100,Mouse9A.DTT101,Mouse8A.DTT90,Mouse10A.DTT113,Mouse9A.DTT102,Mouse10A.DTT112,Mouse10A.DTT114,Mouse10A.FP113,Mouse9A.FP102,Mouse9A.FP101,Mouse10A.FP112,Mouse8A.FP90,Mouse10A.FP114,Mouse8A.DTT88,Mouse8A.DTT89,Mouse8A.FP89,Mouse9A.FP100,Mouse8A.FP88,taxonomy
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Bifidobacteriales;f__Bifidobacteriaceae;g__Bifidobacterium,225,1234,63,113,74,565,16,3,418,1,113,24,12,6,300,294,8,6,192,181,27,66,207,204,223,3,633,8,118,337,1,61,19,113,36,64,274,336,345,0,178,0,168,18,1919,3098,0,12127,0,250,315,2280,1172,2776,
k__Bacteria;p__Actinobacteria;c__Coriobacteriia;o__Coriobacteriales;f__Atopobiaceae;g__Coriobacteriaceae_UCG-002,3,17,0,0,0,29,0,0,17,0,9,0,0,0,0,0,0,0,0,0,0,5,23,4,6,0,13,0,0,14,0,0,0,0,0,0,1,0,4,0,0,6,19,2,0,0,0,35,3,2,4,8,1,9,
k__Bacteria;p__Actinobacteria;c__Coriobacteriia;o__Coriobacteriales;f__Eggerthellaceae;g__DNF00809,2,430,0,4,215,174,91,13,513,33,4,4,47,52,98,0,2,112,0,5,177,233,369,252,281,0,387,37,310,415,187,0,0,0,0,0,28,11,15,122,0,37,64,1214,31,18,254,110,108,11,24,76,34,98,
k__Bacteria;p__Actinobacteria;c__Coriobacteriia;o__Coriobacteriales;f__Eggerthellaceae;g__Enterorhabdus,2,1,0,0,0,9,9,0,3,0,0,0,1,4,3,0,3,0,6,1,3,3,2,5,4,0,43,3,21,6,5,2,2,2,0,3,0,5,7,0,0,4,0,39,6,14,9,11,16,7,6,11,27,13,
k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides,37,0,51,228,247,178,314,168,5,204,16,105,0,5,276,0,10,7,49,156,110,30,28,7,26,17,4338,38,6,31,0,50,343,31,13,111,7,17,75,40,119,558,551,4,58,28,1953,10,39,53,19,563,16,45,
k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Marinifilaceae;g__Odoribacter,0,0,7,0,0,6,8,0,0,0,0,15,0,0,11,0,0,13,6,0,7,0,0,12,6,0,71,4,12,0,0,27,0,6,5,0,2,2,1,1,3,7,11,1,4,5,21,0,0,0,2,4,1,0,
k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Muribaculaceae;g__,25504,19156,19629,2372,15301,15553,18744,4977,30984,3139,27511,24895,3116,3939,24644,15954,7977,13855,19170,13567,18490,29444,24936,18385,17582,9469,10074,20730,29018,32244,7624,23949,3857,23831,13063,14976,62999,44888,45812,32168,37380,21136,14692,58625,58421,84332,24263,67428,35194,18372,45953,51409,89351,37058,
k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Muribaculaceae;g__Muribaculum,1900,2235,928,208,2031,1983,1761,855,3702,386,2173,1810,522,552,1490,1557,1132,1529,1661,1925,1619,2733,2616,1979,2348,202,1437,851,2554,3009,1162,2890,448,941,1537,1894,4189,2475,1338,3119,2284,3908,1038,3926,5227,5733,4384,4125,3474,645,1651,3358,5355,1951,
k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Prevotellaceae;g__Alloprevotella,73,9,61,258,269,294,10,139,24,124,60,759,0,10,105,33,21,0,114,170,113,21,39,30,56,15,6602,86,13,41,0,178,490,19,65,212,1,5,37,45,52,1481,1480,30,17,20,6228,7,25,20,10,476,4,28,
k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Prevotellaceae;g__Prevotellaceae_UCG-001,35,32,174,1004,656,476,153,906,106,871,34,246,10,4,321,23,8,0,162,1470,32,193,228,81,64,16,219,62,23,80,0,39,2855,19,25,237,24,15,63,65,75,1327,1173,18,63,29,2732,20,50,202,19,541,28,154,
k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Rikenellaceae;g__Alistipes,3,0,38,39,22,34,13,98,34,128,3,50,0,0,87,5,0,15,21,45,8,46,27,13,6,3,1458,26,24,6,9,48,148,16,5,28,19,43,9,9,100,88,158,3,150,106,323,3,18,15,6,74,41,32,
k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Rikenellaceae;g__Rikenella,0,4,0,0,0,13,0,12,23,8,0,15,0,0,8,5,0,0,0,8,4,13,30,0,0,0,91,8,0,4,4,12,25,0,0,5,5,19,2,3,24,28,32,2,33,42,67,0,3,0,2,9,9,0,
