	Mouse4A.DTT19	Mouse6A.FP31	Mouse1A.FP01	Mouse2A.FP07	Mouse3A.FP13	Mouse6A.DTT31	Mouse1B.DTT13	Mouse5A.FP25	Mouse5A.DTT25	Mouse7A.FP37	Mouse7A.DTT37	Mouse4A.FP19	Mouse10A.DTT109	Mouse10A.FP109	Mouse9A.DTT97	Mouse9A.FP97	Mouse8A.FP85	Mouse8A.DTT85
Mouse4A.DTT19	0.0	1.2885242644055561	1.1224183747697107	1.514509189501076	1.7925771350138282	1.2462356072640635	1.497833214862125	2.709219702165366	0.40836102057633994	2.742753007910416	2.345703591904137	0.2384747135165772	3.4809918432766773	2.9861477895596753	2.7195199361942834	2.907825145166604	2.3912411784065233	2.432687178220589
Mouse6A.FP31	1.2885242644055561	0.0	2.249077346758916	0.25944564355091737	0.579365112992023	0.33319768224489293	0.8597997050173163	1.493784974346937	1.1140153820073526	1.4991300021110983	1.0981423006165187	1.191798894207403	2.640832767763254	1.8497377174863883	2.4165507694646395	2.438133801612134	2.237520611838275	1.7657274953906876
Mouse1A.FP01	1.1224183747697107	2.249077346758916	0.0	2.4192730710720447	2.6251966487329006	2.089471154091835	2.065739111523202	3.70600928080603	1.1368044979345995	3.736120331678754	3.3416006893275334	1.0993005884744698	3.789372157828002	3.6311984754369857	2.671067715951636	2.9753510854920653	2.2772769481774366	2.74724120980162
Mouse2A.FP07	1.514509189501076	0.25944564355091737	2.4192730710720447	0.0	0.32887196485153486	0.3581708318505285	0.7723741529019961	1.3692486717814305	1.2969468897483798	1.356351181898789	0.9660566089148634	1.397856932224094	2.4132280146584706	1.5912522266562164	2.2931111216375317	2.280347379843621	2.1519317847854813	1.5871522424797802
Mouse3A.FP13	1.7925771350138282	0.579365112992023	2.6251966487329006	0.32887196485153486	0.0	0.5839281115744299	0.7637336037591238	1.2696488280574838	1.5347763555771041	1.245649248975225	0.9028349765757631	1.6515152808828872	2.135108092294565	1.2921106687305985	2.159822028681259	2.1092889290301	2.06029680034701	1.4021261878107771
Mouse6A.DTT31	1.2462356072640635	0.33319768224489293	2.089471154091835	0.3581708318505285	0.5839281115744299	0.0	0.5496592340719221	1.72682444260683	0.9834719514768898	1.7135450172352071	1.3216911299943048	1.1107004877945894	2.431240404000014	1.7562073430590304	2.1048665307012833	2.140125890690851	1.9246123815071607	1.4891483718800478
Mouse1B.DTT13	1.497833214862125	0.8597997050173163	2.065739111523202	0.7723741529019961	0.7637336037591238	0.5496592340719221	0.0	2.0329406491927857	1.1287938617751883	2.0064460194556792	1.6570643880447937	1.3058119760939602	1.9976843458397544	1.5695765398653718	1.558696103731521	1.6079056796887883	1.38898361431021	0.992171990182039
Mouse5A.FP25	2.709219702165366	1.493784974346937	3.70600928080603	1.3692486717814305	1.2696488280574838	1.72682444260683	2.0329406491927857	0.0	2.584343416291558	0.19463463364078554	0.4474712580864566	2.634232969431185	2.8554973469039586	1.7338026189813394	3.314928257034894	3.1912130862281747	3.2660824566106106	2.4948911998178223
Mouse5A.DTT25	0.40836102057633994	1.1140153820073526	1.1368044979345995	1.2969468897483798	1.5347763555771041	0.9834719514768898	1.1287938617751883	2.584343416291558	0.0	2.6066146695586556	2.2087304637859897	0.20068725670322682	3.0899452028111667	2.6629809151777946	2.3166068614800377	2.5042490839704996	1.9924673443091865	2.039017140746484
Mouse7A.FP37	2.742753007910416	1.4991300021110983	3.736120331678754	1.356351181898789	1.245649248975225	1.7135450172352071	2.0064460194556792	0.19463463364078554	2.6066146695586556	0.0	0.4059082333190086	2.667100532801577	2.772986080414558	1.6220939980309756	3.2627646123058223	3.122194604427948	3.233961026454461	2.4261830330799468
Mouse7A.DTT37	2.345703591904137	1.0981423006165187	3.3416006893275334	0.9660566089148634	0.9028349765757631	1.3216911299943048	1.6570643880447937	0.4474712580864566	2.2087304637859897	0.4059082333190086	0.0	2.2710824105758975	2.680986870308057	1.567830978350644	3.0055704294223813	2.8972718194862144	2.9457357693910042	2.1860038718356667
Mouse4A.FP19	0.2384747135165772	1.191798894207403	1.0993005884744698	1.397856932224094	1.6515152808828872	1.1107004877945894	1.3058119760939602	2.634232969431185	0.20068725670322682	2.667100532801577	2.2710824105758975	0.0	3.273569410896767	2.820429199999065	2.506490058980886	2.699219010404784	2.173336787339525	2.2309627304508086
Mouse10A.DTT109	3.4809918432766773	2.640832767763254	3.789372157828002	2.4132280146584706	2.135108092294565	2.431240404000014	1.9976843458397544	2.8554973469039586	3.0899452028111667	2.772986080414558	2.680986870308057	3.273569410896767	0.0	1.1982636166638239	1.4042506907209982	1.060216418692787	1.7223530006498986	1.092165908166348
Mouse10A.FP109	2.9861477895596753	1.8497377174863883	3.6311984754369857	1.5912522266562164	1.2921106687305985	1.7562073430590304	1.5695765398653718	1.7338026189813394	2.6629809151777946	1.6220939980309756	1.567830978350644	2.820429199999065	1.1982636166638239	0.0	2.0236025349495907	1.7548354622340836	2.1784443887686162	1.2116171672958782
Mouse9A.DTT97	2.7195199361942834	2.4165507694646395	2.671067715951636	2.2931111216375317	2.159822028681259	2.1048665307012833	1.558696103731521	3.314928257034894	2.3166068614800377	3.2627646123058223	3.0055704294223813	2.506490058980886	1.4042506907209982	2.0236025349495907	0.0	0.3945043070254664	0.4307566695795193	0.8674731779151705
Mouse9A.FP97	2.907825145166604	2.438133801612134	2.9753510854920653	2.280347379843621	2.1092889290301	2.140125890690851	1.6079056796887883	3.1912130862281747	2.5042490839704996	3.122194604427948	2.8972718194862144	2.699219010404784	1.060216418692787	1.7548354622340836	0.3945043070254664	0.0	0.7937991608516922	0.7156349260222964
Mouse8A.FP85	2.3912411784065233	2.237520611838275	2.2772769481774366	2.1519317847854813	2.06029680034701	1.9246123815071607	1.38898361431021	3.2660824566106106	1.9924673443091865	3.233961026454461	2.9457357693910042	2.173336787339525	1.7223530006498986	2.1784443887686162	0.4307566695795193	0.7937991608516922	0.0	0.9944570544877026
Mouse8A.DTT85	2.432687178220589	1.7657274953906876	2.74724120980162	1.5871522424797802	1.4021261878107771	1.4891483718800478	0.992171990182039	2.4948911998178223	2.039017140746484	2.4261830330799468	2.1860038718356667	2.2309627304508086	1.092165908166348	1.2116171672958782	0.8674731779151705	0.7156349260222964	0.9944570544877026	0.0
