#OTU ID,Mouse5A.DTT29,Mouse6A.DTT35,Mouse1B.DTT15,Mouse1B.DTT18,Mouse5A.DTT27,Mouse4A.DTT19,Mouse5A.DTT30,Mouse5A.DTT28,Mouse7A.DTT38,Mouse7A.DTT41,Mouse4A.DTT22,Mouse6A.DTT31,Mouse7A.DTT42,Mouse1B.DTT16,Mouse1B.DTT14,Mouse1B.DTT13,Mouse6A.DTT34,Mouse5A.DTT26,Mouse4A.DTT21,Mouse4A.DTT24,Mouse1B.DTT17,Mouse5A.DTT25,Mouse7A.DTT39,Mouse4A.DTT20,Mouse6A.DTT32,Mouse6A.DTT33,Mouse6A.DTT36,Mouse4A.DTT23,Mouse7A.DTT37,Mouse7A.DTT40,Mouse9A.DTT98,Mouse10A.DTT109,Mouse9A.DTT100,Mouse9A.DTT101,Mouse10A.DTT110,Mouse9A.DTT99,Mouse9A.DTT97,Mouse8A.DTT90,Mouse10A.DTT111,Mouse10A.DTT113,Mouse9A.DTT102,Mouse10A.DTT112,Mouse10A.DTT114,Mouse8A.DTT85,Mouse8A.DTT86,Mouse8A.DTT88,Mouse8A.DTT89,Mouse8A.DTT87,taxonomy
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Bifidobacteriales;f__Bifidobacteriaceae;g__Bifidobacterium,225,63,45,113,24,3,113,24,33,294,8,50,192,181,136,75,3,40,13,61,19,2,210,10,23,31,113,36,121,64,90,148,274,336,0,179,91,345,10,0,178,0,168,102,45,250,315,40,
k__Bacteria;p__Actinobacteria;c__Coriobacteriia;o__Coriobacteriales;f__Atopobiaceae;g__Coriobacteriaceae_UCG-002,3,0,0,0,0,0,9,0,3,0,0,8,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,32,1,0,0,7,3,4,0,0,0,6,19,2,0,2,4,0,
k__Bacteria;p__Actinobacteria;c__Coriobacteriia;o__Coriobacteriales;f__Eggerthellaceae;g__DNF00809,2,0,4,4,3,4,4,4,0,0,2,0,0,5,6,3,0,0,7,0,0,0,3,2,2,2,0,0,3,0,0,18,28,11,7,0,7,15,7,122,0,37,64,14,7,11,24,0,
k__Bacteria;p__Actinobacteria;c__Coriobacteriia;o__Coriobacteriales;f__Eggerthellaceae;g__Enterorhabdus,2,0,0,0,0,0,0,0,0,0,3,2,6,1,2,0,0,2,0,2,2,0,2,2,2,0,2,0,2,3,0,0,0,5,0,0,0,7,0,0,0,4,0,4,0,7,6,0,
k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides,37,51,2987,228,2051,1983,16,105,1364,0,10,5489,49,156,1847,3182,17,2997,696,50,343,1403,2418,987,2033,2497,31,13,1845,111,3000,2850,7,17,3923,1870,2694,75,4389,40,119,558,551,4286,2210,53,19,942,
k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Marinifilaceae;g__Odoribacter,0,7,0,0,89,104,0,15,37,0,0,95,6,0,0,19,0,117,42,27,0,46,77,43,66,44,6,5,44,0,71,13,2,2,27,33,25,1,18,1,3,7,11,15,15,0,2,9,
k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Muribaculaceae;g__,25504,19629,11029,2372,13168,11010,27511,24895,9599,15954,7977,11542,19170,13567,8669,11197,9469,19249,4286,23949,3857,8581,14487,6252,6821,5975,23831,13063,16741,14976,11606,7852,62999,44888,10168,12307,5809,45812,8883,32168,37380,21136,14692,14161,8978,18372,45953,2921,
k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Muribaculaceae;g__Muribaculum,1900,928,958,208,1798,1380,2173,1810,1269,1557,1132,826,1661,1925,732,942,202,1630,1202,2890,448,1297,1992,1119,653,891,941,1537,1362,1894,3766,941,4189,2475,1998,1746,870,1338,1250,3119,2284,3908,1038,1469,883,645,1651,189,
k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Prevotellaceae;g__Alloprevotella,73,61,3879,258,5176,11896,60,759,2142,33,21,5604,114,170,2599,2883,15,9214,5710,178,490,3840,4354,6557,3496,3548,19,65,4270,212,789,5303,1,5,10234,810,5727,37,10667,45,52,1481,1480,8465,3431,20,10,1502,
k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Prevotellaceae;g__Prevotellaceae_UCG-001,35,174,14755,1004,2981,3289,34,246,4199,23,8,4806,162,1470,14126,15065,16,7842,376,39,2855,3774,1868,2267,6689,5075,19,25,5898,237,6563,6117,24,15,8101,4352,6167,63,8951,65,75,1327,1173,8111,9598,202,19,4454,
k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Rikenellaceae;g__Alistipes,3,38,646,39,599,951,3,50,148,5,0,430,21,45,640,713,3,466,474,48,148,324,307,555,262,223,16,5,224,28,2147,402,19,43,681,666,577,9,478,9,100,88,158,391,337,15,6,190,
k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Rikenellaceae;g__Rikenella,0,0,69,0,87,166,0,15,43,5,0,49,0,8,159,117,0,82,51,12,25,43,62,81,84,111,0,0,16,5,185,67,5,19,102,64,50,2,98,3,24,28,32,50,51,0,2,31,
k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Tannerellaceae;g__Parabacteroides,7,21,164,7,107,113,0,8,60,0,0,593,15,14,104,169,3,176,55,9,26,71,224,44,152,266,0,0,133,11,171,208,11,11,98,65,108,37,107,3,18,18,32,174,185,0,23,54,
k__Bacteria;p__Cyanobacteria;c__Melainabacteria;o__Gastranaerophilales;f__;g__,0,0,42,6,31,41,0,7,79,0,0,84,0,6,100,39,0,25,59,0,11,15,52,68,118,88,0,0,43,3,96,43,0,2,98,53,51,2,86,0,0,10,17,24,1,0,0,5,
k__Bacteria;p__Cyanobacteria;c__Oxyphotobacteria;o__Chloroplast;f__;g__,0,14,0,0,0,2,0,0,0,3,11,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,7,0,0,0,23,0,0,0,14,0,
k__Bacteria;p__Deferribacteres;c__Deferribacteres;o__Deferribacterales;f__Deferribacteraceae;g__Mucispirillum,10,48,14168,325,23538,3944,17,1072,767,9,10,3570,110,191,6329,4043,40,922,15610,68,564,6429,12330,9478,1753,15287,39,37,357,195,881,17242,51,29,3058,23273,36952,66,2048,20,16,162,935,490,521,113,10,42118,
k__Bacteria;p__Firmicutes;c__Bacilli;o__Bacillales;f__Bacillaceae;g__,36,482,0,0,126,37,37,59,180,66,43,849,539,0,0,10,80,464,31,438,0,52,461,76,1143,637,80,147,526,198,22,655,7,14,5,9,45,44,0,22,10,22,363,31,17,17,28,14,
k__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Enterococcaceae;g__Enterococcus,5,2,0,0,0,0,3,5,0,0,3,0,0,0,0,4,3,0,0,11,0,0,4,0,0,0,0,0,3,0,3,5,9,0,5,0,10,18,0,0,0,0,4,24,10,0,16,0,
k__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Lactobacillus,3133,1250,457,5863,415,475,1584,2407,207,3084,6923,1104,1698,3949,650,1533,591,377,1064,9303,7588,178,439,702,642,730,3199,22098,690,2885,1486,4161,1269,1648,1232,924,1199,1593,1807,9830,399,8303,8829,2022,242,1659,218,128,
k__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Streptococcaceae;g__Lactococcus,0,0,0,9,0,0,2,2,2,0,0,28,0,0,8,12,0,0,0,2,7,4,0,5,0,0,0,3,11,0,9,50,0,6,6,0,21,21,0,0,0,0,0,18,0,15,12,0,
k__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Streptococcaceae;g__Streptococcus,20,0,0,92,5,0,12,8,0,27,25,7,23,16,0,4,6,8,4,16,141,2,11,2,0,5,19,46,8,68,2,21,45,30,6,0,18,16,15,64,59,84,13,21,4,71,2,4,
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__;g__,0,0,48,6,16,8,0,4,9,0,0,4,0,0,69,14,0,11,9,0,0,8,18,7,3,25,0,0,0,0,241,3,0,0,13,119,24,0,23,0,0,0,0,4,93,0,0,214,
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Clostridiales_vadinBB60_group;g__,0,0,5,5,13,50,0,2,19,0,0,2,0,2,10,12,0,2,20,0,7,1,1,11,9,6,0,0,1,0,0,96,0,0,117,0,22,0,88,0,0,7,7,13,0,0,0,0,
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Family_XIII;g__,0,0,47,0,44,23,0,8,13,0,0,44,5,0,44,38,0,62,20,0,12,22,32,14,42,30,0,0,24,0,59,5,0,5,12,34,38,7,18,2,15,6,10,23,22,3,0,10,
