#OTU ID,Mouse5A.FP28,Mouse3A.FP16,Mouse5A.FP26,Mouse7A.FP40,Mouse1A.FP05,Mouse6A.FP32,Mouse3A.FP17,Mouse7A.FP38,Mouse1A.FP02,Mouse2A.FP11,Mouse3A.FP18,Mouse6A.FP31,Mouse4A.FP22,Mouse1A.FP03,Mouse4A.FP23,Mouse1A.FP01,Mouse6A.FP35,Mouse2A.FP07,Mouse3A.FP13,Mouse1A.FP06,Mouse1A.FP04,Mouse2A.FP12,Mouse2A.FP10,Mouse7A.FP42,Mouse7A.FP41,Mouse3A.FP15,Mouse4A.FP20,Mouse5A.FP29,Mouse6A.FP34,Mouse6A.FP36,Mouse2A.FP09,Mouse5A.FP25,Mouse5A.FP30,Mouse7A.FP39,Mouse4A.FP24,Mouse3A.FP14,Mouse4A.FP21,Mouse2A.FP08,Mouse7A.FP37,Mouse6A.FP33,Mouse4A.FP19,Mouse5A.FP27,Mouse10A.FP110,Mouse10A.FP109,Mouse10A.FP111,Mouse9A.FP97,Mouse9A.FP98,Mouse8A.FP87,Mouse8A.FP85,Mouse10A.FP113,Mouse9A.FP102,Mouse9A.FP101,Mouse10A.FP112,Mouse8A.FP90,Mouse10A.FP114,Mouse8A.FP86,Mouse9A.FP99,Mouse8A.FP89,Mouse9A.FP100,Mouse8A.FP88,taxonomy
k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Tannerellaceae;g__Parabacteroides,0,13,77,8,20,428,8,121,166,0,23,319,0,58,0,75,49,280,114,0,0,0,0,0,0,159,77,82,2,2,34,107,0,31,0,142,57,151,95,63,58,0,89,164,159,204,185,306,175,5,24,10,65,4,6,171,200,36,5,7,
k__Bacteria;p__Cyanobacteria;c__Melainabacteria;o__Gastranaerophilales;f__;g__,0,4,0,0,7,28,17,17,0,0,9,17,0,0,0,0,0,243,19,0,0,0,0,0,0,11,11,3,0,0,21,0,3,0,0,11,12,122,9,10,5,0,62,107,29,67,51,10,8,2,4,2,30,0,0,9,57,2,0,0,
k__Bacteria;p__Cyanobacteria;c__Oxyphotobacteria;o__Chloroplast;f__;g__,21,29,0,69,0,5,2904,2,2,68,5198,0,9,0,33,1,765,0,0,0,163,104,17,204,67,0,0,0,34,108,0,0,107,0,12,0,2,3,0,0,0,9,0,0,0,0,0,0,0,712,4664,99,0,9,2347,0,0,0,47,65,
k__Bacteria;p__Deferribacteres;c__Deferribacteres;o__Deferribacterales;f__Deferribacteraceae;g__Mucispirillum,0,8,133,130,0,126,43,226,1583,16,58,687,7,358,0,6791,45,127,57,0,0,53,24,20,34,112,1029,517,15,6,449,95,17,666,0,56,911,138,67,359,3797,18,23,1928,149,951,163,642,2945,1,8,12,572,2,159,958,1023,135,6,7,
k__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Enterococcaceae;g__Enterococcus,8,0,0,0,5,0,4,0,4,5,6,0,3,148,4,3,6,0,0,5,6,6,0,0,2,7,0,3,0,3,0,2,8,0,4,2,0,2,3,3,0,7,0,3,0,0,4,0,0,4,0,0,0,9,4,0,2,0,3,0,
k__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Lactobacillus,10553,8902,2096,6217,17353,1118,16083,1506,2001,5088,14554,427,35126,1153,36731,1065,4953,3004,5406,15975,20546,2524,2562,4210,7059,6145,2993,1762,3419,3134,1065,682,4990,335,25974,4754,1530,1976,1887,353,1193,15055,6208,3961,8919,1176,387,49,6,42413,221,1608,25374,1267,23863,25,147,196,331,1487,
k__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Streptococcaceae;g__Lactococcus,5,0,0,0,0,0,3,0,0,0,5,0,0,0,0,0,0,0,0,0,4,0,3,2,2,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,
k__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Streptococcaceae;g__Streptococcus,29,33,0,39,13,15,283,28,2,40,423,9,36,7,65,0,43,8,8,47,25,25,20,20,42,9,4,0,34,25,12,4,37,9,21,7,3,17,17,12,2,27,13,12,10,15,12,4,4,451,158,166,83,48,242,5,2,7,87,60,
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__;g__,0,3,6,4,0,32,0,25,22,0,0,11,0,0,0,20,0,13,21,0,0,2,0,0,0,29,22,4,0,0,154,0,0,52,0,17,30,49,4,87,38,0,3,3,19,35,23,50,38,0,0,3,20,0,0,107,49,9,0,5,
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Clostridiales_vadinBB60_group;g__,0,0,0,2,0,0,2,0,0,0,5,0,0,0,0,0,2,2,0,0,0,5,0,0,3,0,13,5,0,0,8,0,0,0,0,0,8,0,0,0,44,0,10,90,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
