# Constructed from biom file
#OTU ID	Mouse5A.DTT29	Mouse6A.DTT35	Mouse1B.DTT15	Mouse1B.DTT18	Mouse5A.DTT27	Mouse4A.DTT19	Mouse5A.DTT30	Mouse5A.DTT28	Mouse7A.DTT38	Mouse7A.DTT41	Mouse4A.DTT22	Mouse6A.DTT31	Mouse7A.DTT42	Mouse1B.DTT16	Mouse1B.DTT14	Mouse1B.DTT13	Mouse6A.DTT34	Mouse5A.DTT26	Mouse4A.DTT21	Mouse4A.DTT24	Mouse1B.DTT17	Mouse5A.DTT25	Mouse7A.DTT39	Mouse4A.DTT20	Mouse6A.DTT32	Mouse6A.DTT33	Mouse6A.DTT36	Mouse4A.DTT23	Mouse7A.DTT37	Mouse7A.DTT40	Mouse9A.DTT98	Mouse10A.DTT109	Mouse9A.DTT100	Mouse9A.DTT101	Mouse10A.DTT110	Mouse9A.DTT99	Mouse9A.DTT97	Mouse8A.DTT90	Mouse10A.DTT111	Mouse10A.DTT113	Mouse9A.DTT102	Mouse10A.DTT112	Mouse10A.DTT114	Mouse8A.DTT85	Mouse8A.DTT86	Mouse8A.DTT88	Mouse8A.DTT89	Mouse8A.DTT87	taxonomy
k__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Muribaculaceae;g__	25504.0	19631.0	11030.0	2372.0	13170.0	11015.0	27514.0	24895.0	9599.0	15955.0	7978.0	11542.0	19172.0	13569.0	8669.0	11197.0	9473.0	19255.0	4286.0	23951.0	3858.0	8581.0	14487.0	6253.0	6821.0	5976.0	23836.0	13064.0	16742.0	14976.0	11601.0	7837.0	62974.0	44867.0	10168.0	12305.0	5807.0	45783.0	8882.0	32157.0	37365.0	21128.0	14685.0	14158.0	8974.0	18367.0	45935.0	2920.0
k__Bacteria;p__Firmicutes;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__	98.0	108.0	1644.0	416.0	2575.0	2867.0	181.0	957.0	2152.0	77.0	2.0	1999.0	308.0	173.0	2300.0	1431.0	18.0	1859.0	2217.0	941.0	465.0	1937.0	2597.0	2287.0	1219.0	980.0	76.0	171.0	735.0	572.0	7891.0	1202.0	307.0	487.0	1512.0	3319.0	2791.0	532.0	1968.0	141.0	935.0	760.0	1511.0	2312.0	943.0	99.0	99.0	728.0
k__Bacteria;p__Firmicutes;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Lachnospiraceae NK4A136 group	42.0	22.0	2084.0	522.0	906.0	1444.0	46.0	406.0	1944.0	8.0	7.0	2209.0	122.0	181.0	3305.0	1306.0	5.0	926.0	934.0	128.0	583.0	1245.0	1191.0	1423.0	2149.0	773.0	9.0	24.0	340.0	156.0	7312.0	1109.0	24.0	15.0	617.0	2442.0	4213.0	309.0	1140.0	26.0	30.0	210.0	303.0	4051.0	3559.0	82.0	68.0	5596.0
k__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides	37.0	51.0	2990.0	228.0	2054.0	2047.0	18.0	105.0	1367.0	1.0	10.0	5490.0	49.0	157.0	1848.0	3184.0	19.0	3006.0	704.0	51.0	343.0	1408.0	2429.0	1005.0	2033.0	2506.0	31.0	13.0	1846.0	111.0	2999.0	2868.0	7.0	17.0	3921.0	1869.0	2692.0	82.0	4389.0	40.0	118.0	564.0	561.0	4290.0	2208.0	53.0	19.0	941.0
k__Bacteria;p__Firmicutes;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__	14.0	19.0	303.0	82.0	439.0	228.0	11.0	99.0	412.0	0.0	0.0	782.0	66.0	6.0	570.0	160.0	6.0	305.0	168.0	10.0	65.0	260.0	529.0	255.0	416.0	329.0	12.0	8.0	98.0	55.0	1820.0	141.0	5.0	0.0	167.0	439.0	694.0	47.0	372.0	11.0	3.0	73.0	118.0	577.0	354.0	6.0	6.0	218.0
k__Bacteria;p__Firmicutes;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Lachnospiraceae UCG-006	10.0	20.0	58.0	13.0	57.0	54.0	14.0	22.0	102.0	33.0	0.0	128.0	28.0	12.0	57.0	63.0	9.0	47.0	64.0	62.0	20.0	63.0	79.0	107.0	63.0	50.0	26.0	11.0	37.0	0.0	138.0	42.0	52.0	77.0	14.0	26.0	46.0	51.0	23.0	78.0	86.0	30.0	45.0	129.0	61.0	13.0	32.0	49.0
k__Bacteria;p__Firmicutes;c__Bacilli;o__Erysipelotrichales;f__Erysipelotrichaceae;g__Dubosiella	440.0	21.0	1.0	3.0	26.0	56.0	1938.0	220.0	128.0	184.0	89.0	573.0	894.0	96.0	45.0	2.0	3.0	148.0	65.0	1295.0	2.0	12.0	649.0	59.0	96.0	123.0	37.0	120.0	836.0	18.0	0.0	15.0	0.0	12.0	0.0	0.0	9.0	730.0	0.0	0.0	11.0	0.0	0.0	110.0	101.0	420.0	844.0	82.0
k__Bacteria;p__Firmicutes;c__Clostridia;o__Oscillospirales;f__UCG-010;g__	0.0	10.0	4.0	0.0	3.0	4.0	0.0	0.0	6.0	0.0	0.0	4.0	0.0	0.0	9.0	14.0	0.0	6.0	2.0	2.0	2.0	0.0	9.0	3.0	3.0	0.0	0.0	0.0	34.0	0.0	13.0	10.0	0.0	0.0	8.0	3.0	11.0	0.0	9.0	0.0	11.0	0.0	0.0	4.0	3.0	0.0	0.0	0.0
k__Bacteria;p__Actinobacteriota;c__Coriobacteriia;o__Coriobacteriales;f__Eggerthellaceae;g__Enterorhabdus	4.0	0.0	4.0	4.0	3.0	4.0	5.0	4.0	0.0	0.0	5.0	4.0	6.0	6.0	8.0	3.0	0.0	2.0	7.0	12.0	2.0	0.0	5.0	4.0	4.0	2.0	2.0	0.0	7.0	3.0	0.0	18.0	28.0	16.0	7.0	0.0	7.0	22.0	7.0	122.0	0.0	41.0	70.0	18.0	7.0	21.0	30.0	0.0
k__Bacteria;p__Verrucomicrobiota;c__Verrucomicrobiae;o__Verrucomicrobiales;f__Akkermansiaceae;g__Akkermansia	6.0	9.0	10.0	26.0	12.0	7.0	12.0	3.0	9.0	6.0	7.0	213.0	40.0	8.0	115.0	351.0	11.0	10.0	9.0	47.0	76.0	10.0	9.0	17.0	14.0	30.0	4.0	10.0	43.0	8.0	81.0	870.0	27.0	5.0	13.0	12.0	105.0	47.0	0.0	13.0	120.0	20.0	229.0	168.0	13.0	18.0	15.0	4.0
