	TL1a_DTT_171	TL1a_DTT_74	TL1a_DTT_141	TL1a_DTT_243	TL1a_DTT_206	TL1a_DTT_62	TL1a_DTT_242	TL1a_DTT_63	TL1a_DTT_207	TL1a_DTT_75	TL1a_DTT_140	TL1a_DTT_99	TL1a_DTT_98	TL1a_DTT_170	TL1A_DTT_638	TL1A_DTT_639	TL1A_DTT_687
TL1a_DTT_171	0.0	0.5518887281806613	0.9307826918278501	2.1672505524205965	2.0555719424541574	0.6738363636264192	2.0168502705885367	0.31296869868932303	3.4514640532198513	0.4206482143231117	0.23384188689990712	2.0547217302560083	0.2986248411406932	0.7430888873675968	2.4444272879639133	3.1815899473945457	1.9157980806430233
TL1a_DTT_74	0.5518887281806613	0.0	0.5869651140617603	1.754557256928556	1.5701475387454693	1.0872771845151494	1.7657714064986951	0.6957956831503802	3.00769534729892	0.6653900115102521	0.6654201222422883	1.5645832888382645	0.4395078502865188	0.27474443053422754	2.2234318714054098	2.879722777238515	1.7401047942987549
TL1a_DTT_141	0.9307826918278501	0.5869651140617603	0.0	2.0047837946344558	1.5716957268856075	1.5647039886658758	2.2107727655678886	0.8765677886900538	3.1092507958747344	0.7261761036684508	1.129985489997313	1.2432266442693565	0.6553896028151838	0.609557638084038	1.6868343119582943	2.3382226230617653	1.2047497332773118
TL1a_DTT_243	2.1672505524205965	1.754557256928556	2.0047837946344558	0.0	0.8109811701007884	2.435643554790436	0.8170429674719785	2.408436331228298	1.347520408648579	2.3526733864478806	2.1313214203512554	1.6615399257490382	2.1199204133962315	1.5404429303811504	2.9857083806591254	3.342738729683622	2.7567926796441804
TL1a_DTT_206	2.0555719424541574	1.5701475387454693	1.5716957268856075	0.8109811701007884	0.0	2.5200270442039954	1.5265109724738748	2.213361148353466	1.5474668283398356	2.0938547522192197	2.1077510516151587	0.8831994015728473	1.900191273269364	1.3220140635035689	2.236766481949348	2.5376463943188385	2.07922552951242
TL1a_DTT_62	0.6738363636264192	1.0872771845151494	1.5647039886658758	2.435643554790436	2.5200270442039954	0.0	2.0602827353747286	0.8445566899018394	3.774450970815555	1.0409520870309172	0.49525960953297327	2.6480419807501967	0.9697138646163677	1.282637969441724	3.115399731791003	3.853166772431857	2.581662782252432
TL1a_DTT_242	2.0168502705885367	1.7657714064986951	2.2107727655678886	0.8170429674719785	1.5265109724738748	2.0602827353747286	0.0	2.312267906375744	1.9780126716504396	2.323576735644416	1.8959905600099207	2.2880691588666595	2.0843956339790064	1.6263980388159665	3.4719833750854083	3.954466322974668	3.143402945334627
TL1a_DTT_63	0.31296869868932303	0.6957956831503802	0.8765677886900538	2.408436331228298	2.213361148353466	0.8445566899018394	2.312267906375744	0.0	3.664332989414501	0.22613636563008585	0.5200121774373571	2.0881715997708707	0.31844527056986277	0.9042803043502493	2.3136291493157133	3.066820405728987	1.7678663207000116
TL1a_DTT_207	3.4514640532198513	3.00769534729892	3.1092507958747344	1.347520408648579	1.5474668283398356	3.774450970815555	1.9780126716504396	3.664332989414501	0.0	3.570272734695951	3.4404537119345386	2.2681302844048212	3.3564392833495895	2.7673434436280835	3.564796382212873	3.647710315351234	3.5318358236641405
TL1a_DTT_75	0.4206482143231117	0.6653900115102521	0.7261761036684508	2.3526733864478806	2.0938547522192197	1.0409520870309172	2.323576735644416	0.22613636563008585	3.570272734695951	0.0	0.647991544608934	1.9249478428254716	0.24376946557957985	0.8264933980051247	2.0956396367232872	2.8549323837628595	1.551889127080867
