#OTU ID,Itg.18.DTT496.S91,Lyz2.05B.DTT260.S101,Vil1.06B.DTT70,Vil1.03B.DTT35,Vil1.01B.DTT11,Itg.24.DTT530.S25,Vil1.06B.DTT72,Itg.24.DTT531.S26,Itg.04.DTT423.S15,Lyz2.06B.DTT272.S114,Lyz2.04B.DTT246.S87,Itg.20.DTT508.S3,Lyz2.06B.DTT270.S112,Itg.16.DTT482.S77,Lyz2.03B.DTT236.S76,Vil1.04B.DTT46,Lyz2.02B.DTT224.S64,Vil1.02B.DTT24,Vil1.02B.DTT23,Lyz2.06B.DTT271.S113,Lyz2.07B.DTT284.S126,Vil1.09B.DTT106,Lyz2.02B.DTT223.S63,Itg.22.DTT519.S14,Lyz2.04B.DTT247.S88,Itg.06.DTT434.S27,Itg.22.DTT518.S13,Itg.02.DTT412.S4,Vil1.03B.DTT34,Itg.26.DTT543.S39,Itg.04.DTT424.S16,Lyz2.01B.DTT210.S50,Vil1.08B.DTT96,Vil1.010B.DTT119,Vil1.05B.DTT58,Vil1.05B.DTT59,Vil1.010B.DTT120,Itg.12.DTT470.S64,Itg.02.DTT410.S2,Vil1.05B.DTT60,Itg.08.DTT446.S39,Vil1.08B.DTT95,Vil1.01B.DTT10,Itg.26.DTT542.S38,Itg.18.DTT495.S90,Lyz2.04B.DTT248.S89,Vil1.010B.DTT118,Itg.20.DTT507.S2,Itg.12.DTT471.S65,Lyz2.03B.DTT235.S75,Lyz2.05B.DTT258.S99,Itg.10.DTT459.S53,Itg.08.DTT447.S40,Vil1.09B.DTT107,Vil1.01B.DTT12,Vil1.013B.DTT156,Vil1.07B.DTT84,Vil1.014B.DTT167,Itg.26.DTT544.S40,Itg.04.DTT422.S14,Lyz2.08B.DTT295.S137,Itg.06.DTT435.S28,Vil1.06B.DTT71,Itg.16.DTT484.S79,Vil1.04B.DTT48,Lyz2.07B.DTT282.S124,Itg.06.DTT436.S29,Lyz2.08B.DTT296.S139,Itg.22.DTT520.S15,Vil1.07B.DTT83,Lyz2.02B.DTT222.S62,Lyz2.01B.DTT211.S51,Lyz2.01B.DTT212.S52,Vil1.02B.DTT22,Lyz2.07B.DTT283.S125,Itg.10.DTT458.S52,Vil1.08B.DTT94,Itg.02.DTT411.S3,Vil1.014B.DTT168,Vil1.09B.DTT108,Lyz2.05B.DTT259.S100,Itg.20.DTT506.S1,Lyz2.03B.DTT234.S74,Vil1.07B.DTT82,Vil1.013B.DTT154,Vil1.04B.DTT47,Itg.18.DTT494.S89,Lyz2.08B.DTT294.S136,Vil1.013B.DTT155,LYZdtt342,LYZdtt308,SLCdtt022,LYZdtt366,SLCdtt070,SLCdtt005,LYZdtt354,LYZdtt330,SLCdtt114,LYZdtt356,LYZdtt368,SLCdtt095,LYZdtt367,SLCdtt024,LYZdtt319,LYZdtt306,SLCdtt113,SLCdtt004,SLCdtt112,LYZdtt355,LYZdtt343,SLCdtt076,LYZdtt344,SLCdtt096,LYZdtt318,LYZdtt332,LYZdtt320,SLCdtt078,SLCdtt052,SLCdtt054,SLCdtt006,SLCdtt077,SLCdtt132,SLCdtt130,LYZdtt307,LYZdtt331,SLCdtt053,SLCdtt150,SLCdtt167,SLCdtt149,SLCdtt148,SLCdtt168,SLCdtt166
2f65298490e0fe48b880145471ec54eb,5209,2752,155,3335,21386,4781,209,3450,67694,1486,4786,14350,11640,2347,33087,3456,20157,2818,6631,5848,8719,3199,36303,9472,18285,36038,3728,33027,3722,3000,27902,25257,217,4603,1355,567,1863,14475,14999,194,3094,764,11874,8025,4617,10296,3760,9789,5477,35994,3104,17041,8749,2993,19944,4808,218,2129,4917,62526,5711,48582,126,15319,2013,16019,5894,47736,6623,343,84697,20627,45690,3112,1791,17333,217,13104,4208,1772,2033,7020,29591,131,5033,2177,2655,2625,6626,28274,34049,7933,7037,4016,3074,17631,1786,2131,92164,12690,16784,12837,2644,15915,12085,2441,4467,217,43143,11226,47800,41183,18334,108375,13950,2726,32235,13067,1838,7173,41496,9985,2241,63933,3611,7844,36699,97917,83301,3818,67819,234982
c42634f8d1aad4956aa9638465e86565,10653,7531,4,1030,490,832,8,365,2953,372,248,281,1802,6242,167,9367,1162,918,2173,1456,12232,1489,973,230,508,8804,499,48,1929,1201,1372,947,10,651,8,3,276,25964,99,7,5160,20,834,1492,8853,434,926,135,1537,84,16042,1674,12621,867,1344,140,24,1336,3016,1528,195,4567,6,14297,2183,6131,780,964,550,27,2092,513,887,2072,727,2489,8,54,4083,731,14208,370,190,53,24,2916,9394,456,20,8210,696,13088,8149,550,781,2161,10061,464,13306,8411,787,4064,9476,657,977,251,536,81,7298,11697,525,17337,570,2022,8346,2193,442,709,285,1456,390,757,103,822,17754,689,9149,10465,16296,17051,10137,1590
5ae5ad642b9c2cc68c4fc59e4902ff63,279,280,0,216,488,211,0,8,404,110,719,6109,174,28,572,324,1206,738,1932,356,2864,34,163,208,1993,869,1186,1010,1343,162,177,418,1,13,0,0,1,182,568,0,16,2,817,192,377,956,154,2736,141,606,330,12,112,7,205,6,0,7,179,342,95,1118,0,89,690,6049,147,508,1816,0,121,23,140,483,471,10,1,163,291,2,114,1136,1046,1,1,95,544,347,0,271,972,881,209,375,313,14,187,21,8,896,17,994,74,130,90,10,171,3,43,57,48,377,72,253,299,166,33,997,354,457,13,7540,1900,2184,199,772,1678,520,5207,6786,799,287
f5fb42e8863737981eb6e04a3de22e29,804,431,0,69,228,367,0,118,656,198,171,1834,411,1429,113,701,300,211,406,797,2059,112,137,365,321,984,464,535,568,610,258,239,15,112,0,0,20,771,1998,0,362,23,287,987,1253,212,220,512,288,127,2092,163,920,74,293,82,13,181,975,460,157,617,0,1280,218,703,165,655,530,17,165,309,165,281,74,204,0,428,654,28,1530,392,404,0,11,193,1363,208,16,604,1158,2633,2242,141,112,64,1483,413,171,1146,29,2642,257,294,296,207,100,60,215,416,436,595,18,418,531,557,169,554,299,176,76,861,162,732,2545,1643,5207,516,7505,444,3970,1507
d013db1a71d477496cb864ee431c3420,557,1112,0,168,1726,345,0,146,1246,331,269,6789,845,1205,409,1604,884,620,1414,822,1141,323,1831,1063,333,2905,939,3158,539,1626,610,942,0,116,0,0,13,2338,5258,0,1291,11,755,1453,638,416,235,1311,720,547,3934,714,1611,163,1076,71,11,144,2611,959,609,1568,0,3199,1159,2532,311,5558,1429,0,2295,730,950,1275,232,1027,8,1145,522,95,2193,903,458,16,0,672,684,365,0,1211,1901,1467,11059,70,122,94,4308,712,2442,17256,0,13944,294,318,448,440,45,55,4164,689,1258,2088,24,1341,1826,2579,812,710,425,202,603,1589,197,1750,10581,1134,7291,1020,7485,6534,1601,2317
ccdb1dad68d457d1df2d11af1ea8ca5f,0,212,0,5,225,15,0,0,25,1,26,0,60,0,0,0,251,67,158,71,416,0,68,0,55,0,0,0,6,0,0,69,0,6,7,0,0,89,0,0,22,10,112,7,0,18,0,0,98,0,324,35,95,1,104,26,0,155,0,0,57,0,0,55,20,122,0,197,0,0,98,0,54,74,1,37,5,0,654,0,221,0,18,8,0,1,0,121,0,24,2011,297,59,0,3,0,7,42,4,564,4,469,64,289,43,12,4,2,0,1,4,25,0,242,26,132,24,5,4,6,21,19,6,4103,20,8,183,59,452,442,0,60
9c9d2dfde9ad67dcb9628dc8c30ec99f,487,721,0,76,1122,104,0,42,328,304,334,2644,695,992,351,1644,880,421,1107,676,1262,142,2304,493,413,707,526,898,222,385,148,903,4,8,0,0,0,1158,2531,0,373,3,355,603,526,290,32,556,550,635,4688,216,677,76,386,34,0,126,1064,321,620,656,0,2232,737,2346,157,2559,513,8,2447,1016,390,1024,196,353,0,453,488,23,2547,262,696,6,4,543,460,245,0,870,2325,132,6581,52,41,180,1240,649,2421,10324,0,9103,39,475,853,420,36,68,1685,957,730,1493,0,1109,920,1751,557,215,188,163,394,686,102,2358,2477,338,2538,745,5351,1825,2353,1513
a93ecb34623d57ce5a83ac109551229b,59,78,0,5,45,57,0,21,109,73,25,88,135,66,12,44,137,44,83,231,365,33,29,18,18,356,35,13,51,49,63,46,0,13,0,0,0,68,40,0,14,0,31,79,76,31,32,65,38,0,37,29,85,15,23,5,0,95,54,182,68,329,0,261,59,380,56,231,53,0,37,6,18,18,47,32,6,9,287,0,36,55,20,7,7,23,80,58,0,54,158,867,292,9,34,0,95,115,30,878,0,1183,41,43,43,95,30,9,9,30,8,120,0,96,53,57,27,20,10,81,23,102,39,402,67,24,97,195,552,799,90,53
1b23073ca2a2884ac2bd7895dda760bc,29,32,0,1,2,10,0,1,5,11,8,43,12,12,1,1,24,3,9,16,112,1,1,0,27,69,1,2,4,3,7,13,0,1,0,0,0,1,5,0,2,1,7,10,20,8,1,55,1,0,14,1,42,0,1,1,0,10,7,30,51,20,0,84,28,68,6,44,1,0,1,0,1,1,4,1,0,1,50,0,4,12,7,0,0,1,56,53,0,33,332,4,160,0,7,4,0,7,0,651,0,860,0,55,28,0,0,0,7,11,0,87,0,103,11,26,4,24,9,9,0,13,7,994,4,15,0,177,0,0,169,80
7cd17d18c05e35c6001cc253ac15c517,218,244,0,79,381,165,0,58,279,81,211,562,336,461,102,363,339,198,440,282,482,87,798,376,281,833,394,546,231,369,156,579,0,74,0,0,6,950,1697,0,316,0,279,510,326,274,88,156,267,170,872,189,517,81,100,20,0,60,527,280,232,473,0,689,148,1433,94,1278,529,0,1288,572,308,399,124,334,0,335,202,29,774,169,281,7,6,85,342,170,0,344,1080,311,3429,36,32,39,1529,404,590,5080,32,3814,35,123,252,169,29,12,594,225,127,647,6,828,425,1221,96,678,360,59,87,504,94,1265,1683,1434,288,2318,1067,711,1438,3438
