	chao1
BioGeo-TL1a_FP_77-REP1_S4_R1_001.fastq_profiled_metagenome	55.0
BioGeo-TL1a_FP_73-REP1_S3_R1_001.fastq_profiled_metagenome	114.25
BioGeo-TL1a_FP_65_merged_R1_001.fastq_profiled_metagenome	86.2
BioGeo-TL1a_FP_61_merged_R1_001.fastq_profiled_metagenome	107.0
BioGeo-TL1a_FP_241_merged_R1_001.fastq_profiled_metagenome	72.14285714285714
BioGeo-TL1a_FP_209-REP1_S11_R1_001.fastq_profiled_metagenome	78.33333333333333
BioGeo-TL1a_FP_205_merged_R1_001.fastq_profiled_metagenome	77.0
BioGeo-TL1a_FP_143_merged_R1_001.fastq_profiled_metagenome	3.0
BioGeo-TL1a_FP_139_merged_R1_001.fastq_profiled_metagenome	80.5
BioGeo-TL1a_FP_101-REP1_S6_R1_001.fastq_profiled_metagenome	9.0
BioGeo-TL1A_FP_689-Rep1_S104_R1_001.fastq_profiled_metagenome	31.0
BioGeo-TL1A_FP_685-REP1_S22_R1_001.fastq_profiled_metagenome	81.0
BioGeo-TL1A_FP_641_merged_R1_001.fastq_profiled_metagenome	54.0
BioGeo-TL1A_FP_637_merged_R1_001.fastq_profiled_metagenome	81.0
