	Vil1.03B.DTT33	Itg.18.DTT496.S91	Vil1.05B.DTT57	Lyz2.07B.DTT281.S123	Vil1.010B.DTT117	Itg.10.DTT455.S49	Lyz2.05B.DTT260.S101	Lyz2.02B.DTT221.S61	Vil1.06B.DTT70	Vil1.03B.DTT35	Itg.10.DTT456.S50	Vil1.01B.DTT11	Lyz2.06B.DTT269.S111	Lyz2.03B.DTT232.S72	Vil1.09B.DTT105	Itg.20.DTT504.S99	Itg.20.DTT505.S100	Itg.24.DTT530.S25	Vil1.06B.DTT72	Itg.24.DTT531.S26	Vil1.04B.DTT43	Itg.24.DTT529.S24	Itg.04.DTT423.S15	Vil1.07B.DTT79	Lyz2.06B.DTT272.S114	Itg.18.DTT492.S87	Vil1.014B.DTT164	Lyz2.04B.DTT246.S87	Lyz2.01B.DTT207.S47	Itg.26.DTT541.S37	Itg.02.DTT409.S1	Itg.22.DTT516.S11	Itg.20.DTT508.S3	Lyz2.06B.DTT270.S112	Itg.16.DTT482.S77	Lyz2.04B.DTT243.S84	Itg.06.DTT433.S26	Lyz2.03B.DTT236.S76	Vil1.04B.DTT46	Lyz2.02B.DTT224.S64	Itg.02.DTT407.S99	Lyz2.08B.DTT291.S133	Itg.24.DTT527.S22	Itg.26.DTT539.S35	Vil1.09B.DTT104	Vil1.02B.DTT24	Vil1.02B.DTT21	Vil1.02B.DTT23	Vil1.03B.DTT32	Lyz2.06B.DTT271.S113	Itg.22.DTT517.S12	Lyz2.07B.DTT284.S126	Vil1.09B.DTT106	Vil1.02B.DTT20	Lyz2.04B.DTT244.S85	Vil1.06B.DTT67	Lyz2.02B.DTT223.S63	Vil1.04B.DTT44	Itg.22.DTT519.S14	Lyz2.04B.DTT247.S88	Itg.06.DTT434.S27	Itg.24.DTT528.S23	Itg.22.DTT518.S13	Itg.02.DTT412.S4	Itg.08.DTT444.S37	Vil1.03B.DTT34	Itg.12.DTT467.S61	Itg.16.DTT480.S75	Itg.26.DTT543.S39	Lyz2.02B.DTT219.S59	Itg.04.DTT424.S16	Itg.12.DTT468.S62	Lyz2.01B.DTT210.S50	Vil1.08B.DTT96	Vil1.010B.DTT119	Vil1.04B.DTT45	Lyz2.03B.DTT233.S73	Itg.18.DTT491.S86	Vil1.05B.DTT58	Lyz2.07B.DTT280.S122	Itg.06.DTT431.S24	Vil1.05B.DTT59	Vil1.07B.DTT81	Lyz2.05B.DTT255.S96	Vil1.010B.DTT120	Itg.12.DTT470.S64	Lyz2.01B.DTT208.S48	Itg.02.DTT408.S100	Itg.02.DTT410.S2	Lyz2.07B.DTT279.S121	Vil1.05B.DTT60	Itg.08.DTT446.S39	Vil1.013B.DTT152	Vil1.08B.DTT95	Vil1.01B.DTT10	Itg.26.DTT542.S38	Vil1.05B.DTT55	Itg.18.DTT493.S88	Vil1.013B.DTT153	Vil1.01B.DTT08	Lyz2.05B.DTT256.S97	Itg.04.DTT421.S13	Itg.18.DTT495.S90	Lyz2.04B.DTT248.S89	Vil1.014B.DTT165	Vil1.010B.DTT118	Lyz2.08B.DTT292.S134	Itg.20.DTT507.S2	Itg.12.DTT471.S65	Lyz2.03B.DTT235.S75	Vil1.06B.DTT69	Vil1.08B.DTT92	Lyz2.05B.DTT258.S99	Itg.10.DTT459.S53	Itg.08.DTT447.S40	Vil1.09B.DTT107	Itg.10.DTT457.S51	Lyz2.06B.DTT267.S108	Vil1.01B.DTT12	Vil1.013B.DTT156	Vil1.07B.DTT84	Itg.16.DTT479.S73	Lyz2.05B.DTT257.S98	Vil1.014B.DTT167	Itg.26.DTT544.S40	Itg.04.DTT422.S14	Vil1.08B.DTT93	Lyz2.08B.DTT295.S137	Itg.06.DTT435.S28	Vil1.06B.DTT71	Itg.16.DTT484.S79	Itg.20.DTT503.S98	Itg.22.DTT515.S10	Vil1.013B.DTT151	Itg.16.DTT481.S76	Vil1.04B.DTT48	Lyz2.07B.DTT282.S124	Itg.06.DTT436.S29	Vil1.02B.DTT19	Lyz2.08B.DTT296.S139	Itg.12.DTT469.S63	Itg.22.DTT520.S15	Vil1.07B.DTT83	Itg.08.DTT443.S36	Lyz2.02B.DTT222.S62	Lyz2.01B.DTT211.S51	Lyz2.04B.DTT245.S86	Vil1.010B.DTT116	Lyz2.01B.DTT212.S52	Itg.04.DTT420.S12	Lyz2.02B.DTT220.S60	Lyz2.08B.DTT293.S135	Vil1.02B.DTT22	Lyz2.07B.DTT283.S125	Itg.10.DTT458.S52	Vil1.07B.DTT80	Vil1.010B.DTT115	Vil1.08B.DTT91	Vil1.014B.DTT163	Vil1.08B.DTT94	Itg.02.DTT411.S3	Vil1.05B.DTT56	Vil1.014B.DTT168	Lyz2.01B.DTT209.S49	Vil1.09B.DTT103	Vil1.09B.DTT108	Vil1.01B.DTT09	Lyz2.05B.DTT259.S100	Itg.20.DTT506.S1	Lyz2.06B.DTT268.S109	Lyz2.03B.DTT234.S74	Vil1.07B.DTT82	Vil1.06B.DTT68	Vil1.013B.DTT154	Vil1.04B.DTT47	Lyz2.03B.DTT231.S71	Itg.18.DTT494.S89	Itg.06.DTT432.S25	Itg.08.DTT445.S38	Lyz2.08B.DTT294.S136	Itg.26.DTT540.S36	Itg.04.DTT419.S11	Vil1.013B.DTT155	LYZdtt342	LYZdtt351	LYZdtt364	SLCdtt050	LYZdtt308	SLCdtt110	SLCdtt075	SLCdtt022	LYZdtt366	SLCdtt019	SLCdtt070	SLCdtt005	SLCdtt002	LYZdtt354	LYZdtt328	LYZdtt330	SLCdtt021	SLCdtt114	SLCdtt111	LYZdtt356	LYZdtt368	SLCdtt095	SLCdtt074	LYZdtt367	LYZdtt304	SLCdtt024	LYZdtt317	LYZdtt305	LYZdtt319	LYZdtt329	LYZdtt306	SLCdtt113	SLCdtt004	SLCdtt092	SLCdtt112	SLCdtt020	LYZdtt355	LYZdtt343	SLCdtt128	SLCdtt076	LYZdtt341	LYZdtt344	SLCdtt051	LYZdtt340	SLCdtt096	LYZdtt318	LYZdtt332	LYZdtt363	LYZdtt365	LYZdtt320	LYZdtt315	SLCdtt078	SLCdtt052	SLCdtt069	SLCdtt129	SLCdtt109	LYZdtt352	SLCdtt054	LYZdtt353	LYZdtt316	SLCdtt006	SLCdtt093	SLCdtt077	SLCdtt132	SLCdtt001	LYZdtt303	SLCdtt130	SLCdtt068	LYZdtt307	LYZdtt331	LYZdtt339	SLCdtt003	SLCdtt053	LYZdtt327	SLCdtt067	SLCdtt163	SLCdtt164	SLCdtt145	SLCdtt150	SLCdtt167	SLCdtt149	SLCdtt146	SLCdtt148	SLCdtt168	SLCdtt165	SLCdtt166	SLCdtt147
Vil1.03B.DTT33	0.0	0.6129639591178053	0.986013986013986	0.5244755244755245	0.5009413663259817	0.3925497579343733	0.4167563206024745	0.6480634749865519	0.9884346422807961	0.4260355029585799	0.5309306078536847	0.6023399677245831	0.6126949973103819	0.5297202797202797	0.8044647660032276	0.634884346422808	0.6436256051640667	0.5467993544916622	0.9888380849919312	0.8289402904787521	0.5364443249058634	0.5316030123722432	0.6483324367939752	0.9888380849919312	0.5836471221086605	0.6642011834319527	0.585529854760624	0.6510220548682087	0.600322754168908	0.5793437331898871	0.514792899408284	0.6350188273265196	0.45212479827864444	0.46637977407208175	0.6347498655190963	0.48493813878429265	0.5543302850995159	0.6676976869284562	0.5547337278106509	0.5796126949973104	0.5047068316299086	0.4441904249596557	0.5736955352339967	0.3613501882732652	0.7175901022054868	0.36659494351802047	0.4135287789133943	0.32235072619688004	0.41487358795051105	0.3869015599784831	0.5254168908015062	0.4249596557288865	0.8882463690155998	0.3674018289402905	0.6199569661108123	0.9888380849919312	0.6514254975793438	0.4061323292092523	0.5909090909090909	0.5407477138246369	0.4766003227541689	0.5853953738569123	0.6319257665411512	0.5344271113501883	0.5001344809037117	0.5766541151156536	0.4487627756858526	0.5751748251748252	0.6113501882732651	0.5979020979020979	0.6429532006455083	0.4796933835395374	0.6557288864981172	0.9887036040882194	0.9483593329747176	0.46705217859064013	0.558364712210866	0.6038192576654116	0.9854760623991393	0.4488972565895643	0.5451855836471221	0.9866863905325444	0.9678590640129102	0.44365250134480905	0.9579074771382464	0.5836471221086605	0.8293437331898871	0.4493006993006993	0.550161377084454	0.5560785368477676	0.9885691231845078	0.57235072619688	0.9299354491662184	0.9862829478214094	0.5605164066702528	0.5732920925228617	0.9888380849919312	0.6877353415814954	0.9224045185583647	0.4031737493275955	0.5229962345346961	0.5525820333512641	0.5572888649811727	0.6167294244217321	0.5231307154384077	0.8980634749865519	0.5294513179128564	0.46207638515330823	0.541151156535772	0.6764389456697149	0.9759279182356105	0.9526627218934911	0.5488165680473372	0.6350188273265196	0.5024206562668101	0.9460731576116191	0.5322754168908015	0.6476600322754169	0.6118881118881119	0.8825981710597095	0.9883001613770844	0.6315223238300162	0.4657073695535234	0.6889456697149005	0.5422270037654653	0.6732114039806347	0.9484938138784292	0.5628025820333513	0.5804195804195804	0.9885691231845078	0.4787520172135557	0.41917697686928457	0.3836740182894029	0.898870360408822	0.5894298009682625	0.48668639053254437	0.3816568047337278	0.4920656266810113	0.41016675632060245	0.6132329209252286	0.49058633674018287	0.4857450242065627	0.9864174287251211	0.627891339429801	0.6857181280258203	0.706428187197418	0.5084722969338354	0.6343464228079613	0.7291554599246907	0.5329478214093599	0.6387842926304464	0.5399408284023669	0.46140398063474986	0.6031468531468531	0.665277030661646	0.9748520710059172	0.9537385691231846	0.9853415814954276	0.5302582033351264	0.9885691231845078	0.5972296933835395	0.9755244755244755	0.5450511027434104	0.7333243679397525	0.8882463690155998	0.9408284023668639	0.4164873587950511	0.5833781603012372	0.8263851533082303	0.7345346960731576	0.6130984400215169	0.9864174287251211	0.9803657880580957	0.8805809575040344	0.6179397525551372	0.5463959117805272	0.615922538999462	0.46207638515330823	0.5981710597095212	0.36161915008068857	0.5968262506724045	0.4029047875201721	0.8362022592791823	0.7547068316299086	0.7181280258203335	0.8799085529854761	0.772189349112426	0.64228079612695	0.7400484131253362	0.7030661646046261	0.49233458848843464	0.7598171059709521	0.5831091984938139	0.7104626143087681	0.7034696073157611	0.600726196880043	0.9053254437869822	0.5992469069392147	0.9117805271651426	0.628698224852071	0.6830285099515869	0.7001075847229693	0.7560516406670252	0.5771920387305003	0.7552447552447552	0.6941904249596558	0.6047606239913932	0.6729424421732114	0.6106777837547068	0.6733458848843464	0.7171866594943518	0.7052178590640129	0.4527972027972028	0.9084185045723507	0.6549220010758472	0.6923076923076923	0.6951317912856374	0.9146046261430877	0.6686390532544378	0.7625067240451856	0.8916083916083916	0.6839698762775686	0.7532275416890801	0.5952124798278644	0.633674018289403	0.8132060247444863	0.650887573964497	0.7615653577192039	0.7387036040882194	0.5993813878429263	0.6886767079074771	0.8796395911780527	0.8756051640667025	0.6530392684238838	0.7674825174825175	0.7167832167832168	0.6695804195804196	0.7071005917159763	0.5426304464766003	0.7096557288864981	0.7227003765465304	0.7372243141473911	0.672270037654653	0.7083109198493814	0.642684238838085	0.7681549220010758	0.6359601936525013	0.608122646584185	0.527972027972028	0.6885422270037654	0.6229155459924691	0.6795320064550834	0.4900484131253362	0.5914470145239376	0.6843733189887036	0.684238838084992	0.4203873050026896	0.6650080688542227	0.506186121570737	0.6874663797740721	0.5072619688004303	0.5622646584185046	0.5450511027434104	0.5958848843464228	0.6514254975793438	0.5352339967724583	0.4693383539537386	0.5966917697686929	0.5704679935449166	0.541554599246907
Itg.18.DTT496.S91	0.6129639591178053	0.0	0.9944862829478214	0.6342119419042496	0.6204948897256589	0.46651425497579346	0.47135556750941365	0.7456966110812264	0.9969069392146315	0.6412049488972565	0.6362291554599246	0.8423883808499193	0.7337278106508875	0.7319795589026358	0.8314954276492738	0.735207100591716	0.7522861753630984	0.6266810112963959	0.9971759010220549	0.6204948897256589	0.6447014523937601	0.657477138246369	0.5844540075309306	0.9973103819257665	0.6467186659494352	0.527568585260893	0.6469876277568585	0.75	0.721624529316837	0.6654115115653577	0.6463152232383002	0.7093867670790748	0.6734803657880581	0.7104626143087681	0.6114846691769769	0.6962076385153309	0.6923076923076923	0.7766272189349113	0.5180204410973642	0.7805271651425497	0.6270844540075309	0.6795320064550834	0.6320602474448628	0.5727541689080151	0.7978752017213556	0.6612426035502958	0.6771113501882733	0.6533082302313071	0.6761699838622915	0.5646853146853147	0.6659494351802044	0.5150618612157074	0.9154115115653577	0.6693114577729963	0.748789671866595	0.9974448628294782	0.8456159225389994	0.5628025820333513	0.41325981710597093	0.7205486820871436	0.6338084991931145	0.6896180742334589	0.6691769768692846	0.5387305002689619	0.5020172135556751	0.7252555137170522	0.46637977407208175	0.4775416890801506	0.6803388918773534	0.7315761161915008	0.48238300161377085	0.5395373856912319	0.7996234534696073	0.9971759010220549	0.9561592253899946	0.5837816030123723	0.7393760086067779	0.4327595481441635	0.993813878429263	0.6452393760086068	0.685449166218397	0.9950242065626681	0.9713555675094137	0.6347498655190963	0.9673211403980635	0.4622108660570199	0.8477676169983862	0.6296395911780527	0.41272189349112426	0.6204948897256589	0.9969069392146315	0.5170790747713825	0.9254975793437332	0.9947552447552448	0.8051371705217859	0.5806885422270037	0.9971759010220549	0.4591178052716514	0.8741258741258742	0.671866594943518	0.7018558364712211	0.7241796664873588	0.17025282409897793	0.7452931683700914	0.5287789133942981	0.9229424421732114	0.7212210866057019	0.6569392146315223	0.5262237762237763	0.8150887573964497	0.9846691769768693	0.9554868208714362	0.5570199031737493	0.543571812802582	0.37157073695535237	0.9589833243679398	0.6116191500806886	0.7690962883270576	0.7965303926842389	0.5884884346422808	0.9967724583109199	0.6034158149542765	0.5979020979020979	0.4444593867670791	0.5116998386229156	0.7190693921463153	0.950242065626681	0.7946476600322754	0.7266003227541689	0.9969069392146315	0.5372512103281334	0.6565357719203873	0.5441097364174288	0.8821947283485745	0.4967724583109199	0.5398063474986552	0.6632598171059709	0.6691769768692846	0.6814147391070468	0.8279989241527703	0.491796664873588	0.4171597633136095	0.9947552447552448	0.7073695535233997	0.8481710597095212	0.8690155997848306	0.7037385691231846	0.7490586336740183	0.8409090909090909	0.7062937062937062	0.7888649811726735	0.7314416352877892	0.6701183431952663	0.7237762237762237	0.5985745024206562	0.9819795589026358	0.9683969876277568	0.9935449166218397	0.57154384077461	0.9971759010220549	0.4388111888111888	0.9846691769768693	0.5002689618074233	0.7781065088757396	0.9259010220548682	0.9517213555675094	0.6788596019365251	0.5831091984938139	0.8394298009682625	0.7934373318988703	0.7642549757934374	0.9950242065626681	0.9888380849919312	0.6359601936525013	0.6192845615922539	0.6765734265734266	0.25268961807423346	0.665277030661646	0.5488165680473372	0.6959386767079074	0.7014523937600861	0.5598440021516945	0.599112426035503	0.8811188811188811	0.8379505110274341	0.85771920387305	0.8402366863905325	0.7443518020441098	0.7955890263582571	0.8117267348036579	0.6463152232383002	0.8481710597095212	0.7213555675094137	0.814954276492738	0.7058902635825712	0.7563206024744487	0.9579074771382464	0.7602205486820871	0.9445938676707908	0.6272189349112426	0.743410435718128	0.791958041958042	0.8636363636363636	0.8090371167294245	0.7272727272727273	0.8123991393222162	0.8313609467455622	0.7543033889187736	0.5984400215169446	0.7494620763851533	0.8082302313071544	0.8253093060785368	0.6733458848843464	0.9386767079074771	0.6857181280258203	0.7050833781603012	0.807961269499731	0.9041151156535772	0.7027972027972028	0.8952393760086068	0.9366594943518021	0.7926304464766003	0.8476331360946746	0.6733458848843464	0.7662721893491125	0.8597364174287251	0.7424690693921463	0.6116191500806886	0.858929532006455	0.8247713824636902	0.7584722969338354	0.8300161377084454	0.883674018289403	0.7746100053792362	0.8625605164066703	0.7970683162990855	0.7930338891877353	0.8386229155459924	0.7411242603550295	0.8292092522861754	0.7483862291554599	0.8403711672942442	0.7672135556750941	0.7536309844002151	0.7759548144163528	0.8704948897256589	0.8164335664335665	0.7322485207100592	0.7021247982786444	0.8448090371167294	0.7859064012910166	0.7883270575578268	0.7112694997310381	0.7279451317912856	0.792361484669177	0.7590102205486821	0.7005110274341043	0.7970683162990855	0.6997041420118343	0.7622377622377622	0.6547875201721356	0.5961538461538461	0.6639322216245294	0.5840505648197956	0.7237762237762237	0.7256589564281872	0.5848574502420656	0.7307692307692307	0.6218396987627757	0.7395104895104895
Vil1.05B.DTT57	0.986013986013986	0.9944862829478214	0.0	0.9951586874663798	0.7885960193652501	0.993006993006993	0.9854760623991393	0.9965034965034965	0.0033620225927918235	0.7872512103281334	0.9966379774072082	0.9818450779989242	0.992603550295858	0.9959655728886498	0.2389725658956428	0.9966379774072082	0.9967724583109199	0.9232114039806347	0.0032275416890801506	0.984400215169446	0.6385153308230231	0.9969069392146315	0.9955621301775148	0.0032275416890801506	0.650887573964497	0.9965034965034965	0.806347498655191	0.9959655728886498	0.9774072081764389	0.9969069392146315	0.9947552447552448	0.9969069392146315	0.993410435718128	0.9798278644432491	0.9962345346960731	0.9850726196880043	0.9967724583109199	0.9973103819257665	0.9690693921463153	0.9942173211403981	0.9635556750941366	0.978617536309844	0.9928725121032813	0.9951586874663798	0.34669176976869287	0.8924152770306616	0.9854760623991393	0.964228079612695	0.9936793975255513	0.9880311995696611	0.9969069392146315	0.9948897256589564	0.10247444862829479	0.9858795051102743	0.9963690155997849	0.0032275416890801506	0.9981172673480366	0.9939483593329748	0.9947552447552448	0.9909897794513179	0.9901828940290479	0.9961000537923614	0.9943518020441098	0.9961000537923614	0.9965034965034965	0.9931414739107047	0.9977138246369016	0.9947552447552448	0.9343733189887036	0.9961000537923614	0.9950242065626681	0.9967724583109199	0.9961000537923614	0.0030930607853684776	0.042361484669176976	0.9810381925766541	0.9961000537923614	0.9966379774072082	0.0034965034965034965	0.9813071543840775	0.9965034965034965	0.0033620225927918235	0.02555137170521786	0.9059978483055406	0.030930607853684778	0.9967724583109199	0.9966379774072082	0.9795589026358257	0.9971759010220549	0.7257934373318988	0.0030930607853684776	0.9966379774072082	0.6311188811188811	0.0028240989779451317	0.9829209252286175	0.9944862829478214	0.0030930607853684776	0.9969069392146315	0.7040075309306079	0.9952931683700914	0.9963690155997849	0.9969069392146315	0.9900484131253362	0.6955352339967724	0.9413663259817105	0.09238838084991931	0.9850726196880043	0.9880311995696611	0.9965034965034965	0.9971759010220549	0.011296395911780527	0.05944055944055944	0.9971759010220549	0.9965034965034965	0.991393222162453	0.04303388918773534	0.9966379774072082	0.9955621301775148	0.9744486282947822	0.7056213017751479	0.0029585798816568047	0.9909897794513179	0.9966379774072082	0.935852608929532	0.9943518020441098	0.9967724583109199	0.05634749865519096	0.9877622377622378	0.9946207638515331	0.0029585798816568047	0.9958310919849381	0.9931414739107047	0.9956966110812264	0.8532813340505648	0.9963690155997849	0.8870360408821947	0.9940828402366864	0.9932759548144163	0.9674556213017751	0.9959655728886498	0.9966379774072082	0.9932759548144163	0.0026896180742334587	0.5613232920925229	0.9981172673480366	0.4527972027972028	0.9966379774072082	0.4533351264120495	0.9951586874663798	0.9969069392146315	0.9965034965034965	0.9877622377622378	0.9869553523399677	0.599919311457773	0.9970414201183432	0.0164066702528241	0.03523399677245831	0.0032275416890801506	0.865519096288327	0.0029585798816568047	0.9982517482517482	0.014254975793437331	0.7615653577192039	0.9963690155997849	0.10355029585798817	0.051775147928994084	0.9931414739107047	0.9973103819257665	0.9899139322216245	0.9965034965034965	0.9943518020441098	0.002555137170521786	0.009413663259817106	0.7217590102205487	0.8019096288327058	0.9822485207100592	0.9932759548144163	0.9966379774072082	0.9967724583109199	0.9712210866057019	0.9962345346960731	0.9454007530930608	0.8885153308230231	0.9967724583109199	0.9982517482517482	0.9961000537923614	0.9989241527703067	0.9961000537923614	0.9989241527703067	0.9982517482517482	0.998789671866595	0.9979827864443249	0.9985207100591716	0.9989241527703067	0.998789671866595	0.9981172673480366	0.999596557288865	0.9962345346960731	0.998789671866595	0.9990586336740183	0.9967724583109199	0.9989241527703067	0.9990586336740183	0.9956966110812264	0.9990586336740183	0.9986551909628832	0.9975793437331899	0.9924690693921463	0.998789671866595	0.9966379774072082	0.9962345346960731	0.9979827864443249	0.9962345346960731	0.99919311457773	0.998789671866595	0.9985207100591716	0.9985207100591716	0.9997310381925767	0.9989241527703067	0.998789671866595	0.9986551909628832	0.998789671866595	0.9986551909628832	0.9961000537923614	0.9958310919849381	0.998789671866595	0.9961000537923614	0.999596557288865	0.9970414201183432	0.9966379774072082	0.9962345346960731	0.9963690155997849	0.9990586336740183	0.9897794513179129	0.9986551909628832	0.99919311457773	0.9986551909628832	0.998789671866595	0.9986551909628832	0.9966379774072082	0.9989241527703067	0.9970414201183432	0.9965034965034965	0.998789671866595	0.9989241527703067	0.99919311457773	0.9989241527703067	0.9936793975255513	0.9712210866057019	0.9986551909628832	0.9986551909628832	0.9986551909628832	0.9971759010220549	0.9850726196880043	0.9982517482517482	0.9990586336740183	0.9955621301775148	0.9969069392146315	0.9969069392146315	0.9982517482517482	0.9966379774072082	0.9981172673480366	0.9985207100591716	0.9986551909628832	0.9981172673480366	0.9985207100591716	0.9981172673480366	0.9986551909628832	0.9983862291554599	0.9985207100591716
Lyz2.07B.DTT281.S123	0.5244755244755245	0.6342119419042496	0.9951586874663798	0.0	0.5325443786982249	0.49731038192576654	0.613905325443787	0.470817643894567	0.9975793437331899	0.6738838084991932	0.5617267348036579	0.7774341043571813	0.48628294782140935	0.5580957504034427	0.7938407746100054	0.47646584185045726	0.5232651963421194	0.7222969338353954	0.9979827864443249	0.934238838084992	0.5485476062399139	0.46395911780527166	0.8024475524475524	0.9981172673480366	0.6709252286175363	0.4835933297471759	0.4787520172135557	0.7389725658956429	0.5118343195266272	0.4523937600860678	0.5459924690693921	0.4975793437331899	0.6004572350726197	0.7385691231845078	0.6194190424959656	0.6075847229693384	0.5246100053792362	0.8251748251748252	0.6463152232383002	0.6362291554599246	0.4940828402366864	0.5676438945669715	0.4688004303388919	0.47149004841312536	0.7401828940290479	0.5836471221086605	0.3960462614308768	0.5848574502420656	0.4369284561592254	0.5707369553523399	0.3986013986013986	0.5264927380311996	0.9080150618612157	0.45252824098977945	0.5739644970414202	0.9979827864443249	0.7370898332436794	0.4608660570199032	0.8177783754706832	0.721624529316837	0.6112157073695536	0.5617267348036579	0.714228079612695	0.7729962345346961	0.4655728886498117	0.5239376008606778	0.49273803119956966	0.43571812802582033	0.7522861753630984	0.4225389994620764	0.8231576116191501	0.4195804195804196	0.7529585798816568	0.9978483055406132	0.9690693921463153	0.3827326519634212	0.47982786444324904	0.557154384077461	0.9946207638515331	0.24784830554061324	0.577729962345347	0.9958310919849381	0.9727003765465304	0.591715976331361	0.9731038192576654	0.6378429263044648	0.7007799892415277	0.5697955890263583	0.7510758472296933	0.4467455621301775	0.9977138246369016	0.6487358795051102	0.9429800968262507	0.9955621301775148	0.7239107046799355	0.7485207100591716	0.9979827864443249	0.4946207638515331	0.9400215169445939	0.4509144701452394	0.5740989779451318	0.5952124798278644	0.5731576116191501	0.808768154922001	0.4562937062937063	0.9155459924690694	0.4810381925766541	0.6207638515330823	0.6679666487358795	0.791554599246907	0.9849381387842926	0.9577729962345347	0.651291016675632	0.8465572888649812	0.591715976331361	0.957235072619688	0.5482786444324906	0.5609198493813878	0.7787789133942981	0.908284023668639	0.9974448628294782	0.5332167832167832	0.4355836471221087	0.7764927380311996	0.6752286175363098	0.8037923614846691	0.9513179128563743	0.7021247982786444	0.6559978483055406	0.9977138246369016	0.6004572350726197	0.5714093598708984	0.5603819257665411	0.9220010758472297	0.43854222700376544	0.5445131791285638	0.42052178590640127	0.5810919849381387	0.6289671866594944	0.7397794513179129	0.3882463690155998	0.6642011834319527	0.9955621301775148	0.6886767079074771	0.7471759010220549	0.8520710059171598	0.5469338353953739	0.6625874125874126	0.8318988703604088	0.5821678321678322	0.5720817643894567	0.4971759010220549	0.6403980634749865	0.5701990317374933	0.8418504572350726	0.9838622915545993	0.9634211941904249	0.9942173211403981	0.48278644432490586	0.9977138246369016	0.8273265196342119	0.983996772458311	0.599112426035503	0.5625336202259279	0.9125874125874126	0.9521247982786444	0.4323561054330285	0.6814147391070468	0.8341850457235073	0.5816299085529855	0.7294244217321141	0.9958310919849381	0.9887036040882194	0.9111081226465841	0.6667563206024745	0.6188811188811189	0.5056481979558902	0.41083916083916083	0.4619419042495966	0.5462614308768154	0.5517751479289941	0.4616729424421732	0.9230769230769231	0.8766810112963959	0.8259817105970952	0.8054061323292092	0.6063743948359333	0.7833512641204949	0.698628294782141	0.7397794513179129	0.6312533620225927	0.7634480903711673	0.6803388918773534	0.8382194728348574	0.8859601936525013	0.5934642280796127	0.9561592253899946	0.6676976869284562	0.9353146853146853	0.5902366863905325	0.7750134480903712	0.6991662183969877	0.8312264658418504	0.6966110812264659	0.9464766003227542	0.7179935449166218	0.7236417428725122	0.6477945131791286	0.7154384077461	0.7179935449166218	0.8454814416352878	0.9041151156535772	0.5443786982248521	0.9475524475524476	0.8070199031737493	0.9026358257127488	0.8235610543302851	0.9154115115653577	0.5767885960193653	0.8920118343195266	0.9345077998924153	0.5043033889187736	0.8527434104357181	0.5235341581495427	0.7213555675094137	0.684642280796127	0.685852608929532	0.9503765465303927	0.9221355567509414	0.8177783754706832	0.6225121032813341	0.7206831629908553	0.9515868746637978	0.8134749865519096	0.8453469607315761	0.8391608391608392	0.5909090909090909	0.771382463690156	0.7221624529316837	0.8164335664335665	0.8093060785368478	0.7259279182356105	0.8318988703604088	0.8843464228079613	0.715841850457235	0.8578536847767617	0.7466379774072082	0.7239107046799355	0.5111619150080688	0.7803926842388381	0.5944055944055944	0.8528778913394298	0.6873318988703604	0.7259279182356105	0.801371705217859	0.8020441097364174	0.6316568047337278	0.7733996772458311	0.6616460462614309	0.6830285099515869	0.6503496503496503	0.7186659494351803	0.7317105970952125	0.7163797740720818	0.6701183431952663	0.5954814416352878	0.6945938676707908	0.6533082302313071	0.7619688004303389	0.6145777299623454
