#OTU ID,LYZdtt342,LYZdtt351,LYZdtt364,SLCdtt050,LYZdtt308,SLCdtt110,SLCdtt075,SLCdtt022,LYZdtt366,SLCdtt019,SLCdtt070,SLCdtt005,SLCdtt002,LYZdtt354,LYZdtt328,LYZdtt330,SLCdtt021,SLCdtt114,SLCdtt111,LYZdtt356,LYZdtt368,SLCdtt095,SLCdtt074,LYZdtt367,LYZdtt304,SLCdtt024,LYZdtt317,LYZdtt305,LYZdtt319,LYZdtt329,LYZdtt306,SLCdtt113,SLCdtt004,SLCdtt092,SLCdtt112,SLCdtt020,LYZdtt355,LYZdtt343,SLCdtt128,SLCdtt076,LYZdtt341,LYZdtt344,SLCdtt051,LYZdtt340,SLCdtt096,LYZdtt318,LYZdtt332,LYZdtt363,LYZdtt365,LYZdtt320,LYZdtt315,SLCdtt078,SLCdtt052,SLCdtt069,SLCdtt129,SLCdtt109,LYZdtt352,SLCdtt054,LYZdtt353,LYZdtt316,SLCdtt006,SLCdtt093,SLCdtt077,SLCdtt132,SLCdtt001,LYZdtt303,SLCdtt130,SLCdtt068,LYZdtt307,LYZdtt331,LYZdtt339,SLCdtt003,SLCdtt053,LYZdtt327,SLCdtt067
2f65298490e0fe48b880145471ec54eb,51792,198481,1070,1433,60497,1338,10406,15132,14545,9507,7437,6028,8523,36448,13818,4296,1151,4262,1870,161521,24346,29832,21819,24707,34135,5057,109547,115771,28449,13852,25391,4747,8188,14228,494,813,78146,23309,2394,84335,58424,72972,1026,13818,33229,190094,25730,4313,2981,6531,19109,57131,24679,2403,18821,14546,145154,3651,88065,170348,13853,10374,73358,18766,2789,17790,4265,1672,113974,7330,8892,13705,15183,45989,20624
c42634f8d1aad4956aa9638465e86565,3540,11553,214,51,78,64,22,8454,2935,2450,144,181,241,186,5825,3273,2816,71,45,5786,3471,176,60,1252,150,7027,292,84,126,12040,54,35,144,64,7,1824,2732,3959,164,48,20357,10401,34,3127,65,291,4317,1944,1140,186,265,39,83,236,29,1693,5813,37,3904,372,292,118,32,104,105,2368,10,38,74,12335,885,385,90,17041,156
5ae5ad642b9c2cc68c4fc59e4902ff63,212,18,857,3131,693,22,4,613,171,107,257,226,3727,15,2347,159,65,18,22,8,656,15,0,718,1111,57,430,285,100,2067,83,9,122,1035,2,146,39,54,4468,42,494,288,1579,1332,60,206,227,586,730,150,98,29,703,3044,1067,136,0,251,0,719,339,1741,12,4835,114,1700,1211,1191,1532,154,227,1471,552,290,662
f5fb42e8863737981eb6e04a3de22e29,435,494,1930,127,961,179,210,2588,1914,45,107,68,252,19,4838,1097,567,333,620,80,895,12,389,2344,2693,204,1686,249,214,3825,139,154,72,141,40,539,109,211,360,307,662,426,223,1934,6,250,396,2227,3590,284,159,96,413,3626,71,300,356,237,233,1663,102,3649,34,704,23,2073,130,264,488,2406,465,71,1445,391,74
d013db1a71d477496cb864ee431c3420,618,1330,178,63,998,68,206,795,6338,76,32,56,113,32,2450,2287,115,370,28,1238,10031,0,576,8162,512,147,1007,1011,158,8387,186,233,20,1,25,116,2284,306,136,655,1269,1093,107,229,8,663,969,3107,1626,1216,536,401,354,181,278,183,1289,216,245,1503,87,28,297,836,80,8060,101,120,897,6241,115,154,594,5970,104
ccdb1dad68d457d1df2d11af1ea8ca5f,33,19,270,0,1428,2,8,245,74,0,0,4,0,0,255,13,0,43,0,7,468,6,22,414,1198,57,561,308,237,101,66,15,5,0,2,0,0,2,0,6,83,33,0,273,0,241,32,247,246,170,78,31,8,395,0,41,0,5,0,1269,9,0,30,25,0,581,7,38,2955,27,76,0,13,42,54
9c9d2dfde9ad67dcb9628dc8c30ec99f,261,1022,121,14,930,46,69,23,3118,2,10,5,52,14,1083,317,0,230,29,796,5219,0,210,4714,262,5,885,329,159,2728,159,157,6,0,16,4,566,197,77,222,1258,503,15,274,0,304,293,1829,596,359,216,142,40,57,110,102,900,46,220,1223,24,6,93,198,29,2320,28,32,859,1129,77,61,78,2676,54
a93ecb34623d57ce5a83ac109551229b,24,130,1017,37,99,82,12,733,181,14,4,17,298,0,536,40,94,80,135,10,695,0,35,948,209,25,50,66,22,546,13,65,18,67,4,280,2,8,322,2,191,69,12,639,0,44,27,894,254,18,58,11,7,159,37,118,95,4,87,63,45,122,8,61,3,49,25,106,258,34,49,78,9,64,41
b624666c6326343e28d1098066a7cb32,142,0,0,0,0,0,0,0,0,0,0,0,0,3,8,3,0,0,0,0,0,0,0,0,0,0,21,0,24,63,0,0,0,0,0,0,3,43,0,0,1130,234,0,1474,0,115,10,0,0,42,79,0,0,0,0,0,0,0,0,0,0,0,0,0,0,169,0,0,0,17,203,0,0,27,0
1b23073ca2a2884ac2bd7895dda760bc,15,106,581,134,151,4,0,2,73,0,0,3,44,2,0,0,0,3,4,0,296,0,2,391,111,0,31,20,25,0,13,0,0,0,0,0,3,5,166,0,101,40,90,676,0,47,5,742,99,12,32,2,11,0,40,3,58,4,82,158,4,0,0,6,0,137,3,0,452,2,13,11,7,11,7
