#OTU ID,SLCFP148,SLCFP164,SLCFP166,SLCFP163,SLCFP150,SLCFP167,SLCFP145,SLCFP165,SLCFP146,SLCFP147,SLCFP149
2f65298490e0fe48b880145471ec54eb,3651,3375,13335,4806,10142,9263,10310,2547,5690,2544,10208
c42634f8d1aad4956aa9638465e86565,2576,3532,11025,8240,16331,13616,3566,2270,3753,1475,15007
5ae5ad642b9c2cc68c4fc59e4902ff63,3383,0,485,0,392,4,976,0,3769,2476,5968
f5fb42e8863737981eb6e04a3de22e29,3087,2398,7171,3319,3116,12343,242,4002,3070,3144,18141
d013db1a71d477496cb864ee431c3420,5457,2099,133,2744,2814,1711,5086,1376,5163,3266,471
ccdb1dad68d457d1df2d11af1ea8ca5f,426,0,115,0,58,30,72,0,378,327,607
9c9d2dfde9ad67dcb9628dc8c30ec99f,791,1126,87,1322,1739,2875,1063,913,908,447,194
a93ecb34623d57ce5a83ac109551229b,706,406,1137,256,208,934,99,660,705,468,2492
1b23073ca2a2884ac2bd7895dda760bc,0,296,51,114,17,169,2,743,0,0,0
7cd17d18c05e35c6001cc253ac15c517,398,1401,431,1855,2010,2405,663,809,460,247,358
759abfc82a4b189214d7e148d4aef180,94,92,199,109,281,220,254,129,104,46,31
04af8257d41718f9636b8bbc789b0fcf,19,29,5,25,46,18,9,14,16,8,12
0247032b5537cfe290e9fe3067f9257e,1406,609,418,798,198,854,1900,527,1562,854,498
298c6e520261d927af2fb9e7c1e4cebc,891,1463,325,1568,585,1823,1655,1233,1071,462,738
653c972b92d846f3b6b199c4f5257025,11,0,23,0,245,1,7,0,0,4,57
e78a270ccd8d01d326e840cd85e1c1e2,459,351,136,425,412,412,563,341,457,211,295
b3703a2157a018a94473b0861589dde0,2862,1358,373,1662,868,1509,3743,973,2993,1876,965
fc7e77e237e910e3f38dbb8e3c69c5bd,439,39,94,49,20,21,83,53,406,272,460
a589fa026973c67d0f1c7b741d85b90c,291,0,132,32,0,33,71,30,210,219,623
ad23727bc3e6dc84a4c52399fe4f0d39,5920,31549,1124,35366,3973,15311,17155,18778,12184,3838,199
a87086e2ee322da102d8a52c4de21683,88,0,21,0,3,5,20,5,71,58,142
f80a7e9c950f857ec31ac4d0cc9c6a03,245,200,123,217,109,124,286,168,219,125,210
73e42306e185be6f0c6060d4ed924469,59,75,18,100,453,67,39,75,38,28,10
3bffd5a2b1cf48b46d1e51628c3551fc,97,189,271,202,106,403,52,199,127,49,216
9b5ce504ace88223f14f8b0848d1b054,7952,8637,22451,9605,144,37338,15870,6762,16616,6064,26396
6d5171bbc6ef97262119e6d152d82164,6,9,14,10,19,7,9,4,13,7,10
235c319ab46f87d377a28a34ba10bfa1,568,1497,169,1738,144,1465,787,1228,659,419,39
89c209abd89a5232343a4c87c93cb4ea,13,4,203,11,19,132,20,6,14,0,101
f745d265f36ea7eac26d97280e690796,0,0,4,2,4,6,3,0,2,2,6
20fe5c9f456999fe121cb1c16bf41e77,0,90,19,96,6,4,0,69,0,0,0
48082d1ff66a9207ede6bf05e9846d6e,1600,1643,120,2002,572,687,2485,968,1849,1124,287
695a1bb7c03f0f0b00d69b55fe30c4c3,73,184,45,120,120,2,42,198,86,48,9
44166d043ae4422d941e1e4c779151f8,1538,1025,472,1128,274,1583,4390,1961,2401,437,757
2a9df0f05ef552235191fe0edbbc742e,18,18,4,44,0,21,9,29,6,10,6
b3111baca54677926264de26b4a9bf7a,573,0,3,0,233,0,179,0,790,413,4
21f3474eb0a2647e96181ab06ed9b764,42,73,36,93,64,101,117,80,46,15,14
9bc2935704d00be01387e4b91d0ec358,30,9,8,13,8,3,5,18,19,21,28
87c1f25ee57f851893eda4c10a460604,185,172,61,73,6,108,60,107,437,147,5
c003202be6a53b07fbb26ecd2161fe2c,3384,2227,7236,2664,144,6948,7218,1576,6414,2453,10644
ae7aa9c977dea18de5954b3f29c80278,273,0,0,0,0,2,88,0,264,176,3
b89a1572461237b1a6ff63b2aeb24e60,81,98,38,133,0,46,16,109,77,50,60
397aa1ad0378774f826b9825c958427e,231,2875,7635,3489,634,9464,468,2234,466,187,515
564a2d40353ba6af46b47a2d367a3d56,1000,360,18,271,88,11,594,206,1640,936,70
55b5e18dcec6eaff69b53b2c4cbb0a16,630,2266,279,3443,3255,404,2947,1578,1312,428,280
e8ed0e081283c5963ce9860944f651c6,186,178,3,72,159,2,94,73,175,133,4
65553cd263bb61cf36d1a75d750952f3,151,561,55,925,267,602,407,322,201,94,57
49d5e983bbc870059084d932fb344b75,28,70,12,132,162,71,172,38,55,22,11
2580cbc77481600b1be7553a25c35a83,101,90,19,38,3,36,28,39,189,80,3
cf269c28b9f9a2f2ed7073a8d51a2a24,162,33,8,20,0,2,30,17,120,123,67
332d720adc8e107df05b716fd88b601c,680,543,25,633,188,161,917,393,811,469,2
b3ef12a80d40902556c2fd4de5924438,18,8,55,9,41,55,20,36,24,4,45
a0f4041ccc6a3b1f6512919ebe00613d,346,690,48,1073,1037,231,581,451,332,277,0
048a59d179f89089b6e3a2d50f389e94,45,106,20,139,48,14,204,46,84,31,30
cac9c7f0358b22e77dccb632c98fc70d,41,129,0,47,0,0,0,209,62,10,0
a2afdab2db82e62d5de07d2f29111f10,150,138,35,224,56,81,577,58,221,82,96
be7fa93e72946b09913f7776a2f1c857,2289,2713,128,4731,21,1389,4807,1645,2649,1241,195
b66b0ebe9c94cc5c0ee68a7c8cb966af,31,0,3,0,4,0,14,0,7,16,28
978c4b2965a576a78cac987d12c9e0a0,717,62,3,37,0,0,209,58,842,473,10
4a6d7625157c8e66f126e813b0a0fc4c,107,42,2,29,0,2,11,39,103,78,2
f5fdc65ce7f21dccce1d5f510ecd0cff,47,36,0,9,103,0,18,47,43,23,0
78efb9db740a56e0b2bc4d4778d4d3fc,343,4,9,5,3,7,150,6,760,219,21
7f697add8682bfb3329325791e412745,4,2,0,0,0,0,0,0,11,13,13
236833fbc5a378aae084b64206c25372,45,15,6,34,42,37,82,22,37,16,10
f450e5ce65eb041e774b110c05c7972f,15,7,27,12,0,13,5,3,11,12,21
c0d5395792eadbf5f62e8ffb14fa0262,0,0,18,0,0,64,2,0,0,0,0
cdb4be857f1f698f7613343f1a9761a3,18,22,6,40,28,0,1,26,26,18,0
0daddf1b0a2e7ae6c3add7261ca7b510,545,1027,26,941,67,18,149,926,366,342,13
108627a3879bcb1138b2c54c39e9f4a1,134,4,4,5,10,3,56,3,170,79,4
41f66b472afd9dbcf57ee6d7f5977368,15,2,0,0,0,0,3,6,5,8,0
691f2dbdac94ad2f7e2486ab73a772af,437,169,10,218,63,0,491,145,535,363,30
6b6fdd24cb014d583c7c025741c8ecf3,5,4,0,7,0,0,0,22,0,0,0
e8ee8f76c4f835d4f1292a789afc3f95,16,0,0,0,0,0,0,0,20,7,6
de2cd296cfdcbb16ecb870a7721433d3,2,0,0,0,28,0,2,0,0,0,0
fc9ef66f439c06896d69d1092d8315fe,21,0,0,0,0,0,37,0,39,26,2
2ce5f984c303607afe63f839e492f57b,548,19,12,1,51,0,282,24,543,389,89
a30dd65fa0f17c9ffe88b70cc66d024b,7,7,10,13,4,5,3,9,17,12,24
4c8288bfbd76958c0c094d87b97650f8,645,22,18,23,63,16,29,25,63,498,36
fbbeae3dceada6928b2cdc472f5d9901,10424,1589,2860,2408,71,498,49122,581,13824,9023,33638
99e3ef8d6af1702f3a43e8f3e4976956,0,6,0,5,2,2,0,4,0,0,0
7c0c72cc86a5548fac1f1c96853e29fe,49,15,3,18,3,2,30,18,30,31,0
84a1034f71767fa92491aebf1bdf7fdc,276,44,0,36,62,2,93,45,362,184,0
832fb872172e67da702355444f34bc1c,0,2,19,3,4,11,2,1,4,0,20
1355705d5f5537fdd6063e8aef08650d,0,0,2,0,0,0,2,0,0,2,0
3dc32de6cc2afb83c56da803d4ae8054,157,43,0,42,24,0,58,40,160,105,0
0f6a34be1a611d55dd58a93322b7caff,95,0,0,0,0,2,397,0,190,90,16
818cea4720b8bc475ccdf73579b06278,0,102,2,99,0,0,0,72,0,0,0
9558d82710beac18e454f983c9db7cca,84,24,0,34,55,2,69,16,138,82,4
f9130f059b9380b9961aef118b3a529e,23,37,4,40,46,0,7,30,34,22,0
e895ba3e92642f6c374d12d4ba87bf0a,130,272,96,307,87,279,168,220,132,100,24
f0deb5bac19f248fce27d93d918d3464,16,23,2,40,3,0,10,21,8,9,10
292a57429f3bed0adc53c07dc4c62c9f,53,23,0,18,17,0,60,14,86,25,0
e6b0f68e8f6db48ea780944a44ac99a1,148,53,0,45,34,0,58,45,160,90,3
e5450be8d98da604aa4a1fa0ed722fe1,0,3,4,0,3,3,2,4,3,0,6
5287908182825be751d21ae4e6f44c79,2,0,2,0,10,5,0,0,0,0,9
b8d0d192e1821980a4d2d8292dcd4c42,47,6,0,5,38,0,21,9,42,23,2
977eb5e61f5d9a0c3618c4f129859cd3,68,20,15,20,280,19,51,7,147,44,28
d2be11225e6247dcf581eb52060b3caa,0,3,1,6,0,3,0,8,0,0,0
eae0745a628ea0feffa5b1fb2d536f6b,97,37,0,30,1,0,16,43,88,58,2
8064a19ea488e28609ef25daab20653e,15,26,7,31,95,34,76,22,20,7,0
1b20077c579ec346099b958af37ff02d,582,619,6,471,43,6,70,847,511,397,4
49e9cee41713f4c00f8b171ecaff09b5,60,13,2,37,15,0,27,7,49,43,3
f5bf4e20e8a4c371b702c2cf491f56e8,376,0,2,0,23,0,86,0,356,339,2
7737dd181fb4d08851b4c49b7bb5c5ef,66,0,0,0,23,0,10,0,37,30,0
435716953baae002e22a8d28e14c0aec,17,24,0,14,124,0,4,22,16,9,0
1ab3b71e73441e341b02e15407e5b9e5,11,15,0,6,0,0,0,6,17,10,0
8f07f09a7a5b69d79afd30ba3be7ae26,34,9,0,14,17,3,29,2,105,25,0
090dac4c317bdb16f9ab434da4e8a35f,8,0,0,0,28,0,2,0,6,4,0
b221a65a4ab995abd7110ddcd600e1fb,230,57,29,63,94,36,476,125,274,91,0
a0d2e10ea5e00a9cb906c319ef542843,108,0,2,0,35,0,14,0,93,79,5
18285598fe8215895e323b758326f2e2,15,7,0,9,10,0,6,3,25,5,0
89da5f45526bc14a8a2dfb25616269b2,25,13,0,8,14,0,29,11,43,22,5
08c8ab670dbb2c8dbff6e2a96a8bf9c4,2,0,0,0,0,2,0,0,0,1,0
9e39af3708ad41aca6e8d5ab47b4efa2,103,23,2,11,2,0,27,31,119,72,0
5df1f0b75fac3063662bc77afb6c4bf8,0,0,5,0,0,5,2,0,2,0,9
94adac1e5690b5aef26d6014e471f458,0,0,7,0,5,8,0,0,0,0,5
9c6efccec7649fddce7cb4c0b868559f,50,143,24,206,67,28,188,43,80,48,23
5880c5d1b7cc98fab46a044a247525a2,22,118,5,95,15,3,8,174,22,10,0
0c1914abfb8acde52c282afa8e27a1fd,2,2,0,0,8,0,6,1,15,4,2
00e1ab8ab959fa51a66dabae588ff48c,3,0,0,0,8,0,0,0,4,2,2
fda05925f9cfe9acbd1ec63617c7352a,0,0,0,0,8,1,1,0,0,0,0
31e830c9791dc12ef188f104791faf17,0,56,50,103,0,35,0,59,0,0,0
9ff8565480eb4d1ae1feec02a0dfce35,13126,16835,35476,14830,3262,242,15396,17482,14974,10142,1767
b102928f03449973e2bd7c11a39817ba,16,7,0,4,2,0,3,6,23,16,0
5756e2e2f97499253c4280eeb7413ca6,0,2,0,1,8,0,0,1,0,0,0
eca7ea65dbc52bdbc9ade7f98e109a1e,120,25,22,35,8,4,62,29,69,53,6
cfb5eb8b6cd871de2ff7085767ca3152,2,44,0,41,0,0,8,42,8,5,0
b45093ff0a5e7aac10c4f9f4513e7613,3,2,0,0,5,0,2,0,4,1,0
483176e085c4e4eeee22409a02f2c0ef,20,33,2,25,85,0,10,25,20,15,0
be50260bd56c9b191a9e0845fc908179,99,25,0,32,20,0,21,17,115,49,3
51ec7483c391cbb0f2395c2ada436d87,3,0,3,0,0,0,4,2,2,0,0
cc0efa1a2c7dca25dd6dc2dc55fe6697,32,9,2,16,0,0,8,21,49,34,4
ce307313b49ebeda07b988fcdc57b97e,3,2,0,2,0,0,0,4,2,2,0
ce374e4ecf9d37933b614c569ea2250e,93,2,0,0,12,0,35,0,122,78,7
80571fa88208f15e75174fe7ba3d6839,2,2,0,4,0,0,7,0,11,5,0
5a0cdfc9bc68e40f3ad82a56205b85b7,15,44,6,31,30,0,7,21,27,12,3
8b317947d610fc3e351d94e2466ab1ab,17,1,0,3,32,0,0,4,6,11,0
9dcb1f589151a8b84cb5fc7c490e22d8,3,8,0,2,27,0,2,6,0,0,0
1d0dd3c34a24787cf361282683c24774,0,0,0,0,2,0,9,0,3,2,19
8fde870b4c3464dbd28fb743c07f36f1,9,0,0,0,2,0,22,0,6,7,0
e3bd74e4f8e965abfb6ca86d51d2b55b,0,231,4,249,0,0,0,179,0,0,0
3311c81da0640c29e6d9ed4f0529d3d5,95,0,0,0,0,0,62,0,62,82,4
f33aa1513c4933703b7070ec1e43c191,117,39,3,32,25,0,22,53,111,64,2
12c661c53dc9d52532eefc8e18f82c4d,2,0,0,0,6,0,8,0,1,4,0
4aa01b032f6f21994f27fd7c9ef08933,10,0,0,0,2,0,3,0,9,12,0
519f2ac102ab65678b0dcd72cb9f586a,92,68,518,81,38,155,691,177,113,0,418
b08002696e45f7e121334d154e2f5d4a,5,23,0,19,0,0,1,17,11,4,0
204736c3bd4a4c1f840e9fc99a5155d2,108,26,10,29,17,2,12,22,82,69,11
81425e1572e3c9ee320be29c1914280e,0,0,7,0,0,5,0,2,0,0,0
1941bdf9450a85f4069a80e526137af7,0,3,3,0,0,0,0,2,0,0,2
5e7454ae5bc6cea5edbfbe42b2d24477,57,20,3,23,32,2,53,15,49,44,15
efe64b2cd066392c8b5379c583817500,113,101,31,235,63,9,430,46,163,92,4
a6cf9ae0a74b21a2aa7439335c575123,48,39,18,19,2,0,15,22,52,32,0
e48fb994a13cc5f14b93bd94b4dd8725,45,0,0,0,41,0,13,0,59,39,0
a355ffad67ad78b1bdbd4ad765a6f5cf,0,3,1,1,17,0,0,1,0,0,0
1722117be91035dc5dca987ba2c39c12,0,2,0,3,0,0,0,2,0,0,0
dcd0c235615b718f89bb8cc76b5a627f,125,403,53,661,50,8,550,84,216,138,14
bbf6f74f140636ff3f33ef2bc3d892a3,501,465,28,527,0,4,643,616,559,559,84
1e65ef9ba16ebcd3b8413c31e58cada1,17,135,15,98,40,0,7,61,53,13,0
c8433912bf1d2d7d9dd177739211ae41,0,0,0,2,252,2,3,0,2,0,0
7a2d1519cdfecd43e9baffc8f322299a,11,36,0,60,0,0,20,13,3,2,0
8a8c39a3e855256f236f71f39bf300aa,6,113,19,120,66,0,0,128,0,0,4
a172874a13d3e6df1391f0797d95d6bc,305,274,5,321,19,3,159,309,210,183,2
10d8f09d85fad48b134dbba261adf29c,0,11,0,3,30,0,0,4,0,0,0
762fd96b2d1336974fba68fedd33fefa,696,123,18,133,10,4,714,128,585,455,3
0d193515752095f48f18055431a650f0,156,45,6,48,15,0,81,70,175,103,0
76d6be90e19a660c9a84b35fa31d801c,5,3,3,0,53,3,3,4,2,0,3
861fb4882b4c65b68e5998bb89ad59e8,126,60,42,95,38,0,134,43,136,119,3
64864a4b76fc5cccc00f4e44f8dbcff4,199,118,5,89,66,2,78,96,224,125,3
49ca472812887fdafb9786d9995aa406,142,111,3,133,18,0,117,127,132,101,0
d4582580d27b0dcaff88f316edc6795c,1686,143,3,251,2,0,205,366,1603,1166,6
c0fa6fc4716f50a194d3a3bc520ba870,42,48,84,57,0,76,21,53,42,31,131
184d1c27d9866996ffbca04cfad3ded3,0,27,0,28,10,0,0,14,0,0,0
869038dbbe0844710dfe8cda1f4c41fd,272,96,5,101,68,4,162,34,340,177,6
79d4cbe747374bb267d78e572c82d82c,9,74,43,50,43,61,74,37,15,13,17
b6c6bf33ecac8ef2bff294012d220ac5,0,0,0,2,0,2,0,0,0,3,0
2a065d9ee9756b7b08d04e4d8f2ac204,176,160,0,215,13,0,59,170,155,143,3
3c4d4ee2a76611c10e6d968cbb139b0d,2,0,0,0,0,0,3,0,4,0,0
f0711e2c91ed3101e810bfdad130849f,21,27,0,19,0,0,36,24,22,27,0
0da7333e379b780a39d305d935692a95,0,1,2,0,3,0,0,0,0,0,0
2da7ea845bb72e8eb58d649348bf057a,97,64,4,58,27,2,38,78,77,66,0
7186c67c129c329bce7d6c988267b231,112,47,0,68,5,0,16,97,95,92,0
8f139f903db65b737165fab17b843584,92,14,4,22,39,0,44,13,178,77,0
5fc2d4103e27f399113f1fc7c954ef66,345,566,12,669,24,1,353,400,273,239,0
01ac8dc658ac5b92afc9837f747e74dd,119,52,6,72,23,2,108,58,70,63,0
46864a6aa122ecb439eb59a3c0542ee6,21,11,0,14,107,2,32,6,38,25,2
48fe77b828ac410d9e0effc44fbeb57e,120,135,26,117,5,5,20,125,75,63,7
