#OTU ID,SLCFP072,SLCFP021,SLCFP069,LYZFP308,SLCFP111,LYZFP307,LYZFP331,SLCFP131,SLCFP078,SLCFP070,LYZFP304,SLCFP067,SLCFP023,SLCFP051,LYZFP328,LYZFP317,SLCFP022,LYZFP355,LYZFP319,SLCFP005,SLCFP024,SLCFP093,SLCFP053,LYZFP320,SLCFP091,LYZFP327,SLCFP095,SLCFP077,LYZFP356,LYZFP354,SLCFP112,SLCFP073,SLCFP128,SLCFP092,LYZFP332,SLCFP002,LYZFP306,SLCFP113,SLCFP071,SLCFP004,SLCFP019a,LYZFP316,SLCFP075,SLCFP049,LYZFP339,SLCFP094,LYZFP315,SLCFP050,LYZFP352,LYZFP305,SLCFP052,SLCFP076,LYZFP330,SLCFP127,LYZFP340,SLCFP129,LYZFP351,SLCFP074,SLCFP054,LYZFP303,SLCFP003,SLCFP068,SLCFP114,SLCFP006,LYZFP343,SLCFP132,LYZFP344,LYZFP342,SLCFP096,SLCFP001,SLCFP110,LYZFP353,SLCFP109,SLCFP020,LYZFP318,LYZFP329,LYZFP341
2f65298490e0fe48b880145471ec54eb,7783,1110,3568,75221,456,50754,15132,14995,32751,19975,62644,6881,1495,774,4656,120180,5068,40852,85533,6086,1836,8379,8806,36471,6127,38812,43854,45722,23778,249162,1120,32351,11409,18215,12694,3691,107177,330,25690,6221,1577,65734,7857,1436,36248,9407,76492,1645,10223,460509,15356,103394,27461,14910,20545,4530,13751,18288,1480,325546,3800,5676,235,7072,141856,6963,48518,55960,3111,4576,205,5488,1223,1726,44648,4014,20290
c42634f8d1aad4956aa9638465e86565,97,7360,41,135,32,191,34525,87,78,254,67,89,12188,54,13700,316,15693,63772,490,236,11816,137,154,229,210,45663,621,19,56880,18087,42,36,47,230,5905,127,324,42,355,176,12742,239,15,80,47941,112,220,62,4596,325,148,28,79721,28,22975,35,10952,38,144,153,149,66,475,360,72783,49,81847,55858,27,152,22,1726,69,11393,2945,3478,13337
5ae5ad642b9c2cc68c4fc59e4902ff63,1812,181,1364,72,10,2219,37,4427,26,2883,975,572,98,2537,583,618,53,0,894,241,102,972,5241,136,740,364,32,15,0,72,33,0,1574,767,16,1503,2752,11,2227,172,146,704,0,1999,160,351,511,1075,0,852,2339,28,529,582,252,1571,0,0,2133,433,3203,635,7,366,108,3797,106,13,3,928,6,0,15,162,485,1952,478
f5fb42e8863737981eb6e04a3de22e29,488,1172,173,96,148,6190,787,1821,873,573,541,23,639,200,1182,2966,215,187,2765,277,530,290,1019,432,231,307,15,321,491,178,787,42,44,190,17,81,11078,280,567,82,235,617,123,144,292,34,619,67,187,2004,670,446,5356,21,343,80,312,42,760,378,181,35,480,248,921,453,745,596,2,26,44,309,30,487,370,1737,800
d013db1a71d477496cb864ee431c3420,256,493,127,3093,111,1502,639,728,1663,189,1251,233,258,148,3429,1361,51,2961,1021,157,569,46,40,23,117,10052,2,220,3443,312,51,1257,542,51,50,297,2232,89,339,19,640,3570,444,239,2437,14,3828,105,1011,60,43,74,4816,225,1307,236,2288,1101,208,1206,348,201,137,120,466,651,1364,90,0,410,75,517,237,631,3145,6694,1255
ccdb1dad68d457d1df2d11af1ea8ca5f,55,209,42,377,35,3713,1,4,29,94,959,22,91,0,42,748,30,1,1770,10,91,0,0,244,0,31,2,18,19,3,29,8,7,0,4,0,4307,7,73,3,92,1045,20,0,53,0,969,0,0,810,21,10,58,1,65,0,9,22,0,531,0,15,12,4,12,4,29,26,0,0,15,0,3,166,168,94,69
9c9d2dfde9ad67dcb9628dc8c30ec99f,171,17,61,4284,111,1995,241,467,683,81,1297,67,8,21,1588,2325,0,1699,1313,34,13,0,35,145,0,5287,0,147,3777,368,97,384,316,0,0,141,2788,114,221,8,14,3860,284,39,3876,0,4286,32,1136,471,19,110,3903,183,1930,82,2810,374,44,1752,157,91,153,43,212,312,535,152,0,190,57,594,221,20,2476,3082,1708
a93ecb34623d57ce5a83ac109551229b,120,165,46,44,67,341,14,475,7,110,146,11,53,25,208,80,31,3,171,13,49,122,45,36,166,77,8,12,44,8,247,5,48,69,4,87,401,168,113,16,76,112,2,23,37,17,72,13,59,48,13,7,355,19,72,74,92,7,24,35,159,11,129,32,43,247,31,2,0,43,19,127,21,82,72,514,152
1b23073ca2a2884ac2bd7895dda760bc,0,0,0,28,0,684,0,107,0,0,141,0,0,135,0,105,0,4,198,6,0,0,14,30,0,3,0,0,29,0,6,0,12,0,0,7,1005,5,0,3,0,172,0,114,19,0,137,39,58,42,2,0,0,8,55,53,82,0,13,53,11,0,4,6,11,49,9,0,0,3,0,102,3,0,43,0,152
7cd17d18c05e35c6001cc253ac15c517,398,120,102,2892,126,2772,246,1183,574,334,1133,216,107,385,2518,2743,25,1165,867,87,159,110,971,129,267,7249,15,130,1983,356,224,272,475,130,6,228,3189,190,522,10,201,2750,75,705,1675,48,3457,474,521,511,388,24,3177,285,812,136,1269,198,937,2019,189,205,298,90,233,708,597,98,4,468,95,264,297,181,1026,2471,604
