#OTU ID,SLCdtt163,SLCdtt164,SLCdtt145,SLCdtt150,SLCdtt167,SLCdtt149,SLCdtt146,SLCdtt148,SLCdtt168,SLCdtt165,SLCdtt166,SLCdtt147
2f65298490e0fe48b880145471ec54eb,13272,5707,11563,17518,28779,30738,1625,7577,19570,8539,48658,6456
c42634f8d1aad4956aa9638465e86565,4826,2007,5566,6523,6214,8739,944,7158,5466,4620,3862,3913
5ae5ad642b9c2cc68c4fc59e4902ff63,1708,37,2757,572,115,2421,668,3854,233,0,50,3104
f5fb42e8863737981eb6e04a3de22e29,3012,3772,2749,13404,3761,19136,948,2881,10006,3057,6067,2307
d013db1a71d477496cb864ee431c3420,1806,1146,1114,8240,1929,8120,1425,6594,2638,2858,3363,5808
ccdb1dad68d457d1df2d11af1ea8ca5f,40,0,525,135,48,327,47,307,0,0,48,209
9c9d2dfde9ad67dcb9628dc8c30ec99f,477,519,257,1260,591,1922,160,830,1040,1218,829,724
a93ecb34623d57ce5a83ac109551229b,727,1725,1492,513,793,1526,383,1428,413,1177,420,1073
1b23073ca2a2884ac2bd7895dda760bc,318,935,7,0,82,0,0,0,91,511,27,0
7cd17d18c05e35c6001cc253ac15c517,1403,891,645,499,2072,1242,133,805,1401,2702,2833,607
759abfc82a4b189214d7e148d4aef180,1184,69,156,221,437,157,14,212,201,156,169,151
04af8257d41718f9636b8bbc789b0fcf,57,135,21,4,0,6,6,70,14,183,0,36
0247032b5537cfe290e9fe3067f9257e,1300,314,760,1652,1126,2309,279,1805,609,763,862,1609
298c6e520261d927af2fb9e7c1e4cebc,1594,902,516,1673,818,2621,195,1300,2261,3029,1878,1054
653c972b92d846f3b6b199c4f5257025,45,2,0,0,11,0,24,41,37,17,5,44
e78a270ccd8d01d326e840cd85e1c1e2,211,113,155,437,304,822,66,481,272,313,388,350
b3703a2157a018a94473b0861589dde0,1488,814,2023,7800,2389,6411,630,2778,1114,2466,1385,2511
fc7e77e237e910e3f38dbb8e3c69c5bd,19,46,98,60,29,28,116,577,18,56,33,590
a589fa026973c67d0f1c7b741d85b90c,15,16,69,30,58,251,62,215,0,10,42,173
ad23727bc3e6dc84a4c52399fe4f0d39,29802,19899,3298,11731,48972,16226,3835,25198,17179,52391,38100,19629
a87086e2ee322da102d8a52c4de21683,0,4,122,25,0,72,13,31,0,0,0,46
f80a7e9c950f857ec31ac4d0cc9c6a03,483,97,72,328,181,438,21,160,118,252,163,151
73e42306e185be6f0c6060d4ed924469,162,45,0,44,42,71,7,58,104,135,84,58
3bffd5a2b1cf48b46d1e51628c3551fc,166,122,115,188,146,220,12,47,245,149,112,39
9b5ce504ace88223f14f8b0848d1b054,5252,2404,7146,31698,11541,44223,2375,2329,12489,4577,26621,2091
6d5171bbc6ef97262119e6d152d82164,8,16,26,11,7,18,0,10,9,8,8,7
235c319ab46f87d377a28a34ba10bfa1,1015,604,285,879,706,2015,108,520,815,1488,2312,452
89c209abd89a5232343a4c87c93cb4ea,1,6,11,2264,98,340,0,6,150,21,429,4
f745d265f36ea7eac26d97280e690796,179,10,7,62,8,6,0,5,10,2,8,5
20fe5c9f456999fe121cb1c16bf41e77,80,65,0,0,13,0,0,0,63,250,10,0
48082d1ff66a9207ede6bf05e9846d6e,1362,739,528,3088,1884,2337,410,2065,923,1996,1544,1713
695a1bb7c03f0f0b00d69b55fe30c4c3,372,331,125,9,22,10,21,108,67,296,12,80
44166d043ae4422d941e1e4c779151f8,1319,1220,469,3608,1598,8209,637,5162,824,3295,2712,3820
2a9df0f05ef552235191fe0edbbc742e,0,78,32,0,3,1,1,34,31,72,5,53
b3111baca54677926264de26b4a9bf7a,0,2,622,10,0,4,760,1041,33,0,6,756
21f3474eb0a2647e96181ab06ed9b764,495,35,13,78,66,84,7,85,57,120,47,70
9bc2935704d00be01387e4b91d0ec358,0,4,10,0,0,8,3,11,0,2,5,12
87c1f25ee57f851893eda4c10a460604,1588,3757,400,66,147,75,339,154,164,897,69,106
c003202be6a53b07fbb26ecd2161fe2c,2667,918,5564,15414,15267,19835,1160,1590,6706,1814,12078,1516
ae7aa9c977dea18de5954b3f29c80278,28,0,165,18,0,13,50,133,4,0,3,121
b89a1572461237b1a6ff63b2aeb24e60,89,71,61,19,128,43,13,69,49,57,28,56
397aa1ad0378774f826b9825c958427e,4927,1450,534,1273,10733,1115,88,169,10806,3563,14343,160
8740da173c36129ee4420445a26a155e,20,0,0,0,10,0,0,0,1,0,0,0
564a2d40353ba6af46b47a2d367a3d56,1468,8373,1058,488,142,437,899,912,474,1358,115,773
55b5e18dcec6eaff69b53b2c4cbb0a16,2286,493,399,996,2338,1053,280,948,977,902,1193,795
e8ed0e081283c5963ce9860944f651c6,51,446,108,16,9,5,61,476,25,236,8,374
65553cd263bb61cf36d1a75d750952f3,175,102,93,281,305,361,37,136,228,208,181,95
49d5e983bbc870059084d932fb344b75,82,17,57,70,29,61,9,64,61,31,46,42
2580cbc77481600b1be7553a25c35a83,467,1490,166,38,81,35,172,55,59,366,41,56
cf269c28b9f9a2f2ed7073a8d51a2a24,74,272,120,43,7,27,54,238,15,88,0,207
332d720adc8e107df05b716fd88b601c,866,218,560,1975,535,2036,188,817,406,580,497,707
b3ef12a80d40902556c2fd4de5924438,5,9,14,11,0,22,2,16,16,18,5,16
a0f4041ccc6a3b1f6512919ebe00613d,85,155,63,244,1718,161,43,180,356,285,442,185
048a59d179f89089b6e3a2d50f389e94,230,20,0,12,24,32,12,61,14,28,10,31
cac9c7f0358b22e77dccb632c98fc70d,135,2485,0,0,157,0,0,0,115,411,6,0
a2afdab2db82e62d5de07d2f29111f10,132,34,72,77,66,238,31,132,56,38,93,116
be7fa93e72946b09913f7776a2f1c857,1382,767,553,2724,1666,2674,291,1447,1924,1167,2156,1079
b66b0ebe9c94cc5c0ee68a7c8cb966af,0,0,11,5,0,7,0,13,0,0,0,16
978c4b2965a576a78cac987d12c9e0a0,50,342,297,4,16,5,340,412,13,56,9,297
4a6d7625157c8e66f126e813b0a0fc4c,0,114,75,22,31,18,34,98,23,92,8,90
f5fdc65ce7f21dccce1d5f510ecd0cff,83,107,19,3,3,0,10,56,13,50,0,43
78efb9db740a56e0b2bc4d4778d4d3fc,259,1905,496,113,4,105,1189,385,9,245,13,374
7f697add8682bfb3329325791e412745,0,0,11,0,0,0,0,4,0,0,0,6
236833fbc5a378aae084b64206c25372,178,21,1,37,25,76,5,81,30,36,15,37
f450e5ce65eb041e774b110c05c7972f,0,26,0,0,24,10,8,40,15,33,18,33
cdb4be857f1f698f7613343f1a9761a3,27,34,42,0,13,0,1,31,11,36,0,34
0daddf1b0a2e7ae6c3add7261ca7b510,1838,2354,644,246,169,143,176,1126,408,2023,117,949
108627a3879bcb1138b2c54c39e9f4a1,98,501,56,136,0,100,274,1016,73,324,11,808
