feature	k__Bacteria.p__Bacteroidota	k__Bacteria.p__Firmicutes	k__Bacteria.p__Proteobacteria	k__Bacteria.p__Verrucomicrobiota	k__Bacteria.p__Actinobacteriota	k__Bacteria.p__Desulfobacterota
TL1a_DTT_268_Repeat	20658	15105	1479	467	44	1532
TL1a_DTT_269_Repeat	6321	11620	18	420	1	78
TL1a_DTT_127_Repeat	25300	17921	174	3	12	0
TL1a_DTT_157_Repeat	16495	11299	77	5	0	89
TL1a_DTT_130_Repeat	19828	8116	343	0	2	0
TL1a_DTT_196_Repeat	41004	5928	0	0	68	6
TL1a_DTT_90_Repeat	3886	8545	457	328	0	49
TL1a_DTT_198_Repeat	23559	14612	215	0	0	0
TL1a_DTT_88_Repeat	2902	8719	879	123	0	0
TL1a_DTT_89_Re_extracted	18473	5657	491	604	31	23
TL1a_DTT_197_Repeat	8732	1512	47	14	15	0
TL1a_DTT_270_Repeat	31205	41424	775	369	56	1362
TL1a_DTT_284	13946	116589	3	26	2	0
TL1a_DTT_231	17580	110874	0	1229	8	117
TL1a_DTT_267	33361	112493	38	0	10	198
TL1a_DTT_160	23847	5629	208	193	11	552
TL1a_DTT_234	31659	6416	22	1329	7	52
TL1a_DTT_158	5480	5556	19	10	0	53
TL1a_DTT_129	15945	22304	43	3	7	0
TL1a_DTT_265	5030	14709	83	20	3	45
TL1a_DTT_285	40810	23948	63	25	71	0
TL1a_DTT_159	25901	8761	259	94	0	112
TL1a_DTT_287	6208	9715	0	18	55	0
TL1a_DTT_233	41098	16648	2	24	8	330
TL1a_DTT_195	17547	116385	0	17	1	0
TL1a_DTT_85	39009	27959	231	318	9	131
TL1a_DTT_86	24868	48571	22	205	0	176
TL1a_DTT_193	36111	20795	6	418	3	12
TL1a_DTT_286	15990	16314	5	2	51	0
TL1a_DTT_230	9525	20296	0	0	0	626
TL1a_DTT_128	16804	17815	266	0	0	0
TL1a_DTT_283	45578	20361	115	6	57	0
TL1a_DTT_194	41892	12492	11	14	23	43
TL1a_DTT_229	42890	9429	1519	4245	0	824
TL1a_DTT_87	34524	57457	96	750	27	207
TL1a_DTT_266	19005	23148	109	258	47	231
TL1a_DTT_232	26658	75404	51	470	36	34
TL1A_DTT_673	6998	3371	150	666	0	55
TL1A_DTT_675	9598	5276	19	354	0	247
TL1A_DTT_626	7326	6143	52	736	3	46
TL1A_DTT_629	29174	4245	202	2594	0	346
TL1A_DTT_674	6967	5366	12	353	2	221
TL1A_DTT_627	3745	14501	9	1028	2	52
TL1A_DTT_630	14223	2781	616	2135	0	154
TL1A_DTT_628	9202	2920	247	472	17	253
