OTU ID,Mouse5A.FP26,Mouse6A.FP32,Mouse7A.FP38,Mouse1A.FP02,Mouse7A.DTT38,Mouse1B.DTT14,Mouse4A.FP20,Mouse5A.DTT26,Mouse3A.FP14,Mouse2A.FP08,Mouse4A.DTT20,Mouse6A.DTT32,Mouse9A.DTT98,Mouse10A.FP110,Mouse10A.DTT110,Mouse9A.FP98,Mouse8A.DTT86,Mouse8A.FP86,taxonomy
k__Bacteria;p__Actinobacteria,476,40,208,63,36,144,130,42,289,715,14,27,93,0,7,250,52,83,
k__Bacteria;p__Bacteroidetes,26350,33094,21066,16894,18861,28876,18636,41773,31252,27033,17905,20256,28298,26041,35332,40803,25688,32180,
k__Bacteria;p__Cyanobacteria,0,33,19,2,79,100,11,25,11,125,68,118,96,62,98,51,1,9,
k__Bacteria;p__Deferribacteres,133,126,226,1583,767,6329,1029,922,56,138,9478,1753,881,23,3058,163,521,958,
k__Bacteria;p__Firmicutes,8947,10718,10911,21887,13521,14608,15812,7961,8557,10992,11511,14369,53901,8341,5972,10802,12868,20837,
k__Bacteria;p__Proteobacteria,2687,937,1323,615,609,851,670,1074,628,2054,262,727,1361,341,664,752,1098,1332,
k__Bacteria;p__Verrucomicrobia,3,6,6,0,16,136,4,4,3,10,10,27,170,0,8,3,102,191,
