#OTU ID,TL1a_DTT_173_Repeat,TL1a_DTT_76_Repeat,TL1a_FP_65,TL1a_FP_64,TL1a_DTT_172_Re_extracted,TL1a_FP_209,TL1a_FP_77,TL1a_FP_245,TL1a_FP_76,TL1a_FP_102,TL1a_FP_173,TL1a_FP_174,TL1a_FP_144,TL1a_FP_142,TL1a_DTT_245_Repeat,TL1a_FP_172,TL1a_FP_66,TL1a_FP_143,TL1a_FP_100,TL1a_FP_246,TL1a_FP_78,TL1a_FP_210,TL1a_FP_208,TL1a_DTT_244_Repeat,TL1a_FP_101,TL1a_FP_244,TL1a_DTT_142_Repeat,TL1a_DTT_78,TL1a_DTT_209,TL1a_DTT_210,TL1a_DTT_64,TL1a_DTT_65,TL1a_DTT_246,TL1a_DTT_66,TL1a_DTT_77,TL1a_DTT_208,TL1A_DTT_642,TL1A_FP_641,TL1A_FP_689,TL1A_FP_640,TL1A_DTT_640,TL1A_FP_688,TL1A_DTT_641,TL1A_DTT_689,taxonomy
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Bifidobacteriales;f__Bifidobacteriaceae;g__Bifidobacterium,0,0,0,0,36,0,0,106,0,0,29,4,3,4,0,0,0,3,0,26,0,9,0,0,0,3,0,0,0,0,0,0,0,0,0,10,0,6,0,0,0,6,0,0,
k__Bacteria;p__Actinobacteria;c__Coriobacteriia;o__Coriobacteriales;f__Eggerthellaceae;g__Enterorhabdus,0,0,0,0,0,1,0,8,0,0,17,10,0,4,0,4,0,3,0,0,0,13,0,5,0,0,5,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,
k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides,2876,5857,79396,48482,11124,314,10889,10512,7076,18555,9243,20314,62024,31423,5052,873,44549,48059,26832,20436,47248,15043,1333,8021,4735,56524,695,5200,1869,6936,3023,4069,11680,2576,7595,1837,4824,711,306,243,5089,956,4346,1623,
k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Marinifilaceae;g__Odoribacter,22,4,151,50,11,2,38,99,31,387,155,104,84,309,0,55,68,239,191,34,148,102,0,0,462,2,0,18,0,0,8,14,134,0,12,0,68,19,12,4,59,43,57,16,
k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Muribaculaceae;g__,40,296,6,5,16341,674,808,18257,2349,22455,14313,24115,164,8365,567,18050,969,5619,9854,4770,88,29307,853,872,17215,834,3310,28,5,438,11,6,8838,38,11,5534,5007,1359,347,321,3186,1013,2172,543,
k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Muribaculaceae;g__Muribaculum,0,45,0,0,6888,5,0,125,25,524,290,143,0,67,0,1767,21,58,119,17,5,97,8,162,255,9,35,0,0,0,0,0,80,0,0,0,22,3,0,3,11,6,4,0,
k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Prevotellaceae;g__Alloprevotella,0,0,1,2,191,70,377,3845,1617,10113,4227,1626,8,1003,0,660,212,594,4569,1076,22,6151,110,0,7983,49,12,0,0,0,0,0,2828,0,0,45,2,25,0,0,4,32,0,32,
k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Prevotellaceae;g__Paraprevotella,380,824,1806,2504,415,0,1479,0,1114,2396,129,422,8775,2515,0,9,575,6063,3673,0,6724,0,0,0,20,0,14,1245,0,0,253,549,0,512,1687,0,942,102,47,30,1065,154,1100,228,
k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Prevotellaceae;g__Prevotellaceae_UCG-001,0,0,0,0,0,0,5,16,97,267,17,87,0,0,0,0,31,0,155,0,0,0,0,0,615,0,0,0,0,0,0,0,56,0,0,0,13,0,0,0,4,15,11,0,
k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Rikenellaceae;g__Alistipes,11,91,297,163,3023,31,177,790,105,3121,1152,1535,330,1052,0,4385,316,1072,1784,435,713,898,10,30,2898,21,400,427,0,0,252,233,1137,190,530,37,473,69,47,21,366,115,275,40,
k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Rikenellaceae;g__Millionella,0,0,0,0,0,0,12,0,12,286,0,0,0,0,0,0,25,0,187,0,0,0,0,0,1162,0,0,0,0,0,0,0,65,0,0,0,17,0,0,0,10,10,6,0,
k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Rikenellaceae;g__Rikenellaceae_RC9_gut_group,0,0,0,0,105,3,64,6216,10,0,4256,2902,59,2616,189,1266,0,1468,743,2020,8,2399,53,9,10,59,0,0,11,1,0,0,0,0,0,68,8,87,90,3,5,21,8,0,
k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Tannerellaceae;g__Parabacteroides,48,49,1358,756,363,1,392,105,139,541,113,309,1605,360,0,9,439,927,762,228,2146,53,26,0,119,1,86,156,0,0,31,149,60,124,274,0,722,245,1710,79,898,409,703,248,
k__Bacteria;p__Firmicutes;c__Bacilli;o__Bacillales;f__Alicyclobacillaceae;g__Tumebacillus,0,24,0,0,115,0,80,0,273,24,13,25,0,0,0,12,1,9,1101,74,26,0,9,26,1,7,0,0,0,38,2,0,0,7,0,37,35,6,0,6,18,4,4,22,
