	TL1a_DTT_169_Re_extracted	TL1a_DTT_139	TL1a_DTT_74	TL1a_DTT_241	TL1a_DTT_205	TL1a_DTT_206	TL1a_DTT_62	TL1a_DTT_242	TL1a_DTT_73	TL1a_DTT_97	TL1a_DTT_140	TL1a_DTT_98	TL1a_DTT_170	TL1A_DTT_638
TL1a_DTT_169_Re_extracted	0.0	3.7659742730305683	3.740517615058291	2.692286690260384	5.001969258738679	3.3960930965006217	3.8361985644668004	2.602223253985261	3.5968768111198473	3.914393757233281	3.3912123335510396	3.4812537188855486	2.945649947449542	2.636063299888047
TL1a_DTT_139	3.7659742730305683	0.0	0.2030787815118485	1.963658200157781	3.2830941423086832	1.2983630545653986	0.20426644493311344	2.1473390750472476	0.2955804429829938	0.26275778491676544	0.3868777699077245	0.4605586817884803	0.9459382716216019	1.3958674648124287
TL1a_DTT_74	3.740517615058291	0.2030787815118485	0.0	2.0779954184206697	3.4813436912227043	1.4618221333724946	0.10901875064599817	2.2472745441234396	0.2037331704445614	0.3515681371075238	0.3851180816118609	0.33390350341810227	0.9484740934378744	1.3024097871352374
TL1a_DTT_241	2.692286690260384	1.963658200157781	2.0779954184206697	0.0	2.441288162136435	0.8762806284766887	2.1250749707609202	0.33447309773747674	2.010690956946565	2.120910282476895	1.7661127951009006	2.03103678480103	1.3601998182463166	2.0126464186319395
TL1a_DTT_205	5.001969258738679	3.2830941423086832	3.4813436912227043	2.441288162136435	0.0	2.2145343740113885	3.4606536440179347	2.5701027666938185	3.500460994703508	3.3189065803113125	3.3663278201207945	3.6279584411750734	3.312642970860008	4.088296939879404
TL1a_DTT_206	3.3960930965006217	1.2983630545653986	1.4618221333724946	0.8762806284766887	2.2145343740113885	0.0	1.4775490507156597	1.0963767703533749	1.4457244251191141	1.4311863015146011	1.2506698774960496	1.5316244166929978	1.106131702026136	1.9297709118811528
TL1a_DTT_62	3.8361985644668004	0.20426644493311344	0.10901875064599817	2.1250749707609202	3.4606536440179347	1.4775490507156597	0.0	2.291672307931703	0.3085525193170394	0.34389187308283986	0.4796792334996323	0.44113422919298556	1.0107153244319949	1.409430033472529
TL1a_DTT_242	2.602223253985261	2.1473390750472476	2.2472745441234396	0.33447309773747674	2.5701027666938185	1.0963767703533749	2.291672307931703	0.0	2.193197128216659	2.329934966011642	1.9475618949589797	2.2037180249400268	1.4456557831851862	2.146892781238188
TL1a_DTT_73	3.5968768111198473	0.2955804429829938	0.2037331704445614	2.010690956946565	3.500460994703508	1.4457244251191141	0.3085525193170394	2.193197128216659	0.0	0.3853656125708122	0.2525530570902429	0.1728351205895768	0.902099200825548	1.1324765183191279
TL1a_DTT_97	3.914393757233281	0.26275778491676544	0.3515681371075238	2.120910282476895	3.3189065803113125	1.4311863015146011	0.34389187308283986	2.329934966011642	0.3853656125708122	0.0	0.5409416397186042	0.5495557316394929	1.1777667288436486	1.4819588817363363
TL1a_DTT_140	3.3912123335510396	0.3868777699077245	0.3851180816118609	1.7661127951009006	3.3663278201207945	1.2506698774960496	0.4796792334996323	1.9475618949589797	0.2525530570902429	0.5409416397186042	0.0	0.2823364555566836	0.6879227503911833	1.0323388422701223
TL1a_DTT_98	3.4812537188855486	0.4605586817884803	0.33390350341810227	2.03103678480103	3.6279584411750734	1.5316244166929978	0.44113422919298556	2.2037180249400268	0.1728351205895768	0.5495557316394929	0.2823364555566836	0.0	0.8676722099100651	0.978253656510321
TL1a_DTT_170	2.945649947449542	0.9459382716216019	0.9484740934378744	1.3601998182463166	3.312642970860008	1.106131702026136	1.0107153244319949	1.4456557831851862	0.902099200825548	1.1777667288436486	0.6879227503911833	0.8676722099100651	0.0	1.0735281908055707
TL1A_DTT_638	2.636063299888047	1.3958674648124287	1.3024097871352374	2.0126464186319395	4.088296939879404	1.9297709118811528	1.409430033472529	2.146892781238188	1.1324765183191279	1.4819588817363363	1.0323388422701223	0.978253656510321	1.0735281908055707	0.0
