Description,PC1,PC2,PC3
Lyz2.04B.FP244.S41,-0.2101506175,0.1767536501,-0.1255017105
Itg.10.DTT456.S50,0.4325369645,-1.027003271,-0.1628005591
Lyz2.03B.DTT232.S72,0.4129291864,-0.420494385,-0.2077183692
Itg.20.DTT504.S99,0.7459144984,-1.077155727,-0.1568047479
Vil1.01B.FP08,-0.3423578783,1.398597679,-0.1521833927
Vil1.14B.FP167,-2.298132981,-0.174656827,0.3786431499
Itg.18.DTT492.S87,0.5061659664,-0.8611243026,-0.1537536818
Vil1.014B.DTT164,0.0015675429,-0.5507550025,-0.1760341935
Lyz2.01B.FP208.S56,1.111273173,1.225946546,0.0337427317
Itg.22.DTT516.S11,0.5272253443,-1.137327536,-0.06166983053
Itg.24.FP528.S31,-0.04747344918,0.9544518744,-0.04879857841
Vil1.08B.FP95,-2.044249617,-0.347749543,-0.1411973835
Vil1.03B.FP32,-0.5518339066,0.8033574724,-0.1410833807
Itg.26.FP540.S44,0.08393794284,1.165104706,-0.04084710514
Vil1.06B.FP68,0.819720799,1.49796559,0.1442316165
Vil1.09B.DTT104,-1.03811486,-0.8878016007,0.03626468571
Vil1.03B.DTT32,-0.1931060593,-0.4273145948,-0.1324787617
Vil1.02B.DTT20,-0.7253275336,-0.2471170485,-0.0435255406
Lyz2.04B.DTT244.S85,0.4531621149,-1.12793628,-0.1580700613
Vil1.04B.DTT44,-0.4632027581,0.2063814287,-0.0544661787
Itg.24.DTT528.S23,0.4923098259,-0.7990542227,0.0116956274
Itg.08.DTT444.S37,0.07693299953,0.2830368608,-0.2188761627
Lyz2.08B.FP292.S90,0.2019399992,0.5082666211,0.05035028388
Vil1.10B.FP119,-2.791676114,-0.2897285285,-0.05244589782
Vil1.04B.FP44,-0.625879516,1.010357791,-0.09821601568
Itg.16.DTT480.S75,-0.2770234378,-0.2779313555,-0.1951991523
Itg.20.FP504.S7,0.1740835705,0.8038035792,-0.1270837614
Itg.12.DTT468.S62,0.1970114593,-0.3855355477,-0.1753123985
Lyz2.07B.DTT280.S122,-0.3499587308,-0.5371054716,0.08023284654
Vil1.09B.FP107,-2.483125579,0.3357887922,-0.1253623365
Lyz2.01B.DTT208.S48,1.176929159,-1.654212166,-0.03878607647
Itg.02.DTT408.S100,-0.2334299632,-0.935364728,-0.1408990174
Lyz2.05B.FP256.S53,-0.2808693767,0.5910459656,-0.01422104085
Lyz2.02B.FP220.S68,0.4142685025,1.552109245,0.04159447272
Vil1.013B.DTT152,-0.2769920711,-0.5046349692,0.9337904144
Vil1.01B.DTT08,-0.0607893812,-0.298535782,0.009012678743
Lyz2.05B.DTT256.S97,0.58548628,-0.8270708638,-0.1433794717
Itg.02.FP408.S8,-0.03847152137,-0.0007733230325,-0.109273183
