Description,PC1,PC2,PC3
Itg.18.DTT496.S91,-0.373195105,-0.5608285137,0.09169794873
Lyz2.05B.DTT260.S101,0.136528541,-0.2709038908,0.1865457357
Vil1.13B.FP153,2.377034566,-1.788725062,-0.1614415721
Itg.20.FP508.S11,0.006128635906,2.357437882,-0.1853677512
Vil1.06B.DTT72,0.3650624714,-0.568314775,-0.8834187094
Lyz2.06B.DTT272.S114,0.8721564347,-0.8417862669,0.1077637621
Itg.20.DTT508.S3,-0.001738745779,0.6488832961,0.1484882045
Lyz2.03B.DTT236.S76,0.5916363023,0.02557539646,0.1171812904
Itg.16.FP484.S87,-0.7049464381,1.951483905,-0.1223360509
Vil1.05B.FP60,-1.982981455,-0.3558573728,-0.07743711045
Lyz2.01B.FP212.S60,0.5929560009,0.2058922023,-0.1040437439
Lyz2.02B.DTT224.S64,-0.609861185,0.09429446765,0.05392979168
Vil1.09B.FP105,-2.057301087,0.1364552609,-0.2686672866
Vil1.02B.DTT24,0.4687076709,-0.6609440363,0.1621930227
Vil1.04B.FP48,0.138396651,1.964629025,-0.04579662794
Lyz2.07B.DTT284.S126,-0.2887619495,0.3450016471,0.1910158281
Vil1.03B.FP36,-0.292208972,0.8158577677,0.1444988297
Itg.02.FP412.S12,0.5950957118,1.458081844,0.08229756785
Lyz2.02B.FP224.S72,-0.04751695275,1.386916783,-0.1464359779
Itg.02.DTT412.S4,0.8765887836,0.3808512012,0.277230073
Itg.26.FP544.S48,0.6218956923,1.171240563,0.2130783432
Itg.10.FP460.S62,0.7201828117,1.379445244,0.1453810595
Itg.04.DTT424.S16,0.373584016,-0.9350337758,0.2437980742
Itg.18.FP496.S99,1.458301968,0.0712708085,0.06553281369
Vil1.08B.DTT96,0.7277755632,-0.8187337872,-0.6517491744
Vil1.010B.DTT120,1.213845926,-1.081860861,-0.409745209
Itg.06.FP436.S37,0.3799575103,1.175098083,0.07757918174
Vil1.01B.FP12,-0.1707225433,1.935633518,0.1343806459
Vil1.10B.FP117,-1.24479998,0.09376385308,-0.04678279539
Vil1.05B.DTT60,0.3232998889,-0.4867965673,-1.049174408
Lyz2.04B.DTT248.S89,0.5941751179,-1.029106393,0.2711637609
Vil1.01B.DTT12,1.153374985,-0.1452115831,0.07618359284
Vil1.013B.DTT156,1.73416905,-1.841525526,0.1098702511
Vil1.07B.DTT84,0.4363322355,-0.785296748,-0.8392163338
Vil1.06B.FP72,-2.216897596,0.4186271901,-0.2841645682
Vil1.02B.FP24,-0.182515355,2.008281785,-0.01016364689
Itg.26.DTT544.S40,0.4459965533,-0.09318189604,0.3631729817
Lyz2.05B.FP260.S57,0.4265340611,-0.1715324401,-0.00266478429
Itg.12.FP472.S74,-0.3738816964,1.814608083,0.08361243733
Vil1.14B.FP165,-2.190548387,0.05340725254,-0.1212397652
Itg.16.DTT484.S79,0.1280047037,1.109840806,0.1540302522
Vil1.07B.FP84,-2.48642122,0.1373885198,-0.2863263793
Vil1.04B.DTT48,0.4344149046,0.891156289,-0.04171890801
Itg.08.FP448.S49,1.085393716,0.9878700322,0.2091673914
Itg.04.FP424.S24,0.1774827143,-0.2920771265,0.1959465607
Itg.06.DTT436.S29,0.1773160887,-0.4961814735,0.04214057785
Lyz2.08B.DTT296.S139,0.183914817,1.118855078,0.01029218062
Itg.22.DTT520.S15,-0.3411143723,-1.153295488,0.2930455843
Lyz2.01B.DTT212.S52,0.5677450988,-0.116371971,0.132851885
Lyz2.07B.FP284.S82,0.3202996586,1.089301379,-0.2349028368
Lyz2.08B.FP296.S95,-0.07868928893,1.775168176,-0.277070596
Lyz2.03B.FP236.S84,0.9359715552,1.09881865,0.1328612812
Vil1.014B.DTT168,-1.079016352,-1.180839042,0.1232685348
Vil1.09B.DTT108,1.405313667,-0.6092928102,-0.3152811932
Itg.22.FP520.S23,0.09242473643,0.7054171412,0.2087282808
Vil1.08B.FP93,-2.393100716,-0.9537014767,-0.3201919155
Lyz2.06B.FP272.S70,-0.1649347756,1.318169983,0.02327843099
SLCFP072,0.408528752,0.3830933441,-0.07545720006
LYZFP308,-2.285588775,-1.346276675,0.06849312688
LYZdtt308,-1.096878837,-1.619568062,0.3500091723
SLCFP078,0.3970108223,-0.2417162221,0.1497464114
SLCFP024,0.7307739883,-0.2667233977,-0.1113435363
SLCdtt114,0.6658867213,-0.2849667148,0.08425746667
LYZFP320,0.004900019492,-0.41008706,0.01512355258
LYZdtt356,-0.08459940676,0.01839969012,0.1246826809
LYZdtt368,-1.661871525,-0.00358395422,0.146787856
LYZFP356,-0.5166886484,0.6240085753,0.128740673
SLCdtt024,0.7147194189,-0.4496673607,-0.06381022684
LYZFP332,0.5847553073,-1.98198001,0.09266467248
LYZdtt344,-0.8997404855,-1.44333866,0.3175639375
SLCdtt096,0.9881215067,-0.8686907552,-0.08887628068
LYZdtt332,-0.6820007112,-1.314311155,0.1735114061
LYZdtt320,0.02575875177,-0.8937333423,0.3267200691
SLCdtt078,-0.02222470136,-0.7395357711,0.180665604
SLCFP054,0.002420773748,0.8382233225,-0.09151369315
SLCFP114,0.5712730568,-0.01313578579,-0.2685979671
SLCFP006,1.146618228,-0.5295134244,0.08334116725
SLCdtt054,0.4819620551,-0.3801519365,-0.1170372142
