	TL1a_DTT_173_Repeat	TL1a_DTT_76_Repeat	TL1a_DTT_172_Re_extracted	TL1a_DTT_169_Re_extracted	TL1a_DTT_245_Repeat	TL1a_DTT_244_Repeat	TL1a_DTT_142_Repeat	TL1a_DTT_78	TL1a_DTT_139	TL1a_DTT_171	TL1a_DTT_209	TL1a_DTT_74	TL1a_DTT_141	TL1a_DTT_210	TL1a_DTT_241	TL1a_DTT_243	TL1a_DTT_205	TL1a_DTT_206	TL1a_DTT_64	TL1a_DTT_62	TL1a_DTT_65	TL1a_DTT_242	TL1a_DTT_73	TL1a_DTT_63	TL1a_DTT_207	TL1a_DTT_75	TL1a_DTT_246	TL1a_DTT_97	TL1a_DTT_66	TL1a_DTT_140	TL1a_DTT_99	TL1a_DTT_77	TL1a_DTT_98	TL1a_DTT_170	TL1a_DTT_208	TL1A_DTT_642	TL1A_DTT_640	TL1A_DTT_638	TL1A_DTT_641	TL1A_DTT_639	TL1A_DTT_687	TL1A_DTT_689
TL1a_DTT_173_Repeat	0.0	0.5651579707462202	1.7434231637058157	2.1426467129976032	1.0066499095020487	1.5944361708034347	1.0237040283799457	0.7182677823433048	1.526746444669778	1.1604369871916433	1.5985563922259052	1.3526476590610836	1.692408480186351	2.2717765978284583	1.095732930878126	1.332552381395321	3.5744652635096954	1.232056892182391	2.4228814245635606	1.8767855692641078	1.2814110568381225	1.1859067150227551	1.5913420753776815	1.7258000739797879	2.6545267995741524	1.252096271935371	1.3840000456948576	1.6594990883994118	0.9660093169315827	1.5446682932566618	0.9022494762594293	1.3306005975621493	1.4347523364047887	0.7994450203580391	1.469783066225903	1.4915506659545574	1.4045514906257448	1.0499314535309805	1.2395533920131192	1.7095858655889635	1.1731707396297748	0.7894215315502744
TL1a_DTT_76_Repeat	0.5651579707462202	0.0	2.2332659485925763	2.7062260618356158	1.3451078120953097	1.7660276964973505	1.3506497321571562	0.40525378545448765	1.106633912898609	0.8920478820169078	1.2571184423620645	0.9949227481817754	1.302579431224373	1.9557805718107155	1.0898764082864125	0.9774524316828751	3.22964734781086	0.9332564754036619	1.8725688890644034	1.43508065084768	0.7740731430678237	1.0593001259605979	1.2247053297160682	1.3636791866670743	2.483109626008327	1.011461078216616	1.7676675486089135	1.193879631705867	0.41537745520490027	1.069994275164975	0.7738491792208667	0.894378634062234	1.0775657293005634	0.9764889696180121	1.7954634405702894	1.9913159919098624	1.8916979793937903	1.3492168256985677	1.693421128399077	1.4446954556660845	1.491509855451047	1.218294766297379
TL1a_DTT_172_Re_extracted	1.7434231637058157	2.2332659485925763	0.0	1.272827406300765	1.165445897318453	1.5532695296737635	1.6469709042569232	2.4174137064002603	3.1199452645772703	2.6933405568625775	2.701602298951471	2.8747315963548323	3.2765317944450114	3.2254191594861368	1.805737838948483	2.4620675582480014	4.359555992751873	2.3244457965758096	3.9657962140839587	3.489584745904777	2.9647137256898612	1.9992121719843572	3.2167599941105047	3.3325791867201464	3.054742652331382	2.807411640017119	0.7300495632356336	3.324408592023657	2.6407757039885964	3.213017848583095	2.1714742176894197	3.0189306125150615	3.0504191498590125	1.693606404924113	0.9577283901456104	1.1701127333580597	1.1710420207034526	2.0923594061913664	1.2975258211856038	3.313204168113663	2.0708877271526345	1.4937229746880278
TL1a_DTT_169_Re_extracted	2.1426467129976032	2.7062260618356158	1.272827406300765	0.0	2.0207124044239646	2.5788664318313392	2.058172315468287	2.740114210822269	3.463928280223392	2.9854786676950513	3.5221563517876207	3.238286774544523	3.562559629583559	4.076169931514259	2.7102549283417274	3.296119208359837	5.324393490013019	3.1602445989752033	4.556256969622143	3.8058533259011678	3.3520866609596043	2.9199879897459486	3.445044282414019	3.5491965859639505	4.115171650596107	3.011890697917721	1.844936250128277	3.6470928259275563	3.092671485599258	3.554781700601379	2.687561462024548	3.3185089451815983	3.3035384181539236	2.2550801155881217	2.0690557989399467	1.098321682581963	1.21098784479147	1.961166151415926	1.4320289799308714	3.381708129122123	1.8947817867877312	1.7219639820889452
TL1a_DTT_245_Repeat	1.0066499095020487	1.3451078120953097	1.165445897318453	2.0207124044239646	0.0	0.69234377322991	0.7696529772981922	1.6613774786715951	2.4021491161781543	2.082839962556805	1.587157342328472	2.219896741377922	2.596425147484987	2.100455766884665	0.73722615029706	1.4649121497913846	3.3139709052468884	1.2924661135677773	2.8924919516030907	2.7526157440242973	2.1120406487194967	1.0116902433887922	2.5307503918315626	2.6648814733571378	2.1240617838318205	2.2146933281511405	0.5448951155267748	2.5317943301272074	1.7348802009954052	2.4078285958569032	1.6097126371039774	2.23361544484776	2.3701997473874705	1.3147308263975868	0.5189152579922219	1.6693347489640376	1.6058935651088007	1.8872237936893825	1.5576572196057754	2.700559640863425	1.9597783754314417	1.3572158970413735
TL1a_DTT_244_Repeat	1.5944361708034347	1.7660276964973505	1.5532695296737635	2.5788664318313392	0.69234377322991	0.0	1.1863627280362936	2.143198961353468	2.798214386128102	2.562748701831088	1.458801241032038	2.6432158135256523	3.0111552861851485	1.7761687703803937	0.7576985192321706	1.4904812931107971	2.8411424071104583	1.316617986329178	2.927231690437788	3.1249724732784645	2.469588790459766	1.0137903681474607	2.972038324666927	3.104903655095076	1.547509769392062	2.7172160460898795	0.8541311062132976	2.900294425106921	2.086512252556967	2.774517453978019	2.062881625365572	2.642499351499064	2.8179566662255966	1.834770858843999	0.6068082006585276	2.301903202735496	2.2374769002762354	2.5518663117756555	2.1950060801634077	3.2009307896368564	2.630233172864747	2.009516340939521
TL1a_DTT_142_Repeat	1.0237040283799457	1.3506497321571562	1.6469709042569232	2.058172315468287	0.7696529772981922	1.1863627280362936	0.0	1.6201658635304983	2.434802268602919	2.1419765080392117	1.7112183675092885	2.312772273436339	2.610502270553736	2.1344608355794836	1.1638977984752263	1.7495653479583058	3.416860655430409	1.570784866409633	2.8158854410886254	2.750896638992886	2.068350884230857	1.4459226387701511	2.4882495501980486	2.6301706982923756	2.4082142607527697	2.213121807934549	1.2343924178708752	2.48656015116455	1.7036661522907026	2.367331921586513	1.8825591623209705	2.1653717236374677	2.3503337760526066	1.6949863384806614	1.2168947501443192	1.9244529242399082	1.8869682652513928	1.847734878049473	1.844224951423545	2.580382977531153	1.954428346028438	1.565127129367229
TL1a_DTT_78	0.7182677823433048	0.40525378545448765	2.4174137064002603	2.740114210822269	1.6613774786715951	2.143198961353468	1.6201658635304983	0.0	0.8369071294243713	0.5555002211439901	1.6165286728336807	0.7232056666871445	0.9970589517193963	2.3062723030722605	1.4803852172528231	1.3073907403493483	3.558088144056182	1.2982917115612	1.9603632762563727	1.1697747486928973	0.6123293013341892	1.433734229490808	0.8859633029588709	1.0250252208590755	2.873485640014383	0.6290656508071435	2.044555093913424	0.9483092001609531	0.45178923237853696	0.8390000061322723	0.7188502167471881	0.6153262233367733	0.7359854468939677	1.0094750853006043	2.109557152447425	1.9689967127822057	1.87177483359806	1.1147578890160763	1.6558968698284247	1.0579923801804938	1.2629922354890177	1.1729255356031196
TL1a_DTT_139	1.526746444669778	1.106633912898609	3.1199452645772703	3.463928280223392	2.4021491161781543	2.798214386128102	2.434802268602919	0.8369071294243713	0.0	0.4938097136577471	1.9457350092907453	0.2885261260125244	0.2234548862689375	2.5949139637451974	2.062796014596469	1.587453640525876	3.6829687139652543	1.6772912820497463	1.7243844284793002	0.37000690593431346	0.4901660943755	1.903250778940382	0.31378146424190223	0.3790325329899031	3.2271759605058827	0.5291686623371464	2.7420444727092215	0.3229739364102895	0.8116649991896242	0.30688005754645853	1.0083242975632876	0.3785954414368262	0.2665167033001956	1.4878898556328595	2.7983113195904004	2.569811442316718	2.4629828485506384	1.6360100283743964	2.2218178642132727	0.7310112966923243	1.7502791226322405	1.7914848743221232
TL1a_DTT_171	1.1604369871916433	0.8920478820169078	2.6933405568625775	2.9854786676950513	2.082839962556805	2.562748701831088	2.1419765080392117	0.5555002211439901	0.4938097136577471	0.0	1.9753691087435798	0.28154233906007153	0.5933013256809778	2.6796085829259644	1.873756398016553	1.5714700600625853	3.854066266327479	1.6186510107668117	2.085020677591928	0.8369457410743726	0.6715726628495404	1.7599470812029265	0.549070421800655	0.6477350102389663	3.224100407407374	0.216525865589754	2.3849847341869244	0.7519218962545602	0.7875892748043706	0.6908990745172298	0.6615804413857478	0.5464198718576061	0.3865182076445802	1.0785795860819583	2.475391971890332	2.080921501661951	1.9762348609984162	1.1648104574241784	1.7361707964545043	0.7699787989186566	1.2738301342148135	1.3108825659257077
