	806rcbc423-S424	GnotoExpt-DTT552-S163	GnotoExpt-DTT480-S628	806rcbc481-S386	GnotoExpt-FP552-S67	806rcbc381-S515	806rcbc179-S276	GnotoExpt-DTT570-S182	GnotoExpt-FP456-S677	GnotoExpt-DTT564-S176	GnotoExpt-DTT534-S145	806rcbc450-S451	806rcbc447-S448	GnotoExpt-DTT456-S604	806rcbc432-S337	GnotoExpt-FP558-S74	806rcbc530-S435	GnotoExpt-FP564-S80	806rcbc454-S455	806rcbc375-S509	806rcbc401-S306	GnotobioticExp-DTT-180-S190	GnotoExpt-FP474-S695	GnotoExpt-FP570-S86	GnotoExpt-DTT600-S335	GnotobioticExp-DTT-186-S196	GnotoExpt-DTT390-S536	806rcbc426-S331	806rcbc493-S398	806rcbc567-S472	GnotobioticExp-FP-186-S49	GnotoExpt-FP618-S314	806rcbc469-S374	806rcbc173-S270	GnotoExpt-DTT612-S347	GnotoExpt-FP462-S683	GnotobioticExp-FP-198-S62	GnotoExpt-FP540-S55	GnotobioticExp-DTT-204-S214	GnotoExpt-FP600-S296	GnotoExpt-DTT486-S634	806rcbc438-S343	GnotoExpt-DTT462-S610	GnotoExpt-FP534-S49	GnotobioticExp-DTT-192-S202	806rcbc524-S429	GnotoExpt-FP612-S308	GnotoExpt-FP486-S708	GnotoExpt-DTT474-S622	GnotoExpt-FP468-S689	806rcbc407-S312	GnotoExpt-FP546-S61	806rcbc561-S466	GnotobioticExp-DTT-198-S208	806rcbc499-S404	806rcbc555-S460	GnotoExpt-DTT606-S341	GnotobioticExp-FP-204-S68	GnotoExpt-FP480-S701	GnotobioticExp-FP-210-S74	806rcbc429-S430	GnotoExpt-DTT618-S353	806rcbc432-S433	GnotoExpt-DTT468-S616	GnotobioticExp-FP-192-S55	GnotoExpt-DTT546-S157	GnotoExpt-DTT540-S151	GnotobioticExp-FP-180-S43	GnotobioticExp-DTT-210-S220	GnotoExpt-DTT558-S170	GnotoExpt-FP606-S302	806rcbc395-S300	GnotobioticExp-FP-372.fastq	GnotobioticExp-DTT-367.fastq	GnotobioticExp-FP-384.fastq	GnotobioticExp-DTT-319.fastq	GnotobioticExp-DTT-325.fastq	GnotobioticExp-DTT-307.fastq	GnotobioticExp-FP-306.fastq	GnotobioticExp-FP-366.fastq	GnotobioticExp-DTT-373.fastq	GnotobioticExp-FP-312.fastq	GnotobioticExp-DTT-379.fastq	GnotobioticExp-FP-318.fastq	GnotobioticExp-FP-378.fastq	GnotobioticExp-DTT-313.fastq	GnotobioticExp-FP-396.fastq	GnotobioticExp-FP-324.fastq	GnotobioticExp-FP-390.fastq
806rcbc423-S424	0.0	2.6060622712608117	2.730304478916673	1.3477644647117197	2.7671289591032826	0.8607721520745694	0.47138087867569234	1.9916355489781254	1.5376885647283018	1.7451757230043583	1.0524938376617867	0.7892574031811516	0.9461506001552471	2.5629655763223878	0.6962281933330413	1.704013667947974	1.5263057686810066	2.8566904637514776	0.5734619813103813	1.0359290886313115	2.809649652274288	1.970646220736587	0.3214142230588664	1.6644217675881383	1.5002403736399692	1.1364627706019435	1.003694356792757	1.9373538299370119	2.638884805885578	0.6370126069312979	0.6236960955260322	0.5655819819428182	1.4876319556840087	2.0970054388197648	1.3748587344959962	2.2995909882602965	1.8503822238083287	2.8201059719962034	1.5386864657287262	0.7292884880208674	2.3096232471134854	0.8736717426882276	2.2591127348314988	2.0396169702758162	0.3864848737534111	1.8370710474954361	0.5226000992480647	0.17296365435839367	1.9781125679252178	1.392252132983674	1.572283256378219	2.6385856241984564	0.7260180876299432	1.3045583822220175	2.5069529461876856	1.1088951313679418	1.7759143543235842	1.3591337816219593	0.4713764136164371	1.894781785484482	1.5438045333409798	1.257930920935709	1.4988521421695544	2.614529226634233	0.9789848116194134	2.55818291061866	2.2150914824004846	0.46285213632933603	1.3321624350553956	0.8185036403613334	0.3447803004066761	2.373152300012914	1.0497758684671932	2.1976711757022804	2.8883396243456807	2.9943421893525826	2.6221080464131274	1.877464044762643	1.9572098705205063	1.6823800077854802	2.2231304954632853	2.610777630643323	2.133273495458189	1.224522909794205	1.238878646189831	2.5147361290831456	1.8159580658524244	3.4188064673955836	1.8900317686293993
GnotoExpt-DTT552-S163	2.6060622712608117	0.0	4.043952928156219	3.8317733216014194	0.19282135653560725	2.640745737370438	3.002664028099432	1.9958584235265584	1.5699275460808764	1.2087139780573697	1.5842783539238745	3.0716991615979974	3.119004248006341	4.078891679609809	2.8884245603068948	2.016116302641303	2.164856011421139	1.9706014229187436	3.0629880720457225	3.220594694972574	3.125696204372377	1.2110928312602565	2.795485721296106	1.7478556250916677	2.840775285325918	1.7767791471515102	2.7902123027765002	4.5336726468457105	1.751773811155354	2.3953258709587875	2.336358312041163	2.2112485792479033	3.8088342071549306	3.002931844412777	2.9960156222089034	2.738794691078408	2.9937507437542266	3.3003103540645533	2.871012647914703	2.155321054027316	3.6806529244327844	2.6627452107395553	3.9978798100601622	2.428635683970511	2.7833581673551255	2.514419559719153	2.308659695160763	2.578658216134112	3.4383523079417815	2.562510742243164	3.9435999140367843	0.8189791675755987	2.7973149289544113	2.309475014944894	1.7412749809602452	3.6971641328659954	3.3170198048673285	3.7553811985096837	2.3413410381036504	4.286851591792186	2.5306953222224506	2.9901648779684686	3.6578509532693366	4.168308871478237	3.331562634539171	0.8773078191719007	2.813310595000779	2.5357237190295967	3.7942547696822255	1.7906605361876329	2.755140781700836	3.1843833035196045	2.866158430920373	1.2605329322283194	4.503340410116793	3.859898194872114	3.289223017934362	2.7614188559099615	3.333693329425775	1.2384808691641775	1.393181621098664	4.062532776239944	1.8185661884407591	2.6322097123882418	3.448198917073964	2.1553727216623058	3.9743518411285663	4.7909588839195765	4.220790023067096
GnotoExpt-DTT480-S628	2.730304478916673	4.043952928156219	0.0	3.4005145265102366	4.22907593979	3.5319480729975234	2.4295706436189435	2.079574676936898	2.5224406078984205	3.7938618668734443	2.9505880010239403	2.125717744291024	1.8463474699275864	0.7147853359622637	2.3972900424191277	2.080398930904405	1.9402900455231336	2.7770844570477657	2.4163085098502823	3.1377546583459406	1.654843600239152	2.837581341912342	2.4452889917176344	2.3672575545528733	1.415077443508533	2.470601110451901	2.27709945955638	3.0072431029648103	2.697082036312225	2.7028170961379754	3.1517936151119246	2.662416398875053	3.7411739277369263	1.3285332376295518	1.373824867777282	1.5744627968951994	1.156651783170352	1.2543161808533208	1.4979207657458542	3.3245524590955005	0.4445021645533584	3.5728933100362603	0.7173308198504421	1.683277002226834	2.8916644666584594	1.5295554841817156	2.7718363086305233	2.5761919604306835	0.7739100606602748	1.605988142948442	3.723495460281262	4.144382108118663	2.158330793238682	1.8541775251262658	2.686094257761229	2.5587838376304215	0.9761118725986064	1.955985099508862	2.434499803056449	2.007589971959129	1.6415419445705353	1.5227577310761402	1.5896825808389732	0.8223699443501034	3.2408753913997574	4.216310379069213	1.3266504417727694	2.651673063055897	2.1641883605556487	2.930514164501201	3.02988405884268	1.1633992017792403	2.0132220875480678	2.8621542598292247	0.6806949644325807	0.6396047344908757	0.9660029292043761	1.399699696851534	0.8181698967991055	2.894737761718147	2.7712922489404703	0.684756764348905	2.37488802104019	1.8196725435768113	1.6931310283054908	2.266076492979177	1.4336766922562696	0.7643306948722871	1.7960575618076993
806rcbc481-S386	1.3477644647117197	3.8317733216014194	3.4005145265102366	0.0	3.971240304002504	1.2856261828532038	1.2024775461514412	3.2618055121639618	2.8753174487647413	2.780058175364639	2.322541107505174	1.5703855272744944	1.6979912330201594	3.0689420972637707	1.6187271308765518	2.995238601120542	2.788473495521208	4.182938425539458	1.2780460220674894	0.9200856476334303	3.9325048362761352	3.296211539472725	1.3605778927598304	2.9947356317627425	2.5386298066543667	2.4606267907751285	1.747420890929167	1.1721325613737341	3.9641660906061618	1.8432204447034255	1.521289600855526	1.7769377708601453	0.3916070650549881	3.1531609042005715	2.2926703290323185	3.4610612543783925	2.8593025970329844	3.8753718271472026	2.5783250438271463	1.749687440605563	3.031312940556823	1.3999037648169375	2.742859221708709	3.246514716893152	1.100620388771183	2.9872050583703476	1.6381702976362076	1.466117830991412	2.7378438497738538	2.497046962255876	0.8125467945522016	3.736562114140336	1.7568494926235212	2.5257743172316403	3.8404413093866654	0.9054750644529971	2.588467240554478	1.5234305751874966	1.7822666774196412	1.8180416533623622	2.6244504625546172	2.1850983811977565	1.9407578641849617	3.069843111207475	0.5881492125697847	3.61656366119019	3.3292221901800887	1.476173019969463	1.3989484744807954	2.0984971072097798	1.1286877190758904	3.400652395057233	2.042185169803293	3.5350224935728423	3.3620924318175165	3.843499098586227	3.6193210786427255	2.9871985536817296	2.7994972727243277	3.0237770008332214	3.563497757742266	3.270361190881189	3.4528758062699776	2.3543471686087303	1.7410101893617624	3.8043111984716367	2.0850489124127694	3.9253538205188234	1.8990357345878743
GnotoExpt-FP552-S67	2.7671289591032826	0.19282135653560725	4.22907593979	3.971240304002504	0.0	2.760135873888081	3.170858664813084	2.176896970815481	1.7611387161154324	1.294892983316826	1.7489749004358317	3.251713909178313	3.3010506161307998	4.257580041279695	3.065547240783406	2.206830983608004	2.3561571893274538	2.119075958860123	3.234931136710502	3.3541410704074295	3.303423973580328	1.3945154200717578	2.965242126614448	1.939839590186038	3.032201431201473	1.9610885527368158	2.9493999090351846	4.698204520241495	1.9068016042340399	2.567599415116348	2.4728941469598937	2.3725342602677397	3.934371317059903	3.193483751099894	3.1840245502596987	2.923646252338849	3.1845176377303095	3.478630875213277	3.0635796305210565	2.2944674459096683	3.865914359676575	2.790312654691457	4.1837968304945585	2.614205471893253	2.932729560922943	2.6996166815197524	2.462785675534933	2.7461353117993204	3.6241507630640197	2.7482949603155302	4.081514732763625	0.7996564128905926	2.979340500596697	2.4990835545504297	1.9064816546949603	3.8636970631704393	3.50660244710427	3.934803479292308	2.515724127695478	4.468833866795984	2.7105688029344988	3.1793292910155055	3.8443012329147828	4.345801831575341	3.467360206476657	0.8549070349805867	2.9980841141940977	2.6923001374243154	3.971791729142766	1.9533382293456794	2.904796376565354	3.3721021207196156	3.0532252189097546	1.4375777135440486	4.693263702490121	4.038630257007655	3.468435775870522	2.9521715174060903	3.522451905838574	1.4310793441347247	1.5698262260917029	4.253808593446044	2.0005448397856878	2.8235031494692255	3.630917348057374	2.325840212737512	4.159841122304238	4.974104422710716	4.403480463269826
806rcbc381-S515	0.8607721520745694	2.640745737370438	3.5319480729975234	1.2856261828532038	2.760135873888081	0.0	1.200610027821197	2.6063060944068246	2.057135487316238	1.5339455703350493	1.3115118842008187	1.6179591107208386	1.7651613970810245	3.278285049813425	1.4978558908270125	2.371845220115079	2.235019591825445	3.421092139691339	1.3363369537127097	0.901811640782406	3.5976006626869226	2.3669171487652125	1.1499005640596418	2.261361476058241	2.3315023342469225	1.6719885115414055	1.4564979025074418	2.290265897519396	3.1661348309259756	1.3059493270126552	0.4948858110972173	1.0191133304736204	1.1791459857286724	2.9237822417311152	2.194538206015221	3.0722485037624447	2.6749351590155017	3.6126454812877777	2.3823892498577197	0.7192839748637209	3.100093552944203	0.6202714408326125	3.0299123989492185	2.765512192945273	0.6677709935311613	2.5625879369450097	0.865428163209647	1.0254502651661868	2.766035391520172	2.13615464416123	1.5389732218758876	2.526637728399813	1.5822702848718557	2.0439542635221217	3.0571047719690316	1.6086749511879233	2.60321065499985	2.0560141844003934	1.2185539940030992	2.5570388497546466	2.2195969838387093	2.105220311161146	2.294436726261333	3.3131400426121482	0.8301357975828779	2.3839189708317994	2.986518698789444	0.9138116119840184	1.9972971630432772	1.1221882609273914	0.6489673991559848	3.197048005776664	1.8965904500298565	2.628056679553909	3.7046329897574632	3.7869245444959416	3.3985384461648387	2.6814584004689817	2.7754099502880174	2.0852733381441473	2.696832602042068	3.458640570510192	2.73091390855194	2.0561375497758174	2.0165736126248035	3.155663276693222	2.564807676284312	4.205111796572818	2.5721228316262463
806rcbc179-S276	0.47138087867569234	3.002664028099432	2.4295706436189435	1.2024775461514412	3.170858664813084	1.200610027821197	0.0	2.0909202073194986	1.7699478906521342	2.174690589442121	1.4298698050207146	0.49477916628192825	0.5991124748836626	2.2271963746921677	0.6201068342862368	1.8125424578984197	1.5968318605030187	3.0161498062918244	0.271721099137446	1.018380151062587	2.7502660665811502	2.2338308878150532	0.22026750259387207	1.8469438535321359	1.3602341476861226	1.3772148931992676	0.9203230002320438	1.5667526620760208	2.810739709599506	0.8962307623712349	1.009773226877946	0.8625408568637795	1.4542635208993369	1.9856426269823688	1.152986538762413	2.2643480038873482	1.6963651986072248	2.7075182493383156	1.4098693941747746	1.1942490448411198	2.0243158263131167	1.233419396991594	1.8887288273828355	2.0462880284533966	0.5652248959601915	1.803212567313533	0.8317506926318678	0.43963554133992566	1.7023127342671807	1.3243760670727114	1.5134746757225996	3.0216294303554854	0.6136750244471819	1.3321458860964743	2.686361714339745	0.7035777297192937	1.509457432010854	0.8987418929694607	0.6870576313519315	1.440750808016545	1.4928086783707626	1.0359322632186236	1.0949237091576423	2.269101809224943	0.953917937558364	2.95765285882796	2.1411216858765787	0.6469643390592084	0.8890166228008064	1.2232712069207368	0.6442974796165625	2.2412722042254836	0.9353744965509452	2.4446085284790753	2.524279535299498	2.774427619263653	2.4770581942759806	1.7966910577507975	1.7119340317756007	1.9867969685771978	2.4498482344704042	2.3054654928998732	2.2855533388017535	1.1705663434269487	0.8227845513199941	2.613888395220746	1.3786433020106201	3.074385515848687	1.4274498271017548
GnotoExpt-DTT570-S182	1.9916355489781254	1.9958584235265584	2.079574676936898	3.2618055121639618	2.176896970815481	2.6063060944068246	2.0909202073194986	0.0	0.6878302746436145	2.0767539899561487	1.4171957376121576	1.9400896217796428	1.8140339026442909	2.2228595590421953	1.9538694270806503	0.4303486400115267	0.566983153329493	1.0905690597405138	2.1257354028958657	2.7011673772877454	1.3712697370749314	0.7892235882313605	1.9298161952622566	0.5693384740781152	1.1510675598342948	0.948140830798661	1.7842601273168988	3.515201350570411	0.8140869289236229	1.781587227642132	2.130743524193742	1.6191908650219013	3.441709688453651	1.18911679136346	1.3633917703539808	0.8953517003941034	1.1426096610114718	1.3795616747937391	1.2371420538453237	2.15265116917076	1.761977681183602	2.6425373389808895	2.1780260948415453	0.49429311862931924	2.242855252610756	0.5895399555606371	1.7953716593933557	1.8490758823451503	1.5890888610851357	0.9155874907713301	3.5062888288671425	2.2044576646213967	1.7056635690550062	0.7852781926486372	0.8310944137578526	2.7031319951789174	1.5280997589793952	2.4384547875114353	1.5208735351469267	2.88095303230356	0.8711888863311761	1.4532970003117622	2.174188182952694	2.3307217488584926	2.8438853062839367	2.304953546756586	0.84672660178827	1.8744406499238402	2.5688234626171247	1.5515098900273703	2.3193500563568294	1.2908836059367261	1.6435407861870088	0.7910208775715334	2.5947969193298235	1.8658108971915333	1.2973721875974638	0.9212225666670231	1.465099195122368	0.9899661698929855	0.7233161703747727	2.1745785879687793	0.48003307973757037	1.2185475332848326	2.0403801626837907	0.6856974369896494	2.3959788746650226	2.812482510316821	2.745028321172268
GnotoExpt-FP456-S677	1.5376885647283018	1.5699275460808764	2.5224406078984205	2.8753174487647413	1.7611387161154324	2.057135487316238	1.7699478906521342	0.6878302746436145	0.0	1.4938271129073872	0.8059969070213334	1.6970372643763587	1.67675391316024	2.593835417041062	1.606521068120969	0.5177604998543803	0.6040403592841669	1.3764378085728834	1.8013722511589634	2.33751960767293	1.851426970877791	0.5078909426168802	1.5705367085069828	0.29195623945300003	1.271923178144084	0.4303550065366991	1.61258963476791	3.2847506338646997	1.1188652329201623	1.2805968886129557	1.610099870413495	1.1706020664910988	3.0025420021751468	1.504063251542698	1.4481689868401484	1.3502476338598732	1.4372136339840131	1.9526962439488527	1.3169929672271659	1.530880350336821	2.149553942886942	2.0488581373551003	2.452334405314772	0.9991793049499723	1.8110170530702425	1.0229275514859824	1.344985846089637	1.422828293794244	1.898289716244497	1.0340129023495312	3.052066273321797	1.8311828270316903	1.420960192782419	0.749395830381343	1.0163395460277447	2.44502735409535	1.7510918415804935	2.332567278736384	1.1016579003791394	2.8318595827479958	1.0777768101327247	1.4509717660836428	2.1557402139644823	2.691822565527359	2.43908726830574	1.8771568010798534	1.3666673063737325	1.484239574098317	2.4100277427697177	0.9444196350997925	1.826255155363399	1.7158784917627132	1.432866237934552	0.6760461204948164	2.9417464934856477	2.433000443478822	1.8815864449831463	1.2311601913904597	1.7758650409552172	0.38656731574495157	0.6885826977018583	2.5097498446925512	0.6910906452433276	1.1102611370315951	1.979808343691098	1.1327096304073647	2.4576551480779885	3.283134287488836	2.742683070170557
GnotoExpt-DTT564-S176	1.7451757230043583	1.2087139780573697	3.7938618668734443	2.780058175364639	1.294892983316826	1.5339455703350493	2.174690589442121	2.0767539899561487	1.4938271129073872	0.0	0.8998390775951162	2.411189275238044	2.4722080799844797	3.654816324905544	2.253537060578511	2.0034058019276335	2.0188426760915954	2.599516592213728	2.2968485609546287	2.128662542542067	3.3447772091660464	1.446047636829755	2.0021643895174503	1.7735092144546527	2.529827868777691	1.3736317476483095	1.9640086791381794	3.64709076945236	2.3010391773819694	1.7955171880617578	1.2868010415263136	1.3679297541564919	2.706283193389268	2.9391306996140196	2.547986761883137	2.839338645380298	2.7852408280558745	3.418493025317275	2.5967162637797947	1.2699775187668885	3.368770941532083	1.7258943743344184	3.542160971007678	2.463391257236339	1.7978340319427282	2.379478182750056	1.3857980053293848	1.7816494443501016	3.066534602176986	2.1930922393920285	2.990041344183862	1.018365650916697	2.200829504464408	2.002879272683146	2.2646679949773594	2.830663532856623	2.947525069230116	3.032931112127597	1.6415705770346785	3.590092011788865	2.1712210738649995	2.5297189310925394	3.071861862286096	3.7191555290452665	2.2509687930213844	0.8708463502684393	2.8097046573934783	1.6188202037599644	3.0522396240640424	1.0401518362777729	1.820508884739427	3.170474977325373	2.4002661546393034	1.6918650702784506	4.181557942996243	3.793517197127248	3.274739812004045	2.6505271596797826	3.0271073086979055	1.3126166226456621	1.8244418009339545	3.824661373238409	2.100644659015438	2.2877716747781096	2.797623912324386	2.535905222552729	3.366203014338674	4.536517693340377	3.537027447116926
