	TL1a_DTT_173_Repeat	TL1a_FP_65	TL1a_FP_209	TL1a_FP_77	TL1a_FP_245	TL1a_FP_173	TL1a_DTT_245_Repeat	TL1a_FP_143	TL1a_FP_101	TL1a_DTT_209	TL1a_DTT_65	TL1a_DTT_77	TL1A_FP_641	TL1A_FP_689	TL1A_DTT_641	TL1A_DTT_689
TL1a_DTT_173_Repeat	0.0	1.6940697366194164	2.6424980339002992	1.2061378440025166	1.9329329852010644	1.777034897451568	0.5836174062188313	1.7897347315665972	2.7883748321208364	1.7451213481334038	0.9996783262425253	0.8452166833098799	0.4826336391290593	0.490040780606861	1.4462436120175466	0.8976484295612275
TL1a_FP_65	1.6940697366194164	0.0	3.868337720948121	1.4410024722164185	3.420880810764407	3.22537336562167	1.9940488385866082	2.2487105575804427	4.035123197537774	1.57450650995239	0.7242589638102025	0.8818237642224936	1.960289992290731	2.0766307527723207	1.860209530366853	1.6036035312664423
TL1a_FP_209	2.6424980339002992	3.868337720948121	0.0	3.3666870924449994	1.5196719191388128	2.3100263338579423	2.0773471832853745	3.9267317342128494	4.244997947444884	2.7631426926459315	3.2441276811293958	3.0799823641489774	2.657710597824771	2.1852608074300073	3.851389521275168	3.3551109130866217
TL1a_FP_77	1.2061378440025166	1.4410024722164185	3.3666870924449994	0.0	2.435559819065388	2.0103002293404644	1.4917124461078495	0.9892857784831748	2.889331632674037	2.2308431932152137	1.193698725497378	1.100406776812748	1.0547721960492966	1.4378889286690664	0.8443770176050698	0.6244035420913373
TL1a_FP_245	1.9329329852010644	3.420880810764407	1.5196719191388128	2.435559819065388	0.0	0.8096894426888874	1.5375838470069398	2.68800562466251	2.82655452265751	2.946008070718836	2.7795299256786667	2.590743790125121	1.6847688434231727	1.4666848006103184	2.7304136581550633	2.353836693918243
TL1a_FP_173	1.777034897451568	3.22537336562167	2.3100263338579423	2.0103002293404644	0.8096894426888874	0.0	1.6059372989399294	2.013084748492432	2.1508522639214402	3.144404157728417	2.637557889885502	2.456191473271194	1.3708335632378639	1.4383933834262395	2.1433428290712815	1.8917447036075103
TL1a_DTT_245_Repeat	0.5836174062188313	1.9940488385866082	2.0773471832853745	1.4917124461078495	1.5375838470069398	1.6059372989399294	0.0	2.1480521737439293	3.0499220003681864	1.5994374836240246	1.299851475436011	1.1213314923124995	0.7494464257360977	0.26337949193135485	1.9077440242684904	1.3606204742014467
TL1a_FP_143	1.7897347315665972	2.2487105575804427	3.9267317342128494	0.9892857784831748	2.68800562466251	2.013084748492432	2.1480521737439293	0.0	2.183983115492847	3.173694295858336	2.0406437535604525	1.9635879719141118	1.458888845516838	1.9876658826777631	0.5492002556774382	0.9468434019199117
TL1a_FP_101	2.7883748321208364	4.035123197537774	4.244997947444884	2.889331632674037	2.82655452265751	2.1508522639214402	3.0499220003681864	2.183983115492847	0.0	4.531835011155616	3.567452322275829	3.4580296678143077	2.422427674598813	2.7882077708100432	2.2997887351874327	2.460774577419982
TL1a_DTT_209	1.7451213481334038	1.57450650995239	2.7631426926459315	2.2308431932152137	2.946008070718836	3.144404157728417	1.5994374836240246	3.173694295858336	4.531835011155616	0.0	1.276372104760181	1.2723164549826127	2.136055592016219	1.8334684676361266	2.8327037057783904	2.331519300592054
TL1a_DTT_65	0.9996783262425253	0.7242589638102025	3.2441276811293958	1.193698725497378	2.7795299256786667	2.637557889885502	1.299851475436011	2.0406437535604525	3.567452322275829	1.276372104760181	0.0	0.19046730589436084	1.3369829698111713	1.3800608233567668	1.6266275809705697	1.193699239203609
TL1a_DTT_77	0.8452166833098799	0.8818237642224936	3.0799823641489774	1.100406776812748	2.590743790125121	2.456191473271194	1.1213314923124995	1.9635879719141118	3.4580296678143077	1.2723164549826127	0.19046730589436084	0.0	1.1739927290756387	1.2030238217650704	1.5731053379349988	1.1014664709732298
TL1A_FP_641	0.4826336391290593	1.960289992290731	2.657710597824771	1.0547721960492966	1.6847688434231727	1.3708335632378639	0.7494464257360977	1.458888845516838	2.422427674598813	2.136055592016219	1.3369829698111713	1.1739927290756387	0.0	0.5439169319098343	1.2301288433083601	0.7363791548347622
TL1A_FP_689	0.490040780606861	2.0766307527723207	2.1852608074300073	1.4378889286690664	1.4666848006103184	1.4383933834262395	0.26337949193135485	1.9876658826777631	2.7882077708100432	1.8334684676361266	1.3800608233567668	1.2030238217650704	0.5439169319098343	0.0	1.754350363212377	1.2242979297137786
TL1A_DTT_641	1.4462436120175466	1.860209530366853	3.851389521275168	0.8443770176050698	2.7304136581550633	2.1433428290712815	1.9077440242684904	0.5492002556774382	2.2997887351874327	2.8327037057783904	1.6266275809705697	1.5731053379349988	1.2301288433083601	1.754350363212377	0.0	0.5593581283195267
TL1A_DTT_689	0.8976484295612275	1.6036035312664423	3.3551109130866217	0.6244035420913373	2.353836693918243	1.8917447036075103	1.3606204742014467	0.9468434019199117	2.460774577419982	2.331519300592054	1.193699239203609	1.1014664709732298	0.7363791548347622	1.2242979297137786	0.5593581283195267	0.0
