NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	K03111	246	7.403521537780762	-0.029946467	Yes	
row_1	K02337	313	7.3905463218688965	5.3002685E-4	Yes	
row_2	K02338	314	7.3905463218688965	0.053161606	Yes	
row_3	K02340	315	7.3905463218688965	0.105793186	Yes	
row_4	K02341	316	7.3905463218688965	0.15842476	Yes	
row_5	K02343	317	7.3905463218688965	0.21105635	Yes	
row_6	K03555	397	7.3905463218688965	0.23716895	Yes	
row_7	K03572	398	7.3905463218688965	0.28980052	Yes	
row_8	K03601	401	7.3905463218688965	0.34176075	Yes	
row_9	K03602	402	7.3905463218688965	0.39439234	Yes	
row_10	K03763	415	7.3905463218688965	0.4429957	Yes	
row_11	K07462	439	7.3905463218688965	0.48790658	Yes	
row_12	K01972	491	7.332638263702393	0.5234183	Yes	
row_13	K02342	523	7.22748327255249	0.5656437	Yes	
row_14	K03657	583	7.048652172088623	0.59847	Yes	
row_15	K07456	667	6.819963455200195	0.6232399	Yes	
row_16	K01141	1329	4.603457450866699	0.45398492	No	
row_17	K02339	1541	4.011231422424316	0.43578735	No	
row_18	K06223	2294	1.1486376523971558	0.23598523	No	
