#OTU ID,SLCFP072,LYZdtt342,SLCFP021,LYZdtt351,SLCFP069,LYZFP308,SLCFP111,LYZFP307,LYZdtt364,SLCdtt050,LYZdtt308,LYZFP331,SLCFP131,SLCFP078,SLCdtt110,SLCdtt075,SLCFP070,LYZFP304,SLCdtt022,LYZdtt366,SLCFP067,SLCdtt019,SLCdtt070,SLCFP023,SLCdtt005,SLCFP051,SLCdtt002,LYZdtt354,LYZFP328,LYZFP317,SLCFP022,LYZdtt328,LYZFP355,LYZdtt330,LYZFP319,SLCFP005,SLCFP024,SLCFP093,SLCdtt021,SLCFP053,SLCdtt114,LYZFP320,SLCdtt111,SLCFP091,LYZFP327,SLCFP095,LYZdtt356,LYZdtt368,SLCdtt095,SLCdtt074,SLCFP077,LYZdtt367,LYZdtt304,LYZFP356,SLCdtt024,LYZFP354,LYZdtt317,SLCFP112,SLCFP073,SLCFP128,LYZdtt305,LYZdtt319,SLCFP092,LYZFP332,SLCFP002,LYZFP306,LYZdtt329,SLCFP113,LYZdtt306,SLCFP071,SLCFP004,SLCdtt113,SLCdtt004,SLCFP019a,SLCdtt092,SLCdtt112,LYZFP316,SLCFP075,SLCdtt020,SLCFP049,LYZdtt355,LYZFP339,SLCFP094,LYZdtt343,LYZFP315,SLCdtt128,SLCdtt076,LYZdtt341,LYZdtt344,SLCFP050,LYZFP352,SLCdtt051,LYZFP305,SLCFP052,LYZdtt340,SLCFP076,SLCdtt096,LYZFP330,LYZdtt318,SLCFP127,LYZFP340,LYZdtt332,SLCFP129,LYZdtt363,LYZdtt365,LYZdtt320,LYZdtt315,LYZFP351,SLCFP074,SLCdtt078,SLCFP054,SLCdtt052,LYZFP303,SLCFP003,SLCFP068,SLCdtt069,SLCdtt129,SLCFP114,SLCdtt109,LYZdtt352,SLCFP006,SLCdtt054,LYZdtt353,LYZFP343,LYZdtt316,SLCdtt006,SLCdtt093,SLCdtt077,SLCdtt132,SLCFP132,SLCdtt001,LYZFP344,LYZFP342,LYZdtt303,SLCdtt130,SLCFP096,SLCFP001,SLCFP110,SLCdtt068,LYZFP353,LYZdtt307,SLCFP109,LYZdtt331,LYZdtt339,SLCdtt003,SLCdtt053,LYZdtt327,SLCFP020,LYZFP318,SLCdtt067,LYZFP329,LYZFP341
2f65298490e0fe48b880145471ec54eb,7783,51792,1110,198481,3568,75221,456,50754,1070,1433,60497,15132,14995,32751,1338,10406,19975,62644,15132,14545,6881,9507,7437,1495,6028,774,8523,36448,4656,120180,5068,13818,40852,4296,85533,6086,1836,8379,1151,8806,4262,36471,1870,6127,38812,43854,161521,24346,29832,21819,45722,24707,34135,23778,5057,249162,109547,1120,32351,11409,115771,28449,18215,12694,3691,107177,13852,330,25391,25690,6221,4747,8188,1577,14228,494,65734,7857,813,1436,78146,36248,9407,23309,76492,2394,84335,58424,72972,1645,10223,1026,460509,15356,13818,103394,33229,27461,190094,14910,20545,25730,4530,4313,2981,6531,19109,13751,18288,57131,1480,24679,325546,3800,5676,2403,18821,235,14546,145154,7072,3651,88065,141856,170348,13853,10374,73358,18766,6963,2789,48518,55960,17790,4265,3111,4576,205,1672,5488,113974,1223,7330,8892,13705,15183,45989,1726,44648,20624,4014,20290
c42634f8d1aad4956aa9638465e86565,97,3540,7360,11553,41,135,32,191,214,51,78,34525,87,78,64,22,254,67,8454,2935,89,2450,144,12188,181,54,241,186,13700,316,15693,5825,63772,3273,490,236,11816,137,2816,154,71,229,45,210,45663,621,5786,3471,176,60,19,1252,150,56880,7027,18087,292,42,36,47,84,126,230,5905,127,324,12040,42,54,355,176,35,144,12742,64,7,239,15,1824,80,2732,47941,112,3959,220,164,48,20357,10401,62,4596,34,325,148,3127,28,65,79721,291,28,22975,4317,35,1944,1140,186,265,10952,38,39,144,83,153,149,66,236,29,475,1693,5813,360,37,3904,72783,372,292,118,32,104,49,105,81847,55858,2368,10,27,152,22,38,1726,74,69,12335,885,385,90,17041,11393,2945,156,3478,13337
5ae5ad642b9c2cc68c4fc59e4902ff63,1812,212,181,18,1364,72,10,2219,857,3131,693,37,4427,26,22,4,2883,975,613,171,572,107,257,98,226,2537,3727,15,583,618,53,2347,0,159,894,241,102,972,65,5241,18,136,22,740,364,32,8,656,15,0,15,718,1111,0,57,72,430,33,0,1574,285,100,767,16,1503,2752,2067,11,83,2227,172,9,122,146,1035,2,704,0,146,1999,39,160,351,54,511,4468,42,494,288,1075,0,1579,852,2339,1332,28,60,529,206,582,252,227,1571,586,730,150,98,0,0,29,2133,703,433,3203,635,3044,1067,7,136,0,366,251,0,108,719,339,1741,12,4835,3797,114,106,13,1700,1211,3,928,6,1191,0,1532,15,154,227,1471,552,290,162,485,662,1952,478
f5fb42e8863737981eb6e04a3de22e29,488,435,1172,494,173,96,148,6190,1930,127,961,787,1821,873,179,210,573,541,2588,1914,23,45,107,639,68,200,252,19,1182,2966,215,4838,187,1097,2765,277,530,290,567,1019,333,432,620,231,307,15,80,895,12,389,321,2344,2693,491,204,178,1686,787,42,44,249,214,190,17,81,11078,3825,280,139,567,82,154,72,235,141,40,617,123,539,144,109,292,34,211,619,360,307,662,426,67,187,223,2004,670,1934,446,6,5356,250,21,343,396,80,2227,3590,284,159,312,42,96,760,413,378,181,35,3626,71,480,300,356,248,237,233,921,1663,102,3649,34,704,453,23,745,596,2073,130,2,26,44,264,309,488,30,2406,465,71,1445,391,487,370,74,1737,800
d013db1a71d477496cb864ee431c3420,256,618,493,1330,127,3093,111,1502,178,63,998,639,728,1663,68,206,189,1251,795,6338,233,76,32,258,56,148,113,32,3429,1361,51,2450,2961,2287,1021,157,569,46,115,40,370,23,28,117,10052,2,1238,10031,0,576,220,8162,512,3443,147,312,1007,51,1257,542,1011,158,51,50,297,2232,8387,89,186,339,19,233,20,640,1,25,3570,444,116,239,2284,2437,14,306,3828,136,655,1269,1093,105,1011,107,60,43,229,74,8,4816,663,225,1307,969,236,3107,1626,1216,536,2288,1101,401,208,354,1206,348,201,181,278,137,183,1289,120,216,245,466,1503,87,28,297,836,651,80,1364,90,8060,101,0,410,75,120,517,897,237,6241,115,154,594,5970,631,3145,104,6694,1255
ccdb1dad68d457d1df2d11af1ea8ca5f,55,33,209,19,42,377,35,3713,270,0,1428,1,4,29,2,8,94,959,245,74,22,0,0,91,4,0,0,0,42,748,30,255,1,13,1770,10,91,0,0,0,43,244,0,0,31,2,7,468,6,22,18,414,1198,19,57,3,561,29,8,7,308,237,0,4,0,4307,101,7,66,73,3,15,5,92,0,2,1045,20,0,0,0,53,0,2,969,0,6,83,33,0,0,0,810,21,273,10,0,58,241,1,65,32,0,247,246,170,78,9,22,31,0,8,531,0,15,395,0,12,41,0,4,5,0,12,1269,9,0,30,25,4,0,29,26,581,7,0,0,15,38,0,2955,3,27,76,0,13,42,166,168,54,94,69
9c9d2dfde9ad67dcb9628dc8c30ec99f,171,261,17,1022,61,4284,111,1995,121,14,930,241,467,683,46,69,81,1297,23,3118,67,2,10,8,5,21,52,14,1588,2325,0,1083,1699,317,1313,34,13,0,0,35,230,145,29,0,5287,0,796,5219,0,210,147,4714,262,3777,5,368,885,97,384,316,329,159,0,0,141,2788,2728,114,159,221,8,157,6,14,0,16,3860,284,4,39,566,3876,0,197,4286,77,222,1258,503,32,1136,15,471,19,274,110,0,3903,304,183,1930,293,82,1829,596,359,216,2810,374,142,44,40,1752,157,91,57,110,153,102,900,43,46,220,212,1223,24,6,93,198,312,29,535,152,2320,28,0,190,57,32,594,859,221,1129,77,61,78,2676,20,2476,54,3082,1708
a93ecb34623d57ce5a83ac109551229b,120,24,165,130,46,44,67,341,1017,37,99,14,475,7,82,12,110,146,733,181,11,14,4,53,17,25,298,0,208,80,31,536,3,40,171,13,49,122,94,45,80,36,135,166,77,8,10,695,0,35,12,948,209,44,25,8,50,247,5,48,66,22,69,4,87,401,546,168,13,113,16,65,18,76,67,4,112,2,280,23,2,37,17,8,72,322,2,191,69,13,59,12,48,13,639,7,0,355,44,19,72,27,74,894,254,18,58,92,7,11,24,7,35,159,11,159,37,129,118,95,32,4,87,43,63,45,122,8,61,247,3,31,2,49,25,0,43,19,106,127,258,21,34,49,78,9,64,82,72,41,514,152
b624666c6326343e28d1098066a7cb32,0,142,0,0,0,253,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,45,70,0,8,1,3,189,0,0,0,0,0,0,70,0,0,20,0,0,0,0,0,0,0,0,0,0,0,21,0,0,0,0,24,0,0,0,0,63,0,0,0,0,0,0,0,0,0,81,0,0,0,3,381,0,43,84,0,0,1130,234,0,0,0,0,0,1474,0,0,43,115,0,413,10,0,0,0,42,79,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,169,0,0,0,0,0,0,0,102,72,169,0,0,0,0,0,0,0,0,17,203,0,0,27,0,0,0,23,772
1b23073ca2a2884ac2bd7895dda760bc,0,15,0,106,0,28,0,684,581,134,151,0,107,0,4,0,0,141,2,73,0,0,0,0,3,135,44,2,0,105,0,0,4,0,198,6,0,0,0,14,3,30,4,0,3,0,0,296,0,2,0,391,111,29,0,0,31,6,0,12,20,25,0,0,7,1005,0,5,13,0,3,0,0,0,0,0,172,0,0,114,3,19,0,5,137,166,0,101,40,39,58,90,42,2,676,0,0,0,47,8,55,5,53,742,99,12,32,82,0,2,13,11,53,11,0,0,40,4,3,58,6,4,82,11,158,4,0,0,6,49,0,9,0,137,3,0,3,0,0,102,452,3,2,13,11,7,11,0,43,7,0,152
