index,k__Bacteria;p__Firmicutes,k__Bacteria;p__Bacteroidota,k__Bacteria;p__Desulfobacterota,k__Bacteria;p__Cyanobacteria,k__Bacteria;p__Proteobacteria,k__Bacteria;p__Actinobacteriota,k__Bacteria;p__Verrucomicrobiota
Distal_Colon,11237.0,29668.0,260.0,179.0,177.0,24.0,1250.0
Proximal_Colon,21495.0,27318.0,351.0,390.0,7.0,9.0,311.0
Cecum,32015.0,25581.0,394.0,434.0,5.0,12.0,267.0
Ileum,59107.0,12337.0,232.0,24.0,40.0,9.0,86.0
Jejunum,26620.0,17062.0,81.0,8.0,138.0,13.0,354.0
Duodenum,11228.0,19849.0,169.0,52.0,209.0,23.0,400.0
