Module	TL1A_FP_630	TL1a_DTT_266	TL1a_DTT_267	TL1a_FP_131	TL1a_FP_130	TL1a_FP_132	TL1A_DTT_626	TL1A_DTT_627	TL1A_DTT_628	TL1A_DTT_629	TL1a_FP_128	TL1a_FP_127	TL1a_FP_129	TL1a_DTT_158	TL1a_DTT_159	TL1a_DTT_89_Re_extracted	TL1a_DTT_85	TL1a_DTT_86	TL1a_DTT_87	TL1a_DTT_286	TL1a_DTT_287	TL1a_DTT_284	TL1a_DTT_285	TL1a_DTT_283	TL1a_DTT_268_Repeat	TL1a_DTT_160	TL1a_DTT_270_Repeat	TL1a_FP_157	TL1a_FP_159	TL1a_FP_158	TL1a_DTT_90_Repeat	TL1a_FP_270	TL1a_DTT_198_Repeat	TL1a_FP_265	TL1a_FP_267	TL1a_FP_266	TL1a_FP_269	TL1a_FP_268	TL1A_DTT_673	TL1A_DTT_674	TL1A_DTT_675	TL1a_FP_86	TL1A_FP_673	TL1A_FP_674	TL1a_DTT_229	TL1a_FP_87	TL1a_FP_88	TL1A_FP_675	TL1a_FP_89	TL1a_FP_85	TL1A_FP_677	TL1A_FP_678	TL1a_DTT_88_Repeat	TL1a_DTT_231	TL1a_DTT_232	TL1a_DTT_230	TL1a_DTT_194	TL1a_DTT_195	TL1a_DTT_193	TL1a_DTT_233	TL1a_DTT_234	TL1a_FP_285	TL1a_FP_90	TL1a_FP_284	TL1a_FP_287	TL1a_FP_286	TL1a_FP_288	TL1a_DTT_157_Repeat	TL1a_FP_160	TL1a_FP_162	TL1a_FP_283	TL1a_FP_161	TL1a_DTT_129	TL1a_DTT_128	TL1a_FP_230	TL1a_FP_197	TL1a_FP_196	TL1a_FP_232	TL1a_FP_198	TL1a_FP_231	TL1a_FP_234	TL1a_FP_233	TL1a_DTT_197_Repeat	TL1a_FP_193	TL1a_DTT_196_Repeat	TL1a_FP_195	TL1a_FP_194	TL1a_FP_229	TL1A_FP_626	TL1A_FP_627	TL1A_FP_625	TL1a_DTT_130_Repeat	TL1a_DTT_265	TL1A_DTT_630	TL1a_DTT_127_Repeat	TL1a_DTT_269_Repeat
MF0063	6018.61	23584.155	39532.58	1663.77	44405.57	45717.41	4807.35	3003.3	4768.15	22654.945	55599.5	47325.99	30865.445	8441.08	25546.4	17220.19	26565.22	20597.08	33816.91	11706.4	4161.325	12193.84	23537.65	23249.52	5805.83	18406.06	20818.53	51745.76	16078.86	18704.33	3653.65	72144.98	12535.71	27337.96	31116.5	26029.69	28753.36	39096.04	5955.95	4682.610000000001	4447.09	31048.01	4780.52	4606.815	41760.93	32697.2	31209.19	6900.515	103257.47	22066.26	6979.35	6103.97	2845.92	49740.58500000001	1758.17	13364.79	24777.05	75720.79	31960.645	7236.67	5216.5	23085.16	25623.38	8290.32	30830.165	19730.58	17833.95	19715.01	33957.5	129739.17000000001	33540.51	61274.72	19347.69	20176.25	32921.665	42518.15	16481.295	4000.29	70967.78	32103.574999999997	5490.46	12258.46	1186.62	17976.575	1476.93	24053.01	20067.71	13654.915	6076.875	5767.65	3772.8500000000004	3227.0	5252.48	10952.43	30551.19	3602.08
MF0020	3445.46	14969.12	46357.15	21518.9	39234.420000000006	9162.15	2282.75	5594.26	2940.61	17091.66	37691.8	28026.85	16224.4	4421.65	8086.1	12083.410000000002	16384.1	20793.6	32776.9	10151.75	3598.05	41806.9	13019.8	13438.75	14521.25	6318.860000000001	27307.35	12336.9	2332.85	4092.5	3849.4	68941.12999999999	8895.55	7660.35	9335.400000000001	12028.05	38721.96000000001	42357.06	4207.2	2296.0	2049.0	16368.45	2119.25	1623.5	33982.45	28091.4	16234.65	3036.0	83016.99999999999	11553.25	4943.8099999999995	2338.725	4259.2	44280.369999999995	74264.9	10666.7	14589.339999999998	47161.65	21650.55	13349.95	4960.4	12887.65	23994.199999999997	2392.8999999999996	11201.2	44547.4	35041.6	8126.5	18437.725	104528.58499999999	13897.1	50767.53	19612.55	15941.35	10888.9	40834.73	19863.2	62132.45	47624.649999999994	7369.05	6260.55	22038.839999999997	1278.5	15315.8	6074.95	19068.55	15170.9	1611.6	3595.31	3597.25	1268.25	10572.65	7527.25	8619.65	19176.35	3686.6499999999996
MF0061	4486.6	19594.81	76471.62	15255.96	17453.23	31316.36666666667	4048.27	9904.71	3636.19	11791.42	35085.33	15523.663333333336	14206.53	5493.12	13852.916666666666	7690.36	29902.14	38792.63	58795.95	7175.65	4027.91	88503.0	16204.33	17824.95	13201.33	11421.263333333334	36147.1	27297.96666666667	12604.023333333333	12895.5	6877.71	17912.14	11014.04	5702.87	12655.34	11694.19	30367.2	28194.54	4121.07	4494.13	3908.76	30391.26	3283.36	2948.07	17687.2	53431.93	30409.86	5487.6	33607.7	21886.1	8040.53	5512.75	6402.38	70735.46	3552.5	20368.83	10924.496666666668	70036.37	15613.23	9082.67	4964.5	19531.0	22399.33	6586.603333333333	10233.943333333335	12479.17	16146.45	10130.5	42026.75	44706.82	22003.5	23205.06	25674.92	20369.29	21294.33	34050.82	6798.246666666666	8387.33	245555.47	16331.776666666667	8197.473333333333	8303.8	1017.4666666666666	5010.11	3692.5833333333335	6547.5	6175.416666666667	7596.943333333334	3378.55	6561.91	1654.3100000000002	8317.83	12258.07	6728.36	21507.19	4614.66
MF0060	453.92	4933.57	11785.83	13717.0	2997.01	1985.67	323.34	1303.33	533.33	502.33	13156.5	5675.17	5188.17	1596.66	3037.0	2097.5	6456.58	5747.67	12913.33	2456.34	875.67	23406.33	5978.66	5183.49	6935.75	1874.66	9794.0	1760.83	636.0	849.5	1410.5	4456.76	2210.5	1420.33	3623.17	3384.0	16072.83	13983.83	504.83	593.92	364.16	5608.5	400.33	278.33	4487.92	7531.33	5220.0	901.17	7747.83	5409.0	2890.92	592.75	1887.67	8443.66	615.75	5030.08	1806.17	4925.16	2006.83	1888.0	2242.0	7975.83	11294.25	1759.49	1155.83	4863.0	7052.0	2661.92	18124.5	8433.0	8186.17	4018.84	6907.66	5525.83	5652.83	4641.34	1050.99	5860.0	7725.16	3288.33	484.0	1924.17	188.83	218.0	452.0	1688.17	221.0	732.83	568.83	5167.04	183.0	5555.25	2666.83	653.0	6122.58	1002.0
MF0027	34.0	52.83	405.0	28.0	19.84	4.0	78.0	40.0	163.5	18.33	0.0	0.0	0.0	0.0	0.0	11.33	774.0	118.0	405.0	21.0	0.0	1.0	4.0	8.0	266.0	0.0	1925.0	0.0	0.0	0.0	31.0	541.34	0.0	589.0	210.0	746.0	829.83	154.83	42.33	62.0	89.0	709.0	169.0	23.0	22.67	406.0	736.0	86.0	5.83	464.0	2.0	38.0	2.0	45.66	94.0	28.0	4.17	0.0	0.0	711.0	84.0	3.0	23.0	1.0	456.0	133.0	396.0	0.0	18.0	4.83	0.0	2.67	0.0	0.0	220.0	26.34	2.0	129.0	31.0	179.0	315.0	349.67	0.0	1.0	0.0	0.0	0.0	188.0	106.0	75.0	46.0	0.0	123.0	89.0	5.0	217.0
MF0028	9823.88	29236.57	68236.33	8179.25	96538.63	108506.05	6324.69	7377.83	9784.15	52986.39	65830.13	87093.73	48405.95	10861.15	48493.07	29744.39	49509.97	31974.35	58389.64	21372.29	6337.78	81716.83	60089.47	51349.92	14976.42	37851.29	27739.8	137243.92	32042.98	49057.83	4892.95	138610.2	17127.88	63705.35	69247.07	74774.52	55611.55	73453.65	10311.02	6062.84	7259.7	76555.05	11755.89	9466.48	82991.67	50477.27	65831.95	9851.19	243132.01	62120.03	4632.27	8758.02	4005.67	55823.16	14935.82	15199.45	51647.25	64871.16	49568.93	24925.2	18758.4	52221.24	22902.04	66546.89	76908.37	42365.57	54084.67	32143.58	44875.1	278329.08	63694.43	126841.23	27720.82	27446.02	54093.57	72954.75	45551.65	5482.7	226830.16	63208.13	49372.88	31914.41	5043.41	60727.63	21993.56	56625.63	65230.32	36538.27	10388.77	5791.17	9039.87	12458.81	9088.33	23652.19	42669.07	5482.9
MF0025	2882.14	7971.36	20027.0	587.4	37726.01	41370.84	1366.33	1214.6	2307.8	16235.93	27455.5	35442.66	19413.33	3663.5	18082.33	11656.33	9203.17	4150.0	10085.33	7704.84	841.67	1828.84	9371.0	8087.67	1944.67	13110.4	6221.67	49837.33	14189.33	16666.33	1200.03	67444.01	2523.33	24896.0	23465.0	22701.0	17539.66	30201.16	3281.8	937.34	1035.67	12853.16	2834.5	2208.67	32513.24	8420.84	13098.83	2684.83	89507.92	12576.5	4767.07	1550.47	925.0	12333.83	976.67	3370.5	15542.67	6935.67	17627.16	1906.5	1703.0	5749.67	20621.96	5349.66	25814.17	9122.5	11787.66	11191.0	17497.0	111375.6	14502.5	52488.67	9523.33	9486.17	20140.67	30496.51	13045.67	990.5	29259.5	25350.33	3141.0	7171.0	297.5	17489.83	863.0	18145.0	19287.0	12822.17	3577.5	1787.67	3174.34	1445.33	2927.34	8057.07	16877.5	689.0
MF0069	10.0	5.0	22.0	7.0	14.0	126.0	4.0	6.0	37.0	39.0	0.0	0.0	0.0	34.0	247.0	1065.0	235.0	22.0	96.0	5.0	14.0	11.0	162.0	248.0	1039.0	213.0	505.0	149.0	52.0	40.0	448.0	409.0	224.0	168.0	50.0	128.0	1754.0	348.0	70.0	0.0	4.0	58.0	5.0	0.0	12.0	5.0	38.0	0.0	53.0	19.0	2395.0	27.0	685.0	0.0	125.0	0.0	63.0	79.0	13.0	6.0	22.0	49.0	9720.0	9.0	35.0	18.0	193.0	71.0	4879.0	11.0	20.0	12.0	49.0	266.0	0.0	45.0	17.0	0.0	2811.0	4.0	14.0	18.0	61.0	0.0	0.0	14.0	10.0	0.0	2.0	0.0	0.0	330.0	117.0	15.0	195.0	0.0
MF0102	352.5	2851.5	408.5	47.5	15303.5	383.0	68.5	184.5	791.0	5110.5	183.5	17902.0325	48.5	86.5	450.5	3144.5	175.5	176.0	207.0	3823.5725	729.12	13561.002499999999	12376.6675	8886.23	1592.5	956.0	1572.5	316.0	18.0	136.5	136.5	24725.5	0.0	15.0	671.0	354.5	12478.0	8914.0	713.0	234.5	262.5	125.0	47.0	168.0	14784.5	31.0	322.5	245.0	32587.0	277.0	186.0	70.0	0.0	3530.0	43.5	627.0	207.5	4093.7725	597.5	349.0	158.0	482.0	2028.5	13094.247500000001	495.0	195.0	128.0	199.5	15789.0	40835.0	276.0	18418.5	4531.38	4634.98	298.0	101.0	12.0	639.5	15069.2375	942.0	2015.0	4992.0	169.97750000000002	3.0	6.0	10746.0825	12654.855	14.0	149.0	90.5	23.5	0.0	119.0	2402.0	8216.68	78.0
MF0026	4918.94	16204.18	0.0	0.0	48314.565	54254.525	0.0	0.0	4893.075	26537.695	36985.79	0.0	0.0	0.0	0.0	15244.195	24756.985	0.0	0.0	0.0	0.0	0.0	30078.735	25748.96	7564.21	0.0	0.0	0.0	0.0	0.0	4054.345	69358.6	9714.935	0.0	0.0	0.0	27997.275	36751.075	5187.51	0.0	0.0	0.0	5879.445	0.0	41535.585	0.0	32916.725	0.0	121764.255	0.0	5063.425	4404.26	0.0	38197.61	7505.41	0.0	0.0	0.0	24785.465	12464.6	9402.2	0.0	15182.77	0.0	0.0	21184.785	27084.335	16091.29	25498.5	139241.54	0.0	63472.115	0.0	0.0	0.0	36521.375	0.0	0.0	140378.985	0.0	0.0	15965.205	2540.705	0.0	0.0	0.0	0.0	0.0	5195.385	0.0	0.0	0.0	7624.955	11871.095	21349.535	0.0
MF0103	15121.435000000001	60223.7	69549.73999999999	10109.14	268785.2	117073.475	7146.615	4906.77	16309.185	116460.14499999999	106141.625	134258.865	65676.07	11038.615000000002	54614.455	74510.055	49002.555	29482.614999999998	49458.399999999994	22477.395	5346.635	17021.055	55707.25	49518.955	16746.715	44833.68	32728.17	155635.115	33422.445	51974.91	4313.245	439868.675	21938.17	79272.13500000001	72986.375	78853.535	129888.95999999999	161974.08500000002	20080.875	6282.045	7929.92	66095.275	14135.785	9707.76	235147.665	43039.134999999995	56798.56999999999	9607.74	669949.23	58302.33	8393.225	9123.564999999999	2779.385	82109.91	18622.34	11099.625	67929.095	32097.975	80845.86499999999	29176.375	24598.125	46728.84	46625.895000000004	61494.32	95112.84	46310.625	66809.685	34086.125	57514.25	752955.675	64749.125	346756.52	31316.115	31061.33	50974.84	90419.725	62887.30499999999	6607.375	132906.09	56641.66	60592.115	65152.485	6283.865	98296.16	27467.955	91304.75	99668.38500000001	38329.09	15557.07	5239.635	11161.635	14675.66	8076.85	52662.825	54534.91	4614.0
