Module	TL1a_FP_139	TL1a_DTT_245_Repeat	TL1a_DTT_244_Repeat	TL1A_FP_637	TL1a_FP_174	TL1A_FP_638	TL1a_FP_210	TL1a_DTT_73	TL1A_FP_639	TL1a_DTT_74	TL1a_FP_171	TL1a_DTT_75	TL1a_FP_170	TL1a_FP_173	TL1a_DTT_77	TL1a_FP_172	TL1a_DTT_78	TL1a_FP_205	TL1a_FP_97	TL1A_FP_640	TL1a_FP_98	TL1A_FP_641	TL1A_FP_685	TL1a_FP_207	TL1a_FP_99	TL1A_FP_686	TL1a_DTT_173_Repeat	TL1a_FP_206	TL1A_FP_687	TL1a_FP_209	TL1a_FP_208	TL1a_FP_241	TL1a_FP_243	TL1a_FP_242	TL1a_FP_245	TL1A_FP_688	TL1a_FP_244	TL1A_FP_689	TL1a_FP_246	TL1a_FP_169	TL1a_DTT_142_Repeat	TL1a_DTT_242	TL1a_DTT_243	TL1a_DTT_241	TL1a_FP_64	TL1a_DTT_206	TL1a_FP_65	TL1a_DTT_207	TL1a_FP_66	TL1a_DTT_205	TL1a_DTT_246	TL1a_FP_61	TL1a_FP_62	TL1a_FP_63	TL1a_DTT_76_Repeat	TL1a_DTT_208	TL1a_DTT_209	TL1a_DTT_97	TL1a_DTT_98	TL1a_DTT_99	TL1A_DTT_640	TL1a_DTT_210	TL1A_DTT_641	TL1A_DTT_642	TL1A_DTT_687	TL1A_DTT_689	TL1a_DTT_170	TL1a_DTT_169_Re_extracted	TL1a_DTT_171	TL1a_DTT_172_Re_extracted	TL1a_FP_75	TL1a_FP_76	TL1a_FP_77	TL1a_FP_78	TL1a_DTT_139	TL1a_FP_73	TL1a_FP_74	TL1a_FP_142	TL1a_FP_141	TL1a_FP_144	TL1a_FP_100	TL1a_DTT_62	TL1a_FP_143	TL1a_DTT_63	TL1a_FP_102	TL1a_FP_101	TL1A_DTT_638	TL1A_DTT_639	TL1a_DTT_64	TL1a_DTT_65	TL1a_FP_140	TL1a_DTT_66	TL1a_DTT_141	TL1a_DTT_140
MGB015	76584.41	15465.05	20022.56	21735.95	54962.98	8436.15	40842.35	73207.94	13803.28	65056.98	169223.0	38062.99	74831.84	41166.62	38863.51	12434.12	33569.05	92555.38	54145.5	9021.23	85412.71	7663.34	15188.2	105754.58	58264.89	34396.97	8686.66	109036.83	22650.9	74540.79	70653.05	75962.01	88689.82	88373.05	78155.98	7092.47	116036.93	9977.56	78747.87	63375.85	6144.52	77380.7	86143.78	67322.38	73199.05	71162.42	145588.66	115663.91	95999.65	283926.45	36648.9	99547.2	105647.98	78719.37	16419.05	22593.41	31673.85	77984.75	63055.48	88563.03	11458.21	85264.83	9432.58	10822.61	9689.62	4506.16	63607.2	25271.75	74825.5	25816.61	67134.24	33621.48	34206.11	105092.46	88674.42	59230.25	65302.16	59713.74	76998.6	94848.97	61882.13	124721.99	84174.68	65359.59	42763.6	21927.33	5654.89	30363.99	48537.06	37278.16	246251.11	31833.37	113394.17	68710.71
MGB037	46020.39	8922.17	11499.04	14256.98	37644.14	6365.465	29322.045	40317.755000000005	9988.91	35758.494999999995	122229.82500000001	21150.665	52720.744999999995	26794.67	26621.645	10646.369999999999	24009.33	44278.915	34874.685	5859.3949999999995	54578.520000000004	8017.24	10661.87	44694.665	41820.535	22153.35	8349.869999999999	49962.185	16312.015	35157.564999999995	33306.25	56282.58	69175.58499999999	64096.0	43065.06	6486.935	74539.045	10959.05	46757.145000000004	35962.835	2325.085	56528.5	64302.835	50337.17	52946.62	33584.085	102195.9	53964.75	78890.76499999998	136418.75	24511.435	41477.68	54425.84	40173.91	9549.045	11873.835	9276.5	45707.725	40715.06	53936.15	8155.85	15125.085	6534.4400000000005	8045.82	8747.84	4996.58	39311.695	19378.77	47738.83	21332.72	39684.745	38069.705	54966.115000000005	52411.415	53147.08	31190.82	39866.695	38800.175	46718.965	67523.04000000001	42215.395000000004	66251.055	56634.585	35745.479999999996	40188.244999999995	32837.86	6734.245000000001	22346.82	36327.84999999999	24880.004999999997	146659.285	32821.735	65820.38	39941.05
MGB038	19642.2	2080.17	3814.83	2159.5	8955.17	575.2	9002.5	12990.03	1079.3	15485.6	13012.53	8021.84	6177.3	3470.67	5384.7	374.5	3832.7	39814.83	7567.44	947.27	15418.3	964.67	2379.53	40848.33	4796.73	5606.44	1373.9	46994.67	4309.57	4560.5	4934.0	17418.83	16754.67	21364.83	12598.16	1265.9	22738.67	1421.36	8784.67	13543.73	650.0	17505.0	17010.0	13583.17	14648.57	28737.5	24121.07	45720.5	15452.8	123606.0	3299.5	18218.26	21509.5	16074.54	3593.0	2234.0	2285.5	16318.4	10482.54	16625.76	1817.37	6552.84	1458.6	1604.97	1507.77	735.37	13349.63	3595.5	13185.8	2836.34	6764.63	9411.43	8711.97	20035.57	20662.54	10941.44	9815.7	9782.5	20159.03	9456.73	14295.5	33100.67	11898.37	15647.53	4753.3	2450.5	334.0	3066.63	9001.97	3576.77	53232.93	2599.97	26538.86	16292.9
MGB016	0.0	4.0	42.0	0.0	18.0	0.0	0.0	6.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	10.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	3.0	0.0	6.0	0.0	0.0	0.0	1.0	10.0	0.0	0.0	0.0	912.0	13.0	0.0	124.0	0.0	0.0	3.0	5817.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	27.0	21.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	44.0	0.0	0.0	0.0	0.0	0.0	87.0	0.0	0.0	0.0	0.0	0.0
MGB039	1394.0	837.17	292.83	323.67	256.0	79.0	96.0	745.0	196.0	413.0	3843.0	129.0	1861.0	126.0	939.0	74.33	955.0	943.0	1254.0	18.0	601.0	47.0	125.33	1746.33	941.0	255.0	432.33	531.17	240.84	3303.0	1530.0	646.83	1286.17	660.83	121.16	49.0	781.34	127.66	332.0	1803.0	344.0	1680.5	776.0	854.67	297.0	1246.0	1609.0	1861.0	1344.0	5393.0	1897.67	2178.0	1124.0	1448.0	1141.0	6448.0	1636.5	934.0	457.0	481.16	144.0	2667.0	120.0	141.84	105.17	144.0	478.0	105.33	783.67	488.01	1359.0	674.67	586.0	2446.0	246.0	1097.0	945.0	499.0	896.0	1632.0	5545.0	929.67	963.0	218.66	1012.0	1700.0	137.67	644.5	1785.84	1655.34	866.0	1279.0	354.0	641.5
MGB033	52888.14	18462.22	30367.03	17715.35	53527.04	8535.78	42809.21	49361.67	12822.09	41367.03	143000.52	26398.85	59035.42	45759.37	38270.38	19371.1	35263.64	51943.88	41864.57	10579.41	60647.74	11973.01	12456.62	65184.08	47579.98	25483.33	11037.03	62116.54	19998.09	77212.41	76269.55	59148.51	72810.32	67844.05	80675.61	10108.84	96515.04	17096.07	78287.27	44373.38	6195.27	60661.2	69145.45	56712.21	56653.52	39459.92	123581.12	65910.58	99805.11	149826.45	43157.94	58893.39	62814.33	51112.02	13607.41	30501.74	31276.35	53776.09	46823.73	63706.36	10480.6	100755.75	8171.72	10313.68	11804.16	6492.2	47136.32	32085.35	56075.6	29272.94	50202.89	49902.47	64186.29	70628.73	60052.19	39058.27	47475.24	52684.79	51968.48	76503.21	55341.49	75798.92	70293.74	41854.65	61904.66	65235.28	10499.39	29315.45	59155.88	40204.91	169081.4	46922.82	75020.43	46784.77
MGB055	70256.91	16277.880000000001	20799.795000000002	23592.275	61176.66	9763.92	45800.715000000004	64335.96	15272.385	54511.295	180037.48500000002	31138.265	74933.58	50934.88	33090.520000000004	21816.53	29302.71	69463.25	54551.395000000004	11732.235	84557.535	9842.39	15286.435000000001	68876.375	62666.274999999994	34643.235	6169.25	77885.18000000001	22456.63	98637.19	92455.0	84022.37	102992.625	95427.63	92965.81	9438.255000000001	134434.835	15249.24	101651.26499999998	54613.075000000004	3508.255	83648.0	97170.755	74532.88	79301.775	51055.255	161629.52500000002	83634.5	102012.51999999999	203016.5	41790.435	70967.495	83651.245	64443.97	9031.365	22100.754999999997	20073.25	70342.385	61740.134999999995	83191.79999999999	11886.395	18371.12	9840.445	11706.135	10041.985	4429.295	58671.155	27419.100000000002	68674.79999999999	36475.95	57498.545	24908.885000000002	27527.100000000002	86042.99	83292.975	47137.195	55996.44	59176.835	70592.32500000001	97893.795	54423.615000000005	104334.27500000001	83608.565	56372.88	43399.015	19501.22	5836.585	35662.18	33311.365	29397.86	231101.505	20396.475	101888.455	62280.354999999996
MGB034	50153.52	13882.51	12036.0	16315.01	18907.38	7221.6	29277.055	37708.785	11357.07	24629.85	163105.72999999998	13201.5	64016.665	15667.0	30809.79	1013.0	29305.985	30115.215	42668.774999999994	8826.67	57579.880000000005	8727.67	10645.470000000001	42943.54	53578.485	22558.379999999997	8619.779999999999	37225.395000000004	16747.89	73136.395	60816.0	72976.555	91542.86	80284.925	61198.925	6599.0	86034.0	15105.994999999999	43120.0	38034.39	2533.335	73340.95	68830.9	56549.66	59431.42	23111.42	112228.785	40776.415	58309.05	45698.0	30927.005	32269.945	41736.19	35577.485	4914.33	15454.67	16674.25	43566.65	42736.58	57252.854999999996	5741.7	11866.33	5060.22	5707.55	8655.35	3059.67	36872.92	7490.0	49728.36	17491.75	39426.085	30387.33	46962.0	23019.4	47031.7	27993.42	36070.32	47096.905	46344.975	84209.355	31592.75	55875.16	63720.95	31396.98	18774.3	7455.38	5524.075000000001	27036.71	38334.33	33520.955	151482.725	32798.0	64525.74	34410.65
MGB056	0.0	51.0	51.0	0.0	46.0	0.0	96.0	207.0	0.0	140.0	0.0	46.0	0.0	13.0	74.0	0.0	57.0	943.0	0.0	0.0	0.0	0.0	0.0	556.0	0.0	0.0	34.0	359.0	0.0	3303.0	1530.0	0.0	0.0	1.0	51.0	3.0	33.0	41.0	13.0	0.0	313.0	16.0	0.0	3.0	0.0	1252.0	0.0	1861.0	2.0	5394.0	19.0	0.0	0.0	0.0	1736.0	6461.0	1555.0	352.0	108.0	23.0	8.0	8467.0	3.0	3.0	0.0	3.0	10.0	2.0	0.0	18.0	0.0	105.0	31.0	0.0	50.0	0.0	3.0	7.0	0.0	4.0	16.0	0.0	95.0	0.0	21.0	4.0	0.0	0.0	709.0	53.0	0.0	72.0	4.0	161.0
MGB035	27664.27	12664.535	23132.015	9060.220000000001	34989.91499999999	4356.8550000000005	29710.004999999997	25541.035000000003	6520.545	21379.809999999998	80164.74500000001	14376.175	32419.07	31169.555	20363.265000000003	15970.505000000001	18880.82	28230.364999999998	21799.54	5715.535	30368.965	6525.835	6311.31	34726.165	24370.585	12864.619999999999	6554.044999999999	32525.145	10232.215	46445.825000000004	46303.2	30625.98	37457.685000000005	35170.200000000004	54005.93	5507.25	50770.590000000004	9130.41	45657.965000000004	24613.565	7124.235000000001	31626.800000000003	35977.549999999996	30095.055000000004	28574.055	22440.835	62702.740000000005	36140.165	52266.815	83884.79999999999	27130.665	27656.72	31757.96	25989.379999999997	9932.285	27657.77	19221.15	28417.75	24216.039999999997	33041.305	5986.21	69088.5	4618.11	6210.01	5935.08	3460.43	25774.13	24025.08	30388.495	19840.565000000002	25554.43	27989.875	34413.99	36644.84500000001	30697.839999999997	19612.23	25264.570000000003	33473.545	27083.385000000002	41352.079999999994	38605.415	38536.48500000001	41236.255	21685.429999999997	37223.854999999996	39468.19	5310.365	14797.77	35687.409999999996	22367.375	87980.64499999999	26229.16	38729.31	24672.335000000003
