id	KO	Vil1.01B.FP11	Vil1.03B.DTT35	Vil1.03B.FP35	Vil1.01B.DTT11	Lyz2.07B.FP283.S81	Itg.24.DTT531.S26	Vil1.10B.FP116	Itg.04.DTT423.S15	Lyz2.06B.FP271.S69	Vil1.05B.FP59	Vil1.08B.FP92	Vil1.02B.DTT23	Itg.20.FP507.S10	Lyz2.06B.DTT271.S113	Vil1.04B.FP47	Lyz2.02B.DTT223.S63	Lyz2.05B.FP259.S56	Itg.22.DTT519.S14	Lyz2.04B.DTT247.S88	Vil1.09B.FP104	Vil1.13B.FP152	Itg.26.DTT543.S39	Vil1.14B.FP164	Itg.24.FP531.S34	Vil1.010B.DTT119	Vil1.05B.DTT59	Vil1.07B.FP83	Itg.26.FP543.S47	Vil1.08B.DTT95	Itg.18.DTT495.S90	Itg.12.FP471.S73	Itg.20.DTT507.S2	Itg.12.DTT471.S65	Lyz2.03B.DTT235.S75	Itg.10.DTT459.S53	Itg.08.DTT447.S40	Vil1.09B.DTT107	Vil1.014B.DTT167	Lyz2.08B.DTT295.S137	Itg.06.DTT435.S28	Vil1.06B.DTT71	Itg.04.FP423.S23	Lyz2.04B.FP247.S44	Lyz2.01B.FP211.S59	Vil1.06B.FP71	Vil1.07B.DTT83	Lyz2.01B.DTT211.S51	Lyz2.08B.FP295.S93	Lyz2.03B.FP235.S83	Lyz2.07B.DTT283.S125	Itg.10.FP459.S61	Itg.02.DTT411.S3	Itg.16.FP483.S86	Lyz2.02B.FP223.S71	Itg.02.FP411.S11	Itg.06.FP435.S36	Vil1.02B.FP23	Itg.22.FP519.S22	Lyz2.05B.DTT259.S100	Vil1.04B.DTT47	Itg.08.FP447.S48	Vil1.013B.DTT155	Itg.18.FP495.S98	LYZFP307	LYZFP331	SLCFP131	SLCFP023	SLCdtt005	LYZFP355	LYZFP319	SLCFP005	SLCFP053	SLCFP095	SLCdtt095	SLCFP077	LYZdtt367	LYZdtt319	SLCFP113	SLCFP071	SLCdtt113	LYZdtt355	LYZdtt343	LYZFP343	SLCdtt077	LYZdtt307	LYZdtt331	SLCdtt053	SLCdtt167	SLCdtt149	SLCFP167	SLCFP149
K00001	K00001	84010.17	7797.78	94322.44	45876.21	25277.5	19548.73	19740.73	144747.07	16989.26	169255.28	22143.09	20324.16	55890.54	18239.7	31369.17	78037.54	7025.75	24256.05	45436.95	14783.19	49721.9	13261.03	16655.98	43203.5	10535.23	1134	46435.38	35413.44	1598.37	14900.63	30604.5	23252.59	20367.62	79474.07	48729.87	30079.96	6522.87	5991.35	12965.1	103675.6	252	230487.75	32113.18	240860.75	34916.76	724.75	44244.1	40759.29	202570.25	4959.74	67116.75	28912.29	29757	224794	45313.29	79769.5	41729.33	57408.82	10744.26	5936	32088.25	16006.18	20667.29	76797.08	21288.94	25777.08	6337.25	16061.17	50260.66	106782.25	29756.33	14586.28	48850.08	33916.43	57031.75	48169.81	33401.02	3067	36789.08	16731.33	91455.86	24840.38	170347.89	86645.73	134372.21	19413.9	26532.53	217505.78	208973.19	37921.57	45783.87
K00003	K00003	58619.58	6491.99	81529.08	23908.59	24077.5	35922.42	34179.65	88898.57	21421.83	100189.25	58183.99	17503.93	75730.5	16954	40844.58	38062.83	10082.08	20021.59	37528.08	39890.65	18594.42	30168.01	38948.02	71765.25	8237.42	601	42295.33	43935.4	869.33	20681.5	41753	18453.66	16639.17	44264.99	36188.92	28268.83	4433.58	13599.25	7361.42	58575.91	150	132585	30252.33	124997.58	56389.23	368.75	24873.67	27924.83	121057.09	4265.33	70309.07	23164.58	46898.83	119543.16	86416.83	58255.34	45169.75	54865.33	12325.16	4501.75	37070.92	8897.17	32317.75	71585.67	142779.33	20820.58	10348.33	17955.67	45365.83	146287.5	32896.91	19258.91	39834.33	22345.25	30826.75	26131.84	27524.33	5348.25	27761.92	16707.41	47788.17	16454.33	117155.57	45687.51	101975.16	28039.34	15304.59	134902.5	125189.18	37687.33	53995.42
K00004	K00004	218	179	1498	427	38	274	966	4076	73	764	25	15	229	58	62	9	12	164	19	826	0	65	9	1046	29	0	117	122	0	35	122	44	36	12	104	116	22	304	23	287	0	2244	47	28	125	0	0	73	39	0	452	26	72	43	130	543	32	576	14	17	186	31	23	729	2035	39	115	47	78	1544	97	12	36	13	4	215	241	34	10	5	1482	124	4355	12	401	896	0	110	606	141	91
K00005	K00005	8131.66	1378.49	20346.25	1151.17	3500.5	19661.84	5019.82	13133.15	8551.25	9382.75	15561.66	2684.51	20874.5	4619.75	8113.16	355.08	3423.08	6059.17	8543.25	5078.57	6119.25	4302.34	9591.1	37240.5	7848.75	2277.25	6724.66	10746.65	4449.5	7919.5	9362	3363.66	3154.42	3396.66	4914.92	6467.16	5364.08	9534.5	700.5	3902.49	3140	15034.5	8417.58	1410.83	11673.15	1811	3286.25	4013.83	12170.09	1180.75	18547.32	7052.58	7566.08	2443.91	27320.83	9878.59	11599.67	19587.33	3092.08	1092	9467.67	1424	10945.5	26291.09	2665.67	3758	1345.83	3964.75	390.75	89754.67	6143.58	5991.33	14221	4947.17	731	5431.26	10334.25	1561	4317.34	2641.83	1935.25	771.16	5648.41	1658.43	30248.25	1979.76	2944.92	15915	21319.01	11854.5	8679.09
K00008	K00008	43111.83	2081.84	15901.58	3860.09	25619.75	1568.57	14465.8	7944.22	11490.83	6946.12	70531.39	7854.38	137514.5	4589.95	28271.08	1769.58	2906.58	1406.29	11843.38	21956.9	29472.97	51206.51	20404.62	3081.5	6241.87	2278.5	28145.33	12272.95	4571.33	8546.95	8065	12879.11	2224.72	2998.07	1323.97	5357.5	5317.38	2737.85	2774.17	9124.91	3162	452.25	2044.83	1843.83	49078.21	1817	8088.92	15297.33	7042.59	3716.11	3405.82	822.33	37178.58	7578.66	8710.83	45844.84	23123	5063.33	2863.66	2028.75	3268.67	2137.57	952	61171.17	1003.06	27784.33	1777.33	3454.92	389.48	23951.85	2234.16	30010.86	1329.83	268.1	1057	14299.52	3252.11	5930	13701.17	4580.16	755.24	1834.08	1980.75	2395.41	47404.44	2721.34	4310.99	10990.35	45787.5	1915.53	72000.92
K00009	K00009	36814.25	3963.45	51288.3	22618.8	11708.25	13765.2	5424.75	87739.5	8688.75	85691.37	8765.75	8948.5	28740.45	7942.95	27312.1	36439.6	1802.75	23309.25	19536.3	3905.75	37341	6033.15	15739	45926.75	11215	2748.4	17344	22624.3	5181.5	12514.75	25855.6	12951	10080.5	36185.08	27671.55	15400.67	8333.25	7341.25	5796.25	50366.3	3266	167711.05	10345.65	119972.5	12547.03	2153	24271.15	18928.5	90054.35	2450.88	54360.4	27842.65	12421.5	110790.45	75563.8	36411.5	18053.7	72350.8	2220.25	5146.6	24005.8	23924.25	55896.75	29027	7658.33	18681.65	2041.2	9763.7	22316.6	47371.05	37469.7	18117.35	80493.6	26876.4	27578.35	13397.73	16178.88	1428.2	27161.8	7853.9	46758.07	25117.05	80014.78	42244.3	65515.73	4646.25	19094.15	99720.2	112999.37	20507.75	16514.2
K00010	K00010	4288.5	504.85	6954.75	425.5	3257.5	135.4	1710.15	754.9	1170.5	366.95	6779.65	1135.2	13679.25	470.2	1811.5	149.75	179	164.2	1677.55	2044.5	13446.3	272.75	1245.1	53.25	34.95	0	1900.5	1309.8	13	637.2	624.5	1634.2	148.55	408.75	174.3	341.75	39.3	338.6	122.25	1063.75	0	55.25	264.5	175	1210.4	0	237	527	1086.5	546.7	745.5	100	719.25	674	1043	3344.25	2129.5	897.5	188.25	95	132.5	201.9	170.75	3454.5	91.9	3685.25	106	1170.75	20.65	956.35	180.75	4306.95	32	27.6	116.25	1288.1	138.45	62	1786.5	44.5	138.9	162	216.85	347.15	2350.45	363	458.4	572.1	4021.65	94.45	5557.75
K00012	K00012	90344.75	8530.05	94379.03	45854.7	30892.25	18666.31	40192.8	162989.81	20677.5	176373.74	60287.83	21863.19	84557.7	20013.16	51760.33	78200.8	7065.99	35228.51	43415.01	39894.09	122955.03	13662.86	47819.26	57024.75	16644.67	3343.5	51336.95	45717.32	6011.37	24636.07	39985.32	28085.78	18888.33	76271.73	46132.6	31190.04	12307.25	11498.19	13279.68	106715.34	3403.5	282711.5	21652.76	241557.74	57572.89	2518.75	48103.1	43695.96	186896.67	7052.43	79018.22	45030.86	47315.73	226761.83	141318.94	87685.59	45949.5	98919.39	10551.6	7671.49	36713.75	33539.33	65436.36	83231.68	134565.77	38784.58	5649.08	13654.59	49965.56	107844.6	42551.58	33308.81	105232.25	43974.2	55489.25	51924.09	33832.73	4740	48696.92	13231.66	90359.02	24990.47	165795.24	87227.38	145050.09	30715.91	36180.35	214779.71	226294.34	44261.02	51778.78
K00013	K00013	21673.08	1915.19	10975.11	3386.21	10629.25	1531.99	25073.47	8393.31	8788.09	14147.62	51048.92	6177.25	38847.87	5455.12	26478.33	6089.79	5900.58	2468.89	7421.62	25269.59	35559.65	21036.7	23827.83	2229.5	6608.31	2193	24717.62	16535.76	4500.37	10899.71	16976.83	6423.83	3798.37	4498.31	2483.96	10970.29	5703.2	2428.68	1976.1	8860.09	3153	3225.75	1205.01	6298.66	43858.07	1839.5	7248.6	7140.12	7787.09	3057.9	9067.48	2358.7	42020.24	9488.41	12548.45	18867.84	20063.75	6809.23	9226.76	2991.83	9319.17	3506.18	12153.12	28349.34	18327.86	13984.33	6913.08	2773.42	27066.16	14962.42	2998.41	11118.86	1369.08	608.35	2087.5	27794.57	2069.27	2906.25	7573.67	3254.41	5666.95	5611.46	33362.38	3883.74	17090.21	15089.16	10378.2	20690.53	33903.45	21776.32	32163.04
K00014	K00014	25815.33	2839.14	17265.91	4761.26	11909.75	3504.69	39044.72	16466.81	12241.34	17817.82	82277.92	8682.75	44251.07	8401.32	28996.68	6694.89	6827.08	3825.89	11188.42	45599.09	36127.15	55476.1	42331.83	6018	7109.56	2199.4	29108.12	25901.56	4528.87	13383.21	19336.93	8727.08	4384.37	5201.56	3535.01	13292.54	6296.7	4014.18	2397.1	10982.39	3186	6794.3	1549.16	7428.66	54230.77	1839.5	10668.5	9362.62	8399.69	4257.7	12185.88	4483.85	45529.74	11286.36	51361.75	21699.59	26023.95	8212.53	10621.76	4367.18	10357.47	3574.43	12389.62	34780.84	136817.36	15352.23	7878.28	3424.62	27505.26	19750.47	3266.86	12478.96	1604.18	767.25	2473.1	33496.22	2951.82	3946.45	8668.47	3666.31	10907.85	20178.26	39052.08	5015.29	22173.61	31457.91	11461.1	26966.98	36934.15	22883.32	33935.74
