id	KO	Itg.10.DTT455.S49	Vil1.01B.FP07	Lyz2.04B.FP243.S92	Vil1.04B.DTT43	Vil1.07B.DTT79	Vil1.06B.FP67	Lyz2.01B.DTT207.S47	Itg.22.FP515.S18	Lyz2.05B.FP255.S52	Lyz2.04B.DTT243.S84	Vil1.04B.FP43	Vil1.09B.FP106	Itg.02.DTT407.S99	Lyz2.08B.DTT291.S133	Itg.24.DTT527.S22	Itg.26.DTT539.S35	Lyz2.08B.FP291.S89	Vil1.06B.DTT67	Vil1.02B.FP19	Itg.26.FP539.S43	Itg.18.FP491.S94	Itg.12.DTT467.S61	Vil1.07B.FP79	Lyz2.02B.DTT219.S59	Itg.24.FP527.S30	Lyz2.07B.FP279.S77	Lyz2.03B.FP231.S79	Itg.18.DTT491.S86	Itg.06.DTT431.S24	Lyz2.05B.DTT255.S96	Itg.08.FP443.S44	Lyz2.07B.DTT279.S121	Vil1.08B.FP94	Vil1.05B.DTT55	Itg.16.FP479.S81	Vil1.05B.FP55	Lyz2.06B.DTT267.S108	Itg.16.DTT479.S73	Itg.12.FP467.S69	Vil1.14B.FP166	Itg.20.DTT503.S98	Itg.22.DTT515.S10	Itg.06.FP431.S32	Lyz2.06B.FP267.S64	Vil1.013B.DTT151	Itg.02.FP407.S7	Itg.04.FP419.S19	Vil1.02B.DTT19	Lyz2.01B.FP207.S55	Itg.08.DTT443.S36	Vil1.13B.FP154	Vil1.03B.FP31	Vil1.010B.DTT115	Vil1.08B.DTT91	Vil1.014B.DTT163	Vil1.09B.DTT103	Itg.10.FP455.S57	Lyz2.03B.DTT231.S71	Itg.20.FP503.S6	Lyz2.02B.FP219.S67	Itg.04.DTT419.S11	Vil1.10B.FP118	LYZdtt351	SLCFP067	SLCdtt019	SLCFP091	LYZFP327	SLCFP073	SLCFP019a	SLCFP049	LYZFP339	LYZFP315	SLCFP127	LYZdtt363	LYZdtt315	LYZFP351	LYZFP303	SLCdtt109	SLCdtt001	LYZdtt303	SLCFP001	SLCFP109	LYZdtt339	LYZdtt327	SLCdtt067	SLCdtt163	SLCdtt145	SLCFP163	SLCFP145
K00001	K00001	39889.16	43195.88	89021.74	7231.97	259.46	20790.61	12585.32	15386.04	9508.08	56342.44	26540.68	50826.36	10304.92	33197.71	9677.94	9146.33	39932.89	39.49	42811.45	13825.84	16041.1	31587.19	22038.33	19589.18	7871.39	5545.23	106862.73	20408.85	78020.34	6204.52	21694.14	9544.33	114467.78	412.6	22322.96	22648.32	8234.64	32372.89	19243.94	16296.08	55665.35	32682.19	25098.96	12394.2	10032.97	6188.91	10092.89	9392.45	21747.6	10894.48	47826.89	25523.04	2115.17	2171.9	12889.06	3068.41	70983.62	39520.65	43143.66	22211.2	15532.33	72503.89	235340.43	12679.17	12192.93	10314.65	65029.04	41765.23	6228.53	8090.65	51960.01	103555.06	19676.85	16750.7	35840.31	24065.46	387659.54	23967	4600.76	45837.71	12411.53	6930.68	12246.84	64595.65	26001.13	78896.93	84000.04	16080.73	40755.28
K00003	K00003	40859.33	24665.92	63922.75	10255.82	222.42	24071.67	21378.25	14944.68	19411.07	50052.82	26201.41	68343.92	18315.85	26119.16	24537.66	14254.67	23763	127.67	37017.25	15591	23451.32	32358.58	18868.67	30440.75	18420.16	5979.91	63356.93	26384.25	44170.16	12179.08	22159.59	15125.91	84474.17	273.17	21984.91	36595.91	26829.26	112065.82	26727.5	33967.09	38832	26768.42	19732.4	25589.25	7393.33	10436.09	21202.41	9840.33	22967.24	11231.26	27237.5	26936.17	2274.33	1211.33	16362.49	5141.58	57357.24	33535	33818.25	31630.92	17874.01	74988.09	146095.07	10658.66	9094.92	16072	71791.17	24011.42	12593.08	13010.92	51521.99	101319.08	11695.51	59259.24	44545.09	44184.32	220429.99	27268.08	4167.93	390212.42	13577.66	12884.51	14068	49439.83	18531.84	84489.92	79355.26	19908.5	26689.42
K00004	K00004	105	27	35	104	0	63	22	61	15	31	622	172	27	182	42	31	86	0	13	49	46	127	33	22	60	18	22	52	40	8	269	29	1002	0	190	114	49	103	99	26	79	56	32	102	6	9	484	0	28	52	57	568	14	0	64	50	144	46	85	38	159	227	233	66	15	736	97	4	181	81	15	139	12	27	36	82	275	167	71	76	365	239	45	113	18	32	46	36	48
K00005	K00005	8693.33	2379.75	12397.75	3458.57	4534	3735.67	6699.92	3390.18	3117.07	10756.24	5715.33	2898.09	5524.43	4962.91	8155.41	3325.84	2045	3776.25	4872.83	3242.75	4764.82	5534.08	1574.84	9308.25	5182.66	1139.91	5655.93	5464	1882.16	2961.33	5678.84	6028.49	6781.5	6347	2050.91	8739.24	11883.76	5083.82	6155.5	11994.92	5738	4527.34	3088.65	7757.75	15433.67	2010.34	7602.66	932.91	5476.99	4663.92	3283.75	3338.67	4747.25	5439	10215.08	5383.66	9423.66	6710.92	6428.5	8487.67	5592.34	6004.59	9296.49	1192.49	627.09	6063	3791.59	2313.34	2394.5	5392.17	6114.41	37886	1207.01	22961.07	32257.09	8847.49	18729.91	4103.58	877.01	1139907.08	3328.08	2983.18	3217.33	3085.66	2384.42	18348.5	10105.43	7576.17	1666.58
K00008	K00008	23412.28	7712.52	8527.95	10947.47	4625.92	17393.57	22995.7	4507.58	6039.72	21526.95	19108.49	2736.77	11800.1	9291.49	26366.31	7240.17	5413.1	3883.67	8859.1	4153.95	9970.92	17068.73	5869.9	33628.75	11015.66	5175.21	6699.73	15090.6	5105.71	6346.05	6741.34	13621.11	45057.17	6438.17	5882.91	28711.33	24694.01	8891.82	17606.3	1897.14	20207.6	7728.57	12754.75	18047.2	21796.66	3006.64	29031.16	9345.68	18054.59	8329.78	7281.6	9189.57	4843.88	5563.58	15775.37	6002.18	10997.49	11143.23	25156.8	30895.37	17312.31	6492.34	24551.67	7323.66	1863.27	15648.9	8588.77	6219.07	6484.53	20990.07	12422.74	34794.88	5546.11	56673.09	49006.67	27486.77	20093.34	10676.83	2474.88	1414477.59	11601.61	8995.11	11512.22	6661.88	7722.19	47590.97	43038.84	9167.9	11527.09
K00009	K00009	19313.2	15766	34785.25	3851.05	4254.25	6363.4	5555.95	10112.4	2586.25	23484.13	10744.98	27872.75	4973.25	13555.83	5010.05	3675.45	18679.5	3776.25	17393.5	5597.25	10289.2	13651.5	5342.33	8530.5	2918.35	1559.75	47306.65	9637.25	37058.25	1969.67	9682.45	4630.05	55540.25	6521	9861.7	5101.42	2859.2	13739.65	8850.35	61264.25	26589.1	18271.25	10744	4429.25	4847.83	4380	3884.4	4165.45	9330.2	5741.57	176777.75	8065.35	5387.25	6423	6215.18	6283	37513.45	18206.13	19575.65	10324.75	6597.8	36171	114754	4842.8	5583.8	10828.1	21425.7	19054.65	1072.9	1271.4	20647.05	44548.95	9497.95	2965.3	20376.13	8044.25	189617.35	10613.5	2278.4	22858.17	6604	2041.95	6010.97	26190.5	13298.7	36293.05	42098.28	5038.55	20101.67
K00010	K00010	1604.2	992.85	1685.7	532.9	9	1393.4	2080.7	581.9	432.9	2413.05	1500.75	456.85	762	1095	2952.4	680.25	657.1	14.5	1173.1	691.7	837.6	1550.15	1262.4	3781.25	644.75	1039.3	1083.3	1041.85	495.05	481.05	488.25	1320.45	7195.25	16	876.25	2817.5	1644.5	1092.75	1589.05	46.3	2556.6	830.15	1414.6	1411.7	1996	351.8	1568	145.1	2964.6	843.6	237.1	1120.65	48.8	28.5	719.3	156.1	1434.25	942.15	2733.05	4818.45	1014.05	609.25	2838.35	989	174.85	1309.4	4628.1	1037.65	531.7	2358.9	2462.5	3444.05	744.85	4169.6	17733.5	7111.45	3270.85	405.5	448.7	8101	2204.45	1293.35	711.55	1393.3	823.85	13538.05	4140.75	759.15	1740.25
K00012	K00012	49132.68	46683.08	84346.04	12187.85	4545.21	31773.17	24651.27	24921.8	20024.38	63677.81	37059.32	79261.12	21971.66	35830.71	24571.58	15735.67	43027.99	3858.24	53090.46	20033.1	27133.53	41105.84	25981.72	34662.95	18311.56	8464.61	105053.96	29778.1	81466.13	13667.82	26485.8	17994.28	126545.28	6763.1	28996.55	44603.73	26672.3	117496.05	31241.59	80254.63	64782.43	47878.75	30643.07	29351.32	34625.96	15248.06	21451.55	10776.15	32345.51	16435.76	203984.99	35012.6	7596.21	7640.39	22940.8	11501.35	80064.19	43200.31	53551.11	37688.73	22350.57	84267.4	255208.45	16462.67	14243.97	23626.71	97680.29	45407.97	11792.41	18027.06	62810.26	127209.61	22758.79	56491.85	58309.98	52758.92	401248.87	31389.49	5864.97	645046.22	20458.8	16270.96	16422.29	82183.2	31030.82	122230.99	104419.22	22014.62	46309.87
K00013	K00013	17528.07	18915.22	16287.08	8573.62	4229.96	23772.11	17394.74	7859.56	10229.98	20479.26	24710.75	21083.28	10045.01	8631.2	18667.68	8046.67	7078.39	3859.99	17971.28	9370.75	23024.09	20012.27	21952.83	23940.02	11844.22	5839.89	11541.41	21739.93	8620.25	7209.94	15546.56	11539.24	26859.78	6373.6	17025.29	34813.23	20536.73	96344.88	20630.11	5661	16527.68	12760.11	10462.2	17112.95	12231.3	4586.17	16034.3	5009.2	17334	7142.24	5339.64	17586.04	5388.75	5583.48	10727.81	7358.24	18768.28	9098.32	18293.24	24669.95	11182.51	26332.9	34709.09	6691.33	3352.36	11239.48	51187.54	8146.32	12770.45	15336.24	41683.59	42981.31	4879.36	60419.68	30155.73	45151.79	27219.53	9447.58	2385.02	402074.88	11994.11	9836.53	8640.67	25689.98	5616.55	48121.1	31999.3	16728.23	11619.95
K00014	K00014	25639.52	21331.72	20190.58	11243.42	4234.46	27824.01	27560.19	12276.46	20422.23	29409.81	30297.65	45532.28	19119.01	13759.2	29137.98	14082.87	9107.39	3957.24	27583.78	14443.25	27105.79	27855.02	23380.33	35566.02	20630.82	7186.39	14133.81	27398.93	11311	13995.44	18583.26	17755.79	35721.78	6412.1	20440.99	48807.98	36046.93	101412.78	28728.21	15902.25	20845.28	20264.61	13557.7	30755.2	12901.8	10557.17	22886.2	11695.4	24812.2	10786.14	6013.39	26272.14	6169.25	5680.23	15683.91	10110.99	25401.48	14162.87	22873.14	35867.45	16016.06	38152.65	50009.59	8310.13	4601.91	15289.08	76116.74	11036.22	15917.85	19704.14	48631.89	59315.26	5757.06	96912.98	55346.53	60983.04	37173.88	17687.58	3348.92	436077.13	14896.61	16454.73	15698.47	38805.73	8123.75	69575.4	48337	21448.03	13689.95
