#OTU ID,Lyz2.04B.FP244.S41,Vil1.05B.FP57,Itg.02.FP409.S9,Vil1.01B.FP07,Lyz2.04B.FP243.S92,Lyz2.04B.FP245.S42,Vil1.01B.FP08,Vil1.14B.FP167,Vil1.06B.FP67,Lyz2.01B.FP208.S56,Vil1.09B.FP108,Itg.22.FP515.S18,Lyz2.05B.FP255.S52,Itg.24.FP528.S31,Vil1.04B.FP43,Vil1.08B.FP95,Vil1.09B.FP106,Vil1.10B.FP120,Vil1.03B.FP32,Vil1.08B.FP96,Itg.26.FP540.S44,Vil1.06B.FP68,Lyz2.08B.FP291.S89,Vil1.01B.FP09,Vil1.06B.FP69,Vil1.02B.FP19,Itg.26.FP539.S43,Itg.18.FP491.S94,Itg.16.FP481.S84,Vil1.03B.FP33,Itg.08.FP445.S46,Itg.24.FP529.S32,Lyz2.08B.FP292.S90,Vil1.10B.FP119,Vil1.04B.FP44,Itg.20.FP504.S7,Vil1.07B.FP79,Itg.24.FP527.S30,Lyz2.07B.FP279.S77,Lyz2.06B.FP269.S67,Lyz2.03B.FP231.S79,Lyz2.07B.FP281.S79,Vil1.09B.FP107,Itg.08.FP443.S44,Vil1.04B.FP45,Lyz2.05B.FP256.S53,Itg.12.FP469.S71,Itg.06.FP433.S34,Lyz2.02B.FP220.S68,Lyz2.05B.FP257.S54,Vil1.08B.FP94,Itg.02.FP408.S8,Vil1.02B.FP21,Itg.16.FP479.S81,Vil1.05B.FP55,Itg.22.FP516.S19,Itg.04.FP420.S20,Itg.10.FP456.S58,Vil1.13B.FP156,Itg.18.FP492.S95,Itg.12.FP468.S70,Itg.12.FP467.S69,Itg.20.FP505.S8,Vil1.14B.FP166,Itg.22.FP517.S20,Lyz2.06B.FP268.S65,Lyz2.03B.FP233.S81,Lyz2.02B.FP221.S69,Vil1.07B.FP81,Itg.06.FP431.S32,Lyz2.06B.FP267.S64,Itg.02.FP407.S7,Itg.04.FP419.S19,Lyz2.01B.FP207.S55,Vil1.13B.FP155,Itg.08.FP444.S45,Vil1.13B.FP154,Vil1.14B.FP168,Vil1.03B.FP31,Lyz2.03B.FP232.S80,Itg.18.FP493.S96,Itg.10.FP457.S59,Itg.06.FP432.S33,Lyz2.01B.FP209.S57,Lyz2.07B.FP280.S78,Itg.16.FP480.S83,Vil1.07B.FP80,Itg.10.FP455.S57,Vil1.05B.FP56,Vil1.02B.FP20,Itg.04.FP421.S21,Itg.26.FP541.S45,Lyz2.08B.FP293.S91,Itg.20.FP503.S6,Lyz2.02B.FP219.S67,Vil1.10B.FP118,SLCFP021,SLCFP069,SLCFP111,LYZFP304,SLCFP067,SLCFP051,LYZFP328,LYZFP317,SLCFP093,SLCFP091,LYZFP327,SLCFP073,SLCFP128,SLCFP092,SLCFP002,SLCFP019a,LYZFP316,SLCFP075,SLCFP049,LYZFP339,LYZFP315,SLCFP050,LYZFP352,LYZFP305,SLCFP127,LYZFP340,SLCFP129,LYZFP351,SLCFP074,LYZFP303,SLCFP003,SLCFP068,SLCFP001,SLCFP110,LYZFP353,SLCFP109,SLCFP020,LYZFP329,LYZFP341,SLCFP164,SLCFP163,SLCFP145,SLCFP165,SLCFP146,SLCFP147
1CMET2-PWY,18755.2501,42490.6601,19030.439,27723.373,36485.7668,15315.0245,21893.3255,7907.8166,27209.9823,41087.2966,52443.1742,15691.8108,16647.5819,26743.0554,31934.1317,44941.5414,40334.7122,33994.5873,31076.4714,73712.0858,29244.5445,29843.4005,15430.7461,35048.2227,38720.2088,32635.0913,16620.6799,31900.7516,36053.7815,43048.8281,27377.6467,28729.1393,15883.0317,53237.2973,26634.8422,37187.9479,23676.3288,17519.7952,7202.7467,17521.2544,28968.7802,14558.7644,54191.0774,25738.5649,30524.6529,7860.8163,37177.7835,26149.8909,41620.2782,15503.8101,52232.5801,15254.744,36528.9532,23423.1923,41640.1107,39116.2596,12216.2874,24522.186,6919.1264,42309.3934,29768.8052,30534.6799,38268.0369,14978.5077,34991.1311,20576.9145,39776.0879,34747.0111,31892.9951,17100.066,25045.336,9403.0462,18163.2943,22803.7502,9890.1221,22471.2779,16602.7799,10908.0829,25441.4658,30920.5834,28869.3908,32767.2336,26100.4787,28209.5807,10541.3207,39267.8208,24745.7015,41354.87,33493.6699,28784.9651,19382.1445,27145.5866,20789.6412,31258.4935,29545.6559,49984.2559,13419.52,7991.8725,13656.7149,69970.2928,10441.8595,17547.7734,38558.8701,51358.5411,18982.9352,19105.1121,75870.468,17582.6916,15567.0369,26132.1169,14247.1857,14511.2624,81068.1836,9988.1617,16476.401,54447.3888,80260.1134,12001.9965,32387.9025,45171.7064,9345.4355,37859.0099,8692.4359,50502.1046,16632.9861,78026.9351,19580.3151,9585.7969,17718.9291,7649.8858,26419.0682,14173.3319,15341.95,65177.7879,39962.1423,22664.4958,23427.1799,22685.2572,20340.6705,35162.0937,20218.2114
ALL-CHORISMATE-PWY,0,53.2197,0,29.7412,15.7134,10.5682,91.6232,346.41,43.0302,8.8868,54.1704,0,0,0,0,121.7904,0,41.0863,50.3926,310.8878,20.8799,23.4791,33.2467,27.8997,36.5781,57.191,15.7915,36.9474,0,70.7689,20.193,0,24.6176,50.7628,0,32.5144,56.0214,13.2909,7.1685,15.4238,18.5075,11.0739,25.256,22.7946,42.2625,7.9697,45.0097,20.7184,16.6423,0,42.0956,0,49.5083,19.1928,126.6834,0,0,0,101.9369,0,0,0,0,82.0628,0,18.848,10.0033,8.9382,54.606,0,14.961,6.9179,0,0,180.504,0,156.0314,311.8756,73.7595,11.4297,0,31.1782,0,9.6606,0,45.1357,37.2555,0,42.0268,36.3211,0,19.4022,33.8392,0,0,57.5384,67.1685,0,100.1594,560.9637,0,163.0058,484.0728,767.302,217.6524,0,817.381,0,0,168.5726,110.9999,0,692.7081,0,335.6079,421.8979,665.8404,162.3232,249.5511,550.798,0,207.4595,0,597.1953,0,575.5405,0,0,307.3138,0,203.7758,0,0,798.1178,284.377,24.5228,15.905,29.8983,30.255,170.5526,1756.648
ANAEROFRUCAT-PWY,24724.0332,41901.8931,25046.6976,33721.3013,51876.2782,19849.9312,26138.2966,43306.18,31438.1064,48126.8061,72513.9415,22497.6254,22930.1732,37451.5571,37251.2134,75198.2697,65929.7243,43685.6734,38198.0881,92665.6992,36425.7874,31928.3447,18538.7949,42264.9312,38946.6108,48492.0283,22842.2485,34223.5405,41361.9017,52660.6418,32526.1746,36485.8079,18376.6513,81092.5162,31423.5043,47620.2597,26478.4452,21937.37,8029.1761,18032.3984,41028.903,15966.5907,59161.744,30659.9121,34662.9777,8878.3861,43713.7886,32874.6279,52066.2044,16226.8012,70289.3842,22523.0884,46433.0756,26108.5192,47835.6948,49039.8617,17268.1198,31191.1528,15793.2857,45991.2755,34761.7559,36850.8463,47827.3435,52138.5253,41835.5587,22873.0411,54173.2447,44653.7197,36919.342,21323.6422,29142.0431,15086.3537,21001.5418,27247.8103,9733.2175,26232.466,18552.3069,35920.89,34881.3336,43455.2379,33705.4424,40192.9555,32905.0179,31686.6911,12038.0401,44122.8488,28567.0792,55378.9318,32202.6604,38030.9951,24706.0388,35172.3598,24018.1436,40768.0177,35468.3211,56037.8357,16840.2731,10250.5313,15044.2625,82220.7074,12187.4308,16375.6313,41473.1537,175327.0672,25404.2067,25012.702,92571.2741,21753.2256,19130.5661,35019.803,17737.976,16259.0043,98185.3128,11600.9775,17863.8052,54135.193,102289.8984,13700.2897,34465.8339,184983.8857,12191.0234,39906.3136,10288.7475,52711.1359,19991.448,99491.5573,23687.7958,11909.3115,22161.2355,7225.7332,26199.9648,18698.0179,18372.5616,61759.8172,44533.5081,32051.4509,30057.4684,30482.704,28456.3396,46440.9123,25041.0328
ANAGLYCOLYSIS-PWY,29595.7731,56165.7607,27984.9711,39539.9597,83529.773,22711.2534,29180.8578,61837.0693,35855.8433,56039.822,88635.8646,27147.8653,24960.229,41481.535,41996.9574,142922.8458,79841.5844,53683.0108,42388.7099,103530.863,41060.7201,39738.5353,29181.9681,46722.2695,52059.975,56203.0253,26240.0828,43533.5099,47605.6361,59786.8354,37515.5873,40637.1331,23413.015,103905.1423,35299.2885,53203.0618,31389.8732,24573.7314,9200.8566,23691.721,77681.6993,18983.7802,88012.3008,39533.4145,39275.5651,10586.8351,50677.5727,40869.4429,65092.878,21003.6853,97371.0532,24262.167,50472.9282,33101.1584,54756.724,54874.5368,22399.7755,43770.2321,44844.7676,58146.61,40237.5133,42693.8338,52776.4317,101903.9648,46721.7012,27862.2188,79533.7077,55674.5008,42004.3431,25852.0905,33862.1993,16056.1406,24972.867,31092.9378,56384.541,31872.1609,207976.0907,50874.7623,37460.5113,77402.1063,38197.9738,48875.8532,44233.9879,37954.7207,14477.0729,51632.9709,33428.2252,86660.7769,44514.2747,41398.5853,27987.8421,39177.5938,28016.4018,49486.7022,40221.6618,89223.7628,18590.056,11364.1716,18630.3222,98955.6149,16009.6059,22953.3493,50856.9195,189044.1512,30972.5206,29579.3865,104768.0556,31682.7079,21765.9816,47940.5816,20127.1027,19074.0282,122866.4315,13590.399,21055.6608,72965.7379,134873.9331,15465.2692,42301.6629,342442.347,16564.3637,49635.1617,11408.8966,64967.6693,24690.6404,249754.3789,26520.1952,14473.3134,25847.8783,10225.6142,34673.3321,20513.8592,20879.7318,85429.9691,52724.69,33506.7287,32460.9597,42115.0777,29719.7769,54120.324,27349.0492
ARG+POLYAMINE-SYN,1495.6074,7638.8649,2790.0682,2012.6062,1875.7089,1500.4218,2308.6483,382.1436,4290.7515,7788.9946,427.2887,1245.5095,1144.119,3604.5246,4754.6897,866.004,848.6142,1848.3253,5523.1477,4537.2661,4024.1726,6752.3169,1729.3145,3861.885,8186.3086,1926.1653,1813.8839,2457.3355,4192.8993,9012.3856,4548.9515,4142.1016,2076.6522,2064.4153,4221.7552,4736.6427,2497.7731,2222.7019,951.2651,2191.2456,1683.1898,1675.6296,1425.8287,2995.9775,5145.3512,868.8927,4711.8248,3102.5253,5810.3327,1564.3967,1693.423,2042.0583,4036.065,2643.8765,6495.8825,4505.9263,2068.2426,2871.8691,221.8288,3608.5606,4131.7894,3780.815,4915.2808,362.7518,4178.9582,2781.5263,2189.6336,3922.0232,4096.7218,1747.0104,2961.0588,1150.3418,3923.5323,3300.2394,274.137,2902.5559,1594.8923,496.0387,3606.3511,1850.9184,3227.0959,4620.6044,2161.6184,5297.9033,1228.3381,5249.8495,2221.4495,3691.2673,6585.3725,2491.913,3552.8206,3217.4628,3286.0988,3236.6653,4857.9417,1885.9629,2639.4725,941.5449,2474.3363,8727.2517,962.3578,3140.8756,4715.2839,2270.7392,3918.0239,4590.7728,2573.4591,797.3015,2025.6108,4672.9776,2784.5581,2169.0411,6875.0403,709.9802,2451.8631,4185.5605,6714.0828,2083.5068,6310.7515,3863.8223,760.4219,4347.925,1168.5176,7730.7574,845.4062,5820.1595,3865.8555,926.189,3407.7031,1463.0628,5176.4119,2630.3188,2908.907,8643.7454,5030.3656,3017.5612,2920.7217,2334.6725,2232.0452,4167.8592,3608.8152
ARGDEG-PWY,0,14.4635,0,5.2413,5.2477,3.4974,24.8606,116.7869,6.9575,2.9152,8.1561,0,0,0,0,17.4679,0,5.8295,6.9893,43.6493,3.4987,4.6227,5.8024,5.2435,4.6338,9.326,2.9152,3.4986,0,9.8985,2.9157,0,2.3289,6.9952,0,4.0819,6.9597,2.3321,1.744,2.3313,5.2469,2.3091,3.4983,3.4986,5.8285,1.7459,4.0818,3.4949,2.9146,0,5.8298,0,8.7429,2.9152,18.5637,0,0,0,26.1108,0,0,0,0,25.3521,0,2.9145,4.0823,2.9142,6.9788,0,2.3324,2.3316,0,0,41.5839,0,48.6451,88.0777,8.1529,4.6644,0,2.916,0,3.4973,0,4.0814,3.4906,0,10.9651,3.4988,0,3.4987,5.2381,0,0,8.1578,11.0373,0,17.3509,227.5067,0,30.4412,176.5182,185.4198,44.0434,0,357.1261,0,0,37.7459,29.5679,0,261.261,0,83.2084,185.5895,252.9693,30.5545,62.8252,227.0398,0,89.0998,0,208.2924,0,228.5303,0,0,84.7252,0,67.9623,0,0,294.0775,121.7429,5.829,3.4984,4.0814,6.9924,36.0442,790.9526
ARGORNPROST-PWY,2705.4777,5973.7334,2440.0106,1335.1939,2962.3408,3073.513,1695.0114,683.3867,3403.1148,4366.5949,895.3304,1724.7699,1577.2499,3697.7254,3318.0403,7615.6291,1622.5503,2578.5797,5127.9563,11070.9902,3517.9617,5491.3873,999.4302,3711.8424,7056.4673,2726.0705,1260.2131,2815.6505,3259.046,8231.332,5014.8476,5123.9824,1284.2404,4788.4814,3048.5263,7911.5959,1190.2044,2840.2899,563.879,2038.2895,2164.4985,1278.3199,1878.8889,3348.4616,3808.388,966.548,5637.595,2588.6588,3605.0938,1848.2051,4935.2857,1363.0594,5875.5102,1739.9447,5070.6459,5669.9832,1367.5216,3466.6833,258.4395,4019.4835,4412.4089,4002.9405,8809.4142,541.3704,5856.9506,2477.8262,5519.5407,2668.7563,3175.585,1427.9868,3119.3718,812.332,2568.0663,1847.3897,293.5855,2825.357,240.7183,818.8365,3747.4482,2534.0599,3650.0409,5106.9834,1554.1847,2740.5061,824.4185,3461.512,1519.2123,4419.4884,4853.7503,3682.169,2610.3362,3740.5748,2550.5973,5929.7486,3057.0423,3030.9763,1555.4502,1334.9079,1751.3146,7502.9494,1257.4228,2709.6031,3276.5363,13084.9845,5895.1421,5419.2264,2843.7688,606.0231,1728.2605,7235.9621,2329.275,1261.0719,11743.8727,632.8654,1952.7606,2316.8592,11285.7097,1863.1995,2759.4614,7801.9852,784.4785,2293.6887,940.4052,4230.0849,759.5634,5381.813,2996.9693,1329.8415,3034.7747,848.1294,2758.3107,1724.0031,1754.7248,7975.6623,3109.1711,3164.4644,3695.1975,1799.8834,3907.81,3022.865,1890.0485
ARGSYN-PWY,15426.3588,43366.5214,14729.9576,19032.5298,24696.8789,12983.6798,17240.9812,9166.4495,24086.907,39054.2198,47359.3527,10263.9651,14172.6859,20842.0931,25737.1688,33813.4981,37473.6066,29072.7863,29896.2952,64209.8334,22636.8023,30806.4644,8945.0146,30939.9459,41455.4966,23256.6953,10868.1763,24630.6304,32382.6151,42599.966,22432.7863,23986.177,11845.4822,49968.3515,22631.2826,30782.9766,20329.6768,14431.9218,5600.1432,15547.295,16482.0175,13789.4983,49551.2019,17337.5039,28177.5867,7288.8328,28695.829,21628.7806,31075.654,13933.9884,44117.4721,11404.1592,31564.1958,19108.1604,36610.4708,30929.1569,9493.2407,17444.3007,5983.5698,33245.8762,23420.7565,22919.1315,33826.2103,14744.9935,29337.1799,17156.3204,25836.7163,26067.7891,30513.0071,12514.7597,20299.0409,6655.2816,17651.2711,18313.6325,6409.6806,16589.6245,9984.3488,9482.8796,22324.134,19327.9307,24783.0476,25134.5959,17513.771,26828.9027,8776.3236,33884.4134,24191.3289,28057.2846,34520.4407,23291.2294,17847.3948,20565.1702,17596.6444,22481.9506,27171.3322,44806.8684,12606.5525,6729.0868,11677.0879,59663.2409,8605.0772,16990.8025,35128.8598,56235.2716,13900.3323,13773.3012,56493.7968,9030.7366,11515.8376,20348.1825,11146.4649,12921.2804,68584.0656,7653.7481,13853.2707,45265.1505,68500.8766,10294.2848,29297.6634,43432.21,5663.1709,33262.459,7318.0539,43318.022,10989.0244,50667.8963,16414.727,7612.9958,12422.0577,7222.266,25857.07,10779.4577,13817.3093,61662.6174,36270.8379,17745.4484,20201.6702,13724.0546,16880.5018,24515.0476,16643.8318
ARGSYNBSUB-PWY,15017.6369,44229.9788,14677.4993,16563.1378,19634.1817,12842.0722,16848.4889,7742.1907,23517.2488,39735.8666,45307.2997,8766.0192,13172.3045,19843.2124,25587.0472,32056.7415,35341.8258,26981.8556,29608.4278,64609.2603,22134.955,31214.5808,8125.1858,30884.9754,42504.6824,20404.1678,9456.5518,24283.1203,32481.742,42704.9041,22597.3871,23845.9547,11509.789,47604.5968,22542.4855,30160.2577,19664.9305,14286.2534,5326.9174,15661.9977,13454.0611,13863.9205,48253.722,15905.759,28549.2154,7265.7191,29095.515,20830.1713,29715.1364,14176.0098,43653.1119,10946.9964,31381.5257,18359.9721,35413.4618,30657.0777,8778.0827,16553.0393,6478.2751,33556.0016,23524.6485,22225.8359,33774.0251,12754.7918,29702.9934,17145.2324,23804.6893,25085.4333,30895.8841,11768.3634,20018.9384,5840.488,17740.6439,18022.302,6946.2292,15990.6777,10684.7111,7988.8578,20755.3761,16632.1722,25283.0817,24699.8359,16004.0816,27731.0989,8507.8766,33415.592,23811.6569,24466.8382,35335.1511,22462.2258,17462.1244,20222.9342,17412.5504,20701.7283,27906.5915,43441.4964,12840.3489,6797.6121,11911.4021,58687.2171,8917.4528,17445.5588,34916.3754,44249.1134,13645.2177,13429.0086,49635.1018,8233.005,10964.668,19401.2065,11243.771,12913.65,63198.3944,7686.8184,13664.0193,44067.6466,59627.49,10313.0724,29003.7551,36225.3418,5174.0483,32960.5915,7307.4302,42383.6995,10354.4237,43016.5925,16688.9571,7622.0723,12094.361,7359.7884,26112.519,10353.6592,13843.3743,61863.5715,36697.7286,16019.9364,19226.5479,13107.8914,16310.1092,24614.4963,17066.5913
ARO-PWY,13699.8619,48058.356,19992.6467,18484.4294,17605.4626,12064.4994,17518.9642,5971.449,25585.8762,41501.072,51784.6803,10775.3555,18845.5177,24805.7236,26205.333,22186.6899,43786.6668,28676.8603,32692.3798,58580.8364,26494.2329,33071.8641,7605.4135,29663.9606,44827.7097,25264.5735,12870.2947,24081.1945,35485.3319,47064.4002,23085.5023,28793.2863,10442.6627,38700.8134,22551.4218,28655.8745,21760.62,17799.3802,6449.398,19366.037,12349.0903,14810.3514,42303.7143,16861.6578,29500.9921,8729.4064,30831.3112,18741.4207,28924.7516,17742.7016,33484.8899,14903.1048,35243.7822,18545.4818,42173.0186,33676.6023,8197.3687,15594.775,4555.2096,32636.938,25537.706,25094.4127,32256.9345,15827.1861,32280.1965,21766.4107,19921.6731,23507.0403,32969.3472,12017.4802,25409.1086,9439.0871,19033.9568,19150.1608,4380.4069,16947.9696,6172.1912,7467.3157,24506.3709,14449.2261,25801.2051,24768.6942,15785.2533,28898.4714,8488.6416,36852.2243,26347.8404,23566.6908,38448.5273,24763.3572,17058.3234,23926.9195,17015.4333,20061.0375,28546.0665,34738.3842,14121.8892,6912.6878,14648.512,52736.5609,8145.548,19546.1647,42934.4469,21129.2964,11982.657,12843.048,70163.8989,8586.0175,11598.1452,14988.8473,11467.4871,14061.969,52932.7117,7431.5565,16866.1163,42226.0239,46558.7273,11646.352,32361.4133,15972.162,5176.7389,32713.7068,7277.3461,49126.8361,10674.4723,30483.9292,17466.4958,7479.7042,13345.7139,8789.2665,28942.177,14375.6416,15102.131,75632.6686,36108.0735,20557.6648,18671.6739,13078.9385,19987.8406,26661.7807,18799.7512
