"","x"
"1",-0.1004361459
"2",-0.1038450862
"3",-0.164580438
"4",-0.04626455229
"5",-0.09023909453
"6",-0.09023909453
"7",-0.04212867964
"8",-0.3444458816
"9",-0.0785676658
"10",-0.09718895695
"11",-0.07247909112
"12",-0.05402111039
"13",-0.03323218965
