#OTU ID,Vil1.03B.DTT33,Vil1.05B.DTT57,Lyz2.07B.DTT281.S123,Vil1.010B.DTT117,Itg.10.DTT455.S49,Lyz2.02B.DTT221.S61,Itg.10.DTT456.S50,Lyz2.06B.DTT269.S111,Lyz2.03B.DTT232.S72,Vil1.09B.DTT105,Itg.20.DTT504.S99,Itg.20.DTT505.S100,Vil1.04B.DTT43,Itg.24.DTT529.S24,Vil1.07B.DTT79,Itg.18.DTT492.S87,Vil1.014B.DTT164,Lyz2.01B.DTT207.S47,Itg.26.DTT541.S37,Itg.02.DTT409.S1,Itg.22.DTT516.S11,Lyz2.04B.DTT243.S84,Itg.06.DTT433.S26,Itg.02.DTT407.S99,Lyz2.08B.DTT291.S133,Itg.24.DTT527.S22,Itg.26.DTT539.S35,Vil1.09B.DTT104,Vil1.02B.DTT21,Vil1.03B.DTT32,Itg.22.DTT517.S12,Vil1.02B.DTT20,Lyz2.04B.DTT244.S85,Vil1.06B.DTT67,Vil1.04B.DTT44,Itg.24.DTT528.S23,Itg.08.DTT444.S37,Itg.12.DTT467.S61,Itg.16.DTT480.S75,Lyz2.02B.DTT219.S59,Itg.12.DTT468.S62,Vil1.04B.DTT45,Lyz2.03B.DTT233.S73,Itg.18.DTT491.S86,Lyz2.07B.DTT280.S122,Itg.06.DTT431.S24,Vil1.07B.DTT81,Lyz2.05B.DTT255.S96,Lyz2.01B.DTT208.S48,Itg.02.DTT408.S100,Lyz2.07B.DTT279.S121,Vil1.013B.DTT152,Vil1.05B.DTT55,Itg.18.DTT493.S88,Vil1.013B.DTT153,Vil1.01B.DTT08,Lyz2.05B.DTT256.S97,Itg.04.DTT421.S13,Vil1.014B.DTT165,Lyz2.08B.DTT292.S134,Vil1.06B.DTT69,Vil1.08B.DTT92,Itg.10.DTT457.S51,Lyz2.06B.DTT267.S108,Itg.16.DTT479.S73,Lyz2.05B.DTT257.S98,Vil1.08B.DTT93,Itg.20.DTT503.S98,Itg.22.DTT515.S10,Vil1.013B.DTT151,Itg.16.DTT481.S76,Vil1.02B.DTT19,Itg.12.DTT469.S63,Itg.08.DTT443.S36,Lyz2.04B.DTT245.S86,Vil1.010B.DTT116,Itg.04.DTT420.S12,Lyz2.02B.DTT220.S60,Lyz2.08B.DTT293.S135,Vil1.07B.DTT80,Vil1.010B.DTT115,Vil1.08B.DTT91,Vil1.014B.DTT163,Vil1.05B.DTT56,Lyz2.01B.DTT209.S49,Vil1.09B.DTT103,Vil1.01B.DTT09,Lyz2.06B.DTT268.S109,Vil1.06B.DTT68,Lyz2.03B.DTT231.S71,Itg.06.DTT432.S25,Itg.08.DTT445.S38,Itg.26.DTT540.S36,Itg.04.DTT419.S11,LYZdtt351,LYZdtt364,SLCdtt050,SLCdtt110,SLCdtt075,SLCdtt019,SLCdtt002,LYZdtt328,SLCdtt021,SLCdtt111,SLCdtt074,LYZdtt304,LYZdtt317,LYZdtt305,LYZdtt329,SLCdtt092,SLCdtt020,SLCdtt128,LYZdtt341,SLCdtt051,LYZdtt340,LYZdtt363,LYZdtt365,LYZdtt315,SLCdtt069,SLCdtt129,SLCdtt109,LYZdtt352,LYZdtt353,LYZdtt316,SLCdtt093,SLCdtt001,LYZdtt303,SLCdtt068,LYZdtt339,SLCdtt003,LYZdtt327,SLCdtt067,SLCdtt163,SLCdtt164,SLCdtt145,SLCdtt146,SLCdtt165,SLCdtt147
1CMET2-PWY,10425.5518,4306.6405,11866.2944,15416.4863,32347.2884,14673.9082,20412.7724,11219.2938,29135.9913,10429.7595,20927.3025,20880.8778,10905.3404,25225.0324,4829.2771,27351.6178,17878.9413,20030.9537,26980.1194,23025.7873,13181.1201,37460.5302,26171.0473,16865.4242,17845.1483,24005.5797,13596.3877,11914.9588,12690.0337,18657.6672,16703.7879,6357.084,16348.6034,4273.6815,15549.1474,19635.1957,33335.5246,31988.2572,40197.6059,27992.7714,26984.0796,24933.1447,10184.9432,29783.005,8643.297,21119.194,5357.9216,11325.5722,32713.1996,15545.1514,15785.5621,10122.2516,7190.927,29233.8611,13010.8534,5420.1345,25982.1374,37392.0749,18268.6403,14242.2867,9162.2268,8156.0111,11345.4597,24513.6356,68319.0604,26334.8125,8481.656,31744.9302,25840.1312,17807.7053,29468.1921,5475.3139,19917.8156,11870.2608,7107.9131,16440.7132,13417.5139,24881.0719,30515.7353,4052.4259,7087.438,6887.2156,16694.9565,7978.7207,21696.2926,10228.9323,8839.329,14978.3068,6800.2425,19476.7036,29524.993,15069.7713,17758.8809,16472.5087,81365.8406,88396.7618,20581.412,19886.1564,13009.0673,6331.1076,29149.386,83525.6446,8000.9657,19519.6195,55829.2833,121554.2964,260079.1409,44033.1455,89673.3491,26225.4595,11141.8762,22562.1719,799163.096,16410.3448,61092.974,62802.3485,113017.6463,43418.3995,22529.402,13104.2184,19133.8943,76431.6321,87245.486,97179.2025,31881.3182,3842.2263,540120.2998,10309.869,11718.6094,25401.1539,43942.3619,12355.9308,75057.2043,67389.291,56900.3677,12918.505,55244.2546,42338.5759
ALL-CHORISMATE-PWY,516.2262,4252.8785,152.0199,2689.5517,749.2139,46.7414,0,191.5526,131.5803,5679.9264,58.315,43.5542,2382.231,0,4845.3413,125.0732,2270.6591,680.8869,52.086,362.5483,0,1180.6603,89.0212,844.3608,880.8369,332.7817,192.6092,4441.4474,346.7117,314.1351,41.5705,143.6821,21.9587,4413.1576,379.3415,71.707,114.0531,289.2128,455.7619,135.7699,0,696.3883,43.3496,198.5254,219.5465,167.5432,4887.4143,1166.0666,0,441.5982,2883.1908,2620.2424,7377.5113,78.4887,3297.7507,36.3472,38.4575,0,1394.6405,247.7578,8400.5821,5436.8566,0,162.6759,1138.9549,78.2723,6096.7705,721.1135,344.9579,2445.2345,207.3701,519.4787,55.4492,3266.2345,0,5370.5684,0,43.0943,421.8309,3742.2027,6066.9455,6483.972,2312.0614,6839.3358,44.2391,7665.1998,164.8049,26.1748,6132.4764,771.3967,46.5963,65.9185,54.3989,1299.4865,449.7109,967.7633,0,72.399,37.3834,48.6244,506.7168,886.4898,0,0,195.6782,6681.6316,709.1725,711.38,856.8963,0,0,0,751.7046,0,469.5364,639.8154,771.7005,6603.4878,57.2737,0,117.9836,491.5656,453.3646,906.6944,0,541.3453,38425.6137,0,2486.4618,1038.7247,1158.1069,514.1994,17.2819,4.2424,8.4536,4.0539,3.5822,4.2967
ANAEROFRUCAT-PWY,15312.7061,5178.8615,12761.9103,18216.1486,42634.1308,17685.8897,25168.8468,13392.8456,36966.6474,12656.2615,23821.5928,26754.9446,12679.6802,29699.4737,5795.0452,29802.8197,21372.8913,23324.0237,30444.5118,32604.3961,13216.2913,50702.3102,35073.0046,22651.4799,26439.1601,27722.696,18326.5203,13414.8264,17056.8668,19831.7071,18910.4917,8295.2414,18554.9806,5127.363,17932.0555,20615.4988,38569.3087,40552.795,48318.2341,32734.0853,32883.0246,23115.1003,13030.1921,34317.302,9953.9311,29159.4948,6399.4151,14316.4507,18350.2189,20219.0401,18410.7674,12633.0373,8718.6494,33775.0186,16580.2658,6566.4966,24113.148,52537.7376,23168.6866,16457.1121,11034.4993,8479.7151,15078.0299,23351.8187,98574.5633,30049.5025,9386.9292,43185.5083,37524.5046,22184.7696,35737.4691,12209.6915,24623.6788,15493.2197,9188.6322,19640.6817,17150.5259,27833.9095,35646.8634,4802.3273,8514.6137,8445.2387,22362.7543,9239.0723,20255.2758,12036.3962,11235.7095,12073.9012,8059.7547,28074.8373,36983.0939,18502.5167,19094.7529,20563.2797,91541.5247,52322.9794,15328.8752,19592.507,15309.1054,8272.5572,32883.266,80220.1378,9190.8364,19870.7596,59139.9634,125154.2799,280133.4377,54469.4508,89385.2834,31951.0014,10781.313,17417.5323,284119.4758,14119.0913,54628.9543,49862.6852,107033.9292,61391.0717,28084.0284,16984.0367,29944.5104,85687.8584,114565.4335,118395.4063,39556.8112,5231.7056,279589.874,10299.087,16565.7013,39022.8725,59557.174,16773.1293,103639.231,61256.4706,76326.487,15236.134,71767.6646,52255.0032
ANAGLYCOLYSIS-PWY,16700.104,5246.0018,15332.2268,21536.675,54791.6412,20210.2081,29430.7793,15215.9363,41721.1098,14018.1672,28034.5384,29375.3064,13957.5673,34504.4002,5858.1769,37557.6645,24163.6873,27082.5844,35485.5338,35338.4284,17507.9738,63723.7807,58566.518,24533.085,32307.3383,31954.1608,20214.9535,16053.1416,18997.0843,24420.1366,21955.1246,9156.9264,21622.748,5169.4223,20250.814,26353.9274,44329.2121,48342.6299,57305.1063,37719.6433,36938.5832,29966.4363,14428.1375,41301.1564,11341.194,52310.4131,6622.7905,16197.97,40920.5832,22113.1514,20503.5725,13730.9018,8777.2422,38707.6624,18136.2332,7293.8201,34078.0946,70732.6814,25497.3959,18606.734,11405.2755,10011.9595,21232.1552,32789.0805,124010.5185,35698.4786,10510.8248,56084.2702,44581.3221,24226.7778,40547.5677,13558.285,27928.5818,17164.0313,10308.8887,22273.5307,19425.5905,33809.9737,39647.6404,4965.4828,9421.9692,8810.4546,24567.1778,9782.3348,27810.117,13835.0046,13158.5379,19941.6727,8406.7849,39707.1948,43232.2454,21102.703,24081.2219,22814.4005,170078.2282,109136.3614,26867.4734,27359.8801,17837.3492,11686.1862,38578.5068,109692.5812,11074.3744,26449.9851,73729.878,171063.4706,320416.2356,101673.654,117504.2633,35576.1596,15370.3762,28425.6592,887764.4497,21323.8837,79661.3659,78631.9318,924645.4491,63968.6522,30105.4083,21906.7696,35939.4152,140143.0902,129416.2751,182645.6652,43656.6323,6349.4742,636251.8868,13632.4292,18043.7958,42967.469,68860.4858,23993.2201,113803.0558,88472.3593,97571.4645,17372.9455,77943.8948,58322.055
ARG+POLYAMINE-SYN,1834.1769,4227.0356,1943.9736,4835.0542,3627.9406,2294.8374,2947.6168,1823.3122,3350.8233,6482.6398,3239.7413,2899.847,3588.9656,4348.4495,4834.6446,4252.9777,4114.7913,3221.4993,4170.877,3432.5742,2056.117,3763.6136,2321.5531,2811.1473,2253.5612,3882.9169,1586.5491,5833.6193,1419.6177,3179.8508,2713.0886,665.0774,1985.4228,4322.5163,3073.2854,3452.9565,5856.4037,3293.0753,6046.7871,4522.1561,4015.6609,3010.5045,1019.3415,2759.931,1350.6313,1191.4225,4980.176,1888.7383,3571.1571,2462.2249,4548.2374,3634.2076,7238.7615,3739.4326,3851.6939,602.3704,3369.2017,5006.9137,3247.4691,1646.3543,8576.7373,6203.6042,1543.5843,4067.9063,2949.5616,3052.5293,6722.2711,2983.7245,1921.0877,6452.8488,4539.7022,533.944,3041.1213,4303.0491,731.2092,7252.5238,2177.3893,3934.1705,2487.5861,3797.0096,6001.6421,6510.1064,4958.9428,7201.2983,3804.686,7592.9009,892.8153,2266.1176,6349.3429,2299.4636,3950.5015,2786.5548,3076.8179,3065.1003,6030.9689,6846.9049,3378.8151,2358.2691,1786.1073,557.1792,4615.909,13171.6155,1516.5085,2510.7867,6394.706,32863.9593,7489.5468,4751.55,9466.0478,2032.9529,2158.7456,3453.9146,14055.7713,2607.4784,10852.4132,8630.0458,8152.7977,11606.6499,3645.0141,1291.8047,2179.7789,8127.6847,7780.6516,7562.2134,4507.6564,896.8297,137480.714,1719.7169,3135.4066,4498.123,2413.609,1301.457,8139.2548,8557.8507,5744.0476,1728.2693,6742.3777,4813.4717
ARGDEG-PWY,142.7891,4203.4012,52.1427,1275.2252,235.7714,14.9876,0,82.5562,54.4268,4187.9206,22.0169,11.0595,1364.4756,0,4841.0454,38.806,1265.0505,303.5883,13.9681,143.0683,0,503.0183,23.1259,369.7693,353.3839,135.8777,65.4672,2969.2576,167.9434,70.5313,11.6292,71.0273,8.7249,4403.5645,81.2975,23.7509,30.2374,64.9538,131.4585,47.2969,0,241.9043,14.5065,48.725,97.84,61.1152,4622.5742,548.1788,0,190.028,1538.1877,1494.4345,7385.2435,16.8795,1832.7212,16.1298,13.3364,0,700.1245,115.031,7985.1045,4637.6685,0,51.4562,381.5765,26.0972,5297.0195,262.8413,129.7799,1152.4214,62.8398,177.1937,9.3196,1866.0713,0,3206.4864,0,13.3306,187.5604,3551.8464,5401.4146,6329.7563,1077.4151,6363.0106,17.4022,6182.6347,68.9546,6.957,5825.8082,350.575,12.1775,15.7042,15.1049,502.7512,164.6021,458.1976,0,15.078,15.0385,9.2842,149.8925,371.646,0,0,72.1148,2797.778,269.5189,325.2961,352.0163,0,0,0,331.2866,0,218.3323,257.7239,312.6886,2530.368,9.3061,0,19.7666,194.8952,192.8717,384.3878,0,230.822,17376.9118,0,1188.8877,222.5123,493.3221,168.3389,2.3332,0.5832,1.1666,0.5832,0.5833,0.5833
ARGORNPROST-PWY,2585.0542,20.0569,1276.0328,2682.6693,5589.1564,1303.4194,2604.6293,1436.4626,3904.7774,616.0317,2900.8921,3505.8295,910.1503,4134.0616,8.9936,3801.0117,1782.395,1862.4865,3318.3229,2554.2314,1924.6161,5818.3564,1665.0089,2084.8233,2516.0127,4118.058,1851.7526,802.5096,1748.6164,2702.4186,2534.2647,900.2055,2452.1641,15.4148,1619.9105,3428.3688,4993.544,3537.1817,3443.7767,2275.6975,3743.1278,1361.5782,1291.644,3494.1918,899.9824,1000.5557,93.8722,1032.5534,3608.2347,2376.674,1716.8087,22.7525,28.3247,3618.261,12.9357,417.8774,2765.8946,3484.2602,1812.0775,929.9283,129.6362,342.4868,1461.8485,3078.2759,3249.2911,2865.2852,342.7027,5263.5249,2631.2182,297.1026,2340.8163,571.7921,2902.5604,1356.982,1126.9524,2467.2849,1132.9233,3347.5823,1801.5489,54.5273,270.1823,18.1156,2067.1502,187.6709,2357.7786,305.1095,576.0167,2141.988,113.4472,3201.1588,2498.7174,2190.6876,2514.7373,2223.7924,2923.1273,9280.6964,4740.6818,1698.0532,544.5327,583.0764,3508.294,7097.334,737.2036,2239.5488,2588.8962,7677.2854,7122.7597,3390.8056,5775.5967,3540.7908,1199.0603,2489.951,3354.5237,3060.4075,5315.7386,4617.7308,8308.1688,17779.4255,6128.3286,1218.5346,2421.9721,4262.4891,3231.9074,12169.7496,6535.2138,684.8945,12870.5571,1598.6878,1591.2599,4153.693,2039.8836,1657.7116,14297.8727,4566.2763,6721.8355,835.6211,5550.5159,3676.5035
ARGSYN-PWY,9878.1727,3936.9154,11161.6821,14027.7034,25362.6432,14205.4714,17620.0077,10006.2979,25065.8031,9180.1087,20429.0425,19338.6784,9812.7327,22813.4885,4426.2212,28184.6592,16660.7022,19222.1537,24197.1847,18719.7277,13114.8105,29546.7651,17621.5131,13653.9688,13999.7145,21907.2199,10238.3795,10456.3256,11406.5509,19258.3017,15328.0789,5441.2206,15531.3591,3934.6343,14351.0396,18424.5262,28994.2776,24231.7545,41524.7695,26804.2186,24178.914,25411.3652,8573.0034,24788.7564,8134.0907,12827.7856,4914.7527,9617.4206,33258.4378,13160.1973,13564.7375,7582.3896,6618.2126,26469.4493,9274.9278,5034.0355,25830.9349,28445.5002,15644.237,12627.1725,8424.1782,7567.752,8624.4723,23506.0119,107952.2952,24130.8934,7723.0004,21677.2399,17041.1429,11975.1677,27700.8176,6869.0757,16930.3056,9112.6277,6157.7726,15082.4752,11804.8931,24854.2934,27883.5996,3710.5628,6176.3864,6208.4421,14145.7417,7411.0668,21369.077,8632.2276,7137.07,15263.8823,6331.7098,17034.9812,25742.375,13174.6634,16999.4269,13675.9437,53903.2183,89761.2553,21260.1073,19727.8705,11096.8085,4986.7154,28235.0106,83828.1741,8386.7175,19109.6772,52394.5055,139334.4289,259683.2557,27823.0339,84881.9136,23960.6244,12094.8334,23137.7173,816285.7819,16275.7886,63934.523,61697.7701,942962.8002,37875.2618,24765.3265,9164.5132,14733.9268,53553.032,90827.7339,77739.0591,31895.5353,3042.6806,479599.1333,10147.7885,11438.981,25720.4302,32160.3089,9246.8217,64390.8427,70536.213,47638.9575,11275.0824,46175.0583,36341.5674
ARGSYNBSUB-PWY,9366.2286,4048.117,11269.737,14117.947,24589.1455,14585.1639,17735.017,10093.1682,24855.6978,9272.099,21001.2923,19851.5298,9951.9449,22965.0688,4552.0207,29450.4573,17014.6692,19566.4289,24572.1366,18063.2531,13526.5397,28027.6376,16237.0247,13536.9691,13219.409,22395.0718,9857.9518,10588.173,11445.184,19831.7637,15550.8457,5385.1004,15998.3481,4058.9579,14578.1884,18836.7669,29073.2898,23488.6363,42587.9174,27531.3523,24673.0072,26172.5023,8515.4313,24657.1296,8217.1655,11365.8191,5036.1501,9299.2636,34841.2367,13071.9733,13608.8265,8013.5997,6812.7783,27034.8961,7726.988,5120.0633,26908.1337,26514.2149,15491.4481,12697.136,8647.3862,7810.7607,8227.2889,23993.4557,120941.8516,24562.2239,7932.5221,19636.996,14391.5022,10341.0066,27924.3981,6613.6838,17065.1858,8941.2606,6126.398,15227.5925,11588.8378,25588.2032,28042.3278,3807.8161,6254.4621,6335.6112,13924.9644,7640.9888,22255.5582,8658.0684,7091.7463,15721.8159,6528.5898,16105.6608,25266.1534,13298.5225,17532.4783,13524.2008,50537.4091,93790.5502,21921.6071,20428.9045,11214.8521,4672.0769,29136.0006,86484.0804,8691.4431,19903.2177,53738.4522,150847.3292,265981.0901,24528.9663,85885.0906,24456.1244,12566.6981,23905.1366,843320.8992,16627.8946,67027.2042,63622.5157,1062105.559,36373.6422,26005.8519,8697.3543,14152.6967,50489.2114,98925.4836,72504.0554,33421.6591,2957.5862,501013.177,10420.4136,11467.302,27260.3148,27686.2887,8755.3589,62035.1428,72230.8003,48344.6701,11607.6987,43675.9892,35427.3994
ARO-PWY,9286.9255,4537.4642,12113.0048,17237.226,22384.3192,14500.9501,16868.3823,10689.8197,23562.8722,11182.2085,20975.704,17819.7858,9826.3264,25837.4835,5076.3449,30471.5393,18526.5551,20290.286,27074.411,20397.9535,14609.6431,25260.2463,13203.3998,16301.3545,12350.1643,23865.0026,12217.4217,13449.19,10677.3397,20487.5614,16790.5641,5388.8207,16156.6825,4658.0211,14012.2038,21097.928,30775.2084,24422.2024,44765.4074,27891.7192,25598.049,26253.1093,8110.0701,23985.3379,8213.1238,10115.5566,5513.9293,12734.7466,37698.1805,14604.8841,14710.7266,7625.4077,7673.0877,27229.7755,8967.693,4540.6239,29945.0354,23375.6568,16795.2561,12413.7229,9425.2715,8680.1487,7140.1937,27653.8134,106628.194,27830.6506,8699.6699,18518.3621,17907.1049,12464.8589,28489.8128,6874.3822,17429.5244,9320.0417,5718.8128,17785.7676,10989.8121,25589.6859,27379.8778,4225.22,7079.0684,6726.3984,13937.9909,8378.9227,23304.6182,11161.688,6116.8105,17475.2048,7130.7017,12031.3126,22954.2658,12725.8794,19276.6518,13576.5039,39653.4753,103055.6698,23755.1383,23132.8296,10375.4307,4187.4404,28781.2167,94109.2213,9157.5464,21774.351,55655.5365,138442.8616,248046.7576,19435.825,102143.7464,22780.08,13503.2319,25801.9354,911698.418,18511.4509,67424.2211,71408.0408,979387.641,42953.6124,26085.6472,7807.1008,15951.1941,41798.5213,76748.3442,49456.5245,31485.0347,2910.1373,445789.6194,11346.2051,11181.5412,25553.2731,35325.1758,7236.7245,62461.9599,79708.5429,42331.01,12610.779,50535.5613,41049.759
