#OTU ID,Vil1.01B.FP11,Lyz2.02B.FP222.S70,Itg.22.FP518.S21,Vil1.03B.FP35,Vil1.13B.FP153,Vil1.07B.FP82,Lyz2.07B.FP283.S81,Itg.20.FP508.S11,Vil1.10B.FP115,Vil1.10B.FP116,Vil1.04B.FP46,Vil1.14B.FP163,Lyz2.06B.FP271.S69,Vil1.02B.FP22,Lyz2.01B.FP210.S58,Vil1.05B.FP58,Lyz2.07B.FP282.S80,Itg.16.FP484.S87,Vil1.05B.FP60,Lyz2.01B.FP212.S60,Vil1.09B.FP105,Vil1.05B.FP59,Vil1.08B.FP92,Itg.20.FP507.S10,Vil1.04B.FP48,Lyz2.03B.FP234.S82,Vil1.04B.FP47,Itg.24.FP530.S33,Vil1.03B.FP36,Itg.02.FP412.S12,Lyz2.02B.FP224.S72,Lyz2.05B.FP259.S56,Itg.04.FP422.S22,Itg.20.FP506.S9,Vil1.09B.FP104,Itg.26.FP544.S48,Vil1.13B.FP152,Itg.10.FP460.S62,Vil1.14B.FP164,Itg.06.FP434.S35,Itg.18.FP496.S99,Itg.24.FP531.S34,Itg.02.FP410.S10,Itg.06.FP436.S37,Vil1.03B.FP34,Vil1.07B.FP83,Vil1.01B.FP12,Itg.26.FP543.S47,Vil1.10B.FP117,Itg.26.FP542.S46,Itg.16.FP482.S85,Itg.12.FP471.S73,Lyz2.08B.FP294.S92,Vil1.06B.FP72,Vil1.02B.FP24,Lyz2.05B.FP260.S57,Itg.04.FP423.S23,Itg.12.FP472.S74,Lyz2.04B.FP246.S43,Vil1.14B.FP165,Lyz2.06B.FP270.S68,Vil1.07B.FP84,Lyz2.04B.FP247.S44,Lyz2.01B.FP211.S59,Itg.08.FP448.S49,Vil1.13B.FP151,Vil1.01B.FP10,Itg.04.FP424.S24,Itg.08.FP446.S47,Vil1.06B.FP71,Lyz2.08B.FP295.S93,Lyz2.03B.FP235.S83,Lyz2.07B.FP284.S82,Itg.10.FP459.S61,Itg.12.FP470.S72,Itg.10.FP458.S60,Lyz2.08B.FP296.S95,Itg.16.FP483.S86,Lyz2.03B.FP236.S84,Lyz2.02B.FP223.S71,Itg.02.FP411.S11,Lyz2.05B.FP258.S55,Itg.06.FP435.S36,Vil1.02B.FP23,Itg.22.FP519.S22,Itg.22.FP520.S23,Vil1.08B.FP91,Vil1.06B.FP70,Vil1.08B.FP93,Itg.08.FP447.S48,Itg.18.FP494.S97,Vil1.09B.FP103,Lyz2.06B.FP272.S70,Itg.18.FP495.S98,SLCFP072,LYZFP308,LYZFP307,LYZFP331,SLCFP131,SLCFP078,SLCFP070,SLCFP023,SLCFP022,LYZFP355,LYZFP319,SLCFP005,SLCFP024,SLCFP053,LYZFP320,SLCFP095,SLCFP077,LYZFP356,LYZFP354,SLCFP112,LYZFP332,LYZFP306,SLCFP071,SLCFP004,SLCFP094,SLCFP052,SLCFP076,LYZFP330,SLCFP054,SLCFP114,SLCFP006,LYZFP343,SLCFP132,LYZFP344,LYZFP342,SLCFP096,LYZFP318,SLCFP148,SLCFP166,SLCFP150,SLCFP167,SLCFP149
1CMET2-PWY,39420.9921,23868.9113,16520.3493,13702.8177,42845.5956,43927.8541,17276.9174,53012.3016,38365.8743,34521.8055,38426.9973,65701.1939,17377.3633,37530.5802,15590.1386,16500.2921,13143.4847,40508.4107,22259.8776,9009.9022,33279.3182,37470.4288,57779.1992,61231.1228,25089.8279,26273.9452,44115.4693,6861.582,23484.8452,30104.5086,18439.5522,8636.4425,3990.6361,37628.2955,35787.2836,21025.4633,63058.1585,22567.175,40376.9426,51328.3327,14357.9285,6824.6369,15839.55,22395.377,24327.3223,32905.0721,37763.8984,34821.3669,32982.4827,30730.748,38412.4912,36565.3953,18482.6858,26134.1696,38802.8371,10193.0806,12686.3295,39541.4507,7160.5641,45572.2875,7449.5753,31684.4948,4062.1591,19442.954,28351.9306,46713.5225,30939.0119,15383.2642,20513.8614,50631.1124,15202.8324,24119.3088,8298.5909,24645.0624,36443.3488,17302.9045,13116.6613,50374.7858,18627.8326,28207.2248,37350.3303,9165.5729,36637.3918,38227.9054,20959.0003,21318.2387,39881.0203,26839.1389,50018.3072,23133.1517,28648.9857,26723.7411,21867.6648,31202.2546,10840.6741,71191.4847,49927.1779,48664.0431,23491.9238,15400.4767,16916.6555,9871.8278,12027.6689,39918.5751,42469.7281,7115.0897,11379.7955,22117.5615,9906.2668,4558.0039,6451.4851,41094.1092,43921.2499,10497.4974,45839.5213,81725.0512,18221.5209,3670.7707,10347.4481,16758.0519,7013.9294,79595.0141,11465.7613,5120.9926,8230.5415,68430.874,15783.2353,55324.2386,36705.9601,423.802,52070.5629,31057.1571,30994.0855,62339.2051,36826.5112,43459.993
ALL-CHORISMATE-PWY,35.4141,19.0691,0,933.2983,2014.2937,35.6106,11.9409,0,51.3247,90.5419,81.1305,42.4761,49.0775,75.2211,24.9033,774.5279,0,45.0077,157.4564,35.813,0,189.0792,0,43.5312,34.4271,14.2245,44.1968,13.242,305.3292,0,54.7839,4.2833,13.3167,52.8684,21.4968,24.4548,446.2853,31.4514,24.4368,21.1148,33.0021,25.7492,0,24.0751,298.89,0,166.3478,29.4281,59.1749,18.0034,38.1305,0,26.2945,86.3889,52.6512,28.5944,19.562,29.4399,33.3129,69.5956,28.6256,211.4903,9.4129,25.3997,20.0836,296.7913,27.1631,50.3865,0,255.9986,67.1023,12.6368,14.1715,20.4268,0,0,34.582,44.0095,0,0,0,0,0,40.5771,0,34.9529,19.3977,60.5569,0,0,13.5923,0,19.1873,0,0,624.8248,484.7312,678.1196,0,0,0,0,0,237.7083,284.7087,253.5255,0,0,122.066,0,0,298.5597,501.6633,0,900.0561,602.9105,0,88.1514,0,80.3288,0,805.432,0,0,215.6609,713.3154,0,986.0356,170.9702,0,465.0244,2492.9536,25.0813,147.0584,19.3706,58.3956
ANAEROFRUCAT-PWY,59363.6359,28695.0748,52993.421,65460.8039,53573.0234,54128.5591,21349.9427,73146.7403,53201.5815,45842.2808,42714.6886,77872.7542,32111.2032,51636.0309,14446.2298,33335.9134,15404.6377,50270.2587,29985.5941,12299.8179,34487.9366,65167.5988,53587.7228,86387.8018,34718.0577,74987.5742,58998.5337,90175.3546,36102.8232,74225.1545,27584.4597,13023.7958,20279.6259,47456.9147,42150.8372,42114.4429,76340.8312,55795.1818,54981.8844,71140.2182,44998.988,101378.6525,62546.1216,38016.2047,57896.5872,43460.4257,54186.9778,50763.7199,40986.6244,76423.2183,44729.4022,50930.8075,25466.0166,33074.5702,56163.9053,18519.3603,68071.7353,45333.4843,27998.0029,58057.3247,22749.0159,36726.353,26927.2211,23276.9008,53070.1043,57524.3822,47466.4448,37652.1916,24231.9985,62442.8813,23012.0738,81190.0048,10009.1114,77639.4591,40411.1071,53049.8168,18186.232,61474.4688,57867.6068,35074.5582,135659.6085,12549.5521,52372.3757,54351.0955,91068.6408,50301.8387,43537.0171,31484.065,40967.9401,44041.219,40813.607,33521.283,42143.1577,59973.9271,16394.4041,85009.0403,83595.33,103199.2425,33367.7934,23890.9275,25215.2192,12365.4697,12659.1012,25431.7538,156093.0284,36930.4949,13399.909,30750.8644,53080.2225,56650.6898,14254.6125,37825.1432,32459.5235,16020.1628,81727.0192,148578.5493,28749.4645,12320.8215,14401.2325,30733.6393,22307.9559,108038.4486,15095.5425,7606.5332,28877.6304,53630.8808,20470.3283,44783.1706,22275.6005,29552.3241,65726.4518,29110.0374,78520.8829,62835.0457,62141.0561,64428.2644
ANAGLYCOLYSIS-PWY,67942.8835,168507.4126,79086.3259,95157.5591,65047.9869,59430.5719,26599.1991,77966.0452,57159.4936,49921.353,54794.2235,88375.0373,31986.9492,62230.2719,164870.4815,68647.6832,20195.1136,55434.2202,34397.7647,31412.404,46625.3262,118560.3113,72410.5019,93848.1654,37439.5986,141710.9471,68033.2466,122561.6984,50075.2954,85007.2102,47025.8804,12849.9919,108466.1594,53644.5412,51044.2627,48431.796,95410.0911,71028.9573,60531.5473,106549.6476,67985.6188,129990.5534,79633.3931,45366.1782,73382.3068,49109.7507,64691.112,72183.1324,46098.7821,105936.3295,50765.1608,75499.8671,31756.2876,36931.6491,66433.3224,19054.3036,209233.5221,60444.7215,42423.6484,63751.4707,25764.4084,41583.3157,35594.34,138238.9728,74286.4753,70897.0099,56572.9781,64758.3544,37758.7174,68869.7519,30899.9997,139016.4686,13290.4134,127897.5755,76553.8469,96982.7718,20139.4856,67557.8636,74143.1363,132489.5054,168630.6054,13085.8811,68734.1665,69186.5579,124872.9882,64016.7788,51187.0157,39012.1574,62463.7276,62451.1416,64774.2254,36873.6773,40403.3427,95596.9478,20350.0286,107090.9226,83721.3672,147818.7741,38556.2787,35582.2966,39563.8375,14705.3679,20894.4889,56093.6526,168490.9778,80019.9239,16654.0046,39326.5229,58527.3371,109595.0292,36459.6496,53249.0164,175715.3082,17920.4005,178652.9904,148332.7545,48911.1149,37261.7244,36426.5896,43414.9861,81098.4296,118476.973,16233.0569,8191.6915,53646.8104,131396.4299,22804.4875,79568.928,58950.0493,52764.9571,74849.231,40712.5057,93086.6173,91043.2914,62997.9456,64544.1622
ARG+POLYAMINE-SYN,1380.02,379.5528,1021.4844,804.2501,4471.5526,2091.4643,554.5416,2089.0023,5616.7359,7471.8132,1865.6049,7046.7168,903.5647,2322.3356,1142.02,1879.7806,314.5486,1636.6288,2580.4347,129.7236,7266.3121,1224.3386,5316.6321,2731.6672,750.9516,743.858,1571.489,655.6289,881.9262,957.4069,660.6042,377.4932,86.3452,8463.612,6892.5082,458.7306,3445.9339,524.3429,2937.075,1782.3235,99.5619,246.2916,800.2401,580.5669,1170.0161,1773.2713,845.8685,2351.3991,7515.6461,1620.9802,1745.7995,649.4054,1705.4353,2385.9104,1803.0817,209.2332,168.3542,1000.2853,909.0378,4072.4261,255.2702,4881.0801,206.4988,481.6667,383.8045,1424.2199,2212.7234,878.6643,950.7813,5731.8775,671.6003,373.0916,260.9417,442.8921,435.7695,612.4623,520.7627,1487.2916,341.3111,492.1339,1210.0754,277.1973,991.2066,1190.0104,944.6417,755.047,5352.3478,3100.3429,5717.9041,577.8249,668.0939,3791.2832,1214.1068,121.8136,181.2824,6629.5656,3077.0722,559.3105,796.2413,415.8922,342.8739,229.0663,289.9176,750.3741,1911.2398,285.2872,202.0143,915.1255,752.7589,127.8414,197.6623,1631.2382,3418.2164,651.2146,745.8955,5669.2224,294.8602,98.7792,928.046,574.7398,229.911,1192.0099,441.033,295.5327,230.2919,1363.5583,380.236,1623.2965,732.7996,0.7809,5503.3353,6801.6373,663.4688,4327.7121,881.7762,755.6323
ARGDEG-PWY,8.1592,5.2392,0,171.8743,708.551,5.2398,2.9117,0,6.9956,9.9052,8.7432,4.6652,10.4859,6.9965,6.3929,194.3566,0,4.6647,24.3738,12.6437,0,27.367,0,5.8315,2.9159,4.6641,4.0821,3.4934,75.8312,0,18.4382,1.7481,3.4834,11.6554,2.9148,4.0815,141.97,4.0811,4.6648,4.6637,9.3076,6.9761,0,6.9916,54.3763,0,52.2856,8.1608,8.156,4.6648,3.4982,0,4.077,8.7309,13.9831,9.8668,5.2332,5.8297,10.4349,12.2373,9.8754,34.1205,3.4914,6.9828,6.9934,94.5849,4.6631,8.7292,0,34.8866,16.2429,4.0816,3.4899,3.4983,0,0,4.0765,5.2479,0,0,0,0,0,9.3257,0,5.829,2.9147,7.5638,0,0,3.4976,0,2.916,0,0,219.5822,194.9674,196.1366,0,0,0,0,0,62.9821,96.708,117.1017,0,0,48.9442,0,0,121.6958,178.578,0,300.7375,227.206,0,35.4007,0,23.8069,0,291.9388,0,0,84.1311,212.1811,0,207.0905,80.3276,0,169.5327,947.7669,2.9157,39.7209,2.3331,12.2411
ARGORNPROST-PWY,2414.2132,898.3294,1665.9604,15933.1385,491.1383,2081.0633,1188.1258,16099.9258,6013.0177,6627.5407,4413.5141,6942.0707,4582.6301,6056.4268,395.3728,3789.0573,293.3141,4910.2362,3569.1304,163.53,3657.7247,8664.0918,5638.5474,19337.8198,3081.6702,6904.4689,6491.1872,514.6627,2671.6303,3677.2162,753.5381,1333.4564,76.8892,8268.756,3379.4253,1870.0428,551.0784,3901.4183,3959.8141,8157.7354,1965.8628,421.5284,5396.8686,3328.2428,4905.3475,1673.198,3684.3636,3524.0066,5788.2018,2853.6457,2173.598,4247.639,930.9781,5212.0677,7303.4289,1216.041,289.9972,4787.9578,1708.6372,4617.8867,1012.0193,2918.6163,1288.1924,650.4457,1266.233,221.0226,1276.745,3169.447,989.1942,4528.2859,1210.334,4157.0331,608.3826,3442.6258,2449.5329,840.229,785.0251,4220.4842,3117.8188,1769.6585,5732.6349,1648.4687,8153.059,8152.2254,3457.9798,3416.5387,3886.654,2626.2941,4753.1391,2077.066,854.2582,1752.3025,4381.6917,896.4932,2959.2598,5527.4765,17285.8998,1900.0404,3147.1271,929.9287,4767.1951,857.1394,751.3707,351.4919,12108.897,2099.9898,895.5799,7135.2239,1862.7775,979.8887,461.2934,805.8302,945.4103,2307.1432,2527.54,24456.1873,4324.069,1258.7009,2237.3567,5584.8817,695.9337,1819.7049,2739.6693,945.6147,2548.4392,4148.7613,2847.3523,2408.8945,214.6068,5.9966,2884.4669,3865.8268,7562.2032,4844.4932,5566.8581,1844.5262
ARGSYN-PWY,31552.0219,15131.4402,15084.8427,22009.6904,21438.3594,45692.3879,14940.4436,46573.221,29968.7064,29518.8224,33277.2944,55926.2178,13911.0293,29371.8605,8972.9099,13866.2661,11093.514,35652.9131,19539.202,4304.964,28910.2571,31117.3445,55255.0183,53182.6031,19292.6861,21220.7066,33655.422,8036.9835,18537.1065,23209.5872,10453.7199,8758.3685,4476.2458,31485.9336,29625.1845,16126.2172,29026.5038,17635.1838,30421.2622,43067.5764,12982.2498,9195.4213,14982.6769,17021.167,26620.0233,31318.9854,26633.0292,25369.6461,28203.8988,24661.9185,36564.5156,24959.6436,14792.2649,25390.8518,30547.1106,10408.1201,11153.6619,27003.8193,6696.0996,35265.7854,6801.1234,29883.3257,4416.3769,10960.6892,20119.0442,19966.0506,23932.4806,10360.2445,14707.7469,49921.8897,12001.0543,19276.9137,6771.7814,21519.7798,26254.3577,15776.4134,9675.7888,45346.7837,16510.3711,15900.1432,31881.1734,9017.3899,29759.9334,27564.9625,19786.8781,17461.7834,35077.7509,25391.2348,49456.8695,17996.9825,18953.45,20283.2773,18218.6233,22287.5218,7938.7894,43661.482,45750.1645,30942.1662,17409.5978,7599.5309,12913.2272,8516.0985,9885.6535,34002.2147,50177.6964,7416.444,9791.2092,15841.9185,12378.6592,5461.0093,3442.7952,34440.086,28837.2441,7439.3552,27051.4068,75493.6554,13379.7269,3208.1592,6810.4081,12697.5468,4790.0437,66126.876,8615.4966,4102.9535,7554.7029,56954.9853,11139.7284,49623.3079,31397.9441,597.6807,42521.6634,30444.1574,30583.5568,52771.7685,33079.7375,38776.6697
ARGSYNBSUB-PWY,32067.2784,13590.5497,11648.8073,25230.6747,15488.1963,47812.1661,14981.7843,46984.597,26565.4678,28282.9025,33797.7279,55823.8604,14357.2106,28344.4174,8148.6566,12032.7127,11001.9757,36620.6556,18968.7827,3568.2019,28982.422,28248.7341,56569.5162,54340.239,19699.9865,17783.994,34947.0267,6044.9605,17679.4534,18666.1175,9948.3308,8602.896,3136.6746,31651.6538,28943.9648,14509.0593,20261.3538,14904.2664,29898.3001,42227.3343,11602.5636,7067.1884,13351.6169,15647.8099,23049.8259,32104.2762,26374.4604,24143.5889,27186.7713,21641.7491,37894.9214,24414.6225,14753.6486,25544.4145,29728.8103,9866.0707,7870.1451,26016.781,5603.3462,34916.5853,6175.2223,30291.2463,3554.6067,9651.807,17151.9165,12800.6831,24223.9835,8283.3415,13854.915,51808.6191,11974.1684,15297.2853,6681.738,17560.3274,25458.7756,13282.5487,9649.7431,47065.8726,12249.6136,14277.5483,25268.9324,8846.3369,28458.2121,26730.3921,17472.8307,14858.997,34875.106,25417.7778,51253.3314,16985.7645,18941.1431,18399.0301,18149.8131,21474.1721,7459.6248,36702.0624,44704.1885,29973.0633,17758.6651,6576.5922,12542.3255,8732.4692,9876.0977,33345.9629,40779.1808,6842.4281,9851.0738,15814.5123,9907.571,4144.6657,3108.9749,33894.2521,26140.9536,7679.7164,26187.1571,73610.6299,12642.1542,2897.1392,6359.3185,11895.4936,4529.4119,64888.1568,8653.2061,4209.0435,6908.1892,54681.1475,10940.8992,49246.9954,31012.6496,442.9021,40412.691,31110.9597,27981.9058,51555.7496,32504.6986,41450.1358
ARO-PWY,24133.1517,8858.1966,17321.8401,17413.8048,21084.2963,46295.5707,12159.9979,40736.9946,36324.5053,35961.887,28186.9897,67557.4127,10866.9962,27068.4086,5262.5991,9455.4048,8964.7403,35613.9366,17690.0026,3239.7425,39903.4009,16341.7061,60125.0068,45516.9239,16671.8386,10132.1074,28095.2524,34025.3895,13036.3982,31008.3736,8080.8314,6519.8142,3764.6621,32494.7461,41998.3829,15745.0485,27976.8812,10648.8795,37593.1251,28401.0511,5328.6265,5142.6016,18185.2072,11275.14,16660.6393,27006.0241,22578.6929,22770.2973,35414.3598,26991.8387,38435.1909,18823.8979,11722.343,25732.1448,29190.0505,9826.2271,6747.5916,25471.029,3435.2394,45080.811,11205.8477,30375.6877,1633.4267,6642.2226,13247.0776,19311.9974,17983.1643,7586.9576,10899.2325,50151.721,8494.7621,7836.7773,5456.0971,12760.6978,18958.914,8125.513,8697.3332,45916.8344,6966.1898,10314.1775,49828.4732,7238.7153,21597.5623,24670.9336,8597.8829,11453.7518,37636.5821,23057.383,54998.5541,10036.5732,11392.6762,28416.8752,12217.5961,10128.5778,6682.6332,43682.8579,31541.9641,136009.5231,15083.0644,5554.9526,9594.4067,7479.8477,8400.5479,19248.951,17783.9332,3904.5999,8536.0799,12615.794,4069.6781,1445.6575,2074.6634,29460.6585,18131.1007,8430.6178,170693.4922,46323.579,9235.3517,1815.5308,4289.1658,7771.2092,2651.3441,92981.9733,8182.0038,4391.6348,4268.2716,31618.6036,10665.9904,34827.0866,12011.3704,148.3449,43793.3782,35375.096,36239.1087,45373.6537,22057.2796,36045.8462
